#{"t_start": 1770819849.9690363, "env_id": "highway-v0"}
r,l,t
5.109962,6,1.405294
67.412296,100,24.040134
73.835725,100,46.395843
6.873936,10,48.670534
9.737789,12,51.385308
77.789207,100,73.984272
21.650992,26,79.878426
9.987525,12,82.591958
71.455092,100,105.102628
16.444692,19,109.366715
13.423462,17,113.210025
80.820862,100,135.82529
74.10874,100,158.422663
22.711317,27,164.45944
8.898197,12,167.157367
7.76596,9,169.200723
7.577533,9,171.250111
72.930807,100,193.774088
20.666827,22,198.840733
4.60593,6,200.197041
31.625684,100,222.951677
3.966639,5,224.116366
2.908904,4,225.043257
80.463988,100,247.73112
1.918821,3,248.407577
68.997371,100,271.004418
27.90232,32,278.233678
71.698159,93,299.310452
47.362529,100,321.990663
68.916711,100,344.453087
11.520329,14,347.652486
4.746072,6,349.020115
6.620264,8,350.845171
71.57146,100,373.435809
38.794015,49,384.54552
4.331316,6,385.893988
70.433074,100,408.537163
18.729102,25,414.19713
7.005303,10,416.458269
3.596016,5,417.588698
17.133515,21,422.388695
5.350936,7,423.980638
5.720337,7,425.534082
12.489464,17,429.339501
5.397008,7,430.956423
18.767836,21,435.722535
12.405556,16,439.33058
7.958949,10,441.627443
8.026543,10,443.850741
13.620164,15,447.191379
42.819987,100,478.262098
8.113081,9,480.293468
33.60507,41,489.497253
77.792885,100,512.097588
54.036883,100,534.698843
3.966777,5,535.829745
71.106684,100,558.462851
75.813304,100,580.954735
77.256549,100,603.475689
74.393801,100,626.218281
7.696528,10,628.518285
18.77891,21,633.302233
73.036396,100,655.93392
47.554083,57,668.832215
71.289135,100,691.369751
79.803579,100,714.154575
7.591194,9,716.212773
81.101414,100,738.904099
77.3948,100,761.43109
2.066667,3,762.124436
9.303895,11,764.572502
6.604509,8,766.391629
12.498406,16,770.015135
72.381271,100,792.652361
70.167776,100,815.154896
11.416979,15,818.537869
27.411218,32,825.7223
6.082288,8,827.522172
7.542459,9,829.551226
81.434111,100,851.98223
3.898963,5,853.117969
75.803124,100,875.582811
51.137557,100,898.23321
74.960453,100,920.677211
6.830792,8,922.472454
79.390203,100,953.714489
6.813194,8,955.519614
81.141749,100,978.105471
4.404773,6,979.445302
73.645719,100,1002.012689
76.19979,100,1024.610056
80.149442,100,1047.032929
75.516855,100,1069.598626
80.723893,100,1092.180216
76.917465,100,1114.692627
72.690138,100,1137.258222
76.512261,100,1159.853759
47.943025,62,1173.875077
66.590404,80,1192.051359
75.483833,100,1214.583536
77.063478,100,1237.11145
71.330806,100,1259.615281
73.629531,100,1282.196627
74.877596,100,1304.804537
70.757331,100,1327.320826
79.248819,100,1349.772523
72.229064,100,1372.372093
77.720338,100,1395.018371
77.939378,100,1426.30591
71.84385,100,1448.860132
80.064866,100,1471.386217
79.866926,100,1493.977418
75.426673,100,1516.581092
79.02497,100,1539.006565
77.835748,100,1561.61943
76.453318,92,1582.26405
75.764122,100,1604.941743
81.086189,100,1627.369538
74.775791,100,1649.865168
78.771571,100,1672.477445
77.34407,100,1694.865097
75.857065,100,1717.388665
85.273412,100,1739.979509
84.98639,100,1762.324465
79.94357,100,1785.079744
76.170697,100,1807.651729
59.909207,77,1824.976898
77.393496,100,1847.537069
77.111442,100,1869.957368
77.112242,100,1901.338712
72.91752,100,1923.836345
75.471133,100,1946.465262
80.47509,100,1969.079667
73.011796,100,1991.632175
79.365265,100,2014.190345
79.599143,100,2036.678382
81.826403,100,2059.210973
69.510692,100,2081.759687
73.055328,100,2104.242529
73.176544,100,2126.678417
78.476842,100,2149.264816
74.365806,100,2171.79134
80.422631,100,2194.356042
74.950268,100,2216.965627
77.056891,100,2239.571911
76.268166,100,2262.07384
72.836305,100,2284.537784
76.405154,100,2307.168792
74.877657,100,2329.741436
74.391799,100,2361.25509
78.278065,100,2383.848486
78.785613,100,2406.44399
74.795674,100,2429.011235
79.623013,100,2451.559319
74.486752,100,2474.262595
76.405939,100,2496.826021
72.484285,100,2519.419039
81.565685,100,2542.06621
78.337593,100,2564.71725
75.754548,100,2587.199701
75.525039,100,2609.732591
77.021351,100,2632.231129
73.84288,100,2654.944767
77.629138,100,2677.330897
80.087901,100,2699.862929
79.151075,100,2722.560407
78.658988,100,2745.106484
77.096097,100,2767.630828
77.651212,100,2790.226807
81.575972,100,2812.652193
72.341374,100,2844.037875
80.770245,100,2866.578117
80.920945,100,2889.14296
78.69862,100,2911.759805
72.201837,100,2934.246989
71.446481,100,2957.039093
77.473861,100,2979.865517
78.910257,100,3002.468597
78.166996,100,3025.007962
74.464555,100,3047.736802
73.625656,100,3070.35919
76.838829,100,3093.014563
79.885002,100,3115.49421
79.740824,100,3138.067647
75.056589,100,3160.606506
78.938129,100,3183.271017
78.265842,100,3205.858413
78.164344,100,3228.405703
72.41829,100,3250.985935
74.174139,100,3273.604781
73.712488,100,3304.930864
81.841094,100,3327.507499
73.554543,100,3349.907066
74.087612,100,3372.358598
78.257678,100,3394.930375
80.474134,100,3417.63346
79.480451,100,3440.162832
74.76052,100,3462.736868
75.85111,100,3485.339282
80.002702,100,3508.189229
79.798239,100,3530.621082
74.569634,100,3553.060395
72.943817,100,3575.669634
78.156268,100,3598.410928
72.585271,100,3621.175648
74.345834,100,3643.825216
75.62779,100,3666.347372
83.491567,100,3688.923832
72.69233,100,3711.601048
77.001339,100,3734.178978
79.430779,100,3756.677205
77.389253,100,3787.968452
76.502366,100,3810.741987
79.714046,100,3833.477407
80.753112,100,3856.180826
75.000686,100,3878.806088
74.677797,100,3901.527495
74.320657,100,3924.090735
73.14007,100,3946.65165
74.209032,100,3969.317704
80.95375,100,3991.80839
83.01226,100,4014.41123
77.978334,100,4037.059803
83.224075,100,4059.484786
74.605942,100,4081.84721
80.029152,100,4104.413459
75.672521,100,4127.065467
78.908809,100,4149.880605
75.096828,100,4172.689673
46.368901,56,4185.323205
79.346272,100,4207.939745
82.69828,100,4230.564152
78.092958,100,4262.098976
79.183475,100,4284.683568
77.417969,100,4307.420911
79.605149,100,4330.078743
82.021369,100,4352.569571
75.735212,100,4375.085784
80.234643,100,4397.562088
78.653807,100,4420.19844
79.129927,100,4442.74735
73.326109,100,4465.326334
82.628919,100,4488.041304
82.398613,100,4510.686674
78.043519,100,4533.206508
76.446969,100,4555.682251
77.199851,100,4578.204043
77.720888,100,4600.808209
77.325881,100,4623.453342
74.604556,100,4645.970376
81.597972,100,4668.578362
79.224617,100,4691.180099
79.343146,100,4722.506017
80.528374,100,4745.153772
82.837579,100,4767.669831
83.849924,100,4790.24826
76.874891,100,4812.847989
72.618777,100,4835.613388
26.259317,33,4843.067242
77.587547,100,4865.469306
76.739264,100,4888.354363
78.43823,100,4911.102765
75.716513,100,4933.995256
46.113824,58,4947.242996
80.429248,100,4969.878187
79.038284,100,4992.397438
30.804375,39,5001.24366
76.45219,100,5023.858504
84.820821,100,5046.449661
78.09844,100,5069.26593
83.33672,100,5091.985056
81.004921,100,5114.539046
75.630434,100,5137.348265
81.217956,100,5159.891749
81.962831,100,5191.075417
77.673406,100,5213.723512
78.673974,100,5236.216232
80.102837,100,5258.810325
78.493128,100,5281.399974
79.177729,100,5304.028203
77.574682,100,5326.618536
82.201935,100,5348.924537
76.899638,100,5371.49526
82.680261,100,5394.124839
32.879291,40,5403.146779
82.941993,100,5425.430501
79.991276,100,5447.972422
82.762328,100,5470.53521
82.777678,100,5493.245494
81.99449,100,5515.887003
7.347909,9,5517.90851
77.986456,100,5540.639092
80.801675,100,5562.86923
82.428268,100,5585.074806
80.099162,100,5607.284995
83.578012,100,5629.779821
81.568964,100,5661.241569
31.720428,37,5669.635961
83.400328,100,5692.399646
78.749324,100,5714.951859
78.272592,100,5737.387989
80.978369,100,5759.943912
73.87843,100,5782.620603
83.584097,100,5805.231619
82.290522,100,5827.824248
84.269665,100,5850.359969
79.058881,100,5872.854275
80.870467,100,5895.393121
76.488346,100,5918.000302
76.742522,100,5940.502589
86.59348,100,5963.181769
78.365671,100,5985.859549
82.125476,100,6008.354236
76.721994,100,6030.916906
75.247765,100,6053.497016
80.197141,100,6076.247542
83.572724,100,6098.981171
78.682681,100,6130.367895
72.002124,100,6153.014824
80.838551,100,6175.805548
77.027181,100,6198.453233
80.685035,100,6221.044593
77.212018,100,6243.590842
78.406014,100,6266.342558
78.17566,100,6289.063648
80.203708,100,6311.934578
75.834665,100,6334.760752
82.535202,100,6357.547338
1.624331,3,6358.242235
82.753784,100,6381.118781
85.777268,100,6403.709013
82.327324,100,6426.22094
78.574857,100,6448.784669
77.755189,100,6471.420411
81.04663,100,6494.006813
77.990427,93,6515.117023
85.084178,100,6537.626338
78.925537,100,6560.290352
81.380457,100,6582.913167
81.290272,100,6614.241365
78.791585,100,6636.893591
85.072536,100,6659.388744
81.396765,100,6682.033612
80.572411,100,6704.578879
76.194437,100,6727.401713
81.877945,100,6750.014424
78.422478,100,6772.672465
77.326385,100,6795.278914
78.469407,100,6817.86322
79.113509,100,6840.472856
84.447247,100,6863.199871
83.787044,100,6886.012522
84.537371,100,6908.742703
82.62068,100,6931.435344
79.13798,100,6954.057522
83.273639,100,6976.700176
81.47065,100,6999.622334
79.457984,100,7022.600676
80.319771,100,7045.399936
81.246773,100,7077.082202
81.887991,100,7099.830278
82.949972,100,7122.637029
81.191844,100,7145.551045
84.223669,100,7168.233615
79.767226,100,7190.766542
84.966953,100,7213.43666
79.801093,100,7236.0175
80.357639,100,7258.669835
82.604903,100,7281.37253
80.403293,100,7303.885271
81.305714,100,7326.522433
79.592316,100,7349.298523
83.544341,100,7372.122241
83.212042,100,7394.895892
81.063473,100,7417.540929
85.098324,100,7440.255061
79.149856,100,7463.109573
83.816541,100,7485.939323
79.625885,100,7508.892869
81.148722,100,7531.611379
83.67741,100,7563.21693
80.843019,100,7585.994658
80.914555,100,7608.759937
81.169341,100,7631.430905
83.949646,100,7654.027027
79.920279,100,7676.925763
81.926297,100,7699.747874
81.774318,100,7722.400631
80.216812,100,7745.065131
81.789665,100,7767.69301
77.767531,100,7790.520424
78.928529,100,7813.183536
82.509136,100,7835.732638
83.127595,100,7858.287328
78.648163,100,7880.972824
77.983449,100,7903.659672
83.698562,100,7926.370489
82.64222,100,7949.159176
83.745193,100,7971.935644
24.21914,31,7979.012215
83.741425,100,8001.750257
81.479034,100,8033.091174
84.057149,100,8055.694732
82.05845,100,8078.327562
84.231174,100,8101.133275
83.493788,100,8123.779783
84.017265,100,8146.311219
79.051504,100,8169.088173
81.90271,100,8191.972142
83.361225,100,8214.496469
86.498506,100,8236.880805
86.148678,100,8259.547797
80.310035,100,8282.405219
84.485551,100,8305.135263
82.021346,100,8327.685542
83.853571,100,8350.440969
76.776597,100,8373.103168
83.024653,100,8395.727881
79.611908,100,8418.295797
78.743181,100,8441.096876
77.951669,100,8464.014482
85.774409,100,8495.098163
81.634025,100,8517.706382
80.595119,100,8540.387788
82.861667,100,8563.281573
84.438709,100,8586.157171
85.339362,100,8608.960537
85.139186,100,8631.509929
82.550271,100,8654.196985
82.392592,100,8676.862643
81.850587,100,8699.690443
86.090714,100,8722.353011
83.726356,100,8744.906017
81.795854,100,8767.575555
84.894162,100,8790.345664
86.115535,100,8813.085554
77.992343,100,8835.867517
85.452405,100,8858.752276
84.638861,100,8881.35499
81.361442,100,8903.852525
82.659995,100,8926.902621
83.360625,100,8949.526754
83.577214,100,8980.864802
80.524645,100,9003.472081
87.750003,100,9026.164325
86.861471,100,9048.820186
81.798063,100,9071.201457
83.041789,100,9093.759541
85.232004,100,9116.512225
87.422897,100,9139.055023
86.602143,100,9161.574743
82.799796,100,9183.95194
81.982132,100,9206.222347
84.41901,100,9228.707802
79.976977,100,9250.876865
83.88698,100,9273.057095
84.701961,100,9295.25
79.520351,100,9317.535065
86.169502,100,9339.751937
84.149939,100,9362.018096
85.645896,100,9384.326644
82.717674,96,9405.688732
87.178891,100,9436.336442
80.061917,100,9458.51467
83.846123,100,9480.844536
84.876724,100,9503.019907
80.159809,100,9525.513557
23.690286,31,9532.316455
82.50114,100,9554.428637
83.76992,100,9576.652583
85.052068,100,9598.793042
80.411694,100,9620.868408
83.986652,100,9643.190002
83.220653,100,9665.067039
81.798683,100,9687.240087
85.147407,100,9709.430331
85.264615,100,9731.602486
86.370377,100,9753.647194
21.418923,27,9759.638228
79.597991,100,9781.699291
79.963164,100,9803.799074
80.694238,100,9826.057635
78.529655,100,9848.204954
33.379219,44,9857.938955
82.410242,100,9880.121465
78.576818,100,9910.748698
83.994023,100,9932.667552
84.443611,100,9954.705102
83.935185,100,9977.073201
81.703856,100,9999.399387
78.594117,100,10021.612045
81.646223,100,10043.736542
84.128616,100,10065.767461
83.265704,100,10088.099688
85.828284,100,10110.177399
83.198267,100,10132.168804
86.789227,100,10154.350243
86.186007,100,10176.514822
84.347055,100,10198.504206
87.297931,100,10220.589309
84.300891,100,10242.647749
85.716927,100,10264.853937
85.980293,100,10287.072522
80.496118,100,10308.912353
84.810031,100,10330.950152
88.025388,100,10361.180127
86.323772,100,10383.343305
84.253879,100,10405.419103
17.060306,22,10410.353987
86.944901,100,10432.256025
79.562477,100,10454.349418
83.446586,100,10476.47224
82.026853,100,10498.536203
80.997723,100,10520.603739
82.698502,100,10542.719228
79.887668,100,10564.728683
85.499073,100,10586.958948
85.215469,100,10608.849189
86.151218,100,10631.218375
86.057589,100,10653.466025
82.682145,100,10675.712361
87.170048,100,10697.855511
79.581781,100,10719.905516
83.241919,100,10742.207654
82.766837,100,10764.33759
82.090507,100,10786.400976
85.110282,100,10808.446663
83.44201,100,10839.616998
80.840143,100,10861.718103
80.696157,100,10883.841477
83.695606,100,10905.923894
82.386537,100,10927.9737
46.231165,54,10939.998796
82.696319,100,10961.99604
83.051472,100,10984.150699
87.904758,100,11006.156176
85.654221,100,11028.231842
87.839036,100,11050.333519
