#{"t_start": 1770820413.9253087, "env_id": "highway-v0"}
r,l,t
55.432391,68,15.118235
15.333333,16,18.646759
17.937802,22,23.527823
28.299624,140,54.463998
62.0,140,85.573548
10.309721,12,88.263249
55.826776,140,119.456765
17.546942,23,124.602745
23.843213,28,130.876704
65.467954,140,162.178763
100.477297,140,193.388469
8.227845,10,195.627075
2.875187,4,196.527558
9.253726,10,198.764815
18.344687,21,203.462488
6.320715,7,205.024965
28.867627,36,213.059812
3.893338,5,214.181396
22.31783,30,220.873515
32.493621,40,229.891747
5.931295,8,231.69386
108.486242,140,262.912155
22.042563,27,268.930962
5.868704,7,270.476305
79.235175,140,301.623337
13.259493,15,304.926144
4.500762,6,306.248549
33.422222,140,337.394358
23.422222,140,368.577149
2.124058,3,369.255892
16.480844,18,373.257603
59.790983,72,389.359089
30.67494,41,398.47766
3.763271,5,399.586597
13.737809,17,403.372695
10.353803,12,406.085287
10.105996,12,408.782066
18.008275,23,413.861716
7.248066,9,415.889422
104.328673,140,447.032855
84.182795,140,486.409239
1.736142,3,487.083078
97.333817,118,513.395251
98.487062,115,539.004278
4.919987,6,540.36315
7.202655,9,542.381155
3.655926,5,543.499417
17.560177,21,548.17013
77.957634,96,569.622265
10.921247,14,572.757097
35.624579,45,582.807935
3.764898,5,583.923746
43.841474,51,595.3348
1.65799,3,596.011108
109.19513,140,627.180727
6.514576,9,629.19142
103.790267,127,657.572841
107.787649,140,688.818311
100.281415,140,720.057241
106.183505,140,751.114982
1.191946,2,751.574483
54.411977,65,765.91934
34.589576,43,775.465914
36.692642,43,784.989036
37.305347,140,815.950105
57.465536,140,846.950633
8.537046,12,849.622294
115.800646,140,880.465091
75.956123,93,901.182175
96.203975,116,934.702408
101.378157,140,965.618598
113.069051,140,996.484376
106.740619,140,1027.333153
19.562268,25,1032.845385
28.907839,36,1040.72074
8.16164,10,1042.914087
107.294578,140,1073.709481
104.876997,140,1104.553227
113.212872,140,1135.337404
94.67265,140,1166.182245
105.700354,140,1196.926058
113.758162,140,1227.855046
109.843305,140,1258.8661
111.048365,140,1289.748166
111.389526,140,1320.664941
112.007544,140,1351.461612
115.441378,140,1390.319564
107.147882,140,1421.233951
105.636412,140,1452.07283
111.690586,140,1483.060144
111.895848,140,1513.996734
112.301142,140,1544.854078
110.048464,140,1575.663273
104.643631,140,1606.52788
108.37897,140,1637.406538
113.909816,140,1668.410351
95.323735,140,1699.152689
100.644533,140,1729.985823
110.680684,140,1760.840901
1.950979,3,1761.505631
101.235912,140,1792.224546
108.483747,140,1822.985853
111.83678,140,1861.926757
111.989896,140,1892.908528
104.270718,140,1923.974869
57.859349,75,1940.546587
108.661845,140,1971.431515
112.125921,140,2002.406497
110.52599,140,2033.498983
104.299864,140,2064.441014
116.04641,140,2095.419557
102.879425,140,2126.344406
109.193169,140,2157.278143
108.526956,140,2188.02434
104.232958,140,2218.883633
111.884197,140,2249.650338
106.412006,140,2280.489423
111.72209,140,2319.581716
106.123974,140,2350.527062
55.744951,73,2366.722259
105.948352,140,2397.77888
105.72378,140,2428.762818
114.014851,140,2459.6384
102.945499,140,2490.469722
101.387713,140,2521.280858
107.615521,140,2552.184483
112.740423,140,2583.043555
110.229348,140,2613.758146
107.248992,140,2644.521265
108.495302,140,2675.298875
111.176395,140,2706.041947
114.692068,140,2736.871844
98.198845,140,2775.796585
109.808346,140,2806.552313
109.756165,140,2837.343235
108.071593,140,2868.139731
105.155051,140,2899.003681
2.05403,3,2899.680173
112.544951,140,2930.283674
113.428502,140,2961.011286
110.545135,140,2991.652924
112.230745,140,3022.403812
109.974904,140,3053.131527
112.247667,140,3083.84997
115.956732,140,3114.525013
114.66059,140,3145.388265
112.876279,140,3176.158652
111.009499,140,3206.905796
111.325764,140,3245.718564
116.684624,140,3276.442333
114.775318,140,3307.322953
109.594926,140,3338.051459
114.378433,140,3368.693428
112.332335,140,3399.484772
112.516364,140,3430.479553
110.624784,140,3461.115254
111.050781,140,3491.732015
116.562366,140,3522.175558
114.354927,140,3552.819051
108.057634,140,3583.38756
110.915932,140,3613.921732
116.616123,140,3644.547989
115.676981,140,3683.24231
114.452584,140,3713.833975
107.458148,140,3744.413069
109.383041,140,3775.062438
112.508692,140,3805.605459
113.736487,140,3836.065887
111.254968,140,3866.723197
112.001867,140,3897.209769
106.444398,140,3927.734082
114.447256,140,3958.372808
115.1697,140,3988.772509
114.353676,140,4019.297673
110.530239,140,4049.841739
48.644966,59,4062.750961
83.068838,106,4085.902477
101.117924,140,4116.440174
115.449325,140,4155.096688
109.930364,140,4185.732824
114.998758,140,4216.279245
106.475859,140,4246.982733
115.585249,140,4277.661823
109.690598,140,4308.254892
111.339198,140,4338.738267
115.229181,140,4369.169848
113.771251,140,4399.606053
114.241138,140,4430.112542
108.941783,140,4460.674819
108.1763,140,4491.18531
90.068404,104,4513.860558
115.435318,140,4544.538749
105.024396,140,4575.152515
116.49518,140,4613.854754
110.174102,140,4644.474432
111.599118,140,4674.964977
1.826706,3,4675.622879
113.246654,140,4706.096233
113.008069,140,4736.402616
112.637454,140,4766.894577
107.322039,140,4797.441419
115.475951,140,4827.856431
112.462932,140,4858.433528
109.634457,140,4888.994032
115.570229,140,4919.711347
116.744448,140,4950.23431
116.258703,140,4980.887087
115.9667,140,5011.405956
111.734264,140,5050.086102
112.668806,140,5080.561058
109.71211,140,5111.228541
117.980811,140,5141.666467
109.672903,140,5172.089557
117.610155,140,5202.532295
115.702343,140,5233.148302
116.390212,140,5263.685092
110.508446,140,5294.261824
113.908431,140,5324.692157
117.745334,140,5355.147782
116.904089,140,5385.699303
115.715138,140,5416.138272
114.476086,140,5446.729665
109.241581,140,5477.303055
116.208449,140,5515.902706
113.142923,140,5546.336315
108.83725,140,5576.855083
114.564637,140,5607.304287
34.818585,42,5616.461703
113.363371,140,5647.088301
108.585473,140,5677.644574
113.622748,140,5708.357345
117.982698,140,5738.951836
112.67107,140,5769.572851
116.216506,140,5799.974665
113.710136,140,5830.639037
118.966703,140,5861.359561
118.899859,140,5891.971177
112.276868,140,5922.477683
116.156025,140,5960.957496
108.511845,140,5991.506716
111.651714,140,6022.009992
109.644898,140,6052.600247
111.557189,140,6083.152149
119.911309,140,6113.804247
