#{"t_start": 1770809920.3088648, "env_id": "highway-v0"}
r,l,t
73.914258,100,22.36556
46.405723,100,44.511365
14.954481,16,48.091541
12.201641,15,51.451694
1.082147,2,51.911566
4.541335,6,53.254333
71.607879,100,75.537611
56.177316,66,90.187374
62.541987,100,112.573777
66.666667,100,134.942155
17.882992,21,139.646305
5.472916,7,141.203041
16.618027,20,145.684904
6.049532,8,147.49484
15.657626,19,151.817526
73.731776,100,174.090263
9.710499,11,176.555182
12.723179,16,180.120392
7.169771,10,182.355802
67.330779,84,201.228233
1.903416,3,201.900115
19.337658,22,206.863464
73.532371,100,229.477801
76.383107,97,251.172261
41.853641,52,262.875756
12.682516,15,266.23392
7.732202,9,268.254807
14.383765,18,272.337249
71.127944,100,294.81701
4.789343,6,296.160791
3.848783,5,297.291563
38.478885,100,319.825113
73.42308,100,342.320069
6.984043,8,344.105458
26.147249,31,351.046771
74.850043,100,373.530054
22.459167,28,379.839559
70.398677,100,402.263544
10.760028,13,405.179486
67.606597,100,427.533755
7.463507,10,429.783868
79.217363,100,452.083966
85.036437,100,482.229018
74.829851,100,504.625868
11.814041,15,507.992429
69.484926,100,530.26654
40.00525,100,552.565898
68.857934,100,574.899252
76.053843,100,597.28054
4.079671,5,598.407195
3.982725,5,599.529033
8.933044,12,602.196451
71.687236,100,624.686195
37.135932,44,634.543188
4.62456,6,635.876378
77.73191,100,658.214653
9.047467,11,660.693329
35.099977,46,670.929222
5.247376,6,672.285421
6.864628,8,674.096644
7.253973,9,676.160755
23.866902,30,682.893485
6.271689,8,684.739327
8.783826,12,687.478954
67.137453,100,709.852834
21.557078,26,715.625411
26.062116,100,738.058572
25.509792,33,745.458954
9.751067,12,748.110993
78.404549,100,770.509367
81.948755,100,792.907121
60.391637,75,809.528498
66.827482,100,831.827889
50.700869,63,845.800266
78.179984,100,868.015313
7.328621,9,870.034943
12.088863,15,873.394356
32.982556,43,883.05029
77.649088,100,905.330037
68.895719,100,935.78126
78.007473,100,958.153282
74.216775,100,980.634017
77.089638,100,1003.059592
13.010651,18,1007.092254
75.366649,100,1029.368056
73.174008,100,1051.653943
79.802995,100,1073.926503
79.529423,100,1096.251274
78.80312,100,1118.512514
76.585594,100,1140.993833
81.001524,100,1163.300869
42.554047,51,1174.694439
6.407313,9,1176.707695
73.52335,100,1199.053534
78.151607,100,1221.359967
9.121993,10,1223.598233
80.745848,100,1245.899264
59.950344,100,1268.066184
71.96951,100,1290.472416
77.550945,100,1312.822946
6.982657,9,1314.822941
73.813121,100,1337.050913
82.722006,100,1359.342089
73.242916,100,1381.670605
74.199441,100,1412.052776
73.723061,100,1434.381685
73.177197,100,1456.815193
80.830372,100,1479.237795
3.723454,5,1480.347502
71.387991,100,1502.648956
79.792307,100,1525.023963
72.312195,100,1547.297196
82.345703,100,1569.681532
78.188452,100,1591.953364
78.57747,100,1614.14013
69.861533,100,1636.4799
76.041133,100,1658.747987
80.470486,100,1680.983238
80.568765,100,1703.28157
76.233277,100,1725.618721
72.04031,100,1747.985211
75.717893,100,1770.192192
71.65976,100,1792.50201
76.987444,100,1814.831686
48.686597,62,1828.663233
76.655416,100,1850.961982
79.475416,100,1881.151976
70.422808,100,1903.513931
1.881387,3,1904.179256
78.614783,100,1926.505098
71.959701,100,1948.738323
79.925645,100,1971.0094
72.27438,100,1993.323632
9.005944,12,1996.038202
70.977584,100,2018.444149
71.656835,100,2040.800038
70.837748,100,2063.211453
71.603635,100,2085.534503
76.272405,100,2107.835235
73.475532,100,2130.269825
74.536167,100,2152.506668
81.385138,100,2174.864212
76.349982,100,2197.136084
74.317897,100,2219.277474
71.43518,100,2241.356101
77.910286,100,2263.599094
80.417193,100,2285.976656
78.418326,100,2308.342545
78.150607,100,2338.857051
76.144077,100,2361.17692
71.201199,100,2383.429589
75.04933,100,2405.784063
75.819111,100,2428.178328
75.556861,100,2450.399515
75.105818,100,2472.647449
79.060429,100,2494.924016
74.701042,100,2517.424512
1.663668,3,2518.097907
79.508921,100,2540.366201
75.371928,100,2562.677971
75.742834,100,2584.957348
73.718816,100,2607.297431
75.311093,100,2629.67266
76.891559,100,2651.952854
74.403582,100,2674.100746
80.770846,100,2696.38777
79.838519,100,2718.749137
75.50095,100,2740.916575
78.207385,100,2763.211819
76.280769,100,2793.758925
75.556535,100,2816.104032
83.119739,100,2838.498914
78.568318,100,2860.689171
77.362789,100,2883.050094
73.876263,100,2905.41039
74.806401,100,2927.797106
27.801026,32,2934.990886
75.528666,100,2957.390307
75.206498,100,2979.740137
71.503869,100,3002.078173
79.748265,100,3024.518776
82.839742,100,3046.905299
78.913472,100,3069.306289
77.308969,100,3091.679279
78.772404,100,3114.08598
75.469785,100,3136.2183
80.040637,100,3158.371402
3.555231,5,3159.48668
78.688577,100,3181.66213
80.067731,100,3203.758311
75.615321,100,3225.89558
79.404046,100,3248.03776
77.930321,100,3278.491804
77.870185,100,3300.689143
76.071638,100,3323.080232
78.406593,100,3345.302948
76.35117,100,3367.687259
4.18753,6,3369.027492
78.575399,100,3391.259232
71.647337,100,3413.562443
80.530641,100,3435.958607
78.884719,100,3458.267089
74.964819,100,3480.56378
80.094185,100,3502.85884
77.830065,100,3525.183569
3.642002,5,3526.30831
74.354398,100,3548.623518
77.966942,100,3570.860821
77.020282,100,3592.989171
75.151256,100,3615.228955
78.393273,100,3637.552907
79.463157,100,3659.732311
75.59869,100,3682.016084
76.757977,100,3704.446578
78.87244,100,3734.954134
76.213183,100,3757.217394
81.189005,100,3779.519548
81.419229,100,3801.706908
76.695831,100,3823.986584
77.382318,100,3846.246088
2.543129,4,3847.148446
79.283582,100,3869.582572
77.113983,100,3891.83889
76.518205,100,3914.127825
76.259208,94,3935.134643
79.116311,100,3957.435408
75.834937,100,3979.718019
80.389395,100,4001.955909
78.825074,100,4024.109794
83.857158,100,4046.201157
73.458473,100,4068.431261
75.926114,100,4090.568973
84.47731,100,4112.690474
79.744868,100,4134.839802
77.53049,100,4157.186601
77.682627,100,4187.53504
79.600507,100,4209.698619
76.240707,100,4231.921863
74.853474,100,4254.190176
78.493536,100,4276.684054
81.345343,100,4298.987983
74.422536,100,4321.325287
78.041129,100,4343.509718
80.685896,100,4365.569068
78.783516,100,4387.689664
78.741397,100,4409.856299
80.326729,100,4432.001373
76.176191,100,4454.068973
73.182967,100,4476.057664
81.119211,100,4498.109265
82.776301,100,4520.320936
79.773801,100,4542.512394
75.804459,100,4564.624897
71.078886,87,4583.998273
80.379903,100,4606.144538
65.742232,82,4624.331062
80.89516,100,4654.346563
81.289616,100,4676.379776
74.926295,100,4698.498272
80.192094,100,4720.665067
76.910636,100,4742.763277
74.98599,100,4764.838413
78.405625,100,4787.036663
75.937145,100,4809.203665
79.117844,100,4831.46917
83.662155,100,4853.594741
79.892831,100,4875.812403
76.107489,100,4898.09552
78.128977,100,4920.341883
84.68431,100,4942.303689
78.563363,100,4964.577692
81.204906,100,4986.84952
80.128069,100,5009.078204
75.306786,100,5031.194285
78.674482,100,5053.413745
78.205948,100,5075.51658
80.256309,100,5097.657774
81.466026,100,5127.958374
77.88683,100,5150.12619
74.89657,100,5172.414112
81.88221,100,5194.522052
79.176595,100,5216.739334
79.072277,100,5238.892921
78.848452,100,5261.069965
82.474809,100,5283.196214
77.390119,100,5305.300652
78.160959,100,5327.36342
75.106445,100,5349.476278
83.449976,100,5371.607054
78.761112,100,5393.635644
2.283927,4,5394.513547
84.494058,100,5416.511342
80.615562,100,5438.541223
80.943468,100,5460.665939
77.989281,100,5482.826795
79.756089,100,5505.017749
76.030037,100,5527.149018
82.751,100,5549.24508
78.804024,100,5579.481481
82.615169,100,5601.729134
83.796055,100,5623.829897
83.899061,100,5645.977002
76.03459,100,5668.105755
74.350221,100,5690.174492
77.854908,100,5712.425544
79.205442,100,5734.536904
80.428131,100,5756.681732
81.351509,100,5778.751977
86.237826,100,5800.956203
77.570633,100,5823.003902
85.841779,100,5844.995884
75.764621,100,5866.776839
82.332711,100,5888.604696
77.284464,100,5910.440981
82.054241,100,5932.362947
84.19678,100,5954.213705
81.064084,100,5976.073658
79.493297,100,5997.991917
80.609256,100,6019.923012
79.807088,100,6049.818771
83.01518,100,6071.652489
80.702845,100,6093.544548
80.242414,100,6115.459643
76.894391,100,6137.411273
82.088335,100,6159.263316
79.268814,100,6181.04756
83.669546,100,6202.890527
79.811685,100,6224.797331
78.471017,100,6246.754253
81.566686,100,6268.680557
82.074954,100,6290.489905
84.803289,100,6312.344604
79.068359,100,6334.2167
81.264883,100,6356.015926
85.757407,100,6377.858304
83.637091,100,6399.638652
86.672744,100,6421.558953
84.721801,100,6443.426373
79.185273,100,6465.321681
84.541986,100,6495.264081
76.344108,100,6517.180793
81.416407,100,6539.050742
80.389514,100,6560.921303
84.76324,100,6582.873636
81.416457,100,6604.644547
78.136187,100,6626.497607
83.480862,100,6648.490026
81.094606,100,6670.35485
80.803015,100,6692.382931
80.030598,100,6714.33817
84.658857,100,6736.268521
83.831472,100,6758.267453
78.718725,100,6780.181329
82.888691,100,6802.221882
79.611902,100,6824.290514
84.385603,100,6846.214299
80.692377,100,6868.08248
79.639736,100,6890.134581
80.753559,100,6912.062148
82.276452,100,6934.013427
81.742562,100,6963.921806
83.418954,100,6985.910872
85.742011,100,7007.800542
86.32511,100,7029.932216
79.969178,100,7051.817538
86.35686,100,7073.726583
82.008021,100,7095.562872
85.172784,100,7117.575991
78.652714,100,7139.505257
23.091741,27,7145.421129
83.684292,100,7167.388446
79.302185,100,7189.446676
78.420402,100,7211.352167
83.385436,100,7233.516409
84.206958,100,7255.582982
80.730817,100,7277.528033
83.566292,100,7299.502741
81.934184,100,7321.337588
85.042178,100,7343.233266
82.745989,100,7365.093307
79.882323,100,7386.966955
85.193747,100,7416.995154
80.908796,100,7438.9453
9.961241,12,7441.632358
85.433859,100,7463.584892
79.516686,100,7485.675417
79.034956,100,7507.673801
82.991532,100,7529.668447
46.560914,54,7541.506139
84.232323,100,7563.325953
86.760151,100,7585.213078
19.825976,23,7590.258174
84.57162,100,7612.209103
