#{"t_start": 1770780801.2440965, "env_id": "highway-v0"}
r,l,t
68.963525,100,23.893413
70.154217,100,48.285345
20.450274,26,54.540057
5.679457,7,56.193506
7.602201,11,58.835618
28.516593,31,65.978953
39.77963,49,77.442539
15.716576,19,81.763933
7.47174,9,83.853701
26.863895,34,92.118016
77.65764,100,116.3843
6.066667,7,118.054194
8.628139,10,120.420645
25.628742,31,127.808709
7.507401,9,129.975236
1.244444,2,130.460976
6.478654,8,132.405277
75.589045,100,156.332697
9.16792,12,159.195605
69.589544,100,183.377475
43.269536,100,207.475251
13.581676,15,211.084343
40.315259,47,222.322963
72.123143,100,246.386161
59.271081,100,270.531588
20.476436,23,276.073339
52.904201,100,300.303533
15.967376,21,305.370017
76.867477,100,329.694804
9.695305,12,332.577115
28.763074,34,340.784118
71.688291,100,365.109388
79.205596,100,389.64735
5.832562,7,391.350234
76.839607,100,415.659554
21.055786,28,422.449434
21.685666,24,428.266021
1.006149,2,428.762139
6.92621,8,430.71287
10.793404,12,433.69145
10.011401,11,436.359176
8.406924,11,439.047518
23.336688,30,446.304578
3.066667,4,447.281779
2.0,3,448.017844
4.623053,7,449.710895
77.736501,100,473.894197
2.0,3,474.639265
3.066667,4,475.610869
6.581135,8,477.567726
75.466872,100,509.049098
11.657618,13,512.155969
10.87128,12,515.041564
7.188391,9,517.165076
45.656744,100,540.857945
2.522487,4,541.80715
4.37092,6,543.250125
69.750846,100,567.20607
75.708784,100,591.321972
16.293721,21,596.346617
14.627713,18,600.676328
72.934521,100,624.643075
2.628028,4,625.614658
73.89896,100,649.589244
9.236571,11,652.203452
1.990819,3,652.914089
67.301952,100,676.786756
75.972049,100,700.927431
78.398374,100,724.971323
2.916581,4,725.937474
78.299841,100,749.976696
7.677529,10,752.380724
79.550705,100,776.370122
57.102317,75,794.422953
66.159056,81,814.125367
19.982249,27,820.61016
8.889716,12,823.517743
1.708171,3,824.243459
2.329019,3,824.967271
10.997202,14,828.315417
73.981314,100,852.12484
71.520442,100,876.434652
75.742115,100,900.523837
8.330553,10,902.945404
6.364661,8,904.883451
7.431095,9,907.048141
83.04507,100,931.155267
7.476773,10,933.593912
79.653635,100,957.893802
7.814572,9,960.073065
82.579797,100,984.197966
15.563929,19,988.792125
78.759633,100,1020.123257
73.908303,100,1044.337673
78.507225,100,1068.41085
76.281785,100,1092.514932
78.322751,100,1116.75947
2.472855,4,1117.726059
73.128344,100,1141.875796
75.544217,100,1166.00247
71.831818,89,1187.427184
45.591796,59,1201.883687
74.724158,100,1225.928184
81.316018,100,1250.07718
61.65351,79,1269.114189
75.752454,100,1293.22523
51.89303,61,1307.956028
0.937441,2,1308.439192
82.288265,100,1332.237182
77.761745,100,1356.129191
7.529057,9,1358.335857
72.370616,87,1379.226454
69.918744,100,1403.447595
75.464794,100,1427.734506
49.867841,61,1442.452832
74.814245,100,1466.707721
84.282167,100,1490.839548
78.260001,100,1522.683933
73.86746,100,1546.854493
77.135055,100,1570.967149
74.544705,100,1595.129678
18.417905,21,1600.283268
76.40834,100,1624.437609
79.19843,100,1648.415481
76.074521,100,1672.630262
2.908671,4,1673.588157
64.284761,80,1692.779828
74.275868,100,1717.095098
4.657137,6,1718.553684
76.331821,100,1742.824276
78.385664,100,1766.945662
73.703718,100,1791.080348
68.856625,100,1814.948163
78.095701,100,1839.082517
75.974784,100,1863.279841
73.5857,100,1887.709195
76.28273,100,1911.951753
78.785709,100,1936.337264
74.080781,100,1960.397024
75.909868,100,1984.238685
81.295786,100,2016.015811
