#{"t_start": 1770827098.310314, "env_id": "highway-v0"}
r,l,t
10.066667,140,30.615648
1.4,140,61.146511
3.8,140,91.651277
13.222222,140,122.060891
13.880852,140,152.54107
6.377778,140,182.959813
3.834184,140,213.593974
9.552831,140,244.027337
8.854607,140,274.531389
12.716874,140,305.048248
2.844444,140,335.637544
5.167921,140,366.033483
14.062754,140,396.471652
31.977778,140,426.932748
15.063146,140,465.294126
3.021072,140,495.650346
0.666667,140,526.063028
12.243426,140,556.570089
6.222222,140,587.194447
6.514084,140,617.720066
11.155556,140,648.271102
2.207405,140,678.981007
14.111111,140,709.351015
2.688889,140,740.084723
2.93479,140,770.586987
2.866667,140,801.10675
30.660461,140,831.955932
0.0,140,862.282426
5.652636,140,892.946482
0.0,140,931.256099
4.7062,140,961.89768
8.647575,140,992.600515
12.108349,140,1023.096801
15.682296,140,1053.670467
5.644444,140,1084.194621
11.977778,140,1114.759382
12.827917,140,1145.563611
2.777778,140,1176.255716
15.861583,140,1207.096311
4.2,140,1237.495509
9.161014,140,1267.839268
7.891498,140,1298.262736
5.740838,140,1328.737318
14.711518,140,1367.283344
0.711111,140,1397.755151
15.942158,140,1428.476234
8.692299,140,1459.096953
18.883803,140,1489.426337
12.622222,140,1520.258243
5.725851,140,1550.869585
0.858298,140,1581.311076
7.311111,140,1611.943827
21.711111,140,1642.545424
15.111111,140,1673.110596
12.511111,140,1703.732832
23.326085,140,1734.414154
6.311111,140,1765.005498
4.380439,140,1795.583566
9.355556,140,1834.195627
8.488889,140,1864.824433
10.143058,140,1895.260254
17.267288,140,1925.790188
28.911111,140,1956.350299
2.2,140,1986.861331
2.949594,140,2017.522924
25.271956,140,2048.120121
9.664527,140,2078.774188
19.755556,140,2109.354501
16.788577,140,2139.834374
10.775704,140,2170.20594
12.396018,140,2200.809005
1.50075,140,2231.33428
9.822222,140,2261.880136
15.267499,140,2300.683288
25.982365,140,2331.597118
5.017409,140,2362.466451
2.822222,140,2393.147946
10.707262,140,2424.120184
0.0,140,2455.153934
23.565078,140,2486.074642
15.514217,140,2516.771882
22.767835,140,2547.301367
8.531867,140,2578.759966
4.644444,140,2609.737506
4.155556,140,2640.616371
5.845874,140,2671.623036
2.155556,140,2702.438853
4.359564,140,2741.363369
14.888889,140,2772.381545
15.563373,140,2803.198819
19.772496,140,2834.181363
20.957188,140,2864.989001
15.838249,140,2896.02128
26.835308,140,2927.118327
13.888889,140,2958.073822
29.055488,140,2989.011725
2.8,140,3019.997146
20.440131,140,3050.816574
18.499244,140,3081.694847
18.822222,140,3112.653478
7.555556,140,3143.646195
18.444444,140,3174.599283
11.644444,140,3213.670779
11.288889,140,3244.59383
25.910963,140,3275.591346
32.252504,140,3306.469998
26.907141,140,3337.505474
21.933688,140,3368.397412
26.305491,140,3399.331052
20.038046,140,3430.416731
22.034276,140,3461.466833
12.573659,140,3492.312752
32.066667,140,3523.453422
17.678065,140,3554.398799
7.36116,140,3585.296966
2.777778,140,3616.274347
25.311111,140,3647.539683
39.272664,140,3686.631703
29.533333,140,3717.532336
46.37566,140,3748.467424
34.337207,140,3779.267848
36.951482,140,3810.160635
51.488889,140,3841.197715
33.208887,140,3872.122366
24.805645,140,3903.239445
28.406473,140,3934.293138
33.648471,140,3965.064337
25.870754,140,3995.775481
37.499658,140,4026.346435
19.179983,140,4057.025917
20.822222,140,4087.740251
44.789166,140,4126.545727
52.98435,140,4157.673862
42.178596,140,4188.693481
47.314308,140,4219.534299
37.973853,140,4250.616478
40.993984,140,4281.669695
32.911771,140,4312.468359
41.577778,140,4343.330615
37.552579,140,4374.242681
16.841796,140,4405.085349
9.133333,140,4436.075003
34.488889,140,4467.114509
44.332941,140,4498.031908
37.141059,140,4529.001122
56.658121,140,4560.007177
38.182861,140,4599.01517
33.264938,140,4630.216421
41.488889,140,4661.339988
43.466667,140,4692.500028
57.229821,140,4723.634339
41.755556,140,4754.60232
50.156046,140,4785.58268
43.4,140,4816.660408
43.557784,140,4847.613417
30.280926,140,4878.228876
58.888889,140,4908.940246
14.737531,140,4939.77735
40.191781,140,4970.466779
37.475793,140,5001.143916
32.555556,140,5040.12633
52.45235,140,5071.141181
54.599733,140,5102.175727
53.555556,140,5133.287924
49.222222,140,5164.544918
50.933333,140,5196.01289
40.644444,140,5226.96174
55.19307,140,5257.884166
62.466667,140,5288.737521
40.632539,140,5319.657304
61.484639,140,5350.686379
58.782829,140,5381.716437
65.333333,140,5412.628865
41.7324,140,5443.493764
52.533333,140,5474.330978
54.655699,140,5513.353387
41.809823,140,5544.284488
51.612348,140,5575.406594
59.386717,140,5606.207972
48.373779,140,5637.334655
55.48989,140,5668.243061
58.577778,140,5699.016985
47.108579,140,5730.103922
69.511111,140,5761.00937
42.822222,140,5791.765718
69.488889,140,5822.558982
72.499066,140,5853.364242
28.0,140,5884.196595
59.0,140,5915.195167
57.164891,140,5946.252588
77.777778,140,5985.318565
75.222222,140,6016.322937
57.521744,140,6047.133187
67.044444,140,6077.788252
66.370623,140,6108.697673
75.748173,140,6139.551032
75.933333,140,6170.41402
64.666667,140,6201.240422
59.577778,140,6232.12565
56.222222,140,6263.126897
67.324496,140,6293.779184
51.477603,140,6324.693082
64.066667,140,6355.588886
57.644444,140,6386.472823
59.266667,140,6425.48823
61.933333,140,6456.108994
57.618147,140,6486.896034
79.0,140,6517.614078
69.311111,140,6548.296023
70.844444,140,6579.045761
49.222222,140,6610.180216
62.533333,140,6641.261739
62.85341,140,6672.401006
68.080093,140,6703.410061
68.111111,140,6734.123161
86.244444,140,6765.13592
78.6,140,6795.84093
65.532488,140,6826.605117
72.295407,140,6857.207946
68.4,140,6896.010053
82.444444,140,6926.747224
78.555556,140,6957.060559
79.688889,140,6987.602204
64.802694,140,7017.875696
76.755556,140,7047.909742
77.222222,140,7078.109747
80.711111,140,7108.120232
82.177778,140,7138.157195
19.955556,140,7168.267054
62.858326,140,7198.210539
73.888889,140,7228.216789
87.733333,140,7258.000472
61.822222,140,7287.827541
73.4,140,7317.849069
82.622222,140,7356.174411
80.444444,140,7386.22295
87.733333,140,7416.047727
76.746386,140,7445.922629
92.266667,140,7475.728857
82.422222,140,7505.528903
84.644444,140,7535.391128
69.022222,140,7565.236562
91.422222,140,7595.094266
77.793533,140,7625.011749
24.202811,140,7654.957114
84.488889,140,7684.715649
81.444444,140,7714.601542
68.555556,140,7744.786716
88.66361,140,7782.771034
88.482463,140,7812.725195
83.711111,140,7842.508801
86.533333,140,7872.391409
84.711111,140,7902.256687
89.955556,140,7932.124929
92.533333,140,7962.018489
80.422222,140,7991.860937
87.80217,140,8021.858854
93.8,140,8051.882509
77.612859,140,8081.784515
91.733333,140,8111.749944
83.688889,140,8142.158323
87.333333,140,8172.228983
85.2,140,8202.309425
51.377778,140,8240.703956
93.111111,140,8271.025578
96.444444,140,8301.162416
83.866667,140,8331.197058
94.466667,140,8361.491619
80.022222,140,8391.534268
94.933333,140,8421.716844
51.815709,140,8451.907117
96.866667,140,8481.844607
90.377778,140,8511.819749
90.470304,140,8542.078083
92.866667,140,8571.99693
85.733333,140,8602.100566
93.511111,140,8632.222654
96.422222,140,8670.225302
93.933333,140,8700.302296
96.577778,140,8730.341782
90.984293,140,8760.116759
92.822222,140,8790.163105
91.955556,140,8820.06467
93.663663,140,8849.776696
88.844444,140,8879.604991
95.377778,140,8909.543451
96.933333,140,8939.541678
93.244444,140,8969.361378
95.822222,140,8999.125715
94.511111,140,9028.973435
87.413534,140,9058.806067
96.555556,140,9088.742565
89.911111,140,9127.161644
96.311111,140,9157.459932
96.288889,140,9187.564236
91.622222,140,9217.636098
93.244444,140,9247.947948
96.755556,140,9278.139593
96.777778,140,9308.540898
94.08288,140,9339.052899
92.586924,140,9369.280336
81.666667,140,9399.462105
97.533333,140,9429.941726
96.422222,140,9460.210571
91.933333,140,9490.467118
98.022222,140,9520.857279
94.244444,140,9551.025762
94.955556,140,9589.645534
98.488889,140,9619.904033
93.511111,140,9650.014008
94.926285,140,9680.405431
95.288889,140,9710.83496
94.022222,140,9741.063065
94.822222,140,9771.460763
97.088889,140,9801.738552
95.111111,140,9832.016508
99.133333,140,9862.236904
97.666667,140,9892.715385
97.733333,140,9923.014941
94.644444,140,9953.524945
96.822222,140,9984.102211
