#{"t_start": 1770766716.6368604, "env_id": "merge-v0"}
r,l,t
7.680984,9,0.246979
6.108821,7,0.39882
142.960686,210,4.801677
3.71767,4,4.881727
3.496272,4,4.970882
38.032442,51,5.981933
4.394971,5,6.078148
5.208384,6,6.209765
16.506453,19,6.610368
11.70436,12,6.843273
5.497662,6,6.97247
7.045425,8,7.140673
4.505803,5,7.258308
12.419288,16,7.584356
3.443376,4,7.669625
6.238797,7,7.812318
5.004337,6,7.936276
5.304362,6,8.056872
6.258141,7,8.194461
6.245465,7,8.344004
6.225678,7,8.499163
4.366883,5,8.606318
3.430793,4,8.695287
3.589545,4,8.780838
5.427262,6,8.908368
4.205955,5,9.015406
9.037348,10,9.220846
6.253832,7,9.37424
9.82999,9,9.549609
4.404667,5,9.654798
5.57098,6,9.781573
3.332154,4,9.865394
23.745511,30,10.466814
4.347949,5,10.567173
5.444096,6,10.692199
3.4869,4,10.772754
3.534986,4,10.84791
8.143412,9,11.038522
2.608328,3,11.093277
8.625631,10,11.285894
4.380296,5,11.382951
8.172554,9,11.557626
3.484415,4,11.638927
10.547731,10,11.842394
4.409744,5,11.954667
10.369616,12,12.181369
4.561679,5,12.286146
4.565729,5,12.387381
4.153971,5,12.48919
6.158399,7,12.622493
7.00564,8,12.767933
18.70155,23,13.189888
2.722222,3,13.252844
11.815294,12,13.471115
8.242536,9,13.638526
4.178237,5,13.735579
4.535045,5,13.835253
4.40226,5,13.925563
12.24636,16,14.229734
3.68268,4,14.31284
6.346543,7,14.438807
6.129723,7,14.5744
11.514087,11,14.770776
3.482539,4,14.846562
7.002877,8,14.998991
10.765494,10,15.183714
6.225252,7,15.314638
4.588889,5,15.41316
3.751542,4,15.489269
2.609949,3,15.551057
3.362418,4,15.623169
6.045013,7,15.75033
13.929843,15,16.039467
7.358135,8,16.188232
4.223482,5,16.282398
8.638939,10,16.461709
18.456698,22,16.873309
10.58366,10,17.05798
8.322475,10,17.247071
11.350139,11,17.457448
6.945642,8,17.616849
7.878604,9,17.772174
10.749676,10,17.951657
6.219089,7,18.076732
4.559811,5,18.172959
5.28914,6,18.289156
2.690103,3,18.344998
10.823276,12,18.573504
