#{"t_start": 1770750673.9230628, "env_id": "highway-v0"}
r,l,t
59.416564,100,32.458061
4.980137,6,33.958952
71.932377,100,60.57746
4.909914,6,62.100928
4.034357,6,63.718219
35.538923,40,74.853333
15.903996,19,80.192588
42.146165,51,94.248932
6.090472,7,96.073046
9.117595,11,98.973042
56.060358,100,124.566812
74.201995,100,150.585916
69.586865,100,176.866385
16.197308,19,181.740583
17.776212,22,187.439895
1.863508,3,188.214197
9.213448,12,191.245559
63.193325,76,210.818015
5.441154,7,212.628002
7.756929,10,215.250699
69.035801,100,241.209906
34.468439,42,251.778894
5.071741,6,253.347641
11.610477,14,257.006039
9.695384,11,259.875261
69.52766,100,285.802133
51.532812,63,301.907996
8.001419,11,304.807199
14.806084,16,308.939143
4.981454,6,310.497518
59.57105,100,336.569105
64.033867,84,358.729977
2.137962,3,359.56286
48.052766,100,386.894888
15.730648,20,392.362685
18.983358,24,399.007107
12.822324,14,402.61891
1.072364,2,403.166139
67.508753,100,429.927847
74.768827,100,456.513633
29.019813,35,465.843071
72.449639,100,492.79067
5.911111,7,494.702132
3.942626,5,496.062733
1.998071,3,496.890825
3.400325,5,498.261842
40.404989,100,524.755638
73.509654,100,556.825935
2.854742,4,557.823503
8.946269,11,560.684525
3.765521,5,562.010856
83.286492,100,588.59356
28.319525,100,615.00709
79.19587,100,642.076523
27.845352,33,650.917279
1.914385,3,651.581474
69.100667,100,678.101975
72.690662,100,704.080812
76.047651,100,730.169135
68.458569,100,756.552055
76.090066,100,783.154375
12.841495,15,787.422685
6.664407,9,789.829769
84.075912,100,816.54832
73.958814,100,841.873603
1.868744,3,842.669705
6.823369,9,845.068451
68.97964,100,871.304013
42.666667,100,897.392996
9.604888,14,901.175175
77.622122,100,928.193243
69.65242,100,954.887615
39.78778,50,967.464854
66.936413,100,993.540449
81.007801,100,1019.632442
67.885926,100,1046.29014
11.967768,16,1050.764707
1.10149,2,1051.304043
62.925058,74,1070.863143
72.411127,100,1103.660297
78.338179,100,1130.476689
74.743156,100,1156.580106
34.164895,100,1182.327245
71.701752,100,1208.52071
66.811458,100,1234.232986
73.788265,100,1260.178703
76.632399,91,1283.647688
76.866555,100,1309.682101
2.845867,4,1310.730832
17.533233,21,1316.230892
75.340627,100,1342.33029
67.629896,100,1368.111553
67.347095,84,1389.385286
74.922891,100,1415.172867
82.151791,100,1441.226388
79.493608,100,1467.562592
71.620974,100,1493.341134
75.045024,100,1518.957424
49.682527,66,1535.81504
47.582917,63,1552.266421
12.785226,15,1556.183741
66.139122,100,1582.016634
80.166461,100,1607.712558
73.276769,88,1635.686043
61.903314,79,1655.866556
75.092809,100,1681.640011
67.537512,79,1701.864487
55.248345,72,1720.265435
78.92873,100,1745.814119
77.613975,100,1771.247947
5.853823,7,1773.063281
80.386967,100,1798.308126
74.230385,100,1823.803334
82.096255,100,1849.33783
73.449894,100,1874.87962
77.851951,100,1900.421139
83.477508,100,1926.881524
78.872538,100,1953.731176
74.406513,100,1981.171059
10.928021,13,1984.652089
69.522271,100,2012.275039
77.486495,100,2039.554277
79.364984,100,2066.334489
83.170884,100,2092.037149
78.15827,100,2117.789844
75.779774,100,2143.618116
77.632127,100,2174.463769
75.955615,100,2200.775445
75.001636,100,2226.73119
77.695653,100,2252.989322
81.910855,100,2278.056727
75.198108,100,2304.247473
74.853351,100,2330.311952
73.540302,100,2356.660593
76.446071,100,2383.413859
78.488937,100,2409.934209
79.104122,100,2436.904933
79.890985,100,2463.394944
41.870973,53,2477.255483
73.490461,100,2503.540637
81.055326,100,2529.688918
77.485104,100,2556.273711
74.452512,100,2582.1733
60.378495,74,2601.307767
76.068935,100,2627.053314
78.070171,100,2653.033076
80.916415,100,2679.22337
71.375848,87,2702.918109
81.732682,100,2734.4216
81.578546,100,2760.23169
75.420672,100,2785.914813
81.39971,100,2811.355173
80.762981,100,2837.012845
76.709231,100,2862.954861
80.836094,100,2888.358363
80.600695,100,2914.383561
78.101716,100,2940.194307
74.048202,100,2965.777306
74.147098,100,2991.01076
82.280272,100,3016.676896
77.77982,100,3041.837494
75.756002,100,3067.305425
78.585026,100,3092.838192
82.299679,100,3118.661876
77.624756,100,3143.999545
81.608993,100,3169.663525
75.005886,100,3196.466424
78.467739,100,3222.662863
76.502868,100,3253.43077
81.585269,100,3278.991744
75.064428,100,3304.905118
82.109425,100,3330.229024
77.728428,100,3356.213312
72.402298,100,3382.028999
77.010382,100,3408.096827
80.43271,100,3433.633449
75.594215,100,3459.138248
75.554204,100,3484.907256
72.876466,100,3511.057817
75.428234,100,3536.944146
75.327598,100,3562.612316
77.067303,100,3589.135531
35.332667,44,3600.885767
83.406403,100,3627.962484
76.814122,100,3654.355537
73.369868,100,3681.005035
79.69208,100,3707.428706
79.700854,100,3734.756785
76.728231,100,3762.315744
81.976637,100,3792.713857
82.438398,100,3818.685153
82.743098,100,3844.12282
77.158926,100,3870.051355
77.190438,100,3895.365716
76.609409,100,3920.656428
84.408497,100,3946.02119
81.719644,100,3971.406664
77.445294,100,3996.957333
76.010176,100,4022.412565
76.255376,100,4047.70938
76.940076,100,4072.891014
77.374245,100,4098.384115
82.336855,100,4124.005785
79.601371,100,4149.625146
83.365501,100,4175.154819
81.557522,100,4200.613562
80.87164,100,4225.803383
78.676764,100,4251.317838
79.230838,100,4276.629114
74.405928,100,4302.18386
81.171369,100,4332.217595
80.492009,100,4357.603423
78.406661,100,4383.088185
74.297392,100,4408.667838
81.923618,100,4434.088102
81.49289,100,4459.84387
78.428556,100,4484.995969
74.179775,100,4510.421776
83.310463,100,4535.873889
76.58217,100,4561.185587
73.935262,100,4586.645568
83.595427,100,4611.666472
80.94558,100,4637.130272
81.787249,100,4662.5669
81.595797,100,4688.149301
79.799957,100,4713.382125
81.580839,100,4738.640285
77.476865,100,4764.090412
74.482346,100,4789.657248
81.667398,100,4815.427675
83.725722,100,4845.753211
82.820809,100,4871.292745
80.957806,100,4896.677335
73.833754,100,4922.28209
76.709476,100,4948.068516
79.589911,100,4973.74152
81.386638,100,4999.742812
77.391863,100,5025.003761
75.591801,100,5050.961467
81.506249,100,5077.326459
75.632219,100,5104.025941
81.736455,100,5129.932752
74.641562,100,5155.506618
74.119698,100,5181.112041
80.38219,100,5206.626264
79.058119,100,5232.017741
79.324257,100,5257.809481
76.882117,100,5283.036203
80.432216,100,5308.577448
80.649114,100,5333.985812
80.302295,100,5360.752483
76.162315,100,5392.162377
2.452829,4,5393.334145
78.382551,100,5419.418972
83.875882,100,5445.002483
83.747811,100,5471.051235
75.130143,100,5497.76297
76.200162,100,5524.207536
78.250492,100,5549.977561
79.174891,100,5575.404983
77.871091,100,5600.871336
79.606576,100,5626.307951
75.73136,100,5653.481561
76.941073,100,5680.702298
77.396911,100,5707.75702
78.17256,100,5735.020462
78.221487,100,5762.153109
81.668288,100,5787.58815
82.413142,100,5813.608624
77.298613,100,5839.540378
76.433041,100,5865.375186
74.812775,100,5891.681473
81.705869,100,5921.544909
77.065792,100,5947.631294
84.0511,100,5973.76401
75.624699,100,5999.522414
83.641045,100,6025.279764
83.271341,100,6050.877941
80.971057,100,6076.297328
78.479836,100,6102.698917
80.780045,100,6128.498284
81.612073,100,6153.900913
80.440751,100,6179.162737
78.926469,100,6204.606206
76.262223,100,6229.955577
78.79465,100,6255.401112
81.610982,100,6280.676401
81.922581,100,6306.129518
83.42194,100,6331.536212
82.051538,100,6357.568934
77.285595,100,6383.064195
79.563334,100,6408.747914
78.769195,100,6434.103494
77.479535,100,6464.963952
80.35438,100,6491.089132
80.114623,100,6516.430505
84.264434,100,6541.994032
79.463018,100,6567.181132
84.502421,100,6592.634223
84.736677,100,6618.090591
80.898664,100,6643.549027
78.241487,100,6668.962795
78.87727,100,6695.191083
78.641301,100,6720.226934
81.999746,100,6745.75113
79.293873,100,6771.250092
77.297193,100,6796.646035
80.055312,100,6821.971662
78.487124,100,6847.428
80.816097,100,6872.658821
77.519037,100,6898.138083
75.393645,100,6923.672974
80.082848,100,6949.168595
46.421099,57,6963.605846
84.778869,100,6994.115546
78.978092,100,7019.255528
75.900213,100,7044.913396
76.274303,100,7070.414937
81.010349,100,7095.991729
81.068001,100,7121.87285
81.610726,100,7147.405564
82.987886,100,7172.722875
79.188754,100,7198.419618
83.204444,100,7224.20193
81.044451,100,7249.968973
82.763301,100,7276.494778
76.873182,100,7303.910332
78.926228,100,7331.290929
74.781974,100,7357.621651
79.904643,100,7383.893538
78.438526,100,7410.268382
78.792471,100,7437.322311
78.514358,100,7464.546457
78.464314,100,7492.417431
82.100802,100,7524.936169
85.12556,100,7552.259869
79.357462,100,7579.970868
82.037973,100,7608.448534
80.055393,100,7634.976038
74.789796,100,7660.551823
78.064323,100,7686.01442
77.566321,100,7711.423042
83.301753,100,7736.934357
83.344968,100,7762.488586
82.376939,100,7787.78507
77.150081,100,7813.079205
77.79408,100,7838.955595
78.290027,100,7864.351416
83.743817,100,7890.067296
76.655673,100,7915.802212
77.309824,100,7942.963451
80.505077,100,7969.088841
83.44346,100,7995.236027
81.165522,100,8021.502229
85.004367,100,8047.67357
80.283816,100,8077.586428
83.542223,100,8103.493927
78.678817,100,8129.474355
80.424773,100,8155.083128
80.741666,100,8180.561087
79.653553,100,8206.141929
84.594254,100,8231.639419
82.231523,100,8257.121536
81.783423,100,8283.045212
78.809129,100,8308.426292
79.863261,100,8334.031529
78.971324,100,8359.46674
81.131644,100,8385.003955
78.945337,100,8410.437901
83.979225,100,8435.877144
82.639824,100,8461.657899
83.176995,100,8486.868324
77.195343,100,8512.428095
84.982055,100,8537.910327
82.016401,100,8563.998257
84.210723,100,8594.530995
82.260281,100,8620.22414
82.735542,100,8645.988993
80.317293,100,8672.077691
84.040354,100,8697.807244
82.387436,100,8723.462188
79.24271,100,8749.34681
81.72513,100,8774.91584
84.403033,100,8800.903523
83.798882,100,8827.626748
79.796671,100,8854.833143
82.847466,100,8881.490394
83.621475,100,8907.853386
77.329089,100,8935.299227
79.265313,100,8963.321056
79.294008,100,8990.402103
82.845663,100,9017.354987
80.295586,100,9044.298449
81.093928,100,9071.049372
77.313711,100,9096.918548
78.656641,100,9122.627981
77.572523,100,9153.145008
36.720063,44,9164.697727
82.138083,100,9191.416436
80.947936,100,9218.481928
83.026359,100,9245.889078
77.945064,100,9272.451435
77.175147,100,9298.482339
84.485873,100,9323.831858
80.360559,100,9349.326867
77.510642,100,9375.052941
81.254151,100,9401.090247
83.795677,100,9426.551297
84.310199,100,9452.193322
82.731787,100,9477.522495
76.969561,100,9503.131159
79.251446,100,9528.770991
84.374456,100,9554.222439
77.8452,100,9579.923121
79.386785,100,9605.489717
86.371167,100,9631.059864
82.315929,100,9656.42554
82.356289,100,9686.414776
77.544122,100,9712.125916
84.368092,100,9737.331199
84.20327,100,9762.83927
82.880613,100,9788.500256
84.537344,100,9814.357182
82.687866,100,9839.953091
81.197009,100,9865.12948
78.986009,100,9890.905342
77.825871,100,9916.624855
78.397219,100,9941.962448
78.291622,100,9967.555827
80.390275,100,9992.819413
83.991285,100,10018.600801
83.218213,100,10044.637972
81.580469,100,10070.396465
85.108982,100,10095.902897
80.591744,100,10123.373771
78.153793,100,10150.863674
79.2334,100,10178.134405
84.051435,100,10209.432099
79.119271,100,10235.220639
79.926504,100,10261.335776
82.849209,100,10287.691855
76.56758,100,10313.399801
77.875361,100,10339.029029
82.718081,100,10364.423592
77.315041,100,10390.833702
81.741152,100,10416.461692
79.27691,100,10442.408415
76.224407,100,10467.718946
80.485862,100,10493.064521
84.352447,100,10518.748822
80.074843,100,10544.547278
80.794437,100,10570.197498
82.750157,100,10595.939058
81.837367,100,10621.320913
79.730827,100,10646.782838
81.927166,100,10672.156577
80.945832,100,10697.799937
83.487802,100,10723.255975
86.799389,100,10753.109643
79.585058,100,10778.595522
77.934572,100,10804.361237
81.689044,100,10830.569344
85.920562,100,10856.674103
84.861461,100,10882.205058
83.5665,100,10907.609689
84.484205,100,10933.141227
80.860981,100,10958.746838
84.981928,100,10984.604566
84.498795,100,11010.132637
81.318019,100,11035.840535
79.230972,100,11061.183823
81.978671,100,11086.83815
83.146545,100,11112.39646
82.161701,100,11138.087429
81.905851,100,11163.826372
78.632226,100,11189.190617
81.734449,100,11214.428812
80.679713,100,11240.167935
86.216383,100,11270.429134
85.445418,100,11296.059465
82.383184,100,11321.378693
83.905599,100,11346.953949
83.655405,100,11372.391009
83.574639,100,11397.86721
83.999774,100,11423.421053
81.570017,100,11449.13884
81.34492,100,11475.0481
77.242869,100,11500.891435
80.687411,100,11526.495022
80.110158,100,11552.153273
84.223092,100,11577.881275
77.366003,100,11603.446019
76.936575,100,11628.998316
84.803272,100,11654.553846
78.235631,100,11680.697381
78.859894,100,11707.90882
85.239745,100,11734.755117
82.19724,100,11760.773502
80.652117,100,11791.148234
83.744326,100,11817.019822
84.448412,100,11842.470023
83.203485,100,11868.300591
85.520998,100,11894.066873
60.044191,71,11912.498444
81.726607,100,11938.207343
78.60903,100,11964.801223
77.971528,100,11990.250232
81.040509,100,12015.961599
85.536546,100,12041.567036
78.79063,100,12067.236585
80.090214,100,12092.85341
78.51816,100,12118.194782
79.934053,100,12143.469431
82.835683,100,12169.10557
82.930506,100,12194.900642
86.31034,100,12221.251231
77.687948,100,12247.735262
78.997998,96,12272.07689
80.726227,100,12297.417658
78.097072,100,12327.765705
85.366563,100,12354.186178
82.857757,100,12380.807829
80.581742,100,12406.624754
77.655242,100,12432.664117
82.140881,100,12458.017866
84.681148,100,12483.630269
81.492085,100,12509.042233
80.718803,100,12534.618239
79.085713,100,12560.154325
76.920117,100,12585.512552
82.787591,100,12611.129026
84.826414,100,12636.755799
81.192012,100,12662.195522
83.82328,100,12687.639052
82.908205,100,12713.3957
77.979534,100,12738.894045
84.759533,100,12764.578553
