#{"t_start": 1770762474.1827025, "env_id": "highway-v0"}
r,l,t
3.066667,4,6.106191
27.024903,34,13.764895
3.152428,4,14.67196
11.047191,13,17.588063
70.357299,140,48.728323
110.27672,140,80.260934
5.097358,6,81.612922
62.837025,79,99.321702
2.840976,4,100.231252
66.0597,89,120.038748
115.08812,140,151.250418
96.035071,140,182.421494
13.134781,18,186.47491
14.000674,15,189.861725
16.942689,20,194.332347
4.45944,6,195.682434
12.73301,16,199.259793
53.699958,140,230.412965
7.083976,9,232.43042
12.565133,14,235.546327
10.672823,13,238.466201
4.666667,6,239.827342
30.11685,140,271.181947
13.633712,16,274.794827
6.818348,8,276.641333
52.781953,63,290.648722
18.090355,22,295.588947
1.819467,3,296.26634
1.91079,3,296.953951
9.313822,11,299.462726
5.863762,7,301.052932
5.439086,7,302.645962
24.630861,28,308.953036
14.57657,17,312.800578
78.193233,140,343.911845
97.411564,140,375.147825
26.179276,33,382.497542
35.942925,48,393.339666
110.526462,140,424.560827
45.825663,140,455.973257
10.548876,12,458.623565
93.987291,121,490.122344
107.03763,140,521.385543
23.163388,28,527.682311
83.916787,140,558.994258
107.64929,140,590.314366
113.52964,140,621.861402
17.826586,23,627.030251
59.0331,83,645.594366
60.882798,75,662.354217
76.295316,99,684.569474
4.681387,6,685.935683
4.782536,6,687.268359
58.89839,140,718.665356
115.580145,140,749.907857
71.327438,89,769.785946
109.197964,140,801.233366
23.443039,31,808.17081
32.139615,42,817.506525
11.714818,15,820.907521
5.493065,7,822.499132
103.506185,140,853.76334
13.753491,15,857.128612
4.760661,6,858.493868
11.358496,14,861.675396
11.073149,13,864.544188
4.038297,5,865.65367
12.333333,13,868.563302
88.313953,107,892.451246
2.967055,4,893.353987
2.066667,3,894.034249
68.513374,88,913.72744
110.907949,140,949.541095
25.005686,34,957.165204
60.291379,75,973.916863
77.715845,92,994.480083
115.934674,140,1025.767066
104.543473,140,1056.943461
111.760252,140,1088.165061
3.635773,5,1089.292363
110.270634,140,1120.682175
19.091652,25,1126.321858
76.740907,93,1147.084822
4.879718,6,1148.42256
85.031705,107,1172.229247
102.642639,140,1203.570612
106.69555,140,1235.010536
113.882502,140,1266.359418
114.709248,140,1297.556866
108.503267,140,1328.837767
18.110496,140,1360.030364
62.82253,76,1377.038078
78.501194,95,1402.69821
110.901817,140,1434.006033
106.032024,140,1465.222822
112.709759,140,1496.470606
109.970842,140,1527.828398
109.140483,140,1559.192566
106.930401,140,1590.306075
113.06631,140,1621.734094
113.554718,140,1653.077524
49.276458,61,1666.748775
77.476317,94,1687.689889
6.801114,8,1689.475281
115.022184,140,1720.83762
109.872588,140,1752.093587
113.230506,140,1783.481122
109.089075,140,1814.774999
111.018046,140,1846.180195
96.498432,122,1877.743324
118.194069,140,1909.124408
5.931746,8,1910.920967
114.543251,140,1942.303602
111.190953,140,1973.841542
41.929067,52,1985.344435
111.086755,140,2016.601727
115.849916,140,2047.986303
53.518185,68,2063.253287
5.899898,8,2065.045217
115.235211,140,2096.279094
106.424718,140,2127.698624
114.665631,140,2158.936342
116.587054,140,2190.227474
116.40068,140,2221.485406
112.449671,140,2252.880789
106.521767,140,2284.254618
107.178831,140,2319.97978
112.123349,140,2351.376307
108.726245,140,2382.801006
111.591665,140,2414.227513
105.361547,140,2445.620483
110.84732,140,2476.998825
109.513067,140,2508.239735
117.299446,140,2539.530151
109.595104,140,2570.70072
101.106927,140,2602.232269
103.891223,140,2633.51623
109.243476,140,2664.728122
103.853192,128,2693.500709
102.590841,140,2724.894671
114.231389,140,2756.097692
112.433176,140,2791.776686
111.872798,140,2823.159406
103.689002,140,2854.510894
116.107956,140,2885.940615
114.779126,140,2917.110125
107.219749,140,2948.515083
104.097795,140,2979.940053
114.112064,140,3011.296238
110.134486,140,3042.500967
