#{"t_start": 1770750617.4898083, "env_id": "highway-v0"}
r,l,t
3.066667,4,7.944024
27.024903,34,16.322048
3.152428,4,17.282764
11.047191,13,20.469274
70.357299,100,44.957397
41.653349,100,69.352072
11.059711,14,72.832818
5.831483,7,74.564485
3.668983,5,75.814726
4.54394,6,77.289765
20.204554,22,82.615713
4.288644,6,84.128558
12.940459,18,88.540106
13.31462,14,91.992693
55.643399,71,109.271984
4.634663,6,110.73942
79.744965,100,135.289674
64.678319,85,156.262702
5.516135,7,158.030276
28.209192,34,166.433462
71.909777,100,190.791727
21.345194,29,197.961613
6.876058,8,199.929779
15.727288,19,204.629375
5.00471,6,206.152281
3.333333,4,207.12417
11.313038,13,210.343349
1.773242,3,211.099669
2.80515,4,212.138622
17.910181,21,217.359822
53.470663,100,242.061655
3.947543,5,243.2873
59.057995,75,261.46825
11.704535,13,264.593114
28.49495,100,288.848268
40.906633,50,301.055818
43.99748,57,315.03173
4.979461,8,317.021709
4.413394,6,318.525012
4.747549,6,320.00995
18.557079,22,325.402567
7.241212,9,327.581906
30.7924,34,335.891783
14.159027,16,339.766707
8.465458,11,342.427146
3.955556,5,343.636345
75.527332,100,368.054981
3.153339,4,369.026994
50.6713,100,393.464021
30.438236,39,402.977946
16.224637,21,408.172129
3.106389,4,409.160357
60.412642,75,427.369832
16.21541,18,431.715485
75.944769,100,456.028522
29.470987,37,465.007231
42.666667,100,489.325741
4.841542,6,490.711517
9.458974,11,493.21673
26.216646,35,501.333519
80.227192,100,529.662685
76.844607,100,553.861787
83.01965,100,578.094573
6.242886,8,580.034025
14.061636,18,584.415334
28.148606,100,608.50085
8.559302,11,611.208211
79.898269,100,635.23235
76.671633,100,659.481865
3.513833,5,660.712901
28.206018,36,669.637387
77.913447,96,693.219929
80.636154,100,717.801496
13.493689,18,722.14348
79.379863,100,746.73517
6.979509,8,748.698888
69.386617,100,772.820161
69.435566,100,796.957846
4.463595,6,798.410061
2.829887,4,799.377604
72.529758,100,823.587546
8.942023,11,826.273185
77.028908,100,850.540148
29.811399,38,859.87791
78.519486,100,884.02557
16.12184,19,888.728265
24.688098,27,895.287481
11.847774,15,898.907349
38.163207,47,910.368176
1.857882,3,911.093019
72.453004,100,935.187528
4.147604,6,936.602937
2.683823,4,937.568846
23.303148,30,944.861327
4.408415,6,946.298828
75.994102,95,969.14156
18.343609,23,974.67662
19.574176,24,980.156523
72.89621,100,1004.056418
79.690919,100,1032.375225
33.430697,42,1042.57908
81.225461,100,1066.548364
82.533274,100,1090.508342
81.275482,100,1114.406069
74.641046,100,1138.381119
74.056065,100,1162.539835
4.001704,5,1163.743582
63.129306,76,1182.107563
79.590975,100,1206.266636
74.614212,100,1230.670473
38.912749,48,1242.136476
72.182803,89,1263.964326
15.870589,19,1268.544428
10.31587,12,1271.450996
69.557285,100,1295.764087
79.397764,100,1320.159445
76.21982,100,1344.544695
73.754919,100,1368.780534
74.233721,100,1392.991629
3.201014,4,1393.968999
74.993449,100,1418.205852
79.157048,100,1442.265954
22.700558,100,1466.293539
31.248282,38,1475.061667
81.746596,100,1498.857527
77.103157,100,1527.423532
82.353502,100,1551.412409
82.486627,100,1575.436335
79.634646,100,1599.400837
79.028525,100,1623.480358
75.401087,100,1647.396316
77.9867,100,1671.169057
79.431877,100,1695.067877
58.981853,69,1711.523801
77.791737,100,1735.384612
74.099612,100,1758.655995
75.470423,100,1783.061903
74.271981,100,1807.166201
