#{"t_start": 1770809188.6662238, "env_id": "highway-v0"}
r,l,t
23.550014,29,6.457099
9.092616,10,8.674548
1.736579,3,9.343662
7.278684,11,11.807824
73.179704,86,30.981408
19.192182,24,36.335368
35.242512,40,45.325049
14.896975,17,49.132339
4.463121,6,50.484665
72.795027,100,72.842376
4.271751,5,73.984831
13.590311,18,78.041404
77.067775,100,100.347647
7.893282,10,102.58808
6.075499,7,104.165717
6.509735,8,105.968053
78.001611,100,128.342703
8.159232,10,130.562198
52.034298,100,152.911895
56.466667,100,175.251396
73.33257,100,197.55822
5.859837,8,199.342193
5.076169,6,200.691347
16.939879,21,205.377276
73.080187,100,227.685949
5.404262,7,229.273687
75.661362,100,251.668554
8.29535,10,253.881109
7.567699,9,255.87306
6.901243,9,257.898919
15.398868,19,262.135609
49.818579,100,284.424837
50.476168,62,298.333375
5.371077,7,299.888468
36.502626,47,310.42537
9.333161,11,312.908186
12.348015,14,316.081695
14.0,15,319.422666
29.774536,40,328.370081
9.79847,11,330.855728
3.887015,5,332.003059
15.111007,19,336.245143
38.985143,48,346.96528
12.905506,15,350.347914
18.805292,24,355.67642
6.963179,10,357.902381
75.049409,100,380.323072
11.827086,13,383.258605
17.190569,22,388.225188
71.461022,100,410.532404
8.064883,9,412.580273
32.705378,100,434.966033
22.372806,29,441.461275
72.326547,100,467.837973
40.872809,53,479.620816
1.655749,3,480.286074
54.807046,69,495.77375
4.253601,6,497.134344
19.171771,20,501.638231
8.744141,10,503.868471
85.036686,100,526.236612
11.819573,14,529.387598
80.058779,100,551.817174
18.627136,25,557.390217
3.933871,5,558.52586
2.97998,4,559.431052
26.181507,31,566.334076
76.715813,100,588.658065
75.068963,97,610.252105
84.814833,100,632.43819
78.935614,100,654.786599
4.260102,6,656.143902
29.190906,100,678.418499
53.56303,100,700.597587
78.157836,100,722.794985
1.798971,3,723.464234
22.688928,30,730.166742
82.061507,100,752.418301
80.377051,100,774.768821
43.239812,56,787.231972
23.758688,30,793.939238
5.629003,7,795.513633
5.518438,8,797.298833
81.486301,100,819.575314
81.692132,100,841.932392
8.251979,12,844.626148
74.06557,100,867.091826
5.066667,6,868.443451
11.655378,15,871.769047
31.929096,39,880.498807
7.088921,9,882.521082
75.039619,96,903.970807
82.634598,100,930.333259
75.760877,100,952.567108
6.393181,8,954.359116
67.916319,84,973.168555
73.082957,95,994.427685
77.034492,100,1016.793507
71.787006,100,1039.237542
1.798041,3,1039.91464
61.035321,78,1057.379015
75.581835,100,1079.703026
81.558984,100,1102.09972
85.215136,100,1124.325475
80.785358,100,1146.670228
79.373093,100,1168.964847
77.421113,100,1191.522767
77.536356,100,1214.093463
76.088774,100,1236.427234
75.555485,100,1258.818772
81.665461,100,1280.972832
82.421357,100,1303.286635
80.165176,100,1325.575406
74.931165,100,1347.81031
79.117952,100,1370.085447
80.119599,100,1396.36274
76.62331,100,1418.60658
78.934162,100,1440.912825
75.399792,100,1463.238107
78.734626,100,1485.471603
80.300519,100,1507.702159
52.026259,64,1522.048502
70.991208,100,1544.364985
78.147991,100,1566.692976
54.601921,73,1582.92163
76.449035,100,1605.374955
77.237204,100,1627.601323
77.022928,100,1649.777686
4.809699,6,1651.110709
81.295819,100,1673.495507
82.550966,100,1695.729652
81.373683,100,1718.027031
77.776427,100,1740.359078
11.217225,15,1743.681383
84.729492,100,1765.989513
76.855924,100,1788.354722
77.435574,100,1810.665319
75.484371,100,1832.926685
8.124897,11,1835.37458
82.461207,100,1861.76976
80.789478,100,1884.173545
82.589118,100,1906.463901
75.022179,100,1928.740417
75.76072,100,1951.029583
76.048357,100,1973.458468
72.651337,100,1995.684195
3.663735,5,1996.791865
78.072855,100,2019.12654
73.943975,100,2041.452807
74.9119,100,2063.790833
78.236068,100,2086.063574
75.827904,100,2108.390522
73.851969,100,2130.733054
81.231207,100,2153.088428
81.431976,100,2175.543947
82.002301,100,2198.026099
79.640964,100,2220.426241
77.068631,100,2242.682242
85.088207,100,2264.960292
72.896404,100,2287.268376
80.001931,100,2313.741727
74.571096,100,2336.007274
77.884778,100,2358.363596
80.421777,100,2380.696645
71.198883,100,2402.999928
79.90207,100,2425.283391
44.239883,56,2437.725668
81.180774,100,2459.910136
74.771137,100,2482.18458
74.180149,100,2504.484112
81.177671,100,2526.759
80.603828,100,2548.980633
79.538965,100,2571.03836
80.468735,100,2592.97999
78.039899,100,2615.047199
74.906679,100,2637.354894
73.220835,100,2659.599929
80.163722,100,2682.000034
82.260276,100,2704.226429
82.189994,100,2726.596617
76.66009,100,2748.894495
77.991117,100,2775.234842
72.126203,100,2797.475055
75.835601,100,2819.601005
79.920884,100,2841.719181
78.704468,100,2863.79877
77.001459,100,2886.046349
76.844985,100,2908.376516
74.931581,100,2930.608677
74.627681,100,2952.805115
79.778949,100,2975.065856
81.98005,100,2997.149833
80.638334,100,3019.280518
77.767755,100,3041.494802
75.607264,100,3063.65712
73.846805,100,3085.764107
42.711806,54,3097.630197
80.06798,100,3119.676894
