#{"t_start": 1770792191.5314546, "env_id": "highway-v0"}
r,l,t
4.177778,140,30.764764
4.493245,140,61.416035
5.682485,140,92.058922
4.844444,140,122.758544
7.197052,140,153.580638
21.211335,140,184.262834
0.0,140,215.066984
3.488889,140,245.685978
13.422222,140,276.350732
13.227782,140,306.989445
0.0,140,337.755303
2.777778,140,368.445215
0.733333,140,399.07163
8.155556,140,429.675089
13.10705,140,464.309923
7.869218,140,494.920604
7.298932,140,525.435166
0.733333,140,556.024607
16.825292,140,586.816609
0.711111,140,617.467196
11.265758,140,648.238047
5.700001,140,679.350439
25.428338,140,710.025625
18.688889,140,740.816109
23.177778,140,771.592291
1.490757,140,802.493347
2.088889,140,833.379263
9.346498,140,863.888982
11.915072,140,894.712798
3.204215,140,929.510306
30.311111,140,960.238096
15.62385,140,991.143518
38.4,140,1021.948022
8.921868,140,1052.692249
15.666667,140,1083.250852
7.577778,140,1113.976447
0.666667,140,1144.777138
2.8,140,1175.786118
0.666667,140,1206.625637
14.816896,140,1237.187951
5.965778,140,1267.587648
2.866667,140,1298.168696
0.0,140,1328.737751
0.704305,140,1363.589023
12.227494,140,1394.152997
16.777778,140,1424.851846
2.261314,140,1455.518453
0.0,140,1486.226614
2.133333,140,1516.991323
20.177778,140,1547.752584
33.809466,140,1578.426894
6.626944,140,1609.29415
19.111111,140,1640.114567
14.029076,140,1670.995087
4.266667,140,1701.933028
11.407981,140,1732.749132
2.088889,140,1763.406997
5.076714,140,1794.214385
4.138615,140,1829.078631
10.690119,140,1859.902938
0.0,140,1890.557578
16.495605,140,1921.474255
2.022222,140,1952.147966
2.916507,140,1982.869536
5.666783,140,2013.721671
0.0,140,2044.557427
9.324375,140,2075.318374
2.111111,140,2106.396169
1.4,140,2137.013868
0.0,140,2167.589791
10.687856,140,2198.390797
6.977778,140,2229.026103
7.933333,140,2259.74773
7.400086,140,2294.691547
11.485247,140,2325.497472
0.0,140,2356.373298
7.111111,140,2386.913325
7.6,140,2417.669559
9.281275,140,2448.58737
8.6462,140,2479.356441
1.333333,140,2510.238987
6.222222,140,2540.874535
7.688889,140,2571.720054
15.584879,140,2602.603662
6.771855,140,2633.438911
7.774949,140,2664.238015
6.911111,140,2694.973082
1.444444,140,2729.82333
12.83393,140,2760.55236
1.444444,140,2791.18695
19.459364,140,2821.930358
12.754384,140,2852.58448
6.930274,140,2883.392173
20.034828,140,2914.388285
18.186625,140,2945.226857
2.281713,140,2976.05188
7.179296,140,3006.782928
5.218379,140,3037.45843
7.533333,140,3068.084558
9.291933,140,3098.827902
0.0,140,3129.472973
24.428522,140,3160.074925
4.88679,140,3194.999928
21.814242,140,3225.843907
0.0,140,3256.48098
13.888889,140,3287.16273
9.212997,140,3317.951542
2.4,140,3348.608021
2.8,140,3379.554443
7.873631,140,3410.353191
3.65581,140,3441.004939
17.912779,140,3471.541342
19.288889,140,3502.245369
16.607074,140,3532.888394
19.488889,140,3563.491547
2.133333,140,3594.087739
