#{"t_start": 1770767357.414488, "env_id": "merge-v0"}
r,l,t
9.031787,11,0.270182
16.484135,19,0.66554
4.621418,5,0.776979
3.506415,4,0.869523
4.585315,5,0.981499
6.190474,7,1.145054
16.681201,20,1.552356
10.876748,10,1.767759
12.594862,17,2.123504
3.598165,4,2.211529
5.41613,6,2.343399
3.524687,4,2.42455
3.545325,4,2.507938
3.472236,4,2.598403
5.012006,6,2.731375
4.597565,5,2.835764
3.585905,4,2.916595
13.910491,15,3.220939
3.775659,4,3.310379
12.591363,14,3.600424
4.989805,6,3.721687
6.203557,7,3.871456
7.859571,9,4.052443
3.533625,4,4.136203
3.583093,4,4.219069
12.530146,17,4.552149
3.579467,4,4.628598
3.796455,4,4.707817
4.650581,5,4.805691
3.485939,4,4.88184
12.999583,18,5.215446
10.888756,12,5.443943
4.456555,5,5.551799
3.564923,4,5.629254
2.622996,3,5.687427
3.467889,4,5.764569
11.694082,14,6.035023
4.171389,5,6.141768
3.528405,4,6.225024
8.395999,10,6.429878
260.605135,385,13.566644
4.583343,5,13.670423
60.426122,85,15.266951
10.689842,10,15.454588
6.195526,7,15.583071
9.88103,11,15.785578
10.409384,10,15.988168
6.403752,7,16.147032
3.421437,4,16.234068
6.996562,8,16.399571
4.163594,5,16.504726
15.279385,17,16.83831
3.429975,4,16.924792
4.221692,5,17.02962
11.183689,11,17.250287
3.363143,4,17.322877
9.034354,10,17.538697
14.406869,16,17.871534
4.59655,5,17.972363
4.611217,5,18.082274
7.274841,8,18.237446
5.072102,6,18.363798
3.563065,4,18.447646
10.802753,12,18.682831
8.696845,10,18.888053
6.990249,8,19.048113
6.504415,7,19.18177
4.580967,5,19.288079
6.059989,7,19.423244
5.591767,6,19.543769
11.365425,11,19.763771
10.668952,10,19.964765
68.149908,97,21.86825
9.454689,11,22.077272
10.796871,13,22.321826
5.490288,6,22.437959
3.535552,4,22.517997
4.568855,5,22.615195
13.868117,15,22.921841
4.398891,5,23.022285
6.472124,7,23.158335
8.279296,10,23.345581
4.525845,5,23.445995
10.776508,10,23.62693
6.192455,7,23.756919
9.966081,11,23.975356
3.503799,4,24.062248
10.568471,10,24.262662
7.926556,9,24.434978
4.442133,5,24.530928
10.705963,10,24.709902
9.089852,10,24.889535
3.428975,4,24.962273
3.518408,4,25.043639
5.568865,6,25.159985
8.19419,9,25.327068
17.704345,21,25.713176
8.213745,9,25.893895
6.981216,8,26.055156
7.043247,8,26.211443
7.664275,9,26.391135
4.609106,5,26.48324
3.403855,4,26.55687
2.540864,3,26.613298
3.496769,4,26.690867
2.666667,3,26.751823
11.577678,12,26.95548
7.294066,8,27.098245
9.510995,11,27.296977
4.610258,5,27.390403
4.619762,5,27.486688
7.350782,8,27.647358
7.285781,8,27.806154
3.50935,4,27.891443
19.191221,23,28.345755
10.798966,12,28.586218
8.619005,10,28.773012
6.181931,7,28.907268
5.449594,6,29.018882
3.452041,4,29.099383
4.552674,5,29.201199
6.183484,7,29.341932
11.261264,11,29.555894
4.522259,5,29.653162
5.482388,6,29.7621
18.805757,23,30.202684
6.259577,7,30.337801
10.659415,10,30.533688
2.628619,3,30.595119
7.06588,8,30.755131
44.325225,61,31.918599
11.801591,12,32.162519
6.363613,7,32.29663
12.051329,15,32.586377
6.278282,7,32.718288
11.219562,11,32.924588
28.733959,58,33.974093
5.580724,6,34.092998
4.468301,5,34.188388
4.523908,5,34.293633
2.637711,3,34.348223
18.774497,23,34.769197
5.349261,6,34.882432
10.793886,12,35.11885
18.666468,23,35.530524
15.716259,18,35.862242
50.412309,70,37.12453
3.389302,4,37.196997
4.612364,5,37.289514
3.409533,4,37.362235
4.615269,5,37.454867
5.050806,6,37.569629
11.962646,15,37.83172
11.184736,11,38.025485
4.405688,5,38.116651
5.439576,6,38.227818
5.456531,6,38.347127
2.51353,3,38.404101
12.752356,15,38.686979
4.175856,5,38.796078
11.125786,11,39.005797
9.928014,11,39.228193
4.18355,5,39.326523
3.509406,4,39.405858
6.257544,7,39.543101
4.415546,5,43.835069
5.415591,6,43.946815
5.532614,6,44.062003
3.535926,4,44.14943
11.368702,11,44.353666
5.703046,7,44.487216
5.293211,6,44.601044
3.50608,4,44.676175
16.188546,20,45.054608
178.731031,262,49.742728
8.671674,10,49.94775
3.377997,4,50.022706
11.453213,14,50.294678
19.037843,23,50.72439
12.183356,16,51.028959
6.151792,7,51.151115
10.884514,10,51.345194
4.207904,5,51.445027
113.818917,165,54.652399
167.046632,246,59.257304
9.968878,11,59.461812
3.530422,4,59.539827
13.467883,19,59.893904
7.15763,8,60.048009
6.139708,7,60.174074
4.250614,5,60.278855
136.650029,200,64.052702
7.018741,8,64.211546
13.892523,15,64.507578
18.381685,22,64.937844
25.639691,34,65.596063
4.229316,5,65.690226
4.126938,5,65.785583
12.613144,17,66.123641
11.694985,14,66.41792
3.382987,4,66.493981
7.275805,8,66.647354
3.446614,4,66.728547
14.097754,21,67.166223
2.545549,3,67.228867
3.48995,4,67.318403
17.074424,20,67.722229
8.098772,9,67.915407
19.773765,24,68.394214
14.036442,15,68.689848
6.520265,7,68.836027
27.040242,35,69.545563
14.703739,16,69.888194
4.618075,5,69.994136
5.022453,6,70.10932
16.505192,19,70.499958
71.430706,101,72.432861
12.013716,14,72.695553
4.406103,5,72.782145
4.552596,5,72.870048
10.561659,10,73.06314
5.256659,6,73.175706
5.367573,6,73.287483
13.776891,15,73.546465
10.552386,10,73.724468
199.183483,293,79.246837
4.392427,5,79.347135
13.165523,14,79.60521
3.505885,4,79.686478
10.451209,10,79.887605
5.473863,6,80.009696
17.314266,20,80.406716
2.594594,3,80.468699
2.611377,3,80.53369
11.926063,12,80.78547
19.085862,23,81.255432
12.087063,14,81.53518
69.90723,99,87.556549
14.661147,16,87.835985
106.64966,154,90.601664
14.446305,16,90.884435
59.02938,84,92.417669
7.359201,8,92.573741
49.319338,68,93.837766
28.083605,38,94.487704
4.99392,6,94.591083
95.795544,231,98.711536
33.653951,45,99.525491
6.506738,8,99.671124
143.257422,209,103.352742
18.432254,22,103.77481
10.248178,12,104.00449
6.324265,7,104.135171
11.262785,13,104.376343
69.290669,99,106.178639
4.440684,5,106.272816
14.027263,21,106.666275
5.426927,6,106.786395
10.692845,10,106.966504
5.248247,6,107.081118
4.20197,5,107.175836
10.71222,12,107.399773
60.333448,86,108.988364
5.256377,6,109.111554
15.096043,17,109.442808
15.821747,18,109.784895
13.862874,15,110.072324
83.099546,119,112.204705
46.578448,104,114.125231
17.010427,20,114.498528
6.978227,8,114.656746
15.133154,17,114.972363
13.001401,18,115.303061
3.407417,4,115.375687
173.1664,254,119.933933
31.045148,41,120.687662
27.828457,36,121.350146
30.893962,64,122.479497
7.301504,8,122.628903
4.947666,6,122.747797
13.07867,14,123.017083
13.856593,15,123.293641
83.24749,119,129.601423
80.914403,117,131.663733
243.134913,359,137.920458
90.267755,130,140.191783
4.223039,5,140.293689
184.620832,271,144.9188
16.495311,19,145.261065
164.587141,241,149.433767
73.963838,105,151.314882
264.061124,390,158.192109
241.181845,358,168.589822
360.919202,536,177.348482
222.471398,328,182.663167
183.222735,270,186.841421
83.677974,200,189.888757
853.183488,1275,213.873628
479.961386,715,225.000826
5365.62297,8043,376.342726
802.400936,1198,399.325304
589.755326,879,413.192817
14816.500314,22219,813.598459
242.01309,358,819.280413
1835.772564,2748,867.031873
1142.133367,1709,898.563419
757.147765,1130,920.566445
321.688483,477,928.10598
3458.341917,5182,1024.044781
21.647,27,1024.480191
164.995684,242,1028.436032
22.399109,28,1028.898396
134.984644,197,1032.077377
23.032505,29,1032.555643
37.663014,51,1033.390909
18.587915,23,1033.767839
19.711616,24,1034.163996
19.001209,23,1034.546679
23.170447,29,1035.028598
