#{"t_start": 1774735576.1030297, "env_id": "continuous-highway-v0"}
r,l,t
2.15579,17,20.536705
2.011821,15,21.061537
5.524661,14,21.599767
5.573291,13,22.140554
6.050621,16,22.878821
6.56364,15,23.690131
4.987512,13,24.315999
5.617296,14,24.888101
6.088398,14,25.433649
4.514059,13,26.031223
0.522259,13,26.634557
4.626569,12,27.180924
6.862255,16,27.80724
1.657558,16,28.667283
1.217886,15,29.439217
0.92073,13,30.076687
7.340578,17,30.728909
5.22932,13,31.240404
4.705549,12,31.686349
0.98155,14,32.237312
0.494431,13,32.781884
5.161027,13,33.302179
5.485068,14,33.976788
4.421075,12,34.622337
5.910607,14,35.148923
5.603627,14,35.593606
5.42652,13,35.954693
4.425277,12,36.288438
5.999645,14,36.686115
6.470404,15,37.10983
6.435765,15,37.933914
5.30976,14,38.341317
6.747341,15,38.858523
5.623174,14,39.262041
5.656568,14,39.651164
4.773254,13,40.113279
0.957326,14,40.831098
6.668908,15,41.306203
5.996847,14,41.76943
6.325341,14,42.16478
0.84602,14,42.550562
0.733493,14,42.919583
5.368914,13,43.47869
5.958766,16,44.381774
6.847476,16,44.961399
5.804986,14,45.523621
1.068699,15,46.090289
6.162965,15,46.727859
5.718877,14,47.345095
6.39752,15,47.985997
4.481186,12,48.470249
5.090695,14,49.064705
1.446483,15,49.668059
5.467048,13,50.309433
5.448861,13,51.105975
1.25754,15,51.72616
7.33225,16,52.387044
5.178599,13,52.929742
1.273214,15,53.515133
5.714969,14,54.233289
6.436092,15,55.072293
1.211525,15,55.784417
5.328554,14,56.576945
4.947186,13,57.257549
4.578549,12,57.71733
5.306825,13,58.249232
2.028384,16,58.921099
6.497203,15,59.4878
1.733234,16,60.140758
1.019091,14,60.744468
7.147097,15,61.412048
5.530105,14,62.140118
4.98092,14,62.737368
5.484581,13,63.201635
5.392677,13,63.673622
6.544949,15,64.216819
4.244739,12,64.649847
1.123728,14,65.198515
6.409552,14,65.776204
6.433848,16,66.412438
6.854611,15,66.982806
1.327188,14,67.478639
4.871959,12,67.930655
4.928518,13,68.394243
0.93567,14,68.914606
6.722574,15,69.407696
5.812888,14,69.960118
5.293811,12,70.402871
6.742943,15,70.942863
6.2634,14,71.334466
6.137316,14,71.714264
0.850602,14,72.100767
6.657135,17,72.559253
4.483987,12,72.9056
4.963387,13,73.270789
1.703065,15,73.683265
6.090736,15,74.400135
5.939749,14,74.832398
5.734028,14,75.368275
4.802715,13,75.750866
0.623685,13,76.105562
5.700903,14,76.495653
5.991774,15,76.909915
6.472645,16,77.72001
5.263819,14,78.158302
6.40534,16,78.734604
6.183073,14,79.135065
5.8799,15,80.026657
5.650156,15,80.502722
4.716011,13,81.059468
5.411239,13,81.736583
5.574575,14,82.23085
5.604095,14,82.782781
5.465298,13,83.364288
1.374754,14,83.868294
5.922089,15,84.446405
5.657572,14,84.826764
4.823256,12,85.160243
6.168014,15,85.563368
4.912196,12,85.870938
5.769032,14,86.546019
5.44227,13,86.991863
5.647662,14,87.48269
5.925963,16,88.248261
6.028532,14,88.803361
5.579316,13,89.414277
5.329445,13,89.906039
6.399461,15,90.416049
6.468714,15,90.997699
5.882216,14,91.519286
4.111927,11,91.908307
5.254307,13,92.464109
1.216909,15,93.177579
4.714628,13,93.817419
4.722373,13,94.482482
5.435133,14,95.191427
4.931281,13,95.643938
6.530834,16,96.235437
6.789764,16,96.822256
5.583898,14,97.475421
5.159655,13,98.175222
0.824877,13,98.669686
6.641219,15,99.396343
1.711048,14,100.223587
4.237815,12,100.682356
4.753718,13,103.128594
1.167616,15,103.68269
6.399771,15,104.277937
6.240451,15,105.250287
4.798175,12,105.719373
6.787325,15,106.282265
1.724239,15,106.894405
5.647464,13,107.437993
6.886236,15,108.209132
5.828329,14,108.77141
4.976417,13,109.24428
2.39909,16,109.799824
1.546972,15,110.274712
6.789067,15,110.884784
5.138643,13,111.398731
2.508552,16,112.01465
4.666237,12,112.454696
1.285226,15,112.90491
5.721057,14,113.825047
6.38527,15,114.740842
1.305705,14,115.21995
4.724666,13,115.722004
6.52036,15,116.244675
4.474043,12,116.779556
5.834397,14,117.457022
5.479059,13,118.060368
6.08538,14,118.565415
1.39393,15,119.179124
4.603561,12,119.670995
6.920593,15,120.242624
5.07636,13,120.760445
5.506258,13,121.249623
5.941214,14,121.635711
6.170225,15,122.054012
6.048175,15,122.45422
5.092447,13,122.806559
5.513703,14,123.189818
5.855892,14,123.565472
6.254875,14,123.939495
5.694099,14,124.335851
6.561968,15,125.071593
6.453159,15,125.60765
5.778146,13,126.115038
4.759113,13,126.659727
4.846586,13,127.158758
0.490388,14,127.650115
6.623493,16,128.117229
0.591555,14,128.476108
6.058762,14,128.914682
4.868907,13,129.649814
1.895523,15,130.155586
5.931053,14,130.556597
1.83197,16,131.011862
5.445975,13,131.634687
5.062172,13,132.089342
5.356693,13,132.613805
1.616409,15,133.20926
4.73215,13,133.603714
2.1202,15,134.009507
4.393979,12,134.335512
4.41888,12,135.082376
7.083392,15,135.926426
5.91547,13,136.448532
5.740765,14,137.164726
5.503211,14,137.864919
6.154281,15,138.725049
5.47126,14,139.480393
0.55974,13,140.092978
6.258777,14,140.640024
1.039683,14,141.195277
5.402841,13,141.802877
4.955112,13,142.48369
6.327717,15,143.251102
5.160274,13,143.895776
5.998453,14,144.630267
4.848026,12,145.33703
4.792844,12,145.968112
1.343349,14,146.632639
6.737825,15,147.300539
0.785624,13,147.897328
5.272983,13,148.541878
5.453674,13,149.177154
0.535365,13,149.705586
6.54262,15,150.243549
6.966738,16,150.910404
1.731071,15,151.742955
0.995358,13,152.441552
5.589237,14,153.189122
6.101361,14,153.868178
5.384942,13,154.364412
5.672665,14,154.926341
5.448837,13,155.509446
5.98088,14,156.096135
5.342819,13,156.679631
5.761397,14,157.251412
6.81646,15,157.850479
5.219564,13,158.58557
4.02234,11,159.149927
4.180918,12,159.792938
5.139731,12,160.356894
6.116773,14,160.979673
4.714243,12,161.494962
5.612957,14,162.122654
4.606081,12,162.611533
4.358163,12,163.092973
4.5606,12,163.647349
5.673718,14,164.348142
5.341826,13,164.95713
4.976145,14,165.475254
5.31113,13,165.980427
5.695034,14,166.3691
6.035836,14,166.764767
6.367979,14,167.153383
