#{"t_start": 1774360640.7723036, "env_id": "continuous-highway-v0"}
r,l,t
5.87766,15,6.286246
1.681305,15,6.673162
6.399974,15,7.073982
5.391504,13,7.418127
6.440993,17,7.861403
5.769211,14,8.220854
6.996797,16,8.628049
6.617809,15,9.023805
6.48965,15,9.419338
5.927275,15,9.803105
6.16229,15,10.212427
6.47905,15,10.609497
5.422189,14,10.982789
1.911909,16,11.404535
6.835203,15,11.802025
5.650977,14,12.174165
2.491659,17,12.600285
1.936312,15,12.983137
5.279644,13,13.318723
4.721253,12,13.631844
5.544551,13,13.969829
5.021471,13,14.305197
4.818473,12,14.629137
5.198207,13,14.978546
7.538798,18,15.429815
6.251292,14,15.802769
5.958947,14,16.176113
1.395017,14,16.53712
1.963656,16,16.970204
6.298251,16,17.402955
5.537853,14,17.763312
5.291737,13,18.100685
4.766488,13,18.439913
0.515295,14,18.803081
5.313106,14,19.163776
5.391949,13,19.501255
5.688262,14,19.876758
6.011671,14,20.236964
0.585287,13,20.57553
2.38887,16,21.008602
5.744495,14,21.383998
4.706454,12,21.723999
6.7607,17,22.209169
5.276637,14,22.594069
4.901096,13,22.949607
0.712278,14,23.684999
5.532529,14,24.114402
5.27311,13,24.586246
1.325929,14,25.183675
5.976825,14,25.770075
5.709365,15,26.33229
4.222414,12,26.839719
6.482665,14,27.395857
0.700872,13,27.748034
6.467328,16,28.170603
5.845037,14,28.548126
4.521658,12,28.865528
5.863564,14,29.236351
5.631082,14,29.610724
0.221944,14,29.97632
6.239715,14,30.349191
6.400806,15,30.73888
5.90194,14,31.112295
6.567376,16,31.532454
6.2674,14,31.880789
5.352999,14,32.254134
1.487214,14,32.613637
6.826142,16,33.046713
5.777571,14,33.423651
3.128023,17,33.882398
6.279846,15,34.278667
5.453608,15,34.674316
5.245395,13,35.024702
5.371664,13,35.364657
5.647833,14,35.740756
6.372712,15,36.13993
5.283718,13,36.478113
0.470994,13,36.830281
5.546916,15,37.228003
6.184691,14,37.602731
5.435722,13,37.942162
5.784451,13,38.294722
5.862991,14,38.670633
5.95975,14,39.045597
5.265541,13,39.382674
6.727113,16,39.803511
0.916885,13,40.143183
0.843202,14,40.505581
5.423167,13,40.831359
4.74778,12,41.134418
6.280281,14,41.510181
6.592607,16,41.91693
0.509348,14,42.291763
1.482624,14,42.665342
6.427274,15,43.061641
0.947919,14,43.436755
6.348345,15,43.821591
4.505025,12,44.150474
5.316185,14,44.525258
5.638935,13,44.864313
7.159848,16,45.285532
6.251877,15,45.683585
6.187464,15,46.069661
1.403505,15,46.468895
5.854001,15,46.869896
6.100694,14,47.247053
1.198401,15,47.642027
3.092179,18,48.106631
6.220382,15,48.502446
1.102155,14,48.862911
5.624219,14,49.248786
4.979294,14,49.623468
5.347501,13,49.960601
5.821926,14,50.321187
5.666596,15,50.718466
5.836533,14,51.093003
5.138548,13,51.524537
5.687147,14,52.210088
4.421994,12,52.573452
6.063023,14,53.162787
5.261152,13,53.749208
5.674699,14,54.249916
1.940868,17,54.691808
4.834997,13,55.041784
5.970336,14,55.414889
5.268935,13,55.75324
4.789772,12,56.081091
5.529082,14,56.4544
7.509446,16,56.861549
5.80387,13,57.21282
6.427167,15,57.609417
4.951806,13,57.961096
5.398397,14,58.335168
6.962108,16,58.756067
0.403881,13,59.108113
5.987916,15,59.504998
6.835899,16,59.913216
6.307946,16,60.3362
5.258414,13,60.687968
6.20354,14,61.061187
5.445791,13,61.398745
-0.220054,12,61.715092
5.59282,14,62.090304
6.304622,16,62.523518
6.924287,16,64.588917
4.494284,13,64.941833
5.651752,14,65.316828
5.682546,13,65.657547
4.583669,12,65.974852
