#{"t_start": 1774593737.1890516, "env_id": "continuous-highway-v0"}
r,l,t
5.301758,14,13.615921
0.612635,13,14.071377
4.938628,13,14.53388
6.529172,15,15.086141
1.696826,15,15.654888
6.88973,15,16.239195
6.682433,16,16.85587
5.728986,14,17.407132
6.2732,14,18.043808
5.493481,13,18.627764
7.26451,17,19.43712
4.948754,12,20.023456
5.418721,14,20.632723
6.075565,15,21.226382
6.439561,16,21.817566
7.811429,17,22.469976
5.505217,13,22.952456
7.033171,16,23.52546
6.871934,15,24.038265
4.97296,13,24.631829
6.221473,15,25.341755
6.029062,14,25.858764
1.248458,15,26.451756
4.031194,12,26.809059
5.828846,14,27.441478
5.673639,13,28.05966
4.57114,12,28.418083
6.527351,14,28.909736
5.691233,14,29.445176
4.001641,11,29.857061
5.595331,14,30.260228
6.461809,15,30.687872
6.2877,14,31.085862
5.28488,13,31.46373
3.931146,11,31.948731
5.515555,13,32.636013
6.657279,15,33.152732
5.420203,14,33.674436
6.425575,14,34.208537
7.042407,15,34.770981
7.500448,16,35.324972
5.057595,13,35.8249
5.537666,14,36.390256
5.905607,14,36.989356
5.337315,14,37.672401
6.323813,15,38.551675
5.360793,13,39.155602
5.152476,13,39.740268
4.897372,13,40.197242
5.359306,14,40.682738
1.115956,14,41.332836
5.786093,14,41.992002
6.177234,14,42.598574
6.736095,15,43.162434
1.285331,14,43.773583
5.490548,14,44.45131
5.551252,13,45.040967
5.593288,13,45.475639
5.308635,13,45.913609
6.46562,15,46.379893
4.885031,13,46.773113
5.194561,13,47.192456
6.859882,15,47.70166
5.315984,13,48.131115
1.478619,14,48.639044
0.530101,13,49.083777
5.317528,13,49.564772
6.973017,17,50.019064
5.464342,14,50.402754
6.384192,15,50.793794
5.878982,14,51.160794
5.30418,12,51.480398
5.029584,13,51.841188
5.678479,14,52.323994
5.705764,14,53.023412
6.13647,15,53.692444
4.970505,13,54.196327
4.797403,12,54.640833
6.756959,15,55.088262
5.444759,13,55.601794
5.237577,14,56.088143
5.710258,14,56.615594
4.257459,12,57.085533
6.054192,15,57.780794
6.313675,14,58.493511
6.22893,15,59.126646
1.474513,15,59.654603
6.740063,15,60.288677
5.344918,14,60.881767
6.205947,15,61.6196
4.21135,12,62.167973
5.049732,13,62.890116
2.465799,16,63.672761
5.743585,14,64.320684
6.034399,14,64.861387
6.063527,14,65.416728
5.663538,14,65.969093
5.70095,14,66.523504
4.647306,13,66.962364
5.476166,13,67.455871
7.626785,17,68.127542
2.216774,16,68.9814
5.440175,13,69.566692
4.931276,12,69.980035
5.652666,14,70.429254
1.096922,14,70.902472
5.905547,14,71.394202
5.799363,14,71.915596
5.307191,14,72.4039
5.674579,13,72.841214
5.543118,14,73.36154
6.303094,15,73.901689
5.884348,14,74.379677
4.727022,12,74.81408
4.313716,12,75.322641
