#{"t_start": 1774731510.3616164, "env_id": "continuous-highway-v0"}
r,l,t
5.483925,13,31.264255
2.739059,16,31.746019
1.763442,14,32.191244
4.985908,13,32.605305
5.1461,13,33.011694
7.075198,16,33.48877
5.546978,14,33.938316
6.237998,14,34.36749
5.433758,14,34.820982
5.018995,12,35.191763
5.49849,14,35.619247
5.816148,13,36.02697
5.541615,13,36.441736
5.876908,14,36.897712
6.316939,14,37.349441
0.585411,14,38.030312
4.638226,12,38.600664
0.317038,13,39.226118
5.385249,14,39.762904
5.284279,13,40.217066
2.131203,16,40.859078
5.672365,13,41.389004
5.784823,14,41.947236
4.956759,12,42.443267
5.620374,13,42.948016
4.548883,12,43.450039
1.19144,15,44.173209
5.520852,14,44.970923
4.9995,13,45.575638
5.803044,14,46.189492
5.456503,13,46.727531
4.896978,12,47.235214
5.246985,13,47.753254
6.213563,14,48.384561
5.259073,13,48.964159
4.545427,12,49.431535
1.552791,15,50.030088
1.247553,14,50.588215
5.075272,12,51.067923
5.74371,14,51.576409
6.243626,14,52.099901
5.918076,14,52.691325
5.682273,14,53.330034
0.96763,15,54.056874
7.451555,17,54.864522
5.792521,14,55.504477
5.699756,13,56.17151
6.402458,16,56.867429
5.631709,14,57.612324
6.566043,16,58.419784
5.908947,14,59.1095
4.973406,13,59.669019
5.548353,14,60.239123
6.022739,14,60.779014
5.201636,14,61.302629
5.174,13,61.844868
5.629586,14,62.388096
6.547926,15,62.987829
5.974231,14,63.564743
1.037694,14,64.163367
5.562203,14,64.633492
4.709716,12,65.120144
5.29761,13,65.713862
6.445933,15,66.357564
4.082214,11,66.848466
5.310538,13,67.416519
4.995648,12,67.968036
1.327478,14,68.668075
6.354923,15,69.378371
6.200598,14,69.99228
5.893993,15,70.678503
6.13553,14,71.17479
5.673326,14,71.681212
6.245396,14,72.122108
3.778404,11,72.520997
4.87202,12,72.989925
4.985105,13,73.451771
5.768704,13,73.897121
0.030246,13,74.390723
5.155029,13,74.852993
5.026674,13,75.338485
6.606614,15,75.901065
1.693532,14,76.60426
5.300009,13,77.192017
4.605022,12,77.753331
5.642889,14,78.38175
5.891647,15,79.108724
1.353307,15,79.80799
6.485896,14,80.453139
4.746502,12,80.986811
5.972817,14,81.606364
3.718524,11,82.110381
5.960816,14,82.739132
5.128148,13,83.339277
1.062383,15,83.888819
5.125319,12,84.335695
5.419501,14,84.907559
2.440909,16,85.486389
5.902335,13,86.030893
5.377696,13,86.497341
5.982028,14,86.99806
2.164287,15,87.631811
5.560565,14,88.131583
1.18826,14,88.634472
0.478938,13,89.161848
4.919337,13,89.668186
0.94656,14,90.164124
6.045101,14,90.797394
6.384921,16,91.531052
6.017578,13,92.218463
5.743564,13,92.886359
5.487861,13,93.480462
1.938016,15,94.143563
0.742987,14,94.67435
1.720561,14,95.231773
6.827157,15,95.798669
6.959448,16,96.352194
1.281803,15,96.904643
5.217426,14,97.462236
5.872964,14,98.02135
6.603707,15,98.617757
6.179352,14,99.173639
6.703673,16,99.796408
5.305251,14,100.360362
7.065868,15,100.972516
4.642875,13,101.503241
0.815515,14,102.075844
1.782929,15,102.636433
6.348373,16,103.197347
6.931753,16,103.693169
2.119717,15,104.319471
5.785199,14,105.003335
6.170575,15,105.648979
4.713665,13,106.257546
4.672156,13,106.827782
5.374566,13,107.415162
1.161131,15,107.96493
6.546073,15,108.506537
2.506819,17,109.174197
4.502538,12,109.642901
1.149949,14,110.216752
0.987077,14,110.850628
5.745606,14,111.429569
6.302454,14,112.073286
4.895816,12,112.610338
5.06852,13,113.216713
5.659156,13,113.69765
5.39515,14,114.294815
5.350706,14,117.41321
5.284497,14,117.978414
5.108415,13,118.433147
4.101635,12,118.938944
5.73208,14,119.52493
5.248381,13,120.069056
5.013921,13,120.63831
5.632449,13,121.176167
6.23086,15,121.76209
6.167168,15,122.323435
5.566473,13,122.837366
5.800376,14,123.337668
6.396898,16,123.999312
5.484969,14,124.531981
4.801641,13,125.012293
5.344907,13,125.483644
4.142535,12,125.967539
5.569032,14,126.462663
4.635227,12,126.930411
4.882779,13,127.476115
3.078629,17,128.133011
3.660226,11,128.583248
2.617487,16,129.161198
-0.59863,12,129.601231
7.140888,17,130.423675
4.9694,12,131.023933
6.704724,15,131.62593
5.192632,13,132.076483
5.956365,14,132.625254
0.909719,15,133.210523
6.539526,15,133.775532
4.711593,13,134.276465
4.768445,13,134.772875
5.573372,13,135.322951
5.941956,14,135.886775
4.305894,13,136.479779
4.290718,12,137.042777
1.455134,15,137.688809
4.615215,12,138.18068
0.947776,15,138.843194
6.293224,15,139.413852
1.938356,16,140.055762
1.474867,15,140.637928
6.413753,15,141.227326
6.349499,16,141.871672
0.527507,13,142.403978
1.061225,14,142.985224
-0.76681,11,143.427206
1.192626,15,144.036898
5.181582,13,144.548336
5.290437,13,145.104462
5.096484,13,145.638704
5.581287,14,146.186252
6.902478,15,146.787669
6.269523,14,147.381069
5.057835,13,147.92087
6.368017,15,148.477272
4.826248,13,148.991087
5.533761,13,149.453673
6.298975,14,149.923406
1.545579,15,150.409168
4.622783,12,150.814616
4.581095,13,151.38846
6.036565,14,152.023371
4.807871,12,152.536139
1.197815,15,153.218102
5.933732,14,153.855863
