#{"t_start": 1774746195.8210177, "env_id": "continuous-highway-v0"}
r,l,t
3.527437,11,18.149836
3.231425,11,18.536714
2.987921,11,18.913634
3.867678,12,19.336496
3.661889,11,19.710583
4.236995,12,20.132335
4.096718,13,20.577803
3.547024,11,20.950615
3.483216,12,21.354881
3.312919,12,21.761608
-1.040008,11,22.138514
3.532399,11,22.527534
3.986046,12,22.945894
2.180721,9,23.244281
3.58645,11,23.615628
4.890286,14,24.076471
0.149885,13,24.52518
3.586709,12,24.926026
4.547364,13,25.37217
-0.524137,12,25.789916
3.682605,11,26.177872
-0.634365,12,26.594803
3.358138,11,26.980675
3.294053,11,27.351863
-0.818502,12,27.769378
3.990494,12,28.173407
-1.020623,12,28.59002
3.304628,11,28.961599
3.401494,11,29.333638
-1.178048,12,29.737656
3.362586,11,30.126594
4.199514,12,30.546827
2.765322,10,30.891799
-1.109555,12,31.311906
3.298729,11,31.688055
-0.742526,12,32.110901
-1.013464,12,32.517102
-0.273157,13,32.96235
-0.07659,13,33.424501
-0.341519,12,33.845701
-0.500602,13,34.294857
3.201297,11,34.7813
-0.97855,12,35.607825
3.147471,10,36.084116
3.047234,10,36.442195
-0.668279,13,37.1115
-0.102752,13,37.747306
2.803606,10,38.262231
3.611266,11,38.783452
3.125461,11,39.36759
3.862726,11,39.858467
2.591281,10,40.200558
3.99825,12,40.619425
3.569767,12,41.036363
3.954132,12,41.472278
5.07491,13,41.921609
4.282717,12,42.323746
-0.084789,13,42.768539
0.016346,14,43.24308
4.105213,12,43.657968
4.152782,12,44.072778
-0.41849,13,44.516944
3.752904,11,44.889017
4.74006,12,45.302492
3.416345,11,45.68868
2.479263,10,46.046159
3.94279,12,46.451529
2.647349,9,46.750404
4.458343,12,47.173695
3.081608,11,47.569229
-0.73676,12,47.988878
3.999856,11,48.377661
3.169939,11,48.750061
2.895717,10,49.10885
4.150795,12,49.527465
3.047558,11,49.902037
-1.522372,11,50.295695
3.07644,11,50.669766
3.686271,11,51.044252
3.41967,11,51.416135
3.381742,11,51.791278
4.414079,12,52.199379
-0.483723,12,52.588436
3.917328,11,52.932521
2.652,10,53.261694
3.850493,12,53.682985
3.214252,11,54.058712
2.908287,10,54.399642
3.944557,11,54.772069
3.279358,11,55.157643
-1.699509,11,55.542424
3.519822,11,55.898194
2.376507,10,56.241395
3.586478,11,56.626465
-1.574114,11,57.010571
4.413759,13,57.452463
4.409192,12,57.865571
3.473467,11,58.24627
4.520475,12,58.658157
4.223299,12,59.07262
-0.365165,13,59.517616
2.979386,11,59.888394
2.711685,10,60.229432
3.122763,10,60.585631
-0.537799,13,61.030613
3.872678,12,61.429352
3.254943,10,61.768337
2.943047,10,62.124585
2.660587,10,62.619384
3.200519,11,63.318832
3.80054,12,64.02987
-0.866602,12,64.487036
3.434616,11,65.088881
-1.334561,11,65.641729
-0.739574,12,66.204484
2.901714,10,66.71435
1.975768,9,67.176212
3.008244,10,67.518385
3.92942,12,67.938486
3.169326,11,68.32691
0.084359,14,68.808927
-1.711349,11,69.199558
3.242851,11,69.58861
3.87065,12,70.006231
4.272833,12,70.411993
3.692853,11,70.802843
4.288626,12,71.222641
3.213931,11,71.614776
3.58222,11,71.988083
-1.890637,11,72.363501
-1.154389,12,72.796732
3.680299,11,73.186368
3.720527,11,73.558627
3.92858,12,73.963799
2.947801,10,74.295321
4.4318,13,74.760194
-0.26352,13,75.209842
3.458889,12,75.631886
3.399402,11,76.019569
-0.193886,13,76.467952
-0.384581,12,76.884873
4.498207,13,77.316336
3.479957,11,77.691438
4.494207,12,78.094135
3.469396,11,78.466293
3.693562,11,78.856096
3.509233,11,79.243068
3.450702,11,79.628905
-0.481316,12,80.030442
3.641885,11,80.420827
3.405558,11,80.8085
3.310459,11,81.197268
2.565371,10,81.541018
4.331199,12,81.941054
3.294453,10,82.267674
-0.290785,12,82.667398
3.088884,10,82.992892
3.215403,11,83.365745
-1.088074,12,83.767103
4.218202,13,84.21013
2.689064,10,84.550551
3.878314,11,84.92154
3.126844,11,85.308809
3.113176,11,85.693791
3.290394,10,86.049011
3.260941,10,86.390527
2.935429,10,86.930917
4.056654,12,87.567752
3.844178,11,87.951338
2.694403,10,88.450782
3.260719,11,89.043626
2.526484,10,89.601836
3.683304,11,90.176605
4.63616,12,90.773783
4.303142,12,91.359692
3.872454,11,91.913909
2.724525,10,92.322
3.984023,12,92.728178
4.480044,12,93.138563
3.725393,12,95.873832
4.625936,12,96.308417
3.662746,11,96.682749
-1.170929,11,97.056945
4.44167,13,97.507632
3.751307,11,97.895813
3.562896,12,98.315197
3.809128,11,98.705259
3.597257,11,99.09478
2.930249,10,99.43721
1.748428,9,99.750268
3.404158,11,100.137971
3.565795,11,100.510124
2.541183,9,100.806813
-0.822567,12,101.224435
3.144549,10,101.569505
3.110468,10,101.928186
3.882209,11,102.31127
3.941787,11,102.693467
3.689848,11,103.077567
2.604331,10,103.431046
3.016291,10,103.785034
3.619755,12,104.18479
3.505908,11,104.542057
2.924471,10,104.882208
3.788961,12,105.282949
3.06031,10,105.621336
3.080955,10,105.946496
4.249177,12,106.348468
3.824981,12,106.753685
3.759685,12,107.161576
2.832906,10,107.491158
-1.333508,11,107.84701
3.554369,11,108.204881
-1.812555,11,108.562479
-0.800245,12,108.961511
4.220771,12,109.363017
3.41502,11,109.747475
2.840265,10,110.091154
4.01945,11,110.467474
3.596005,11,110.860184
3.921586,12,111.282562
-1.767841,11,111.675603
3.383055,11,112.066065
3.474373,11,112.45831
2.093238,9,112.788648
3.01673,10,113.135355
-0.5019,12,113.563824
3.816602,12,114.006681
4.005244,12,114.430013
3.123141,11,114.822697
3.606328,11,115.213376
3.81156,11,115.604289
3.073334,10,115.960669
3.685427,11,116.347008
-0.969894,12,116.768189
4.264928,12,117.192529
3.570223,11,117.580543
3.470212,11,117.950907
3.40274,11,118.339928
3.983931,12,118.75626
-1.33296,11,119.129227
3.90288,11,119.516299
-0.803324,12,119.937456
2.815184,10,120.281582
3.623393,12,120.727712
-0.866904,12,121.50751
3.984738,12,122.247817
3.152972,11,122.636146
-0.003506,13,123.165918
2.762049,11,123.69002
3.550183,11,124.235947
2.590734,10,124.793271
3.640457,12,125.414969
4.280901,13,126.13262
4.013162,12,126.716465
3.565527,11,127.255472
3.337929,11,127.807662
3.257543,11,128.366773
2.845038,10,128.851667
3.377248,11,129.364906
4.055918,12,129.831754
3.474933,11,130.221374
4.302103,12,130.637849
3.242078,11,131.010272
-1.119193,12,131.414347
-0.452001,12,131.83298
3.059822,11,132.221381
2.736607,10,132.549809
3.401787,11,132.924086
3.966502,11,133.299706
3.015537,10,133.64731
3.170242,10,133.977962
3.785291,12,134.397439
3.638254,11,134.773119
-0.564849,12,135.179619
-0.582025,12,135.597796
2.711397,10,135.941397
-0.588807,12,136.347891
4.105496,12,136.766038
2.899716,10,137.126445
-0.962476,13,137.575728
2.354509,9,137.905475
3.156502,10,138.250035
-0.504142,12,138.668889
3.240822,11,139.041975
3.287395,11,139.413812
4.351866,12,139.83151
3.841315,11,140.218811
3.729709,11,140.608833
-0.651855,12,141.024891
3.858112,12,141.440512
3.609134,11,141.81251
3.911451,11,142.199871
4.754537,12,142.603065
-1.749412,11,142.978912
3.511104,11,143.372314
3.75567,11,143.747293
4.151115,12,144.14608
2.974167,10,144.48841
2.005124,9,144.783241
3.505606,11,145.152696
3.2324,11,145.522474
4.578936,13,145.979949
4.157397,12,146.394033
4.290801,12,146.80904
3.04334,10,147.119191
-2.123091,10,147.459134
3.343144,11,147.843588
3.529577,11,148.215877
3.082291,11,148.588089
3.105471,10,148.91631
3.572207,11,149.301841
2.624033,10,149.644267
0.050666,13,150.089233
3.543902,11,150.459845
4.658182,13,150.922618
3.100328,11,151.310004
-1.275477,11,151.697059
4.15581,12,152.098397
3.712118,12,152.514534
-1.210942,12,152.93077
4.040578,12,153.34675
-1.317743,12,153.762264
3.024909,10,154.120596
3.334416,11,154.508538
3.733132,12,154.921991
-0.591245,12,155.337228
2.478922,10,155.679778
3.673621,12,156.098357
2.717589,10,156.440321
-0.509752,13,156.885792
-0.604495,12,157.28518
3.773541,11,157.656114
-1.198734,12,158.055199
3.644512,11,158.424364
-1.243223,11,158.794898
3.284786,11,159.165127
3.170643,10,159.505758
3.279147,11,159.874457
2.895222,10,160.199244
3.920915,11,160.571121
4.569448,13,161.001298
-0.892958,12,161.40757
3.657642,11,161.801996
-1.248391,11,162.187845
3.477078,11,162.572323
4.01481,12,162.973124
4.063198,12,163.361158
3.195037,10,163.718241
4.182438,12,164.117617
4.006021,11,164.505423
4.024819,11,164.877689
3.890216,11,165.248863
4.128733,12,165.66899
2.184958,9,165.981735
3.424339,11,166.369399
3.749093,11,166.891574
2.675062,10,167.494788
-1.233681,11,168.194824
2.683349,10,168.537453
-0.657462,12,169.16571
3.544429,11,169.718866
3.988238,12,170.303784
2.727398,10,173.037677
3.497893,12,173.458431
3.206275,11,173.832056
4.53694,12,174.253584
4.326803,12,174.673302
-0.126411,13,175.12832
3.945422,12,175.537288
-1.114978,12,175.960929
2.679735,10,176.322833
4.196552,12,176.726554
2.543415,10,177.083719
-0.014326,13,177.531422
3.243772,11,177.917642
-1.46584,11,178.30568
3.264947,11,178.689521
3.253708,11,179.062855
3.993035,12,179.467082
3.37221,11,179.853231
2.649999,10,180.191901
3.407543,11,180.577936
-0.078106,13,181.036509
3.794741,12,181.451658
-1.110661,11,181.834959
3.235336,11,182.20604
-0.713195,12,182.622207
3.514388,11,183.009914
3.441638,11,183.395158
3.968651,12,183.808846
3.680176,11,184.194805
-2.316522,10,184.550556
3.103998,11,184.997986
-1.145801,11,185.698588
3.48103,11,186.285813
3.293649,11,186.687891
-0.693508,12,187.307375
-0.484344,13,187.989784
2.596456,10,188.499486
-1.317912,11,189.0828
-1.017816,12,189.570705
3.803191,12,189.981904
-0.318248,12,190.378237
3.875207,11,190.759519
3.235123,11,191.152156
2.960365,10,191.518293
2.902825,10,191.866585
4.18468,12,192.304233
3.216528,11,192.681708
3.289192,11,193.060944
3.339931,11,193.439506
3.506518,11,193.817934
3.496739,11,194.183442
3.492679,11,194.564118
3.092628,10,194.91057
-0.829236,12,195.333477
3.663064,12,195.770218
2.856782,10,196.119666
-1.061655,12,196.546563
-1.802593,10,196.908077
3.656399,11,197.285733
-0.323429,13,197.738057
2.864834,10,198.072097
2.759675,10,198.40503
2.589636,10,198.748822
3.578939,11,199.13891
-0.357444,13,199.589008
3.706264,11,199.976855
3.033134,10,200.335592
3.431903,11,200.726269
4.356949,13,201.160995
2.721361,10,201.521325
