#{"t_start": 1774728541.5382717, "env_id": "continuous-highway-v0"}
r,l,t
5.439911,13,12.119478
7.148073,15,12.447198
7.717694,15,12.852982
2.409088,17,13.582175
6.464688,14,14.052836
7.230404,14,14.386864
6.614793,14,14.863601
6.780774,15,15.363961
6.990259,15,15.863966
7.952742,17,16.284804
6.708609,15,16.61938
6.977708,15,16.936905
2.338127,16,17.296691
6.36195,14,17.605743
7.295256,16,17.948273
6.870553,16,18.317281
7.007769,16,18.666065
7.726018,15,19.020641
6.500764,15,19.330086
6.457028,14,19.633727
6.687878,15,19.955426
6.70237,14,20.247521
7.190206,16,20.578307
7.178021,16,20.94742
6.324029,15,21.270162
8.74925,19,21.678661
8.148107,18,22.07002
6.616626,15,22.763939
5.720832,14,23.3111
6.739804,15,23.702231
7.102667,15,24.166333
8.840852,19,24.770957
6.92092,16,25.332846
7.86894,18,25.946867
3.019216,16,26.424873
7.700401,16,26.910512
7.864888,16,27.432579
6.639125,14,27.880364
3.265029,18,28.281145
8.636692,19,28.697604
7.408892,16,29.056687
8.394535,18,29.466972
8.183666,17,29.84843
7.462893,16,30.204272
8.105049,16,30.567183
2.696902,15,30.916439
7.520406,16,31.271625
5.038558,19,31.695708
6.267028,15,32.014433
7.936384,17,32.389615
8.380027,18,32.807647
6.602021,15,33.13261
7.666308,16,33.501095
8.517216,17,33.893257
6.964327,15,34.237164
7.459972,16,34.601225
6.69323,15,34.931081
6.384038,15,35.267007
7.549882,17,35.650703
8.605741,18,36.050033
6.696919,14,36.372002
7.870992,16,36.736726
7.714442,16,37.076255
8.028021,16,37.430412
3.154168,17,37.802881
6.516341,14,38.121548
5.868711,13,38.403593
7.591344,16,38.776526
2.404423,16,39.292614
6.282817,14,39.882877
5.739199,14,40.403048
2.986398,16,40.818113
6.37966,14,41.282284
7.451797,17,41.835567
7.159481,15,42.309337
5.607283,13,42.738677
6.459962,15,43.186157
5.828087,13,43.61753
4.540878,19,44.189332
7.177561,15,44.717839
6.054018,14,45.187798
5.901967,13,45.493846
5.130121,13,45.780402
8.06359,17,46.148567
8.164133,17,46.507625
2.490425,15,46.810275
5.756769,14,47.106733
6.282091,14,47.401871
3.018753,16,47.749506
8.223252,16,48.090317
7.041606,16,48.427415
6.859162,15,48.732479
6.558769,14,49.018748
7.528815,16,49.348728
3.540043,17,49.713542
6.109192,13,49.999272
8.600681,18,50.387124
6.414519,15,50.709938
7.256472,16,51.05291
7.689545,17,51.415976
6.93454,15,51.726622
6.473691,15,52.031384
6.753294,15,52.350115
7.676293,16,52.68652
7.703035,16,53.024886
5.77483,14,53.333377
3.042688,16,53.677872
6.388541,14,53.987607
7.336454,15,54.309984
3.013756,17,54.668894
8.010897,17,55.030643
5.986706,14,55.316479
6.435704,15,55.626593
6.479055,14,55.920798
6.545799,14,56.231966
7.770178,15,56.560708
6.962401,15,56.886216
6.115986,14,57.194588
9.25534,18,57.578655
7.17444,15,57.896351
7.745641,18,58.26869
6.03224,14,58.569687
7.871042,16,59.216051
7.004456,17,59.880611
3.00784,17,60.319218
6.99552,15,60.723111
7.380395,16,61.247653
8.620963,17,61.782678
3.344642,17,62.314419
9.343025,19,62.740751
6.109794,14,63.05072
1.71739,15,64.686095
8.147535,17,65.041124
7.151166,15,65.358058
8.511229,17,65.741956
4.568916,19,66.15207
8.416447,19,66.554239
6.924163,15,66.874762
6.02715,14,67.152811
7.118721,15,67.46932
6.82013,15,67.791861
6.15977,15,68.084987
8.188028,16,68.659067
7.791664,17,69.356601
8.025221,19,69.836117
6.152783,14,70.206924
7.106878,15,70.673216
7.067971,15,71.141851
7.174169,16,71.663859
7.76927,16,72.209209
6.474093,14,72.635837
8.385992,18,73.25189
5.973668,13,73.656034
6.559732,15,73.993571
6.115413,14,74.308955
2.221472,15,74.638989
5.52562,13,74.923637
6.67298,15,75.248883
7.457143,16,75.606531
8.194457,16,75.952123
1.745998,14,76.236179
7.408607,17,76.618761
6.089669,14,76.940278
7.020796,15,77.253838
7.877184,17,77.596487
8.172757,18,77.988276
7.388662,15,78.314295
7.458161,16,78.662292
6.371335,15,78.983906
2.893783,17,79.342329
7.506214,15,79.661907
7.742795,17,80.038244
7.405451,17,80.412557
4.806255,12,80.653579
6.27651,14,80.965429
7.057094,15,81.276621
6.685797,15,81.599908
8.17833,17,81.96984
6.500338,15,82.279983
7.883131,16,82.630484
8.744987,18,83.019516
1.456294,14,83.319046
6.609227,16,83.642086
7.417075,17,84.005866
8.561979,18,84.397555
5.485003,13,84.67012
6.618308,15,85.188636
7.880829,17,85.769799
6.686619,15,86.149833
7.884269,18,86.737158
6.899691,15,87.135166
7.34356,16,87.474564
7.407257,15,87.809299
7.681713,17,88.178777
9.172152,19,88.620582
8.280968,17,88.978791
7.789681,17,89.571591
5.635269,14,90.101285
8.213163,16,90.632598
6.537192,15,91.016333
6.384906,16,91.486674
4.634673,19,91.909158
7.302772,16,92.233607
8.514116,19,92.652227
7.098269,16,93.002395
6.353468,15,93.304011
8.760538,18,93.685866
4.038915,17,94.042136
7.225068,16,94.619355
5.436808,13,95.14512
7.513607,17,95.831896
6.72311,14,96.159855
6.861688,15,96.572049
6.599535,15,96.932744
8.384071,18,97.326902
8.104871,17,97.699065
7.085482,15,98.010983
8.575134,18,98.392358
7.853997,18,98.801634
7.501314,18,99.180407
7.802978,17,99.568586
6.270055,14,100.071014
7.341725,15,100.619577
7.589621,16,101.145183
2.898088,18,101.578506
8.224177,17,102.086929
9.015766,18,102.539762
7.267838,16,102.900816
3.63391,18,103.310322
7.992186,16,103.669136
7.73484,17,104.045199
6.761323,16,104.397126
7.516009,16,104.750142
2.592508,16,105.101672
7.615837,15,105.528114
6.858328,15,106.238876
7.065634,15,106.852926
6.057511,13,107.143662
6.945746,15,107.664897
8.822117,18,108.170686
6.43474,14,108.475034
5.88241,14,108.792579
2.020319,15,109.113776
6.564802,15,109.433363
7.686863,17,109.784829
7.792314,17,110.15677
