#{"t_start": 1774360642.8888376, "env_id": "continuous-exit-v0"}
r,l,t
0.531839,2,6.627678
0.874095,3,6.783928
0.5129,2,6.882525
0.533702,2,6.998052
0.974263,3,7.176933
1.292885,4,7.409767
0.497882,2,7.506903
2.509335,7,7.875044
0.367242,2,7.991768
0.520635,2,8.109525
0.49158,2,8.210152
0.532008,2,8.328987
0.531395,2,8.428011
0.336708,2,8.544297
2.779659,8,8.999305
1.271546,4,9.195534
0.899331,3,9.353167
1.653666,5,9.622674
0.4853,2,9.724906
0.535049,2,9.823455
0.328145,2,9.945873
0.541497,2,10.060933
0.52395,2,10.17584
0.923568,3,10.313268
0.558342,2,10.428252
0.564423,2,10.52767
0.53359,2,10.626313
1.218824,4,10.824399
0.877051,3,10.962112
-3.230611,6,11.268512
-3.211122,5,11.541509
0.541989,2,11.655353
0.538333,2,11.772149
1.690471,5,12.030113
-3.488126,5,12.309885
-3.508695,4,12.548014
0.555774,2,12.645645
0.524722,2,12.74488
2.901016,7,13.116257
0.525337,2,13.213174
0.932216,3,13.368495
0.3231,2,13.482772
0.535856,2,13.583107
1.245626,4,13.779728
0.985654,3,13.916942
0.515952,2,14.033986
0.928705,3,14.208923
1.950162,6,14.541087
0.560375,2,14.638567
0.949713,3,14.794537
0.323203,2,14.913389
0.88887,3,15.071082
0.572103,2,15.18812
0.926855,3,15.361151
0.538332,2,15.47603
0.785907,4,15.670286
0.526335,2,15.766928
0.32305,2,15.880726
0.938895,3,16.03713
-1.898814,8,16.501055
0.515792,2,16.615097
1.080352,4,16.82931
0.520463,2,16.94605
1.640862,5,17.203139
0.528675,2,17.300269
0.528028,2,17.39929
0.550568,2,17.515557
0.548261,2,17.631868
2.313845,7,18.00236
2.259822,7,18.380462
0.740202,3,18.555913
0.554586,2,18.669688
0.56198,2,18.785848
0.550593,2,18.884081
0.557981,2,18.998962
1.545745,5,19.272606
0.520083,2,19.387618
0.533566,2,19.483488
0.502546,2,19.598332
0.900744,3,19.754238
0.473313,2,19.850744
2.099927,6,20.145215
0.337802,2,20.260179
0.518531,2,20.374443
2.730397,7,20.729814
1.139916,4,20.94152
0.545177,2,21.058365
2.04346,6,21.365729
0.552682,2,21.480712
0.539424,2,21.596331
0.569337,2,21.710378
0.887001,3,21.865988
-2.710924,6,22.195598
1.845705,6,22.491083
-3.750613,4,22.68635
-2.171103,7,23.062137
0.327805,2,23.177716
0.906294,3,23.34938
0.513925,2,23.464572
0.941708,3,23.619147
0.513932,2,23.734955
0.549936,2,23.833163
0.356203,2,23.94969
1.294129,4,24.177345
4.941214,13,24.869273
0.528104,2,24.984776
0.513673,2,25.102325
0.512181,2,25.219466
0.343154,2,25.33793
1.869861,6,25.647007
0.342998,2,25.743416
0.544781,2,25.858459
0.477257,2,25.956875
0.543914,2,26.055445
0.926728,3,26.21282
0.541863,2,26.330759
0.484219,2,26.428966
0.513346,2,26.543972
1.871361,6,26.857283
1.148059,4,27.091229
0.365329,2,27.206385
1.488158,5,27.478795
-1.130907,9,27.953349
0.53669,2,28.068454
0.322414,2,28.186321
1.705271,5,28.443546
0.53857,2,28.558553
0.536444,2,28.672303
0.534271,2,28.768704
0.704894,3,28.924336
0.546579,2,29.043069
0.534833,2,29.141761
2.762632,7,29.473572
0.93372,3,29.628667
0.535377,2,29.74564
0.530964,2,29.861823
0.943973,3,30.018417
-3.26971,5,30.274159
0.945249,3,30.445896
0.324386,2,30.542663
0.443916,2,30.659114
1.456706,5,30.950609
-3.464268,5,31.202873
0.487297,2,31.317136
0.467448,2,31.43346
0.536199,2,31.550025
0.338161,2,31.66532
0.515564,2,31.780962
0.854062,3,31.953775
0.962484,3,32.125084
0.54755,2,32.239252
0.908805,3,32.395854
-2.540828,7,32.764991
0.915371,3,32.921189
0.337889,2,33.036473
0.559841,2,33.15359
0.470553,2,33.252543
1.633144,5,33.509658
1.020205,4,33.722999
1.745237,5,33.993866
0.334457,2,34.108211
1.381717,5,34.362819
1.876746,6,34.65891
0.92337,3,34.812736
0.554193,2,34.929768
2.409851,7,35.279284
1.435289,5,35.566067
0.549465,2,35.67968
0.898575,3,35.839175
0.530472,2,35.955175
1.211007,4,36.168852
1.546351,5,36.420648
2.773388,8,36.829905
-3.137466,5,37.081666
-3.529123,4,37.310834
0.551957,2,37.42451
0.316445,2,37.539398
0.979765,3,37.710093
0.521761,2,37.825987
0.555464,2,37.94069
1.6963,5,38.211425
1.5147,5,38.500835
0.502455,2,38.61452
0.351701,2,38.711745
1.501905,5,38.972323
0.529503,2,39.068659
0.525975,2,39.167381
2.1865,6,39.485553
3.831871,9,39.995698
1.301952,4,40.20821
0.344849,2,40.324809
3.873234,10,40.84008
0.523315,2,40.954399
0.799936,3,41.111139
0.529219,2,41.226217
0.519419,2,41.340891
0.52803,2,41.439526
0.503826,2,41.537349
1.507958,5,41.806915
0.551616,2,41.920364
0.537859,2,42.035012
0.560172,2,42.150222
0.562496,2,42.266623
0.498687,2,42.38156
0.444393,2,42.495532
1.188169,4,42.690244
0.579576,2,42.789091
0.535988,2,42.885882
0.476028,2,42.98387
1.686583,5,43.253899
0.33758,12,43.836497
0.513679,2,43.93275
-3.508621,4,44.131057
0.546172,2,44.227137
2.205307,6,44.557325
2.505124,7,44.893893
6.196618,16,45.742179
0.555647,2,45.856032
0.547142,2,45.971011
0.526949,2,46.08586
0.518877,2,46.183089
0.346683,2,46.297233
0.519909,2,46.413374
0.538249,2,46.5313
-3.226728,5,46.785791
0.515373,2,46.900477
2.865189,8,47.34718
0.535152,2,47.44416
0.53287,2,47.542579
0.537102,2,47.64162
1.841052,5,47.931374
0.32322,2,48.045332
0.524829,2,48.141926
0.336464,2,48.238914
0.504098,2,48.33803
0.907626,3,48.509773
-2.966923,5,48.763215
0.524442,2,48.878423
0.322866,2,48.993802
0.944948,3,49.146488
1.321476,4,49.377741
0.316529,2,49.491835
0.511337,2,49.590471
0.912339,3,49.744917
1.961846,6,50.075593
0.520051,2,50.19018
2.051515,6,50.502735
-2.300044,7,50.859862
1.08356,4,51.055099
-2.951354,5,51.310614
0.866809,3,51.465524
0.52736,2,51.583283
1.424657,5,51.854921
2.114194,6,52.187531
1.324946,4,52.402764
1.596181,5,52.655197
