#{"t_start": 1774617328.2572408, "env_id": "continuous-exit-v0"}
r,l,t
-3.729917,4,18.974947
-3.004415,5,19.289656
2.270167,6,19.775905
0.875098,3,19.986141
2.716547,7,20.456732
1.385414,4,20.782174
0.53878,2,20.900468
1.753169,5,21.161364
-3.522771,4,21.379286
0.462953,2,21.496624
0.525975,2,21.593687
2.865986,7,21.953084
0.543685,2,22.069729
0.542561,2,22.168094
0.538209,2,22.285946
2.375263,7,22.69978
0.484945,2,22.815902
1.731838,5,23.082624
0.565128,2,23.206236
0.519878,2,23.331121
-3.018756,6,23.696309
1.284375,4,23.894248
2.080836,6,24.215153
0.350012,2,24.332626
0.537178,2,24.451903
0.557393,2,24.640779
0.953134,3,24.948912
0.562759,2,25.168607
0.551675,2,25.355603
0.843694,3,25.647339
0.355519,2,25.887543
0.543441,2,26.088797
1.682595,5,26.562297
0.539487,2,26.702556
-3.041557,5,27.011211
1.273958,4,27.326064
0.526979,2,27.450698
0.907383,3,27.667496
0.5433,2,27.820954
0.521004,2,27.965883
1.064227,4,28.234008
0.556439,2,28.384037
1.693863,5,28.765512
0.508787,2,28.937185
3.522339,9,29.57148
0.49792,2,29.687437
0.509092,2,29.848255
0.544125,2,30.020642
1.430323,5,30.514351
0.501383,2,30.670519
0.557967,2,30.832267
0.565492,2,31.012018
1.333071,4,31.355983
0.921263,3,31.635398
0.545986,2,31.823787
-3.582802,4,32.180331
0.540627,2,32.376897
-2.849235,6,32.796484
1.210281,5,33.186459
0.731223,3,33.403622
0.563148,2,33.563358
1.226081,4,33.886895
0.568101,2,34.019953
0.322357,2,34.16469
0.907657,3,34.395636
2.182629,6,34.888176
1.618611,5,35.264738
0.907103,3,35.563833
0.33663,2,35.780157
1.489638,5,36.228727
1.452025,5,36.588707
1.671381,5,37.004346
1.44615,5,37.380417
0.513863,2,37.555912
0.579613,2,37.719327
-3.431836,4,37.980363
3.929413,12,38.985076
1.746561,5,39.360399
0.32722,2,39.500124
0.557261,2,39.651248
0.451357,2,39.811612
0.55185,2,39.976136
0.538744,2,40.140563
3.234424,9,40.754633
-3.169544,5,41.092286
0.931858,3,41.292945
-3.233151,5,41.634125
0.50742,2,41.773058
0.482877,2,41.922449
-2.864247,6,42.398126
1.210051,4,42.853333
1.737392,5,43.219841
0.558293,2,43.35623
0.522029,2,43.493882
0.487141,2,43.627016
1.571363,5,43.965879
1.449524,5,44.273052
0.336228,2,44.416709
0.457985,2,44.57418
0.544351,2,44.712211
-3.010838,5,45.01679
-2.691922,6,45.397257
0.523953,2,45.543122
0.562908,2,45.721024
1.721626,5,46.078569
2.005784,6,46.498839
1.359473,4,46.773275
0.531368,2,46.926947
2.399032,7,47.399991
1.297568,4,47.625034
4.455061,12,48.386867
0.803539,4,48.617047
0.534768,2,48.745155
1.212412,4,48.979239
0.527874,2,49.10795
0.782513,3,49.308933
0.542955,2,49.444498
1.594289,5,49.781515
0.480578,2,49.94428
1.315899,4,50.305849
-3.052518,5,50.73007
0.550189,2,50.862606
0.50381,2,50.979276
0.539718,2,51.133265
-2.08872,7,51.666107
2.874659,7,52.261371
0.539659,2,52.449942
-2.670799,7,53.107512
0.542948,2,53.305126
0.534423,2,53.482269
0.894818,3,53.687727
0.504728,2,53.821187
0.527521,2,53.947932
0.506161,2,54.071105
1.289389,4,54.323264
0.507044,2,54.507987
0.905019,3,54.737303
0.453994,2,54.898734
2.094753,6,55.345988
-3.1761,5,55.680652
0.52336,2,55.798198
1.662753,5,56.200507
0.507493,2,56.348883
0.526047,2,56.516796
0.466445,2,56.653742
0.870652,3,56.874763
0.451169,2,57.036368
1.12879,4,57.354585
1.307464,5,57.737352
0.454294,2,57.874595
0.541107,2,57.98521
0.700279,3,58.186231
0.518197,2,58.336973
1.572774,5,58.704845
0.974159,3,58.903589
0.911811,3,59.177531
0.517162,2,59.365463
1.360209,4,59.738715
1.524569,5,60.152923
0.947724,3,60.412235
0.523132,2,60.608504
0.549705,2,60.766795
0.954298,3,61.023939
0.538846,2,61.209095
0.536611,2,61.372016
-2.151733,8,62.080184
0.560153,2,62.252022
1.575191,5,62.618867
0.541588,2,62.801845
0.52213,2,62.96205
1.738474,5,63.363471
0.929762,3,63.56918
1.592261,5,63.952724
0.328373,2,64.118286
1.544266,5,64.474984
0.986789,4,64.750356
0.913522,3,64.973399
0.987562,3,65.164464
0.503191,2,65.319269
0.553631,2,65.461978
2.324146,6,65.922132
0.495731,2,66.033709
0.545013,2,66.157238
-2.597841,6,66.611461
1.378437,5,67.033885
-3.153983,5,67.453001
2.098368,6,67.949586
0.51581,2,68.136792
0.500151,2,68.331011
0.507753,2,68.503326
0.530056,2,68.702416
0.51621,2,68.900493
0.881555,3,69.10845
2.057823,6,69.591057
0.358291,2,69.756437
0.515635,2,69.907582
1.751219,5,70.291708
-3.031734,5,70.619299
0.51094,2,70.802223
0.911742,3,71.029893
0.530819,2,71.218018
0.481382,2,71.34754
1.251626,4,71.634775
4.161784,10,72.322676
1.347721,4,72.58301
0.521248,2,72.734606
3.13447,8,73.239671
1.361389,4,73.494484
0.528199,2,73.642801
0.935688,3,73.963462
0.718547,3,74.231121
0.318919,2,74.434767
0.454951,2,74.614409
0.332422,2,74.800468
0.33442,2,74.954094
0.533663,2,75.076814
0.52535,2,75.228845
0.529156,2,75.408757
0.533988,2,75.562063
-2.744163,6,76.018514
0.904846,3,76.259231
1.778833,5,76.652044
0.501472,2,76.784068
2.311972,6,77.201448
0.514026,2,77.349942
-2.548813,6,77.671137
0.535266,2,77.769599
0.351482,2,77.892154
1.193684,4,78.116928
0.509807,2,78.218672
1.40861,4,78.515422
-2.919719,5,78.907151
1.267044,4,79.237135
-3.030908,5,79.587017
1.931301,6,79.906855
0.523027,2,80.027701
1.546824,5,80.399757
0.885264,3,80.635145
0.500635,2,80.807908
6.058958,15,82.490036
0.523351,2,82.643843
0.502004,2,82.810422
0.335472,2,83.013483
0.873237,3,83.271709
0.569861,2,83.440085
1.561301,5,83.833238
1.503115,5,84.183047
0.316747,2,84.309679
0.555288,2,84.430177
1.30437,4,84.704799
0.515812,2,84.880789
1.976548,6,85.335997
0.534026,2,85.494574
0.861986,3,85.732372
0.526117,2,85.867468
-3.015533,5,86.232785
0.539522,2,86.395863
0.543829,2,86.542245
0.916474,3,86.827285
0.519713,2,87.014812
0.53884,2,87.172512
0.529552,2,87.302841
0.518543,2,87.438781
0.518153,2,87.564439
0.88678,3,87.838666
0.339141,2,87.992109
0.493222,2,88.143895
0.753919,3,88.488341
0.881513,3,88.797736
-2.410515,8,89.355582
0.583883,2,89.487713
1.755417,5,89.882959
1.1341,4,90.165819
0.516457,2,90.340474
0.543171,2,90.497865
0.543215,2,90.682447
0.528664,2,90.863755
0.958277,3,91.175636
0.527323,2,91.323891
0.539426,2,91.505262
-1.916681,7,92.214429
0.531975,2,92.407222
0.543202,2,92.579612
-3.086333,5,92.982717
2.123444,6,93.367764
0.524714,2,93.492969
0.543813,2,93.633826
-3.175445,5,93.980112
0.549283,2,94.120887
0.552527,2,94.254089
1.659966,5,94.656735
1.644485,5,95.033601
0.852037,3,95.21518
1.368957,5,95.560003
0.448615,2,95.711201
0.320644,2,95.866729
0.556599,2,95.984718
0.509938,2,96.122931
0.560283,2,96.263613
-2.767787,6,96.72761
1.555348,5,97.077415
3.268212,9,97.673696
3.618329,10,98.445627
0.326746,2,98.595034
0.519411,2,98.708318
1.324282,4,99.003783
0.571627,2,99.17249
0.499912,2,99.316621
0.488435,2,99.424386
0.551032,2,99.544445
0.472914,2,99.714705
0.354397,2,99.85285
0.533465,2,100.046745
0.548201,2,100.229018
2.097813,6,100.835809
-2.946795,5,101.252383
0.525427,2,101.386923
0.499201,2,101.509041
0.495683,2,101.65301
2.818431,8,102.265152
0.546042,2,102.429668
0.349681,2,102.532207
1.340708,4,102.733651
1.833475,5,102.995978
0.900891,3,103.153241
0.512676,2,103.271299
3.006572,8,103.71865
0.324267,2,103.818009
0.817605,3,103.958953
3.9832,10,104.539513
0.329109,2,104.654516
0.537437,2,104.773634
0.894374,3,104.928753
0.576315,2,105.027121
0.470757,2,105.127895
2.207185,6,105.529574
1.826345,5,106.011558
0.494632,2,106.11411
0.898652,3,106.295108
-2.986805,5,106.588048
1.373581,4,106.849933
0.901058,3,107.035241
1.550418,5,107.397239
0.515739,2,107.557988
-3.230558,5,107.9175
0.862916,3,108.143889
0.767524,3,108.323767
-2.6967,6,108.761547
-3.190079,5,109.165262
0.525483,2,109.323402
0.561285,2,109.491902
2.158368,6,109.960425
0.910284,3,110.18888
0.513365,2,110.37571
0.546746,2,110.536533
-3.24016,5,110.959111
-1.908907,8,111.58514
0.912978,3,111.764448
2.206202,7,112.200525
0.514373,2,112.303215
0.333023,2,112.434541
0.336046,2,112.587289
-3.322941,5,112.969074
0.456433,2,113.088524
0.550167,2,113.243672
0.518947,2,113.396029
0.518482,2,113.552469
0.52756,2,113.691163
0.506402,2,113.810311
0.511373,2,113.914469
0.538348,2,114.040598
0.556616,2,114.159629
-3.560937,4,114.378397
0.530442,2,114.497847
3.225516,9,114.962878
0.46048,2,115.078888
0.348919,2,115.180272
0.551188,2,115.285926
0.690007,3,115.449064
-3.620883,4,115.674611
0.538029,2,115.791303
0.320692,2,115.910211
0.543004,2,116.02979
1.269685,4,116.249906
0.548688,2,116.370851
3.631864,9,117.154396
0.326201,2,117.344499
1.354429,4,117.607868
0.535166,2,117.725637
0.734611,3,117.894355
0.524311,2,118.031249
0.885186,3,118.267818
1.985122,6,118.651511
1.747854,5,119.004346
0.544939,2,119.166317
0.328963,2,119.305206
0.312535,2,119.438388
0.508295,2,119.574485
-2.95617,6,119.965106
2.439721,6,120.512872
2.365108,7,121.111162
0.955765,3,121.307435
0.54249,2,121.437044
0.552669,2,121.55976
1.340978,5,121.951319
0.908417,3,122.221292
0.973257,3,122.489594
0.546262,2,122.708375
0.534437,2,122.906321
0.921876,3,123.138975
-3.005996,6,123.611108
1.668059,5,124.080106
2.124997,6,124.615978
1.255496,4,124.97508
2.180504,6,125.520354
0.503932,2,125.695586
-3.418496,5,126.112868
0.545002,2,126.377433
0.916834,3,126.610001
0.331562,2,126.778514
3.39935,9,127.431229
-2.668583,6,127.847106
1.803867,5,128.269246
0.535625,2,128.420537
0.324401,2,128.5722
0.444667,2,128.746938
2.348181,7,129.246802
1.468486,5,129.684862
0.343343,2,129.849284
1.996784,6,130.342206
0.547277,2,130.530473
0.44871,2,130.713199
4.342935,12,131.65391
0.514692,2,131.787765
1.691308,5,132.114271
0.549187,2,132.276313
0.502461,2,132.447039
1.789892,5,132.79482
0.520047,2,132.953681
-1.794302,8,133.509615
0.528089,2,133.653042
0.549509,2,133.914579
1.510625,5,134.29821
0.487413,2,134.462065
0.320846,2,134.614996
0.541605,2,134.782022
2.039553,6,135.229553
0.553286,2,135.40295
0.320588,2,135.518654
1.319556,4,135.823213
1.357418,5,136.163863
0.323057,2,136.322293
3.378479,9,136.924925
0.564094,2,137.164252
0.870911,3,137.409335
0.544783,2,137.588104
0.544929,2,137.759454
2.379548,7,138.276615
0.942609,3,138.503387
0.571651,2,138.648769
-3.659703,4,138.91516
0.505123,2,139.052926
1.059251,4,139.350056
0.350746,2,139.4909
0.886716,3,139.682858
0.513292,2,139.809923
0.324177,2,139.949004
0.327548,2,140.096534
0.336921,2,140.292214
0.555612,2,140.452032
0.337135,2,140.610448
2.032477,6,141.109106
0.532309,2,141.280931
0.511711,2,141.444115
-3.642334,4,141.845172
0.915468,3,142.069954
3.066609,8,142.626149
0.320093,2,142.746664
0.33725,2,142.915727
0.330168,2,143.044428
-2.570648,6,143.510043
0.526646,2,143.635457
0.549876,2,143.797349
0.461029,2,143.94751
0.942383,3,144.145002
0.335661,2,144.315856
1.606525,5,144.67354
-3.013797,5,145.088615
-3.746241,4,145.396926
0.946308,3,145.629297
0.540416,2,145.781583
1.318298,4,146.086229
0.543905,2,146.247287
0.918964,3,146.472736
1.933975,6,146.907716
-2.578628,6,147.333568
2.628096,8,147.913019
0.501776,2,148.115741
0.887607,3,148.357719
2.181996,7,148.963972
0.497629,2,149.163021
0.956352,3,149.440589
0.51005,2,149.568366
0.906996,3,149.785875
2.165544,6,150.245299
0.485048,2,150.395744
1.267721,5,150.766098
1.286608,4,151.057532
0.554203,2,151.222449
0.517151,2,151.392976
0.330453,2,151.564085
0.498779,2,151.730881
0.556652,2,151.890511
0.869094,3,152.092432
0.966087,3,152.321789
0.940466,3,152.509998
2.738333,8,153.031201
0.548749,2,153.174269
0.471652,2,153.343073
0.548707,2,153.488282
0.578558,2,153.663384
0.528178,2,153.801349
0.526446,2,153.966643
0.3425,2,154.104054
-1.553553,9,154.806307
0.874938,3,155.021736
0.482639,2,155.195445
0.447732,2,155.327487
0.493258,2,155.477702
0.378549,2,155.606401
0.916725,3,155.810749
2.225135,7,156.292887
0.817698,3,156.453174
0.508389,2,156.554032
0.454802,2,156.655299
1.213869,4,156.853638
0.525869,2,156.972579
0.547881,2,157.089174
0.35745,2,157.204735
0.563002,2,157.302853
0.562988,2,157.422816
2.518681,7,157.802115
0.550639,2,157.920222
0.53254,2,158.018148
0.333544,2,158.1348
0.547478,2,158.253217
1.366098,4,158.471955
0.50629,2,158.57115
1.264605,4,158.806507
2.38842,7,159.181283
0.357418,2,159.281214
0.482076,2,159.397326
4.578133,12,160.261481
0.69918,3,160.512488
0.562936,2,160.652509
0.373668,2,160.833772
0.50341,2,161.015497
0.530268,2,161.254466
0.336734,2,161.457637
0.883996,3,161.650626
0.54991,2,161.76751
1.22893,4,162.013736
0.539265,2,162.157173
0.538843,2,162.313571
1.663564,5,162.654661
0.548747,2,162.825124
1.669637,5,163.175476
0.3381,2,163.3163
0.938718,3,163.559749
0.521355,2,163.685822
-2.640155,7,164.094602
-2.873135,6,164.587593
0.920406,3,164.828881
0.506814,2,165.004811
0.935961,3,165.274596
2.031797,6,165.654654
0.539197,2,165.772882
0.884669,3,166.007223
0.564608,2,166.150254
1.723386,5,166.504263
0.550549,2,166.624423
0.713277,3,166.803897
1.265721,4,167.001194
0.539449,2,167.120655
0.491997,2,167.240614
0.507793,2,167.339721
0.544845,2,167.458846
2.0735,6,167.800638
-2.090178,8,168.244365
0.32985,2,168.362362
1.547881,5,168.642681
1.291451,4,168.857673
1.437278,5,169.136139
0.537353,2,169.233918
0.456088,2,169.334226
0.318406,2,169.435955
0.551655,2,169.607055
1.165661,5,172.770305
0.533527,2,172.949247
-3.03917,5,173.302567
0.550547,2,173.428597
0.520711,2,173.576711
0.567282,2,173.761294
2.742136,7,174.392176
1.710369,5,174.860572
3.097789,9,175.667278
0.915563,3,175.910478
0.571892,2,176.083087
0.541969,2,176.237402
0.541856,2,176.393052
0.519316,2,176.519796
2.566882,7,177.092753
0.528117,2,177.32198
2.633656,7,178.176478
0.521546,2,178.325209
0.324926,2,178.487008
0.518731,2,178.645968
0.510242,2,178.78904
2.502406,7,179.282825
1.279405,5,179.640398
2.048937,6,180.090838
2.244917,6,180.49948
1.834095,5,180.842832
0.53428,2,181.007594
0.525876,2,181.145701
0.324508,2,181.309
0.558371,2,181.478417
0.535879,2,181.623286
1.475888,5,182.038424
0.586418,2,182.17821
0.540941,2,182.331131
0.551462,2,182.479984
0.534052,2,182.61856
0.358844,2,182.775609
0.517793,2,182.93745
0.506596,2,183.0802
0.532095,2,183.216151
2.051578,6,183.646681
1.886892,6,184.038148
2.622423,7,184.51333
0.560834,2,184.709001
0.899319,3,184.909657
0.54586,2,185.075405
0.534582,2,185.197857
0.535981,2,185.342787
0.52445,2,185.49231
-1.702877,9,186.076274
0.544942,2,186.232675
0.520104,2,186.367907
0.908685,3,186.577491
-3.180189,5,186.916599
2.06095,6,187.371556
2.536297,7,187.828344
0.519058,2,187.971381
0.327245,2,188.114403
0.319653,2,188.241288
0.34991,2,188.375663
0.550959,2,188.532032
2.072092,6,189.053542
0.33664,2,189.201587
0.552064,2,189.331815
0.522355,2,189.492853
0.557873,2,189.681422
1.285021,4,190.007715
-1.965492,8,190.644962
0.539435,2,190.782631
0.54173,2,190.939066
0.923908,3,191.121069
0.527787,2,191.282992
0.554855,2,191.427703
2.438265,7,191.890534
0.491796,2,192.037296
1.869894,6,192.46535
1.371817,4,192.804828
1.928135,6,193.188333
1.547778,5,193.546753
0.534088,2,193.688795
0.986094,3,193.904485
0.538634,2,194.040983
0.338577,2,194.167645
0.53364,2,194.291224
1.840382,6,194.724778
0.52158,2,194.864131
0.358415,2,194.999468
0.544254,2,195.156512
0.512237,2,195.289632
0.51843,2,195.401512
0.550141,2,195.562099
0.316687,2,195.710778
1.855219,5,196.034843
0.456564,2,196.182077
0.562421,2,196.336037
0.520074,2,196.505818
1.62488,5,196.871586
1.999555,6,197.255909
0.517704,2,197.405862
0.527306,2,197.548163
0.52342,2,197.676405
0.496753,2,197.832761
0.566583,2,198.010662
0.330814,2,198.197394
0.50778,2,198.364959
3.273081,9,199.034318
0.533692,2,199.240633
0.559988,2,199.427947
0.557339,2,199.589216
0.539544,2,199.730235
0.532365,2,199.848682
0.526593,2,199.995296
0.547117,2,200.118001
0.930228,3,200.323463
0.32999,2,200.469849
1.248924,4,200.758141
-3.19053,5,201.147864
0.490668,2,201.304645
0.951927,3,201.5077
0.516964,2,201.65953
0.535191,2,201.803105
0.513541,2,201.949887
0.535908,2,202.093446
-1.489841,9,202.720875
0.564809,2,202.869501
-3.176894,5,203.170228
0.570811,2,203.305921
0.538828,2,203.478436
0.535113,2,203.613356
0.513117,2,203.765243
0.546636,2,203.890656
3.322142,8,204.458814
1.183287,4,204.773618
2.118493,6,205.125416
1.320485,4,205.373272
1.690542,5,205.737921
0.918863,3,205.952698
0.475166,2,206.104757
0.537481,2,206.275202
-2.20979,7,206.796852
0.491866,2,206.929199
1.716404,5,207.300028
0.970429,3,207.500545
0.558661,2,207.610516
0.541136,2,207.717999
0.525678,2,207.86364
1.618735,5,208.243299
3.132339,8,208.816364
0.325404,2,208.974643
1.591182,5,209.371589
0.524611,2,209.504177
1.308465,4,209.798215
0.538537,2,209.944509
0.548567,2,210.102127
0.899016,3,210.324488
0.89499,3,210.558335
0.572486,2,210.711511
0.919427,3,210.925153
0.534654,2,211.082505
2.033303,6,211.612456
0.529695,2,211.744612
-2.659869,6,212.111399
2.425566,7,212.615211
0.542812,2,212.783205
0.525544,2,212.939482
0.920581,3,213.210902
0.557095,2,213.380815
0.522219,2,213.696067
2.229761,6,214.09113
3.3618,9,214.633214
0.558583,2,214.758479
2.396851,7,215.26281
0.516771,2,215.408237
0.364939,2,215.547863
0.53043,2,215.702796
-2.949801,6,216.138102
-3.273988,5,216.438169
-2.388658,6,216.866279
-3.360749,5,217.224593
0.963764,3,217.453975
2.631468,7,217.96
0.505211,2,218.098796
0.512149,2,218.249115
0.344369,2,218.388957
0.911685,3,218.638354
0.528496,2,218.817892
0.531316,2,218.988859
0.533333,2,219.138644
3.310552,10,219.828884
1.327351,4,220.110014
0.506505,2,220.230813
0.542164,2,220.356896
0.863829,3,220.562303
0.334186,2,220.702148
0.50033,2,220.862057
0.550301,2,221.008172
-2.809913,6,221.430145
0.501604,2,221.56162
-2.916282,5,221.913106
0.551252,2,222.065253
0.563819,2,222.228905
0.543388,2,222.40181
1.404616,4,222.74135
1.802995,5,223.125067
0.533049,2,223.249142
0.529298,2,223.400789
0.547854,2,223.528077
0.883615,3,223.74766
3.778726,9,224.389672
2.353755,8,224.897862
1.794541,5,225.175102
0.913791,3,225.350499
2.002182,6,225.772845
0.91195,3,226.0065
0.324853,2,226.194282
2.530248,7,226.711671
2.621218,7,227.103342
1.919623,6,227.488838
1.745414,5,227.815224
0.875794,3,228.056496
0.348288,2,228.184419
0.896954,3,228.429745
1.718197,5,228.897933
0.506106,2,229.170106
0.324267,2,229.365199
-2.851169,6,229.82015
0.833589,3,229.983627
0.321624,2,230.134237
0.515428,2,230.31002
0.559967,2,230.491822
0.922699,3,230.736061
0.542896,2,230.88925
0.548152,2,231.111115
0.491732,2,231.301886
0.52296,2,231.470946
0.922638,3,231.719299
0.562937,2,231.8869
0.907545,3,232.12292
0.46408,2,232.272752
0.349105,2,232.43885
1.002899,3,232.661371
0.560681,2,232.793277
1.973552,6,233.198807
0.341033,2,233.341243
0.525793,2,233.477067
0.527621,2,233.649068
0.559004,2,233.805598
0.902064,3,234.018824
0.516311,2,234.163381
0.542951,2,234.348843
0.332612,2,234.481645
2.223965,6,234.944484
1.858825,6,235.41548
0.903228,3,235.691289
1.317467,4,235.928866
0.544822,2,236.073684
0.50515,2,236.235662
0.558414,2,236.38284
1.684887,5,236.702686
-2.943474,5,237.016671
0.914035,3,237.218525
2.703088,7,237.722298
0.339227,2,237.860981
1.445745,5,238.17204
0.549014,2,238.345568
0.505833,2,238.48122
0.514165,2,238.616769
2.685354,7,239.113524
0.906137,3,239.270807
0.533912,2,239.390697
0.334804,2,239.510169
1.690927,5,239.771172
0.506446,2,239.88804
0.33521,2,240.004468
0.895902,3,240.180659
1.16013,4,240.413844
1.337689,4,240.633479
0.52558,2,240.733903
0.539056,2,240.855807
0.898716,3,241.016032
0.559186,2,241.119505
0.893644,3,241.278721
0.541335,2,241.379493
0.546577,2,241.480503
0.514159,2,241.598161
1.596209,5,241.894679
0.718204,3,242.034314
1.70689,5,242.330096
0.31185,2,242.427709
0.536986,2,242.544443
1.413684,4,242.762902
0.577755,2,242.879611
2.096806,6,243.211875
1.588195,5,243.486289
0.988307,3,243.645191
0.533966,2,243.745978
1.561332,5,244.004938
0.34738,2,244.123768
0.91736,3,244.30751
0.535362,2,244.426925
0.513043,2,244.527446
0.544028,2,244.625188
0.569688,2,244.72534
0.935134,3,244.866422
0.331365,2,244.986504
0.323513,2,245.107617
0.567882,2,245.22604
0.5202,2,245.42728
0.352375,2,245.586793
0.521551,2,245.738092
0.679892,3,246.028383
0.542668,2,246.210221
1.658711,5,246.561457
0.944418,3,246.726949
