#{"t_start": 1774754141.3815782, "env_id": "continuous-exit-v0"}
r,l,t
0.504812,2,12.141397
0.549405,2,12.266417
0.504159,2,12.372467
1.221114,4,12.589968
0.328159,2,12.694854
0.507461,2,12.825404
2.14415,6,13.163754
0.454667,2,13.278613
0.909152,3,13.455929
1.680567,5,13.756808
1.738131,5,14.069421
0.519567,2,14.183882
0.564277,2,14.291433
1.762875,6,14.659372
0.32979,2,14.784714
0.530449,2,14.918274
2.053204,6,15.28242
-3.600875,4,15.49581
1.222727,4,15.756032
0.509839,2,15.862023
0.542468,2,15.999107
1.094773,4,16.253692
0.547014,2,16.387296
0.507661,2,16.519962
0.323802,2,16.650405
1.185755,4,16.888941
0.353546,2,17.000872
2.091263,6,17.349858
-2.976384,6,17.688179
0.552442,2,17.812614
0.895387,3,18.011566
1.715484,5,18.281106
0.519866,2,18.404686
1.853457,5,18.674771
-3.512905,4,18.887352
0.550218,2,19.011979
0.344672,2,19.13556
0.783442,3,19.30049
1.28973,4,19.515215
1.224409,4,19.935402
0.534059,2,20.153605
0.925557,3,20.438484
0.573886,2,20.633819
0.336073,2,20.830603
3.384298,9,21.457223
0.52046,2,21.579692
0.520288,2,21.715153
2.105875,6,22.195039
0.533099,2,22.372328
0.897549,3,22.569557
2.50406,7,23.015881
1.087786,4,23.22296
1.557222,5,23.516145
2.550796,7,23.91305
0.53336,2,24.035727
0.522148,2,24.139892
-3.137857,5,24.432659
-3.288917,5,24.733117
0.90483,3,24.917575
0.451191,2,25.044088
0.87407,3,25.208125
0.363321,2,25.311043
0.546639,2,25.415989
0.351494,2,25.520474
1.241592,4,25.751218
0.324737,2,25.853057
0.338536,2,25.977596
0.520609,2,26.10373
1.694075,5,26.404649
0.553518,2,26.507117
2.822343,7,26.911067
2.110948,6,27.264048
0.355107,2,27.388364
-3.287581,5,27.661304
0.322699,2,27.76798
0.545618,2,27.876267
0.494769,2,27.981334
1.59374,5,28.231071
2.943547,8,28.710612
0.715164,3,28.875763
3.416916,9,29.397744
0.498678,2,29.520218
0.533233,2,29.641567
0.530653,2,29.765019
1.650693,5,30.054301
0.886415,3,30.237822
0.53534,2,30.361545
0.529481,2,30.486604
0.351803,2,30.594554
2.11815,6,30.908273
1.176256,4,31.134414
0.331296,2,31.260516
0.532187,2,31.366373
0.512886,2,31.546865
0.884834,3,31.823242
1.279847,4,32.150877
1.59802,5,32.621108
-3.403586,5,32.984638
2.181623,6,33.306918
0.537014,2,33.457591
0.540717,2,33.60355
1.516198,5,34.005043
