#{"t_start": 1774602501.695716, "env_id": "continuous-highway-v0"}
r,l,t
6.798682,16,7.378729
5.077122,13,7.718916
0.916698,14,8.094552
0.767548,14,8.476181
4.680143,12,8.790862
5.238201,13,9.132968
1.412303,15,9.549209
5.918021,14,10.177956
1.361285,15,10.779832
4.783429,12,11.262862
6.137822,16,12.006784
5.954382,15,12.713349
6.401552,16,13.48134
5.241107,14,14.075453
6.63831,16,14.643431
6.49825,15,15.251537
4.929157,12,15.675131
1.391494,15,16.229034
5.066266,13,16.697925
6.455471,15,17.259942
5.68278,14,17.784134
5.560268,14,18.339231
4.859997,13,18.674297
2.080422,18,19.149858
5.825306,14,19.52361
0.752238,14,20.123156
5.469429,13,20.738233
4.840761,12,21.277226
5.083431,13,21.797616
6.505742,14,22.346541
5.667731,14,22.874962
5.680506,14,23.421783
1.328157,14,23.943013
5.024001,13,24.466153
4.43389,12,25.025373
5.513477,13,25.681203
5.047267,13,26.2733
6.4019,16,26.898787
4.736225,12,27.410243
1.618091,15,28.045129
5.056409,13,28.552453
5.708153,14,29.106216
5.437205,13,29.49448
4.534253,13,29.834901
5.24977,13,30.187725
6.890955,16,30.62416
5.96173,14,30.985406
6.075304,15,31.3726
6.959735,16,31.792249
5.388085,14,32.166347
5.281648,13,32.749388
4.484277,12,33.546489
5.905851,14,34.206359
6.059328,14,34.804646
4.077865,11,35.110959
1.145703,15,35.691157
1.046476,14,36.202681
5.749049,13,36.750362
5.725744,14,37.378487
5.520601,14,38.043402
2.573144,16,38.826441
6.552177,15,39.527857
6.061071,14,40.066213
6.089992,14,40.618207
4.031252,11,41.047208
6.999084,15,41.738446
1.147919,14,42.339153
1.89861,17,43.085885
6.261999,15,43.74514
5.409537,14,44.517726
5.139227,13,45.120661
5.004953,12,45.697654
5.09244,13,46.373685
4.423704,12,46.887816
4.729758,12,47.407479
6.209367,15,47.905869
5.978098,15,48.454221
5.135394,13,48.994395
7.488081,17,49.728252
5.4067,13,50.38151
6.039689,15,51.104993
7.543122,17,52.05311
5.894248,15,52.622547
1.68583,15,53.157447
6.019588,14,53.682186
