#{"t_start": 1774619449.290391, "env_id": "continuous-exit-v0"}
r,l,t
1.73998,5,20.867169
1.946743,6,21.279202
0.529184,2,21.467048
0.707628,3,21.711476
0.53196,2,21.851579
0.881887,3,22.067154
0.565662,2,22.209614
0.566712,2,22.353749
0.541504,2,22.53116
-1.387867,9,23.468514
0.556184,2,23.626541
1.351932,4,23.988375
0.936383,3,24.20282
0.323342,2,24.328485
0.590684,2,24.450543
-3.000689,5,24.822979
1.615041,5,25.274122
0.540858,2,25.450063
0.496728,2,25.696667
2.570242,7,26.38735
1.094821,4,26.704014
-3.689334,4,27.024348
0.519255,2,27.176973
-3.224802,5,27.539106
1.669123,5,27.922171
0.558875,2,28.159343
0.529508,2,28.379908
0.53952,2,28.585715
1.396304,4,29.009751
-1.356657,10,30.089013
0.53162,2,30.306789
0.497485,2,30.520574
0.506184,2,30.716641
0.876792,3,30.991365
0.542025,2,31.151647
0.560999,2,31.307051
0.321446,2,31.462391
0.312667,2,31.606189
0.530434,2,31.753612
0.934151,3,31.947588
0.527807,2,32.107212
2.744727,8,32.71433
0.52156,2,32.91981
0.532284,2,33.101209
0.329061,2,33.292979
0.5243,2,33.472288
1.300824,4,33.851306
0.498721,2,34.044915
0.313078,2,34.22302
0.84785,3,34.497853
0.54202,2,34.673782
0.511675,2,34.863173
0.498778,2,35.048576
0.569173,2,35.186052
-3.444146,4,35.447637
0.919245,3,35.692233
0.508084,2,35.826152
0.524518,2,35.987025
0.498622,2,36.169722
0.938896,3,36.397047
0.509748,2,36.540236
-2.276185,7,37.016911
0.56213,2,37.160408
1.678419,5,37.494279
2.354396,6,37.968205
0.528985,2,38.097619
1.329417,4,38.384026
0.577965,2,38.555605
2.091165,6,38.989006
0.539595,2,39.192073
0.34128,2,39.394376
0.488788,2,39.606164
2.317459,7,40.374457
0.470227,2,40.491259
0.485326,2,40.62614
2.199967,6,41.008066
0.545438,2,41.156513
0.557969,2,41.295485
1.591194,5,41.634141
4.197688,10,42.385809
0.533118,2,42.517507
1.255898,4,42.763959
0.5277,2,42.89375
0.52505,2,43.0424
1.587383,5,43.47391
-3.63947,4,43.880246
0.316494,2,44.151335
0.920582,3,44.424816
0.55655,2,44.614177
0.521843,2,44.777637
-1.737941,9,45.46862
0.518712,2,45.601904
0.496122,2,45.726806
0.533807,2,45.890838
0.916244,3,46.103574
1.3512,5,46.477954
0.511121,2,46.619593
1.519452,5,46.95269
1.734717,6,47.418896
-2.292341,7,47.90428
0.554698,2,48.058525
1.246825,4,48.320475
0.504043,2,48.494643
0.471355,2,48.611132
0.528434,2,48.761641
1.678283,5,49.075801
0.539541,2,49.173414
0.332562,2,49.270953
2.515638,7,49.64767
0.514232,2,49.745411
1.731284,5,50.028581
-3.487125,4,50.243252
-2.806171,6,50.540306
0.331965,2,50.639798
1.280959,4,50.837402
0.514958,2,50.934639
0.32503,2,51.052854
0.51457,2,51.170007
-3.076958,5,51.404428
0.535001,2,51.519545
0.520129,2,51.637702
0.323794,2,51.754423
0.512006,2,51.854094
1.759505,5,52.112103
0.509869,2,52.227299
0.729386,3,52.381428
1.237694,5,52.658522
1.098502,4,52.874719
1.389777,4,53.070474
0.537535,2,53.189066
0.557865,2,53.305958
1.692815,5,53.578077
0.535613,2,53.692612
-2.69067,6,54.007283
1.242404,4,54.242699
1.218666,4,54.597566
0.908218,3,54.913653
0.322114,2,55.093822
-2.402532,6,55.500547
0.975764,3,55.703004
0.921796,3,55.964446
0.343531,2,56.159065
0.574974,2,56.332911
0.335263,2,56.550099
-3.584929,4,57.05233
1.259289,4,57.253286
0.955515,3,57.437055
0.563131,2,57.599216
2.449545,7,58.151856
2.347871,7,58.625019
1.277691,5,58.986325
1.122753,4,59.281086
-1.03463,10,59.853867
0.327107,2,59.951684
0.52459,2,60.069319
0.827959,3,60.22716
0.513092,2,60.343079
1.311183,4,60.5406
1.13171,4,60.756253
2.356266,7,61.165799
-3.464392,4,61.361501
1.302091,4,61.593698
0.908945,3,61.750278
1.594268,5,62.172508
0.535588,2,62.333788
0.340073,2,62.576607
1.984569,6,63.163744
0.554672,2,63.353734
0.515042,2,63.56229
0.321644,2,63.73606
0.521804,2,63.888961
0.548744,2,64.031382
2.221769,6,64.483494
1.596199,5,64.877286
0.55605,2,65.043334
1.690644,5,65.374976
0.941135,3,65.57699
0.550592,2,65.700098
-3.537963,4,65.964933
0.556327,2,66.112096
0.725256,3,66.315087
0.924757,3,66.556189
0.516389,2,66.738722
0.551898,2,66.891025
3.732569,9,67.378702
-2.448723,7,67.73452
1.388061,4,68.108561
0.873564,3,68.429618
0.521294,2,68.646819
-2.764163,6,69.010306
0.470193,2,69.132299
0.475226,2,69.284052
0.520739,2,69.408598
0.565145,2,69.540126
0.335952,2,69.697961
0.862009,3,69.927889
0.56347,2,70.087937
-3.606823,4,70.419105
0.5242,2,70.55879
1.830794,5,70.900126
0.992192,3,71.151356
2.008454,6,71.607917
2.305816,7,72.114121
1.803711,5,72.516551
3.750707,9,73.482196
0.528529,2,73.687623
1.695875,5,74.242683
0.543587,2,74.39872
0.504303,2,74.558491
0.522475,2,74.788767
1.856841,6,75.519835
0.529991,2,75.704503
0.515997,2,75.903307
0.543354,2,76.089277
0.551479,2,76.31285
0.528707,2,76.497154
0.3484,2,76.694326
2.141535,6,77.337184
0.944275,3,77.597865
0.526291,2,77.758617
1.631215,5,78.127502
0.565387,2,78.262739
0.538673,2,78.392211
0.697695,3,78.590196
-2.895856,6,79.099618
0.518254,2,79.260802
0.542517,2,79.428511
0.889293,3,79.729859
-3.151883,5,80.216632
0.885947,3,80.546273
2.480107,7,81.150212
0.875189,3,81.352011
2.368342,7,81.88257
3.212935,8,82.448921
0.948003,3,82.644236
1.78132,5,83.041714
0.537576,2,83.240874
1.834721,5,83.669457
0.536525,2,83.800378
0.540349,2,83.999195
1.930086,6,84.606825
-1.913899,7,85.133105
0.474982,2,85.276837
0.564831,2,85.44896
0.336048,2,85.592217
-1.634202,8,86.183114
0.468154,2,86.367707
0.532452,2,86.497773
0.874904,3,86.720323
0.531241,2,86.900444
1.887893,6,87.274819
2.243591,6,87.693859
