#{"t_start": 1774739271.812093, "env_id": "continuous-highway-v0"}
r,l,t
4.729646,12,11.922422
6.884611,15,12.351201
5.173574,12,12.696009
5.498812,14,13.109043
1.171125,14,13.516935
6.240259,16,13.991343
6.427284,15,14.425996
1.356286,14,14.841565
5.4363,14,15.233042
5.038938,12,15.572382
6.310671,15,16.015028
4.941952,12,16.354101
4.834667,12,16.679156
4.840849,13,17.0404
5.15048,12,17.377984
4.691148,13,17.756255
0.50485,14,18.144484
4.743153,12,18.484027
6.072234,14,18.889416
5.127223,13,19.253271
5.619744,14,19.659963
5.342469,13,20.024604
2.154265,15,20.441273
5.768328,15,20.875455
5.17553,12,21.202709
6.662279,15,21.63221
4.830237,13,22.000425
5.431692,14,22.391112
4.763155,13,22.7556
5.712953,14,23.158599
5.2298,13,23.530766
5.855424,14,23.921483
2.228329,16,24.36172
1.33094,15,24.793884
1.808957,15,25.22487
1.537793,15,25.654515
5.158625,12,26.009509
1.397869,14,26.414454
5.513574,13,26.796677
4.518695,12,27.153321
6.101761,15,27.58947
6.021469,14,28.258052
1.581699,15,29.029238
5.681369,15,29.622377
5.759722,15,30.191262
4.973194,13,30.741028
5.610279,14,31.342014
5.776772,14,31.758352
5.512481,14,32.171254
6.950816,16,32.64565
4.47116,12,32.990299
4.973139,13,33.359521
5.511311,14,33.760097
4.536743,12,34.11827
7.120977,17,34.60205
5.055743,13,34.983818
5.27153,13,35.365623
6.584801,15,35.794527
5.262778,13,36.160835
5.9023,14,36.564614
4.867831,13,36.948725
4.866627,12,37.303743
1.09763,14,37.706877
6.776106,15,38.133912
5.688626,13,38.517883
5.946037,14,38.928193
5.991283,13,39.310755
4.800976,12,39.657547
5.904084,14,40.069398
6.23724,14,40.47937
5.255819,14,40.891875
5.134723,13,41.279649
3.696818,11,41.664725
6.587417,15,42.495709
4.913034,12,42.972444
5.141174,13,43.412598
6.193732,14,43.989093
0.851544,13,44.585629
5.692711,14,45.208664
6.674172,15,45.68072
4.66239,12,46.042812
4.597657,12,46.401191
-0.172328,12,46.732721
5.463954,13,47.107272
5.971241,14,47.518634
4.965708,13,47.908096
6.770058,16,48.368133
1.1669,15,48.823771
5.541724,13,49.191772
5.946502,14,49.592608
5.994991,14,50.002143
5.183831,13,50.386077
5.24803,13,50.768189
0.925487,14,51.172452
4.792367,13,51.55532
4.302555,11,51.875437
6.068856,15,52.314995
6.706207,15,52.748914
5.761918,13,53.135013
5.511314,14,53.54567
7.162594,15,53.965303
5.509837,13,54.344624
5.153015,13,54.715719
5.530985,13,55.097722
0.600964,13,55.477967
5.618905,14,55.882187
5.585819,13,56.26287
0.96573,14,56.669117
6.770221,16,57.125184
2.060838,16,57.56819
4.791884,12,57.912056
4.232304,12,58.241025
1.112662,14,58.667407
5.669154,14,59.06333
5.931458,14,59.458627
5.03496,13,59.997614
4.924852,13,60.653569
5.84538,15,61.151682
5.465971,13,61.658914
5.321706,13,62.22115
5.11431,13,62.743773
6.206092,15,63.389803
7.357543,16,64.047418
0.885585,14,64.644457
1.778623,16,65.13783
5.206664,13,65.513331
4.889259,13,65.900866
4.845181,13,66.285535
6.569718,15,66.720275
1.476557,16,67.177498
6.257559,15,67.610157
5.555934,13,67.992776
4.929559,13,68.375015
6.363986,15,68.80829
6.200004,15,69.259266
4.824042,13,69.64708
0.419073,13,70.016704
4.615204,13,70.391735
5.4506,13,70.765925
6.109555,15,71.218671
0.780767,13,71.589017
6.030866,14,71.986724
5.787835,14,72.386438
6.154534,14,72.800371
1.361092,14,73.215455
6.20591,14,73.625661
5.335926,13,74.011879
2.309342,16,74.455928
1.418838,15,74.888067
5.387739,14,76.712928
5.277542,14,77.121118
5.837049,14,77.528214
1.40299,15,77.965349
5.222294,14,78.379416
1.285445,14,78.779202
1.561377,15,79.217517
5.857889,14,79.614057
0.336393,14,80.01998
5.816592,14,80.426024
4.71967,13,80.794252
1.273809,15,81.226673
0.599044,14,81.634239
6.076353,14,82.041265
5.942409,14,82.44803
4.51926,12,82.789289
1.724437,17,83.274394
3.990825,11,83.610561
6.410875,16,84.070378
0.907522,14,84.482993
5.966753,14,84.879752
4.671618,12,85.240191
1.427074,14,85.651589
6.966293,16,86.110998
6.295518,14,86.505554
5.032824,12,86.865182
5.692238,14,87.274973
5.300117,13,87.642243
2.036151,17,88.141139
5.954399,14,88.536132
5.14916,14,88.947933
6.56115,15,89.382811
5.50118,13,89.772538
5.021697,13,90.145661
1.430726,15,90.578594
5.174137,13,90.960521
5.843047,14,91.338968
5.919528,14,91.733241
5.175992,14,92.143126
4.809728,13,92.495337
5.293904,14,92.890181
5.152494,13,93.245974
6.620045,16,93.782262
4.364671,12,94.472656
5.600981,14,95.084538
5.523009,14,95.574108
6.89951,14,96.196112
5.891256,15,96.737905
6.171527,14,97.134205
5.188957,13,97.507014
6.008776,14,97.917273
6.363421,15,98.352873
5.388801,13,98.73715
5.930162,14,99.153963
4.311783,12,99.498143
1.642077,16,99.951166
6.777431,16,100.389714
4.612238,12,100.744901
6.144097,14,101.15042
5.538736,14,101.560227
4.883367,12,101.902281
5.417249,14,102.295882
7.093661,16,102.756342
4.881596,12,103.099756
6.262407,15,103.5374
5.922208,14,103.933482
6.250243,14,104.342573
4.631489,12,104.800415
5.762558,14,105.536797
5.115979,13,106.216427
5.419015,13,106.729602
5.164455,13,107.134796
5.274391,14,107.722092
6.050101,14,108.318584
6.193003,15,108.777072
5.870292,14,109.175521
4.877491,13,109.558107
6.638592,15,109.994929
0.89425,14,110.40673
5.997894,15,110.843169
1.423724,15,111.275117
5.674185,14,111.656569
4.945944,13,112.023138
4.818854,13,112.387694
6.297895,15,112.788923
5.51578,14,113.181089
1.266492,15,113.626039
5.869038,15,114.043507
5.791782,14,114.421553
5.157851,13,114.791114
5.789371,13,115.158434
5.034902,13,115.509419
5.953497,13,115.879257
5.339617,14,116.275083
1.990988,14,116.670339
6.079969,15,117.103397
5.142186,14,117.511549
1.659938,15,117.949097
5.132895,14,118.341407
6.397047,15,118.772396
6.839418,16,119.323621
0.170908,13,120.118546
0.778739,14,120.729856
5.07647,13,121.129709
5.565116,14,121.722884
4.439694,12,122.254829
4.732799,12,122.79104
5.058333,13,123.312797
5.667887,14,123.859127
4.745643,13,124.228468
5.434286,14,124.61779
1.175735,14,125.01004
5.272509,14,125.42041
4.992394,13,125.775895
5.389204,13,126.161277
6.341074,15,126.611245
5.948211,15,127.043114
0.756794,13,127.398609
6.174881,15,127.845514
5.887185,14,128.253114
0.814144,15,128.683399
7.191627,16,129.143769
5.683835,13,129.526626
1.380961,15,129.958378
4.986688,13,130.32697
2.566714,16,130.801878
5.833891,13,131.172902
5.264722,14,131.569315
1.083644,14,131.964308
2.249437,15,132.397048
6.39508,17,132.864836
5.626188,14,133.272066
4.906266,12,133.613984
1.578881,15,134.033937
6.374749,14,134.427823
6.020269,14,134.835259
0.277984,13,135.216853
2.950655,18,135.73382
5.28679,14,136.11653
1.287716,15,136.551943
5.245991,13,136.935731
5.928462,14,137.345114
5.738971,15,137.778296
5.090577,13,138.16068
1.378677,14,138.568889
5.877461,14,138.977215
5.192853,13,140.652196
7.16253,17,141.1347
5.672334,15,141.567527
0.486741,14,142.252616
1.466813,15,142.989095
6.610035,16,143.677654
6.542422,16,144.155806
4.045424,12,144.682715
3.568654,11,145.197753
5.563491,13,145.845358
4.016531,12,146.412447
6.226027,15,147.034046
6.139776,15,147.668771
5.692732,15,148.298517
6.288915,14,148.92306
1.400362,15,149.518916
6.301644,16,149.970174
5.288067,14,150.368064
7.310439,17,150.851693
2.305915,16,151.31103
2.35497,16,151.771042
5.339106,14,152.1772
4.432739,13,152.527678
7.498907,16,152.972728
5.603891,14,153.38137
0.315328,14,153.772262
6.31863,15,154.189462
6.893046,16,154.648294
6.195059,14,155.046602
4.945563,13,155.415039
0.263725,13,155.786048
1.27626,14,156.197822
0.209689,13,156.583276
4.28582,12,156.942325
4.808313,13,157.296846
4.882697,14,157.693527
6.628144,15,158.130219
5.985381,15,158.564312
5.204741,13,158.947458
6.643034,16,159.404447
4.684359,13,159.791583
2.036227,16,160.250305
6.34407,16,160.72215
5.143063,13,161.10645
7.305591,16,161.563784
1.723815,15,161.996073
7.083251,15,162.410352
6.193281,14,162.804362
5.595753,14,163.198684
6.028083,15,163.630566
4.556019,12,163.974794
7.019942,17,164.454354
0.820593,14,164.858472
0.928738,14,165.262347
5.557298,14,165.665375
6.135796,14,166.070856
4.045332,12,166.426777
5.602181,14,166.804177
5.989446,14,167.210271
3.731326,12,167.551222
5.865754,14,167.959111
6.853733,15,168.394589
4.755327,12,168.754668
5.347144,14,169.149261
6.571244,16,169.609793
4.95839,13,169.991914
0.153861,13,170.359419
5.164071,13,170.725456
5.127195,13,171.094423
1.654012,16,171.539093
5.524898,14,171.945579
7.332854,18,172.467946
6.234295,15,172.904708
0.953511,15,173.340685
6.069531,15,173.775574
5.871061,15,174.224156
5.95347,14,174.619835
5.313633,14,175.031871
5.051075,13,175.38238
5.103009,14,175.760213
6.375673,15,176.178441
5.292462,14,176.573128
5.020527,14,176.964214
5.289022,13,177.344432
6.219947,15,177.777275
4.60618,13,178.161375
5.747831,15,178.596338
5.133113,14,179.006956
5.905589,14,179.417446
5.816173,14,179.825893
5.482719,15,180.259254
1.660837,15,180.692524
5.882642,14,181.099789
4.402968,13,181.466555
1.008163,15,181.885133
2.031792,17,182.366095
5.030237,13,182.734982
5.660737,14,183.140307
1.732004,15,183.645829
4.32843,13,184.452677
