#{"t_start": 1774608279.4914238, "env_id": "continuous-highway-v0"}
r,l,t
5.143852,13,7.24615
5.80769,14,7.627893
5.890576,15,8.03995
5.45032,14,8.410509
1.075948,15,8.820875
5.812673,15,9.221421
7.106212,17,9.675399
5.959363,15,10.074669
3.899163,11,10.36457
6.41725,16,10.79819
1.48096,15,11.201956
6.533661,16,11.611051
6.290525,14,11.995982
5.359285,14,12.357593
5.629766,14,12.740362
5.67056,14,13.115145
6.572312,16,13.543007
5.721365,14,13.90454
6.635949,15,14.307472
1.531647,15,14.70927
5.561909,13,15.052319
6.270204,14,15.422084
5.388774,14,15.8009
6.195972,15,16.19493
4.943769,14,16.559092
0.551558,14,16.936443
5.618257,14,17.311045
6.549464,16,17.743019
6.216842,15,18.132396
6.904537,15,18.50738
5.777549,14,18.867184
4.362153,13,19.208136
6.340754,16,19.628197
6.065484,15,20.011095
0.578789,14,20.372628
5.470363,14,20.738075
8.718265,19,21.240966
5.133565,13,21.591605
6.520877,15,21.974836
5.268241,13,22.311693
6.171173,15,22.70722
4.92143,13,23.058576
4.577172,13,23.409477
6.570079,16,23.82726
6.59612,15,24.226573
1.214689,15,24.637199
6.694131,15,25.033015
6.301229,15,25.429123
2.289848,16,25.852504
4.845043,13,26.204853
6.106829,15,26.602606
5.529533,14,26.976231
5.205779,13,27.32738
5.160873,13,27.663709
5.812324,14,28.037344
3.942416,11,28.315451
5.36373,13,28.653222
6.324176,15,29.050494
6.085142,15,29.447627
5.23219,14,29.823664
5.031481,13,30.169866
2.001759,15,30.565546
5.106163,13,30.913315
5.516061,14,31.286427
1.951706,16,31.706879
4.957335,12,32.034243
5.406958,14,32.393601
6.642364,15,32.802681
5.341895,14,33.149328
5.397564,13,33.484991
6.026538,14,33.844598
2.537524,16,34.249637
5.920633,14,34.599236
5.56067,15,34.984284
6.23859,15,35.357392
1.977789,17,35.806506
0.726074,14,36.183218
5.906801,14,36.557334
4.887443,13,36.899132
4.575339,13,37.223153
6.077787,15,37.620776
5.479764,13,37.957664
6.405283,16,38.389472
5.467724,14,38.734905
5.453569,14,39.082638
6.766177,15,39.467987
6.01541,14,39.840687
4.7987,13,40.163693
4.713712,12,40.451279
4.960226,13,40.78824
1.892847,16,41.219658
4.573506,12,41.520035
5.67404,14,41.892194
4.417094,12,42.207376
0.90588,14,42.595359
5.240124,13,42.945487
4.466324,12,43.245663
6.639995,15,43.640257
6.45519,15,44.022884
5.099491,14,44.395193
5.386394,13,44.731782
1.379571,16,45.151792
5.391791,14,45.51089
4.812401,12,45.825636
5.762464,14,46.171527
0.639875,14,46.531831
6.302052,15,46.928569
4.967574,12,47.228398
6.276081,15,47.635113
6.025761,15,48.030264
6.044268,14,48.414238
5.027375,13,48.752912
1.091249,14,49.113183
4.931096,13,49.448873
5.32834,13,49.797796
5.400765,13,50.146939
5.676065,14,50.506541
3.994196,12,50.807165
4.663119,12,51.119966
5.559695,14,51.492402
0.750588,15,51.887873
5.851752,15,52.270019
5.130987,13,52.622289
6.400759,15,53.018056
6.523703,17,53.459468
4.932589,13,53.808594
5.371189,14,54.182168
6.366122,15,54.577914
2.294962,16,54.997261
6.686582,16,55.415357
6.002635,14,55.775281
1.340131,15,56.173133
6.627587,16,56.605958
4.555005,12,56.9074
2.669805,17,57.362281
5.597369,13,57.699575
5.424272,14,58.072567
6.323495,15,58.468818
1.451109,15,58.852519
4.30458,13,59.190058
5.557298,14,59.563757
1.808495,15,59.960662
5.250014,13,60.312144
0.683761,14,60.672621
5.606906,14,62.162472
5.897642,14,62.511691
5.62352,15,62.895039
4.188856,13,63.230911
5.457427,14,63.578912
0.690075,14,63.924926
5.713661,14,64.284421
5.806126,15,64.667334
6.393373,15,65.062535
3.978613,12,65.377065
6.635024,16,65.795583
5.771232,14,66.155873
6.139337,14,66.529832
5.000294,13,66.853738
5.120732,13,67.189451
0.450042,14,67.562933
0.954003,15,67.944573
6.02134,16,68.348796
6.456885,15,68.743741
6.208422,15,69.138992
4.51732,13,69.474272
5.282427,14,69.848171
5.374208,13,70.185746
1.553465,15,70.568801
6.666264,16,71.000268
5.178794,14,71.372486
4.62599,13,71.708432
6.085711,15,72.091383
5.975883,14,72.466286
7.323893,17,72.923619
1.425234,15,73.320034
5.604718,15,73.702532
6.702558,16,74.121631
5.303996,15,74.516782
4.914493,14,74.889978
5.587812,14,75.23801
5.436009,13,75.575865
6.841547,17,76.018415
6.292549,16,76.43715
2.850992,17,76.879747
4.59055,12,77.18035
0.95474,14,77.540406
6.632034,15,77.94895
5.821982,14,78.309661
5.818498,15,78.704973
5.441061,14,79.065273
3.829284,12,79.379732
4.74232,13,79.730538
5.286767,14,80.103353
6.737403,17,80.54566
7.025805,15,80.942303
6.506532,15,81.339978
5.765992,15,81.722336
6.662418,15,82.120111
2.803815,17,82.574263
5.505407,14,82.933036
5.013315,13,83.269665
5.701702,15,83.665211
5.94156,14,84.024326
6.010707,15,84.420218
5.597116,15,84.815723
4.969221,13,85.151933
5.721817,14,85.522825
5.818874,15,85.92835
5.464996,15,86.324028
5.655432,15,86.70468
6.952686,16,87.120414
4.067421,12,87.432195
6.136922,14,87.80358
7.024836,16,88.207357
6.04645,15,88.605233
7.08377,17,89.032818
6.160993,15,89.414637
7.05154,17,89.855248
5.492734,14,90.213687
5.318362,13,90.535836
0.523364,14,90.907829
4.769604,13,91.242716
4.685077,13,91.598672
6.228724,15,92.009388
5.894017,15,92.405432
5.082858,13,92.755807
6.156131,15,93.152947
5.34384,15,93.563627
5.264099,14,93.937749
1.461252,15,94.334702
5.156863,14,94.707941
0.736051,14,95.082142
1.979765,16,95.501045
5.165821,14,95.874479
5.444909,15,96.270315
4.70533,12,96.585068
4.608758,12,96.899318
5.455866,14,97.271831
6.100724,15,97.65712
6.335021,15,98.040768
6.489883,15,98.423203
1.748895,16,98.843896
6.476299,15,99.240646
5.36393,14,99.614164
6.099825,15,99.997959
4.461586,13,100.349503
0.770399,14,100.724216
1.523526,15,101.121007
4.957933,13,101.458192
6.959301,17,101.900912
5.569713,13,102.25177
5.474322,14,102.599786
5.862063,14,102.972672
5.915867,14,103.344043
6.770472,16,103.759431
5.646893,14,104.130847
4.982224,13,104.467802
5.533118,14,104.839615
2.19393,16,105.269924
3.326297,20,105.790748
4.541677,12,106.091151
6.728465,16,106.527
6.124108,14,106.901314
5.963246,14,107.277315
5.711748,14,107.653599
4.956846,13,108.004903
6.081736,15,108.40005
5.161688,13,108.736897
5.052223,13,109.090433
