#{"t_start": 1774735412.612974, "env_id": "continuous-highway-v0"}
r,l,t
5.123927,14,14.643912
7.414679,17,15.154765
5.667246,14,15.601786
5.776194,14,16.026519
5.298066,14,16.44045
5.340606,14,16.860644
6.781309,16,17.373037
5.537343,14,17.793355
5.931723,14,18.224395
5.112537,13,18.625995
2.108036,16,19.142516
1.074653,14,19.569719
5.68027,14,20.003948
2.128784,16,20.531738
4.591227,12,20.888917
6.51456,15,21.340497
2.158745,16,21.827225
6.591592,15,22.297049
5.453399,14,22.717252
5.326822,13,23.099033
4.755542,12,23.458715
2.240809,16,23.934941
6.457164,15,24.386496
4.701268,12,24.769511
5.600171,14,25.194382
4.380975,13,25.593982
5.748738,15,26.066137
6.316749,16,26.563165
6.490767,15,27.025959
5.25657,14,27.465325
6.142778,15,27.919797
5.579117,14,28.362351
4.391789,12,28.739512
6.406474,15,29.200193
5.377691,13,29.585144
5.729464,14,30.0014
5.478418,14,30.427694
0.763561,14,30.855859
5.42921,13,31.272305
4.895554,12,31.642668
4.566114,13,32.049294
5.517306,14,32.479831
1.153728,14,32.909147
6.068653,14,33.331688
6.290448,16,33.814639
5.429675,14,34.259861
5.024723,13,34.656022
5.149964,13,35.04019
5.774277,13,35.431195
2.058494,17,35.964574
4.455433,12,36.331507
6.920543,16,36.845354
5.323027,15,37.315289
1.473525,15,37.768152
4.549932,13,38.161921
4.565358,12,38.532668
6.06989,15,38.983487
4.623714,12,39.331967
5.175699,13,39.726953
6.329707,15,40.175776
5.870682,14,40.697189
5.006119,14,41.498654
5.88536,14,42.168721
5.231963,13,42.545853
5.73208,14,43.150152
5.622302,14,43.751024
5.539273,13,44.327335
5.28378,14,44.932545
4.714345,14,45.540614
4.825795,13,46.117912
6.198491,14,46.703993
5.671927,14,47.320431
5.565187,14,47.924594
5.155082,13,48.465154
5.983366,15,49.081586
5.511294,15,49.691419
5.640315,13,50.271048
4.714435,12,50.802404
5.189972,13,51.293716
5.998874,14,51.738907
5.626088,14,52.182676
5.546575,14,52.6212
5.366491,14,53.070468
6.018523,15,53.529775
6.990864,16,54.038931
5.716646,15,54.500435
0.537115,13,54.91796
5.847412,15,55.365548
5.803194,15,55.829027
5.905302,15,56.270082
5.231473,14,56.713256
5.109186,13,57.106144
4.889799,13,57.507649
5.581691,14,57.943758
6.126011,15,58.401302
4.800647,13,58.798312
6.098039,15,59.2535
4.290245,12,59.63591
6.129787,15,60.098527
6.311191,15,60.565749
2.218631,17,61.092907
2.058849,15,61.556411
2.322612,17,62.077737
5.019447,14,62.48936
1.088182,14,62.901843
1.583175,15,63.347461
6.938043,16,63.836705
5.827432,14,64.263227
1.692385,16,64.730472
5.282734,13,65.142821
4.148261,12,65.498927
4.715818,12,65.873739
5.0357,13,66.286594
4.604613,12,66.656766
5.820706,15,67.126649
6.139279,14,67.560408
1.704354,15,68.025236
6.027262,14,68.457453
6.73253,16,68.939564
5.197532,13,69.323723
3.758276,12,69.69627
6.832923,16,70.169597
3.913557,11,70.510578
5.975903,14,70.931826
6.200728,15,71.388777
5.776171,13,71.804512
4.718324,13,72.204021
4.659593,12,72.557094
5.450747,13,72.933416
6.070532,15,73.397886
8.241392,19,73.970529
6.663452,16,74.484337
6.518642,16,74.98175
6.081191,15,75.452635
5.59578,13,75.868903
1.859996,16,76.360948
5.102419,13,76.761491
6.377508,15,77.211057
6.356243,16,77.692947
6.000354,14,78.123474
5.710937,14,78.54693
5.467732,14,78.988647
5.016754,14,79.415766
1.626625,15,79.866466
1.840139,15,81.849553
6.305875,15,82.285626
5.981644,15,82.748109
6.316772,16,83.23316
4.102301,11,83.574414
4.310794,12,83.939537
4.977206,13,84.349419
5.947479,15,84.793001
4.680864,13,85.199919
1.535367,14,85.633581
4.776407,13,86.030972
5.51115,14,86.446847
3.873836,11,86.761261
5.472165,14,87.170156
6.811191,17,87.678604
1.999725,16,88.135863
3.803348,12,88.494048
5.231503,13,88.896415
5.628665,14,89.308848
5.740781,15,89.734597
5.010413,13,90.110322
1.358754,15,90.626713
6.090451,14,91.436861
4.59773,12,91.945382
5.240912,13,92.34234
1.638238,16,93.045204
6.340831,16,93.73139
5.312128,14,94.387032
6.460844,15,95.080665
6.19953,15,95.778121
0.552014,14,96.33511
4.130959,13,96.755454
4.507769,12,97.131673
6.804138,16,97.629398
5.527092,14,98.073375
4.761309,13,98.482588
5.156981,14,98.929251
6.364141,15,99.406228
5.355447,14,99.840847
6.324987,16,100.35845
4.375892,12,100.740025
4.30418,12,101.114543
5.674493,13,101.54636
0.727595,14,101.995637
2.139067,15,102.472891
5.069103,15,102.945755
4.815282,13,103.359528
5.42163,13,103.754632
5.462119,14,104.193221
5.602501,14,104.600816
5.130774,13,104.978939
6.406494,15,105.452636
5.496917,14,105.870538
5.636281,15,106.308535
6.197113,15,106.768618
2.800556,18,107.306009
6.739517,17,107.813769
1.86036,15,108.281669
4.575999,13,108.685104
5.512914,16,109.164896
5.248615,13,109.5751
4.801457,14,110.008807
5.138684,13,110.414861
5.790188,15,110.87109
0.544877,13,111.269859
5.829176,14,111.69768
5.063272,13,112.106201
3.571729,11,112.457899
1.958383,16,112.940236
3.672525,12,113.283216
4.889933,13,113.668327
6.825747,17,114.187626
4.956866,13,114.572571
6.202749,15,115.022181
6.006476,15,115.47508
6.460854,16,115.946783
4.282701,12,116.312044
0.629931,14,116.74827
5.989373,14,117.185981
6.453281,16,117.688255
1.469647,15,118.145578
5.832478,14,118.577535
6.639058,16,119.417408
5.463454,14,120.145917
6.700827,15,120.594057
5.538303,13,121.032074
6.768189,14,121.661387
5.236725,13,122.224119
6.076738,15,122.855474
6.192536,15,123.538144
6.415364,16,124.194669
5.97459,15,124.811316
5.614967,14,125.240134
1.901633,16,125.730059
6.484061,15,126.20399
5.678864,14,126.658377
6.39041,15,127.127043
5.36053,14,127.561474
4.314187,12,127.907322
5.135314,13,128.31056
5.129386,14,128.764564
5.731677,14,129.204799
0.798383,15,129.687741
6.139176,15,130.165609
5.780959,15,130.653965
1.055366,14,131.086713
6.216789,15,131.549506
5.726875,14,131.986315
6.270563,15,132.435763
4.776357,12,132.824687
6.754486,16,133.327228
4.498043,13,133.743087
4.807104,13,134.155384
4.522682,13,134.5431
4.630302,13,134.949321
5.027138,13,135.335672
4.986246,13,135.717614
4.923563,13,136.105235
5.753393,15,136.554603
6.568379,16,137.072697
5.541576,14,137.504875
4.734357,13,137.888294
6.933654,16,138.404793
5.227972,14,138.830142
1.216755,15,139.271382
5.107306,14,139.689558
6.164149,15,140.151273
4.904153,13,140.544613
6.825259,16,141.031796
4.363484,12,141.398123
5.764856,14,141.834837
6.515417,15,142.291344
5.960277,15,142.738006
1.772399,16,143.214962
5.086933,13,143.621589
6.744143,17,144.13775
5.641023,14,144.561343
2.320568,16,145.063222
1.588979,16,145.553736
1.980803,17,146.074753
2.491652,16,146.566637
6.877787,17,147.100087
4.994313,14,147.522167
4.488603,14,147.93635
2.527996,17,149.900926
5.398025,14,150.339989
4.919674,13,150.732728
6.36216,15,151.196947
0.837564,14,151.618031
4.163214,12,151.98886
5.153614,13,152.383267
-0.068518,13,152.775275
5.250106,13,153.168178
5.814811,13,153.547098
5.571783,14,154.196365
8.27795,19,155.238923
5.847101,15,155.713476
6.09897,14,156.233963
7.449677,16,156.899964
5.385991,14,157.489375
1.158779,15,158.126007
2.648754,19,158.930942
7.176317,16,159.6301
5.886182,15,160.193712
8.361347,20,160.78069
5.573562,14,161.20782
2.359654,16,161.691643
1.388312,15,162.153349
4.510334,13,162.544782
6.759625,16,163.029539
5.815019,16,163.519738
4.771945,13,163.913171
6.44816,16,164.399767
5.669307,14,164.836154
0.586436,14,165.273335
6.243264,15,165.73524
4.948746,13,166.151334
6.165135,15,166.599684
5.144871,13,166.99627
5.566403,14,167.429569
5.176378,14,167.872892
5.52866,14,168.320793
5.507709,13,168.719861
4.571857,13,169.116401
6.223456,15,169.575909
5.679966,14,170.010811
7.141129,16,170.507498
5.639539,14,170.928869
5.979192,14,171.368461
1.972313,15,171.830888
6.509373,16,172.325313
5.719467,14,172.762461
4.440727,13,173.16831
6.331058,16,173.657164
6.846004,15,174.122257
5.996934,15,174.586524
5.809746,15,175.04766
6.216763,15,175.51095
6.690102,16,175.99894
1.640436,15,176.459526
5.706428,14,176.896452
4.997684,14,177.331822
0.780942,14,177.767121
5.553614,15,178.228143
5.905974,15,178.677063
5.394307,15,179.13824
5.803959,15,179.596058
5.296468,14,180.012088
7.143307,15,180.471051
5.139797,13,180.861825
1.918578,16,181.330008
4.07358,12,181.695027
5.881814,14,182.116362
5.272466,14,182.549637
4.656918,13,182.957246
4.907256,13,183.346114
1.245231,16,184.221844
5.476362,15,184.955397
1.146705,15,185.485466
1.553043,16,186.042458
0.33912,14,186.64906
6.247301,15,187.286939
2.769241,18,188.020626
5.796416,16,188.670686
4.555501,13,189.251628
6.031544,15,189.849352
6.513979,15,190.450146
4.889705,13,190.997009
4.855587,12,191.352239
7.212163,17,191.866905
1.893597,16,192.344913
4.836435,13,192.75026
6.840301,17,193.261035
5.376002,14,193.675507
5.171318,13,194.058178
5.444723,14,194.478649
4.837674,14,194.897701
6.683506,16,195.400067
5.069544,14,195.814922
5.347506,14,196.244786
5.959961,15,196.702
5.341172,15,197.147439
4.973746,14,197.558697
6.375212,16,198.027855
6.309,15,198.477964
1.05925,14,198.900893
4.725382,13,199.288809
5.318538,13,199.68983
7.190246,19,200.249555
6.946503,16,200.714686
5.705596,15,201.143537
5.304632,14,201.537818
5.586306,14,201.940478
6.929455,15,202.387605
5.111524,14,202.779609
5.895813,15,203.212512
0.663953,14,203.637284
5.09829,14,204.035709
6.219518,16,204.507879
1.317174,15,204.941996
4.669484,13,205.33555
5.024878,13,205.72426
6.398756,15,206.163634
6.439272,16,206.646846
0.419448,14,207.070317
7.187836,18,207.584975
6.829889,17,208.073153
4.185112,13,208.469489
5.916239,14,208.894573
5.708442,14,209.320293
5.49662,15,209.767109
6.058911,15,210.204375
6.165089,16,210.659391
2.500487,18,211.199408
5.359193,14,211.614955
4.912361,13,212.011181
4.606413,13,212.374744
6.311561,15,212.8272
6.326037,15,213.271281
5.859915,15,213.698796
1.041363,14,214.122257
6.089928,16,214.602238
1.392334,15,215.023787
4.772996,13,215.410167
8.176403,20,217.357028
6.528754,16,217.830546
5.662492,14,218.250453
6.153633,15,218.686158
4.311544,12,219.061399
5.965954,15,219.499255
5.931157,15,220.261783
6.407325,15,221.069739
0.841157,15,221.621793
6.558131,17,222.194477
5.609674,15,222.894063
6.101386,15,223.479857
6.538524,16,224.16958
1.801844,17,224.880854
6.562461,17,225.564538
5.804869,15,226.15872
6.336555,15,226.635854
7.746896,18,227.141875
5.461976,14,227.566323
5.316842,15,227.994486
4.455067,12,228.351404
5.857017,15,228.775191
6.297885,17,229.285129
6.489054,17,229.798471
1.533201,15,230.239258
5.946377,15,230.681614
5.320199,14,231.118143
0.751083,15,231.544237
6.427409,15,231.982437
5.515831,15,232.421906
2.070372,17,232.944541
6.01282,17,233.454904
5.814155,14,233.884807
5.503224,14,234.312614
6.646082,17,234.825628
6.04166,15,235.277446
5.910958,15,235.727515
1.284927,15,236.17369
7.085373,17,236.679926
5.13915,13,237.065742
6.39792,15,237.518621
6.179688,15,237.976102
4.757879,13,238.361982
4.887821,14,238.769721
6.839222,18,239.308728
4.983103,13,239.691547
5.2235,14,240.119552
6.971955,17,240.627583
6.787203,15,241.08453
6.505137,16,241.555594
-0.334907,12,241.929836
6.252526,14,242.349261
5.996576,16,242.814907
5.900284,15,243.258591
4.199826,12,243.610973
6.896532,17,244.136977
5.471148,14,244.535362
1.3663,16,245.004313
5.457924,14,245.407772
6.033586,16,245.889771
1.215956,15,246.303047
6.05251,16,246.767475
5.733739,15,247.202958
1.535571,15,247.625338
6.325776,15,248.056241
6.465775,16,248.52674
6.644246,17,249.038438
5.574365,14,249.446804
5.780589,15,249.888283
1.687367,16,250.357344
6.770895,17,250.854278
4.141888,12,251.211667
4.42695,12,251.784481
5.726467,15,252.571763
4.559595,12,253.158622
7.38409,17,253.671319
5.64161,13,254.223309
6.920544,17,254.915111
4.57999,14,255.457867
5.739618,14,256.048704
5.18482,15,256.691744
5.817436,15,257.321653
6.918261,17,257.988429
3.503622,11,258.392215
7.442602,19,258.946013
5.779371,16,259.421521
5.595024,14,259.843084
5.563913,15,260.285177
5.925139,16,260.770783
5.456426,14,261.205341
6.090477,16,261.686426
4.276788,12,262.040874
6.05874,16,262.519049
5.269812,13,262.891634
5.155459,13,263.280019
5.856125,15,263.733772
4.975932,14,264.155893
0.906783,14,264.570852
5.882932,14,264.987513
1.405531,17,265.556293
7.076394,16,266.343089
5.804563,15,267.11941
7.22201,16,267.594939
6.924061,16,268.157902
6.442299,17,268.863409
2.667088,17,269.527231
6.581359,15,270.155462
4.517905,13,270.724215
4.395762,12,271.217931
5.893348,14,271.773082
4.777384,14,272.325285
6.873993,16,272.80339
5.945083,15,273.258111
4.681694,13,273.643457
5.607876,14,274.081371
4.905961,14,274.494305
7.731394,18,275.035764
0.810151,15,275.495495
4.696042,13,275.900537
5.599632,14,276.311143
7.097983,17,276.803459
1.716473,17,277.30821
4.179684,12,277.670233
4.954785,13,278.061686
6.948888,16,278.519694
5.372142,14,278.950553
2.265972,16,279.418169
6.485956,16,279.88844
6.773094,18,280.416249
6.105925,16,280.899406
6.095704,15,281.350767
5.475227,14,281.755183
4.105895,12,282.108567
1.565694,17,282.613233
0.625102,14,283.035352
5.669221,15,283.482728
5.813682,14,285.259737
6.132958,17,285.774854
6.917531,17,286.286405
6.029592,15,286.744894
7.091209,17,287.27131
4.576715,13,287.660411
5.559362,15,288.11301
6.03034,16,288.581743
6.418349,16,289.08214
5.495455,14,289.481457
7.328845,18,290.015725
6.729023,16,290.498543
5.810307,14,290.934711
6.044275,15,291.383483
6.265022,16,291.852669
1.340769,16,292.329369
5.240919,14,292.74062
6.865088,18,293.273109
6.344316,15,293.724702
5.557126,15,294.174034
4.811029,14,294.589585
5.132246,14,295.016011
0.733628,17,295.527238
1.099555,15,295.976532
7.63304,18,296.505317
6.132152,15,296.9547
6.7251,16,297.424348
5.705041,15,297.876489
4.460962,13,298.25676
6.043883,16,298.708131
5.00804,15,299.143445
6.197074,16,299.616519
5.674019,15,300.041533
6.616765,18,300.559271
2.595739,20,301.143876
6.521327,17,301.858066
7.667503,18,302.906135
