#{"t_start": 1774743482.6338072, "env_id": "continuous-highway-v0"}
r,l,t
3.521353,11,16.164888
3.673036,11,16.576309
3.608621,11,17.02425
-0.7586,12,17.513169
2.654452,10,17.919856
3.646087,11,18.367224
2.575852,9,18.728644
2.857821,10,19.13379
3.688739,11,19.574647
2.445359,10,19.992349
4.133515,12,20.46725
-0.857046,11,20.928444
3.142511,10,21.316173
4.193464,12,21.825461
4.286935,12,22.316977
3.813356,11,22.770772
-1.226391,11,23.23468
2.952657,10,23.652006
3.639154,11,24.114482
4.176421,12,24.607967
3.004889,10,25.017823
2.677877,10,25.447192
4.271376,12,25.958365
4.416256,12,26.474847
-1.047964,11,26.916096
4.717376,13,27.509286
-0.217201,12,28.370791
3.322609,11,28.98714
2.898403,10,29.454319
4.032767,12,30.149224
3.961588,12,30.752456
2.759188,10,31.236457
3.117021,11,31.674203
2.501985,10,32.079926
3.521086,11,32.5388
3.754108,12,33.01768
-0.864508,12,33.491949
3.016452,10,33.868253
2.873369,10,34.25689
-1.096108,11,34.682972
-1.697185,11,35.121298
4.767162,12,35.579817
3.85552,11,36.014838
-0.428779,12,36.487945
3.113831,10,36.882744
3.577748,11,37.301929
3.152878,10,37.693542
4.945293,13,38.24175
5.131252,13,39.149805
4.120434,12,39.71279
3.004519,11,40.21205
2.493399,9,40.716397
3.988854,11,41.283802
-1.643343,10,41.727624
2.948475,10,42.141153
3.693242,11,42.563535
2.275128,9,42.918719
2.881589,10,43.309478
4.247275,12,43.792814
4.357438,12,44.265418
3.723471,11,44.690432
4.363038,12,45.164571
2.087939,9,45.504485
4.228094,12,45.973158
3.063676,10,46.343502
3.765065,12,46.814262
-0.564941,12,47.290497
0.463044,14,47.813125
3.63455,11,48.247711
2.033724,9,48.877785
4.095235,12,49.5855
3.83799,11,50.053145
-1.390905,11,50.659269
2.579603,10,51.210592
3.714539,11,51.785877
3.590474,11,52.353141
-0.368255,12,52.985314
3.394737,11,53.569746
3.523949,11,54.107699
3.58182,11,54.523791
2.930981,10,54.907371
-2.019101,10,55.282218
3.685011,11,55.708459
-1.293124,11,56.154804
4.49563,13,56.663085
4.554825,12,57.121544
2.997028,10,57.527512
3.983477,11,57.970357
2.633368,10,58.381246
3.672367,11,58.823447
3.539832,11,59.269421
3.135088,11,59.697747
2.23387,9,60.059163
-1.976334,10,60.465332
3.978468,12,60.940201
3.413124,11,61.375857
4.579151,13,61.860594
2.845717,10,62.240069
3.406807,11,62.669318
-1.879958,10,63.065953
2.883194,10,63.464467
2.845722,10,63.846516
3.731412,11,64.262623
3.60018,11,64.676253
2.916857,10,65.045037
3.813937,11,65.476157
4.010737,12,65.942902
3.083696,10,66.323389
3.248276,10,66.720835
2.688977,10,67.118832
3.875293,11,67.538276
3.436107,11,67.971537
4.631774,12,68.43577
3.032375,10,68.83377
3.019125,10,69.233385
4.901085,13,69.731615
-0.701994,12,70.199222
3.244748,10,70.582709
-1.673484,10,70.984922
3.75512,11,71.421838
-0.622695,13,71.926413
4.312297,12,72.397585
-1.664178,10,72.802102
-0.667024,12,73.463109
3.4659,11,74.207407
3.673336,12,75.089454
3.158721,10,75.492532
3.700984,11,76.09102
-0.092423,12,76.698249
-0.814199,12,77.353054
-0.243134,13,78.05068
3.795698,12,78.710089
-0.969075,11,79.289246
4.10292,12,79.84373
3.213346,10,80.252918
4.621972,13,80.778868
2.773648,10,81.176435
-0.789917,11,81.627846
3.340469,10,82.042551
3.018913,10,82.459031
4.767703,13,82.965056
2.831621,10,83.341989
4.252092,12,83.82195
3.979896,12,84.29663
-1.538288,11,84.718932
3.24035,10,85.12588
3.677008,11,85.567783
3.790477,11,85.989711
3.8859,11,86.397879
3.721642,12,86.89415
3.087755,11,87.335658
3.291356,11,87.803962
3.597415,11,88.269899
-2.132195,10,88.689445
4.316805,12,89.168194
-1.33376,11,89.619341
4.694883,13,90.138428
4.703718,12,90.62777
-0.331333,12,91.090758
3.096023,11,91.556113
3.076692,10,91.95064
3.864571,11,92.397382
3.513882,11,92.841666
4.16974,11,93.295795
2.490696,10,93.716487
2.457024,10,94.128255
-0.929255,12,94.619823
4.071983,12,95.113349
4.602558,12,95.617786
4.324521,12,96.097574
2.463077,10,96.520333
4.236509,12,97.086389
4.525976,12,97.837684
3.598126,11,98.601861
-1.803052,11,99.079966
2.709236,10,99.545634
-0.669778,12,100.19591
-1.098017,11,100.796918
4.561019,13,101.52522
2.361586,10,102.030175
3.505103,11,102.620094
3.72193,11,103.205962
3.612165,11,103.786519
-1.049603,12,104.419641
3.121986,10,104.975438
3.687941,11,107.293551
3.298365,11,107.741387
2.541991,10,108.157103
2.683527,10,108.554798
-0.731917,12,109.021147
3.086017,11,109.452203
3.441326,10,109.864352
4.166319,12,110.328045
3.13788,10,110.722703
2.431963,9,111.085757
4.477801,13,111.584173
3.808913,11,112.013714
-0.456262,12,112.496061
-1.435347,11,112.940241
3.974803,12,113.422853
-0.737162,12,113.908139
3.816645,12,114.395701
3.858866,12,114.861721
0.363557,15,115.469087
3.309192,11,115.892037
3.665259,11,116.308439
3.195124,10,116.706809
4.251798,12,117.197088
3.509115,11,117.641555
-0.651791,12,118.126679
4.09608,13,118.620342
2.775126,10,119.007503
3.369973,11,119.427917
3.539838,11,119.861316
-0.770561,12,120.330874
3.543556,11,120.769224
-1.037045,11,121.205997
3.841535,11,121.62326
-1.190781,11,122.060138
3.963409,12,122.527971
3.23704,11,122.946431
-0.28222,13,123.449736
3.211359,11,123.867311
-0.505148,12,124.339952
4.055876,11,124.793183
0.492838,14,125.692208
-0.603294,12,126.38404
3.739664,11,126.878628
3.257028,10,127.288383
-0.198805,12,127.737394
3.524446,11,128.155852
-1.820982,11,128.797015
3.080303,10,129.426208
2.856433,10,130.012006
4.909651,13,130.587963
2.968917,11,131.149744
2.811745,10,131.695405
3.94301,12,132.357972
3.403171,12,132.986178
3.078402,11,133.569588
2.758819,10,134.134611
3.837007,12,134.739394
3.471147,12,135.227971
3.84841,12,135.681544
3.003037,11,136.121394
4.02294,12,136.590816
-0.951899,12,137.062209
4.794806,12,137.521405
3.939691,12,137.995438
4.140303,12,138.478349
3.254177,10,138.883278
3.124073,11,139.303147
3.877778,13,139.807931
3.760838,12,140.274804
3.427706,11,140.714472
2.340108,9,141.084982
2.759706,10,141.491233
-1.114393,11,141.914801
2.263978,9,142.268899
3.289534,11,142.706246
4.509305,13,143.22803
4.345456,12,143.709428
4.020513,12,144.181298
-1.022203,11,144.615226
3.587482,11,145.061944
-0.956226,12,145.523364
3.824542,12,145.999459
3.361738,10,146.421861
3.877934,11,146.852203
3.562543,11,147.285465
3.153887,11,147.709871
3.855827,12,148.178932
3.890212,12,148.658224
3.657076,11,149.097333
-1.561285,11,149.520969
3.401935,11,149.929127
2.652817,10,150.302791
3.910137,12,150.777768
3.408736,12,151.25093
4.155803,13,151.757124
-1.095522,12,152.226063
-0.242449,13,152.716547
3.3798,11,153.152426
3.406177,11,153.571142
4.25615,12,154.037887
3.929607,12,154.490591
3.838371,12,154.957955
-1.189102,12,155.64279
3.521117,11,156.326566
2.866117,10,156.882765
3.656321,11,157.345561
3.85523,11,157.90525
2.868522,10,158.414087
4.814157,13,159.062631
3.247924,11,159.593071
3.185508,11,160.033605
-0.703278,12,160.493669
3.495066,11,160.929105
4.244837,12,161.390115
3.565386,11,161.79613
3.51171,11,162.225791
3.995615,11,162.657032
3.694531,12,163.105706
-0.278618,12,163.555382
0.501976,14,164.09047
3.024258,11,164.521861
3.165373,11,164.945379
3.01005,11,165.355736
3.296436,11,165.776457
3.267691,10,166.160057
-1.447155,11,166.595362
3.125878,10,166.97937
3.950305,12,167.454473
3.54698,11,167.871068
2.715337,10,168.23607
2.807418,10,168.616568
3.342271,11,169.018177
2.99926,11,169.423177
3.258033,11,169.825818
2.651152,10,170.194252
-0.817489,12,170.824283
3.712308,12,171.594747
3.53746,11,172.180586
3.152222,11,172.666382
4.229403,12,173.328526
2.894524,10,173.85166
3.921894,12,174.477613
2.5947,10,174.917269
4.078703,12,175.393854
3.674924,11,175.828293
3.697551,11,176.249758
-0.819023,12,176.707307
-0.243443,13,177.191915
3.319386,11,177.633355
-1.778733,11,178.07816
4.369337,13,178.57725
2.975009,11,179.016556
2.863518,10,179.41863
-1.215214,11,179.862874
3.971372,12,180.316498
-1.008348,12,180.791247
2.686422,10,181.192594
4.148526,12,181.637655
3.770434,11,182.04877
2.629271,10,182.419506
