#{"t_start": 1774731213.4642746, "env_id": "continuous-highway-v0"}
r,l,t
7.32471,16,15.102389
6.235823,15,15.43273
6.217695,15,15.732686
6.285637,15,16.013909
6.01655,14,16.311556
7.606716,16,16.648793
6.134499,14,16.953844
6.345251,15,17.269522
7.996978,16,17.594111
6.971214,15,17.893588
8.722349,20,18.281606
7.436025,16,18.598803
6.199913,16,18.927426
8.159996,17,19.258607
7.108202,16,19.58637
7.870939,16,19.913495
5.505235,13,20.173733
6.787903,16,20.47762
7.608123,17,20.81005
7.398024,17,21.164742
7.425675,17,21.505425
7.571461,16,21.82277
3.759829,17,22.170319
6.061705,14,22.455185
7.61695,17,22.786514
7.366307,16,23.112312
7.736989,17,23.457181
3.382948,18,23.824532
7.8759,17,24.169187
3.119936,18,24.529199
1.56012,14,24.823183
6.992201,15,25.125136
8.203674,17,25.459145
7.217066,15,25.746097
6.859281,14,26.026381
7.660443,16,26.35893
7.691894,17,26.705142
6.36336,14,26.990242
6.196579,15,27.28934
6.562048,15,27.586939
5.703548,14,27.865809
6.534015,14,28.14868
8.773961,18,28.512201
5.523592,14,28.792073
8.146115,18,29.157457
7.119362,17,29.503367
6.952717,16,29.828528
6.824372,16,30.158412
7.980716,16,30.487581
7.427008,17,30.832873
1.329347,15,31.1293
9.070559,18,31.490089
8.90574,18,31.862023
8.520623,17,32.534664
8.392033,18,33.070459
6.805533,15,33.383512
8.950207,19,33.982327
3.251118,17,34.493239
5.889392,14,34.908059
7.113195,15,35.358595
6.022474,14,35.790876
5.411964,14,36.258913
6.453758,15,36.743936
8.310066,18,37.249861
6.034905,14,37.546123
3.150321,18,37.915335
8.916034,20,38.340171
3.234092,17,38.679533
10.225639,23,39.138685
7.759182,17,39.490735
1.828376,15,39.791627
7.706721,16,40.11158
6.621643,15,40.420075
6.061981,14,40.723217
7.881265,18,41.097002
3.476527,19,41.488021
6.047184,14,41.777137
2.257043,15,42.096429
5.963359,15,42.420799
2.767953,17,42.781417
6.608236,16,43.113791
3.453659,18,43.471446
6.221332,14,43.769065
2.480196,16,44.092315
5.265234,13,44.373562
8.264182,18,44.723006
8.833403,18,45.060731
7.176719,16,45.379299
3.744236,18,45.742673
7.501009,16,46.058547
7.39787,16,46.367512
7.033287,16,46.691025
7.313443,16,47.015523
7.513447,17,47.333961
6.938339,16,47.659595
6.01924,14,47.936821
1.715978,15,48.223773
7.740258,18,48.587558
3.51894,17,48.933518
6.831024,16,49.267912
3.078641,18,49.612748
6.21463,14,49.891061
8.951666,19,50.263721
7.579721,17,50.601418
8.921346,19,50.969224
9.652269,20,51.644364
6.794191,16,52.073942
8.32159,18,52.426441
7.067803,16,52.943656
4.582257,19,53.476902
6.102546,14,53.865937
7.18432,17,54.33639
7.027786,16,54.81583
6.458722,15,55.201077
7.163177,15,55.617187
7.71583,17,56.0757
7.139592,17,56.576076
7.335286,16,57.024703
8.211509,18,57.541175
8.758708,20,57.967899
6.870786,15,58.267275
6.841,15,58.570329
7.61564,17,58.90458
6.575418,15,59.194416
7.147297,16,59.515638
7.087968,15,59.805167
7.450638,16,61.295961
7.475843,17,61.637852
7.30511,16,61.950696
5.621893,14,62.23046
6.342083,16,62.55664
6.223469,14,62.848255
6.190068,14,63.151921
7.109092,16,63.480121
8.059407,17,63.829622
7.81298,16,64.163247
7.173961,16,64.494074
2.240624,15,64.808219
8.37199,19,65.197165
7.815294,16,65.529155
6.847146,14,65.823379
6.012384,15,66.123036
6.148511,14,66.40047
2.870221,16,66.726338
9.016112,20,67.120559
8.740183,19,67.511392
7.309742,16,67.828021
1.836413,15,68.127218
6.954614,16,68.46008
6.033292,14,68.741798
6.815136,15,69.040576
7.813439,17,69.395328
2.757462,16,69.723766
7.7171,16,70.038285
6.056467,14,70.320444
6.450941,14,70.613353
7.712972,16,70.93047
7.805724,17,71.275042
3.186023,17,71.61781
3.214581,18,71.962216
6.361952,14,72.252279
8.515506,18,72.607345
6.263684,14,72.896602
7.051669,16,73.215881
7.414127,16,73.538656
2.980193,17,73.880043
8.618824,17,74.222437
7.071377,15,74.529696
6.956161,15,74.834749
6.703078,15,75.143182
5.601786,14,75.419847
3.325475,17,75.760205
9.333707,20,76.140309
5.999369,14,76.429967
8.209372,16,76.740505
4.149231,20,77.136064
2.055787,15,77.429005
7.469352,16,77.750269
7.917668,17,78.091862
8.059925,18,78.446671
6.448785,15,79.022089
7.238559,17,79.763781
8.173151,16,80.237665
8.181478,18,80.627493
6.979039,15,81.079714
6.979158,15,81.497665
7.684664,16,81.969808
2.349304,16,82.395986
8.158337,18,82.869485
6.521649,15,83.169022
8.615003,17,83.512018
7.977295,16,83.822564
8.283408,18,84.172744
6.010451,14,84.43099
3.96627,19,84.799939
7.420245,17,85.120462
3.292822,18,85.460736
5.562276,13,85.718817
6.501308,14,85.994315
7.331846,17,86.317992
7.090725,17,86.641802
7.474218,16,86.960788
3.672482,18,87.314814
7.65949,16,87.619438
5.481212,14,88.153884
7.245456,16,88.688477
9.236693,19,89.074519
8.01894,18,89.604619
7.754586,17,90.045373
8.410439,18,90.583727
6.360265,14,90.958489
5.159481,14,91.386928
7.258438,15,91.788539
6.860725,17,92.247707
2.447233,15,92.687005
8.560651,18,93.177337
7.610704,16,93.580583
7.781635,18,94.072964
2.988408,17,94.510915
7.632501,15,94.88552
8.730655,18,95.238111
6.924777,15,95.528492
7.104435,16,95.834138
6.847694,15,96.125424
6.87098,15,96.400512
8.683276,18,96.75176
7.471848,17,97.089135
2.875518,16,97.409474
6.862312,15,97.710026
7.851002,17,98.04302
7.241469,16,98.334069
6.074692,14,98.604753
3.250948,17,98.938397
5.731758,15,99.220924
6.617338,15,99.507518
7.903799,17,99.846648
7.058845,15,100.153186
7.598091,16,100.478604
7.749404,17,100.814748
7.278756,16,101.134187
8.361156,17,101.471395
5.671695,13,101.727822
7.506679,17,102.066146
5.814067,14,102.355923
2.613591,16,102.676099
6.427936,15,102.95503
5.739849,15,103.259746
2.819441,17,103.583387
6.191131,15,103.88561
7.40971,16,104.202328
6.428648,15,104.504797
6.631504,14,104.786264
7.197395,17,105.117808
6.87149,15,106.332552
8.5037,18,106.685086
2.862144,16,107.005677
6.841416,15,107.313338
8.253585,17,107.639476
9.477115,21,108.071033
1.916339,15,108.389544
3.344215,17,108.725214
8.782122,18,109.065764
5.378297,13,109.319501
7.438756,16,109.624139
8.320239,19,110.003903
8.009717,16,110.310084
2.727709,17,110.641701
3.942532,18,110.99385
4.633619,12,111.230766
8.017275,17,111.563867
6.679497,14,111.850975
4.429766,19,112.220355
6.775894,16,112.545856
7.264536,15,112.835135
7.805652,17,113.170777
6.071169,14,113.44689
7.131361,15,113.735505
2.166005,16,114.041673
7.31161,16,114.345319
8.175667,19,114.71359
2.940373,16,115.004577
7.687972,18,115.352386
6.331752,14,115.62215
8.123522,17,115.94201
7.671973,17,116.333818
8.709619,18,117.085233
7.56748,16,117.676636
6.320786,16,117.994527
7.246791,15,118.383848
7.581766,16,118.798898
6.873799,16,119.206347
6.814531,17,119.680326
6.58752,15,120.087311
6.414052,14,120.507669
7.052433,16,120.924126
6.894225,15,121.226422
7.096125,16,121.540557
7.954042,18,121.897107
2.033672,15,122.203987
8.453459,19,122.574865
8.072109,17,122.913721
6.310544,14,123.200449
6.50289,15,123.503314
7.184353,15,123.793585
7.534336,15,124.09183
9.145291,20,124.501235
7.485017,15,124.781013
5.915557,15,125.088192
6.624442,15,125.392732
7.785078,18,125.740039
3.600073,19,126.132707
8.183563,18,126.494287
6.702287,15,126.801689
3.129509,17,127.146595
7.486245,17,127.495263
7.264108,16,127.819106
8.885118,19,128.199407
7.34361,16,128.524815
7.497442,18,128.880632
6.056114,15,129.185398
7.175677,16,129.801248
6.892277,15,130.35833
6.931581,16,130.683209
7.923938,17,131.147249
7.763651,17,131.646492
7.807402,16,132.070746
7.836952,17,132.392857
6.32491,15,132.695417
6.452454,15,132.97391
7.493798,15,133.283439
7.542088,17,133.624984
8.543896,19,134.013113
4.458182,19,134.396431
6.569224,15,134.695229
7.545836,17,135.027813
8.823234,20,135.400189
6.53686,15,135.701544
8.45445,18,136.058327
7.049656,15,136.357398
7.392023,16,136.672857
8.310301,18,137.029642
8.208926,17,137.665588
7.643908,16,138.288604
7.583462,17,138.67394
7.479278,16,139.036441
6.881864,17,139.402539
5.067902,13,139.674368
8.385798,20,140.077851
6.810779,16,140.388603
8.605947,19,140.761934
7.122973,16,141.087933
4.09036,20,141.494668
7.308748,16,141.818023
8.826751,19,142.194781
7.478278,15,142.500967
6.68597,15,142.793115
7.817497,16,143.096173
7.314133,16,143.410469
8.490832,18,143.759621
7.063569,17,144.087791
7.568635,17,144.412057
8.542523,17,144.73941
7.807991,18,145.092908
7.380358,18,145.449012
7.225134,16,145.744987
5.625853,15,146.028553
6.568224,15,146.32447
9.478944,19,146.685031
2.920502,17,147.003836
7.470501,16,147.319345
6.472019,15,147.603581
9.035222,19,147.969357
6.797932,15,148.253057
7.250348,16,148.555637
7.570281,15,148.837413
6.099497,15,149.128382
3.520257,18,149.472073
6.472271,15,149.765796
7.291863,17,151.002295
8.36055,17,151.30464
6.52303,15,151.575449
6.557853,16,151.884434
3.052576,18,152.22719
7.814025,17,152.543618
7.653366,18,152.888252
8.800373,18,153.235576
7.031644,15,153.522979
8.264423,19,153.887016
7.972071,16,154.2059
8.931806,20,154.595196
7.600715,18,154.951518
7.445877,16,155.261658
2.598481,16,155.597333
3.164831,17,155.936984
10.451227,22,156.3713
6.785988,16,156.691654
7.546239,16,157.009197
7.067304,15,157.305174
7.999766,17,157.642752
7.362034,17,157.979959
6.239863,14,158.254511
5.67576,14,158.529695
8.203042,17,158.879259
9.825805,20,159.254819
7.258923,16,159.563802
7.809497,17,159.902256
7.456859,18,160.254703
7.554587,17,160.594368
7.572724,16,160.913169
6.18576,16,161.228614
6.730005,15,161.500023
6.849001,15,161.770453
8.537085,17,162.102515
6.024842,14,162.381651
6.225,15,162.676516
8.207821,18,163.021914
6.294852,15,163.308734
7.498486,16,163.630766
8.26319,19,164.00307
7.504144,16,164.299306
8.075763,18,164.667946
6.829829,15,164.975452
6.850048,16,165.284287
6.449832,15,165.578737
9.306251,21,165.998978
7.940884,17,166.341007
6.271536,15,166.65233
7.497435,18,167.009087
8.543815,17,167.349714
6.648049,15,167.653554
7.576923,17,167.979973
7.819853,16,168.290396
7.270443,17,168.616266
6.880493,16,168.936705
7.631412,16,169.246295
5.858954,15,169.536457
6.494195,15,169.831669
