#{"t_start": 1774626415.541825, "env_id": "continuous-exit-v0"}
r,l,t
0.504855,2,11.204825
0.549422,2,11.362155
0.504186,2,11.5298
1.221155,4,11.909288
0.328159,2,12.022391
0.507453,2,12.160342
2.144199,6,12.562398
0.454663,2,12.724008
0.909158,3,12.964615
1.680702,5,13.465693
1.738078,5,13.910059
0.519679,2,14.066165
0.564275,2,14.237259
1.763114,6,14.799468
0.329795,2,14.980427
0.530474,2,15.1336
2.053006,6,15.547074
-3.173071,5,15.931373
0.481404,2,16.09696
0.52659,2,16.258258
0.560636,2,16.382515
1.221523,4,16.601565
0.558125,2,16.699908
0.536095,2,16.816264
0.556488,2,16.933097
-3.154149,6,17.236591
0.507635,2,17.351258
1.633768,5,17.614501
-2.938049,6,17.947369
0.552441,2,18.061229
0.895536,3,18.219657
1.715673,5,18.488616
0.519827,2,18.601559
-3.41061,4,18.838028
1.488064,5,19.105761
0.550198,2,19.223766
0.344667,2,19.339181
0.783461,3,19.51267
1.289655,4,19.738719
1.224243,4,19.959917
0.5341,2,20.073968
0.925626,3,20.227005
0.573905,2,20.323533
0.33606,2,20.439653
3.383824,9,21.135215
0.520467,2,21.290996
0.520289,2,21.464106
2.10599,6,21.944051
0.533098,2,22.059731
0.897453,3,22.241089
-2.763238,6,22.774034
0.545867,2,22.976961
0.529565,2,23.17526
0.504782,2,23.345491
-2.969993,6,23.797454
1.341688,4,24.042894
0.329533,2,24.192299
1.6257,5,24.566236
1.936279,6,25.002718
0.938316,3,25.252695
0.901665,3,25.476281
2.554735,7,25.995156
1.291819,4,26.30713
1.243223,4,26.594186
0.318676,2,26.693503
0.513559,2,26.791667
1.771669,5,27.083761
0.33519,2,27.197699
-3.100547,5,27.450789
0.463835,2,27.565043
1.613214,5,27.816725
3.734775,10,28.616762
0.346858,2,28.749542
-1.596573,10,29.493442
1.683395,5,29.76895
0.905656,3,29.951995
0.545302,2,30.066423
-3.439896,4,30.279236
0.54946,2,30.394317
0.320731,2,30.514097
0.498694,2,30.613633
0.533234,2,30.73168
0.530611,2,30.88094
-3.526807,4,31.2078
3.819759,10,32.086064
-3.503526,4,32.32536
0.552117,2,32.49152
1.176245,4,32.783003
0.331299,2,32.953019
0.532192,2,33.107506
0.512913,2,33.275484
0.884632,3,33.510402
1.279893,4,33.820143
1.598397,5,34.177866
-3.403512,5,34.52328
2.181588,6,34.933846
0.537036,2,35.081351
0.540712,2,35.229986
1.51617,5,35.514186
-3.09447,5,35.751278
1.530705,5,36.023663
0.739373,3,36.176968
0.532522,2,36.294278
4.378313,11,36.837891
0.851944,3,36.993111
1.853287,6,37.520365
0.530651,2,37.646835
2.021515,6,38.13738
0.515695,2,38.287431
-3.179648,5,38.738808
0.544728,2,38.903111
-3.159609,5,39.279203
0.505676,2,39.394331
0.557449,2,39.508547
1.106178,4,39.812393
1.659685,5,40.166622
0.560858,2,40.283029
0.539425,2,40.37943
2.149557,6,40.697896
0.898337,3,40.853336
2.187756,6,41.183644
-2.338191,7,41.55303
0.563259,2,41.669313
0.598703,2,41.765669
0.497143,2,41.862822
0.327021,2,41.981682
0.579576,2,42.096091
0.555105,2,42.233693
0.519224,2,42.381694
-3.588057,4,42.740842
0.543155,2,42.908591
2.184866,6,43.37423
0.511129,2,43.473934
-1.643777,9,43.961441
1.149381,4,44.224796
1.260352,4,44.418539
0.543452,2,44.535585
0.347338,2,44.631877
0.892535,3,44.805798
-3.724704,4,45.01788
0.555298,2,45.135071
0.524301,2,45.249394
-3.324975,5,45.522908
1.270284,4,45.735959
0.519091,2,45.831893
0.882069,3,45.989917
