#{"t_start": 1774748499.8724995, "env_id": "continuous-exit-v0"}
r,l,t
0.553236,2,11.896266
0.523402,2,12.002229
0.562095,2,12.109765
0.880769,3,12.277839
0.858123,3,12.454692
0.514881,2,12.586131
0.555776,2,12.714149
0.542842,2,12.841012
3.346141,9,13.393729
0.341012,2,13.500444
2.606923,7,13.999661
0.510876,2,14.28237
0.458263,2,14.468086
0.491341,2,14.674453
1.596421,5,15.195728
0.575543,2,15.398985
0.47697,2,15.603662
1.132271,4,16.004106
0.894761,3,16.234774
0.711241,3,16.440671
0.531881,2,16.574014
0.325122,2,16.689571
3.013259,8,17.383495
1.352324,5,17.756558
0.320847,2,17.908784
0.532645,2,18.045945
0.508123,2,18.155224
-3.694305,4,18.382291
0.332501,2,18.496316
3.556169,11,19.133881
1.414898,5,19.464364
0.914,3,19.658762
0.354216,2,19.765225
-3.540225,4,19.982794
2.171025,6,20.320103
2.316238,7,20.734046
1.255396,4,20.973632
0.447045,2,21.111888
0.901187,3,21.285144
0.553101,2,21.395891
0.915399,3,21.548753
0.328297,2,21.676332
0.522826,2,21.805956
0.527732,2,21.917849
0.552244,2,22.053215
0.96839,3,22.203846
0.513801,2,22.316231
1.084439,4,22.556329
0.961943,3,22.729837
-3.589033,4,22.964398
1.99725,6,23.306554
1.407585,4,23.568785
1.653705,5,23.848331
0.545828,2,23.978172
0.456935,2,24.110286
0.523496,2,24.237094
0.512347,2,24.362878
0.537858,2,24.492012
1.103596,4,24.728034
0.538731,2,24.857864
1.446173,5,25.174405
0.331809,2,25.377769
0.547151,2,25.587029
0.548428,2,25.796955
-3.310335,5,26.279021
0.524194,2,26.478928
-3.35861,5,26.955422
2.527355,7,27.528122
0.34751,2,27.671054
0.50533,2,27.777897
-3.665307,4,27.991667
0.544137,2,28.120304
0.553717,2,28.296238
3.002813,8,28.928511
0.34419,2,29.097963
1.812462,5,29.47882
0.93847,3,29.754681
-3.588506,4,30.074124
1.342259,5,30.435875
-2.358829,6,30.837184
3.196626,8,31.302007
0.511308,2,31.435136
2.537041,7,31.864124
1.670903,5,32.168058
-3.436708,4,32.408338
0.557335,2,32.539605
-3.490188,4,32.786838
0.354143,2,32.899868
-2.768325,6,33.248145
1.504051,5,33.559515
0.964118,3,33.749863
2.823179,8,34.219379
1.347405,4,34.48091
2.209101,6,34.838446
-1.900196,8,35.304129
0.540221,2,35.428602
0.471659,2,35.557992
0.912272,3,35.736141
-2.998829,5,36.03733
0.547309,2,36.167156
0.566297,2,36.278988
0.563415,2,36.393654
0.318808,2,36.50909
2.734078,7,36.917645
0.543302,2,37.049479
0.53289,2,37.174347
0.754428,3,37.34847
2.965523,7,37.785873
0.946014,3,37.957504
0.543001,2,38.0887
1.377635,4,38.349827
2.870009,7,38.76319
0.340086,2,38.89
1.35177,4,39.121764
0.549067,2,39.23026
-2.512665,7,39.624358
2.4133,7,40.004469
1.667041,5,40.284843
2.24498,6,40.610983
0.353802,2,40.719795
1.88602,6,41.093626
1.384894,4,41.311587
1.225331,4,41.550516
0.485203,2,41.680219
0.933027,3,41.856937
0.901458,3,42.034047
0.518818,2,42.162273
-3.475663,4,42.509503
0.509734,2,42.712432
0.3241,2,42.892113
0.328949,2,43.093925
0.540134,2,43.277618
-3.099116,5,43.747046
0.519217,2,43.990894
2.562271,7,44.443854
0.545152,2,44.568023
0.534641,2,44.674124
0.522294,2,44.782398
0.530081,2,44.947042
2.638588,7,45.546147
0.541339,2,45.681738
0.452811,2,45.832339
0.486609,2,45.997351
0.538334,2,46.179224
2.61469,7,46.766728
0.744714,3,46.993553
0.461639,2,47.165681
0.547325,2,47.305632
-3.168843,5,47.668238
-3.143206,5,48.128488
0.951275,3,48.330846
0.520291,2,48.508717
0.466336,2,48.699152
0.520977,2,48.89218
4.196289,10,49.588566
0.527712,2,49.720629
0.521688,2,49.851018
0.931196,3,50.027935
2.597275,8,50.494703
0.530016,2,50.627253
2.773865,8,51.072967
1.628527,15,51.986555
1.216462,4,52.204633
0.508496,2,52.335469
1.668431,5,52.616816
0.330388,2,52.745071
1.247218,4,52.968818
-3.558896,4,53.17855
1.512834,5,53.473839
0.862847,3,53.651875
0.930539,3,53.829141
0.541123,2,53.942957
0.465841,2,54.078363
0.542624,2,54.209434
-3.440951,4,54.432936
0.544209,2,54.550095
0.520138,2,54.66187
-3.242827,5,54.95746
-2.911414,5,55.27301
0.530742,2,55.406654
1.01126,3,55.563406
0.486944,2,55.69146
1.569633,5,55.997136
1.450781,5,56.307446
0.984128,3,56.482593
0.530709,2,56.613865
1.331666,4,56.831429
2.733015,8,57.29745
0.583254,2,57.429427
-1.094868,9,58.020609
-3.337491,4,58.245791
0.529396,2,58.362075
0.513317,2,58.47765
1.294578,4,58.709716
0.486777,2,58.850219
1.669109,5,59.144845
0.529214,2,59.258374
1.36451,4,59.490382
1.62171,5,59.781309
0.94949,3,59.963685
0.929489,3,60.163772
3.206761,9,60.661454
-3.705079,5,60.973759
-3.135353,5,61.305994
1.341905,5,61.622799
1.838802,5,61.891979
0.50871,2,62.003935
0.324267,2,62.133694
0.314413,2,62.264153
0.932096,3,62.443363
2.238565,6,62.791676
0.513728,2,62.919488
0.700516,3,63.11024
3.227257,9,63.670713
-3.117436,5,63.958033
