#{"t_start": 1774735530.3994634, "env_id": "continuous-highway-v0"}
r,l,t
6.554428,15,16.310945
4.614745,12,16.687159
4.206872,12,17.057695
5.047613,13,17.457023
5.32073,12,17.835662
4.68399,12,18.220355
4.652579,12,18.620054
6.104041,14,19.080791
5.839245,14,19.552508
4.904435,12,19.960465
5.113408,13,20.395152
0.723951,14,20.862141
6.052351,13,21.276216
5.210591,13,21.695694
5.93185,15,22.167002
5.440356,13,22.591133
6.058804,14,23.047044
5.21962,14,23.508333
6.568073,14,23.96189
1.522517,15,24.436335
6.703432,16,24.938086
4.140253,12,25.339599
6.815138,15,25.813544
4.63197,12,26.204112
5.637516,13,26.610003
5.184693,13,27.008282
6.259696,14,27.424927
5.269111,13,27.84197
5.980658,14,28.301786
5.054931,13,28.710769
4.450001,12,29.101617
4.671191,12,29.501443
4.81007,12,29.901372
7.05845,15,30.383748
6.405608,15,30.854296
5.804723,14,31.309434
5.575729,13,31.717778
6.406697,14,32.161763
4.826254,12,32.538881
6.606362,15,33.008568
5.615268,14,33.448496
5.779724,14,33.873104
6.283694,14,34.302422
5.70887,14,34.738546
1.535329,15,35.201658
4.707259,13,35.612375
4.693772,12,36.109535
5.619082,14,36.833475
5.551442,13,37.515932
1.164565,15,37.975621
6.760043,15,38.545054
0.335761,12,39.070158
5.928747,14,39.67687
6.23122,15,40.274271
5.425188,14,40.924843
5.282525,13,41.537171
4.230376,12,42.040277
6.452175,16,42.591489
5.154626,13,42.997861
1.282198,14,43.417507
0.708704,13,43.802758
4.946542,12,44.184084
5.710168,13,44.591799
5.998204,14,45.022361
5.590194,13,45.425641
5.132662,13,45.820568
5.392291,14,46.257088
6.413356,14,46.689137
7.190669,17,47.18673
5.971939,13,47.593123
4.199992,12,47.973967
0.551263,13,48.389142
6.184313,14,48.813402
0.633728,14,49.252789
2.024637,15,49.712576
6.26115,14,50.142295
0.048039,12,50.518306
5.737018,13,50.933793
5.511266,14,51.3794
5.208674,13,51.798525
1.27517,14,52.244115
6.246155,14,52.681568
4.373145,12,53.062437
6.733709,14,53.495908
1.301784,14,53.927211
6.000668,15,54.387368
6.012178,14,54.811378
0.900345,14,55.245891
6.524947,15,55.705745
4.840172,12,56.088192
