#{"t_start": 1774360642.8169963, "env_id": "continuous-highway-v0"}
r,l,t
5.167167,14,6.949645
6.29861,15,7.345129
6.20156,15,7.740565
4.869431,13,8.102919
5.328022,14,8.473733
7.165773,15,8.882078
4.84858,12,9.193388
5.631584,14,9.564817
5.793612,14,9.943366
5.485124,13,10.277813
6.758556,15,10.656866
5.196628,13,10.979391
5.324471,13,11.328621
5.815131,14,11.699107
5.418044,13,12.031001
5.592231,14,12.399875
6.392248,14,12.770108
6.216366,14,13.124326
5.494082,13,13.456899
6.357594,14,13.811364
5.502836,13,14.156007
5.281498,13,14.49003
5.712478,14,14.859495
1.246314,15,15.239672
6.442537,14,15.595631
6.042568,14,15.965188
1.249582,15,16.357888
5.432204,14,16.727869
1.893741,15,17.119933
7.332108,18,17.580959
5.497697,13,17.93034
5.888003,14,18.301344
5.023585,13,18.649926
6.436407,14,19.020449
1.459553,15,19.412369
4.736808,12,19.722832
6.069396,15,20.115616
6.416628,15,20.508564
6.79114,15,20.915157
4.493092,12,21.228388
2.118015,15,21.622579
4.088952,12,21.949296
1.460884,15,22.342924
4.947828,13,22.689752
5.359449,13,23.03711
1.655029,15,23.419642
0.911414,13,23.756229
1.566263,15,24.13603
5.709206,14,24.506824
4.24803,12,24.81934
5.891546,14,25.190825
5.382664,14,25.561174
5.758378,14,25.932487
5.746802,14,26.305249
5.530717,13,26.65411
5.782905,14,27.023225
5.38562,13,27.355228
2.166301,16,27.768931
0.502043,13,28.103168
4.366879,12,28.427456
5.99433,14,28.795518
5.221877,13,29.142309
6.307792,14,29.486136
7.260843,18,29.946502
6.358646,15,30.338225
5.10199,13,30.672686
1.247625,15,31.079741
5.317154,13,31.427804
0.395723,13,31.760899
6.050745,15,32.15313
6.584677,15,32.545333
4.836508,13,32.892523
7.445898,16,33.298907
6.170026,15,33.705228
5.529254,14,34.062885
6.679898,15,34.456289
5.676608,14,34.827846
6.183218,14,35.19922
1.767894,15,35.605851
4.854551,12,35.918044
5.473001,14,36.288714
6.265305,15,36.695993
1.341491,14,37.067964
4.317028,11,37.371105
4.891327,13,37.707386
6.031249,15,38.102496
5.518487,15,38.483281
1.335152,14,38.843778
3.874933,12,39.170068
6.80719,15,39.563488
6.501956,15,39.957032
4.462334,12,40.28328
-0.217111,12,40.582607
1.288496,14,40.953784
4.963367,13,41.289321
5.412905,13,41.636688
5.475618,14,42.011167
4.632206,12,42.324388
0.941298,14,42.696229
5.404424,14,43.080241
4.883808,13,43.415148
6.125523,15,43.80864
4.965303,12,44.120037
5.210812,14,44.487851
4.807475,12,44.798311
5.788029,13,45.129668
4.357868,12,45.441182
5.377656,13,45.773608
0.48919,13,46.121655
6.011603,14,46.492349
6.779309,15,46.871911
5.08942,12,47.196771
5.657728,15,47.588425
5.649339,13,47.935645
5.123253,12,48.246061
0.559587,13,48.593712
5.952104,14,48.964738
1.465733,15,49.358728
1.566981,14,49.729162
2.486265,17,50.181314
5.482354,14,50.552152
1.622895,15,50.946349
5.288104,13,51.314386
5.611663,13,51.679502
0.712319,14,52.05503
4.680688,12,52.388933
2.509207,16,52.80954
6.505014,15,53.207581
1.397398,14,53.582609
5.908283,15,53.992576
5.067486,12,54.305547
5.173393,13,54.657784
5.443763,13,55.019318
5.09058,12,55.333835
4.549403,12,55.668435
