#{"t_start": 1774607067.2635307, "env_id": "continuous-highway-v0"}
r,l,t
5.897033,15,19.896055
0.876956,14,20.256191
6.199924,15,20.653836
5.595435,14,21.015105
4.717358,13,21.371346
5.408278,13,21.723322
5.561146,13,22.073312
6.380108,15,22.66929
5.766797,14,23.291353
5.484122,13,23.663696
6.687851,15,24.334539
5.19998,13,24.961733
6.155044,14,25.640799
0.308485,13,26.082705
6.239843,14,26.646112
5.604075,14,27.087214
5.706833,13,27.425632
1.163535,14,27.787108
5.454356,13,28.509342
6.453632,14,28.95195
1.352738,14,29.508416
5.604243,14,30.079572
5.980845,14,30.582115
5.880897,14,31.035649
4.197483,11,31.325364
6.106335,14,32.033824
6.010524,14,32.964008
2.088804,16,33.707302
4.55803,12,34.089261
5.980051,14,34.638422
7.004911,16,35.190284
4.408242,12,35.696708
5.750641,14,36.09504
5.427449,13,36.442542
5.278181,13,36.791093
5.412032,13,37.140694
5.175241,13,37.478823
5.369956,14,37.868468
5.351497,14,38.605321
5.766067,14,39.284851
5.429455,13,39.697355
2.231936,15,40.242494
5.226943,13,40.925333
1.649612,15,41.831832
5.532054,14,42.620889
5.710174,14,43.208401
2.126714,15,43.820375
5.326074,13,44.355274
6.421181,15,44.949484
0.544847,14,45.472738
5.974027,14,46.218966
6.312897,15,46.960718
5.353366,13,47.448389
0.534616,13,48.016619
4.557343,12,48.471425
5.848435,14,49.033167
5.315427,13,49.562749
5.463287,13,50.024876
4.243204,12,50.546438
5.44206,13,51.092584
4.293422,12,51.733824
5.30966,13,52.370317
5.961613,14,52.881938
5.530242,13,53.570412
6.581165,17,54.361162
6.633934,15,55.127409
5.351327,13,55.738448
5.066961,13,56.453509
1.215454,14,57.088649
5.558731,13,57.685464
5.080365,13,58.210866
5.816413,14,58.852139
6.404118,15,59.484385
2.015426,16,60.112073
7.148106,16,60.754114
5.127959,13,61.263961
5.717141,13,61.781176
6.407552,15,62.362326
4.828431,13,62.888119
1.128715,14,63.40284
1.297014,14,64.098898
5.652144,14,64.827761
6.019657,15,65.492135
6.214547,14,65.981252
6.784181,14,66.606312
4.867011,13,67.152657
