#{"t_start": 1774731455.324193, "env_id": "continuous-highway-v0"}
r,l,t
5.262884,13,15.638269
6.083668,15,16.117377
4.061997,12,16.471429
4.371293,13,16.862895
5.759408,14,17.329862
4.959239,12,17.954835
4.818943,13,18.627927
1.72617,15,19.137265
5.195427,13,19.524181
4.61883,13,19.921496
6.932744,15,20.598055
6.174279,15,21.427464
7.040814,16,21.943378
4.691116,13,22.531362
7.053223,16,23.156106
4.168647,12,23.666378
5.52273,16,24.289449
4.542722,13,24.679379
5.767896,15,25.123874
6.912575,15,25.575958
6.054896,15,26.044403
3.950298,12,26.406364
5.539497,14,26.823746
3.839742,11,27.174725
6.402604,16,27.679458
5.482256,13,28.085304
6.77062,16,28.570681
4.105905,11,28.907353
5.31695,13,29.309592
6.471064,15,29.75548
6.309551,15,30.197164
2.372875,17,30.69229
4.564024,13,31.073323
0.643417,14,31.498638
5.058583,13,31.875474
1.501538,15,32.556662
4.290465,12,33.182615
6.464661,15,33.903666
4.903208,13,34.318015
4.048863,12,34.821891
2.044997,17,35.569549
1.158213,15,36.250405
4.276608,12,36.805877
4.550247,12,37.2938
6.875155,16,37.87578
6.066005,15,38.346364
1.116993,16,38.863488
4.72153,13,39.245615
0.206732,14,39.691732
4.67927,12,40.068199
6.045569,15,40.523543
4.284612,12,40.871833
5.246315,14,41.301199
6.121309,15,41.765492
0.111687,13,42.176144
5.415855,13,42.566313
5.904739,15,43.016276
5.446163,14,43.437311
4.897139,13,43.834538
5.254647,13,44.210312
4.557628,12,44.579913
6.679706,15,45.028153
5.929296,14,45.430665
5.899377,14,45.850462
5.316729,13,46.218212
1.585483,15,46.662489
6.359506,15,47.108661
4.781204,13,47.482204
5.735512,14,47.889978
6.054534,15,48.623433
5.363301,14,49.434086
4.688275,13,49.938443
5.607713,14,50.472483
7.184215,17,51.214994
6.514022,16,51.819317
6.103602,14,52.232441
5.465886,14,52.641721
4.677084,13,53.037985
4.753211,12,53.405049
2.024729,15,53.866714
4.754939,13,54.27539
5.811164,14,54.699117
5.278177,13,55.093306
4.462822,13,55.490154
4.935295,13,55.864596
4.760918,13,56.263686
5.201428,13,56.657681
5.833855,14,57.085312
6.024777,14,57.778978
5.780502,14,58.473982
1.851834,15,59.044117
5.218536,13,59.515234
4.485012,12,60.071782
5.002455,13,60.500842
5.174274,13,60.911974
5.538873,14,61.351055
2.548309,20,61.931188
5.429423,14,62.37297
5.425455,14,62.813754
5.976647,16,63.310157
6.381865,15,63.776534
5.620283,14,64.221176
0.481549,13,64.616122
5.626125,13,64.998177
5.169247,14,65.428952
0.482496,13,65.825047
7.23886,17,66.381002
6.826907,15,67.118554
4.95412,13,67.80472
5.398792,14,68.287916
5.195048,13,68.784822
6.692796,16,69.438419
4.098169,12,69.856243
6.051329,14,70.284795
4.409859,12,70.655878
5.27856,13,71.066046
5.698326,14,71.504917
6.945623,15,71.967055
5.410944,13,72.364553
5.702796,15,72.830916
5.01607,13,73.208872
6.769424,16,73.698428
5.186545,13,74.115511
1.203939,15,74.560902
5.538126,14,75.001768
5.371145,14,75.652612
5.427948,14,76.456114
6.471686,15,77.043908
1.697563,15,77.573983
6.595101,15,78.209376
5.872367,14,78.801693
6.357793,15,79.417091
5.367129,13,80.008385
1.771244,16,80.689496
7.01298,16,81.366719
4.862649,13,81.768938
6.709858,15,82.232054
6.557415,15,82.682907
4.450479,13,83.099448
6.630701,16,83.593356
6.947257,15,84.041381
5.431397,15,84.506651
4.500622,12,84.877932
5.810528,14,85.321719
6.716643,16,85.812818
2.904366,16,87.330143
4.344186,12,87.699729
2.611432,16,88.196027
5.421969,13,88.597811
4.183281,12,88.971469
4.493774,12,89.360372
5.477449,14,89.793409
5.827356,16,90.282602
6.664285,16,90.776109
4.971181,13,91.151465
6.066615,15,91.59357
0.959881,15,92.047863
5.949161,15,92.512141
4.893973,13,92.908129
5.248832,13,93.29681
5.146976,14,93.734163
5.719643,14,94.156273
6.594987,15,94.616601
1.562054,16,95.097096
5.384426,14,95.729206
5.831539,14,96.518304
2.564349,17,97.230602
5.39372,14,97.754561
6.373833,16,98.502732
6.121491,16,99.266167
5.9524,14,99.881167
5.02687,13,100.446531
5.874029,15,101.120129
6.714916,16,101.748091
1.475341,15,102.218965
4.875222,13,102.612618
1.366099,15,103.090222
5.782634,14,103.524944
6.750459,16,104.031958
7.908423,18,104.585681
2.139781,16,105.096101
4.972217,13,105.521262
4.882986,13,105.936705
7.584238,18,106.50733
6.292079,15,106.969816
5.92536,15,107.461282
6.973887,16,107.960865
5.73158,15,108.434108
5.861235,14,108.854909
5.599211,14,109.283753
5.285731,14,109.729837
6.78394,16,110.242789
5.265411,13,110.634945
0.835884,14,111.073299
4.487316,12,111.438816
6.315141,16,111.928265
6.664511,16,112.436198
7.167841,17,112.97414
6.003495,15,113.441004
7.289965,17,113.949943
5.282033,14,114.525871
5.241033,13,115.218667
5.0242,13,115.903387
6.631713,17,116.521002
5.154142,13,116.951523
5.35853,14,117.366652
5.096636,13,117.74392
5.81413,13,118.141036
7.033427,16,119.008669
5.458688,14,119.687764
5.022029,13,120.108043
6.109772,14,120.691957
5.805632,15,121.308159
1.152162,14,121.871574
1.440827,16,122.55399
5.67849,14,123.156404
4.649756,13,123.724605
6.606927,15,124.24436
1.537824,15,124.701149
5.454654,14,125.145924
5.431021,13,125.562622
6.128631,15,126.035869
5.652215,13,126.453056
6.818839,15,126.897477
5.462467,14,127.336193
5.33283,14,127.752191
5.714163,14,128.168107
5.677697,13,128.574984
-0.434494,12,128.945726
5.606777,14,129.359436
4.828804,13,129.745466
5.571423,14,130.154131
6.611211,16,130.636077
6.079626,14,131.063961
6.595535,17,131.569728
5.270532,13,131.964478
6.014066,14,132.405273
6.158704,15,132.867048
0.758195,14,133.300353
6.025793,14,133.738909
4.370429,13,134.151737
6.221659,17,134.68644
3.931595,12,135.048393
6.373261,16,135.539729
1.433554,15,135.995621
5.151297,14,136.416429
5.053034,13,136.809555
6.584357,15,137.272129
6.708503,16,137.764042
4.9465,13,138.140809
6.056146,14,138.55847
5.691404,16,139.037735
5.574715,13,139.789099
7.165629,16,140.510809
5.669425,14,141.005588
0.689158,14,141.574523
6.796527,17,142.298666
5.452685,13,142.826287
4.846856,12,143.342446
0.950682,15,143.986624
2.128829,16,144.478652
5.06387,14,144.882611
1.925519,16,145.373662
4.708391,13,145.784016
6.513104,16,146.264845
5.82931,14,146.673738
6.911717,17,147.192049
7.33742,18,147.710443
6.529288,15,148.152661
1.555406,15,148.618501
4.576983,13,149.030251
6.738782,16,149.519131
1.323444,15,149.975625
6.070203,15,150.441089
5.752997,15,150.910219
3.740116,12,151.289633
4.296961,12,151.633353
3.72179,11,151.987783
5.694374,14,152.406546
4.497566,13,152.824599
6.310983,15,153.301507
4.69731,13,153.727626
0.300939,13,154.393087
2.393687,16,155.173687
4.674054,12,155.636014
0.975235,14,156.249489
6.579622,15,156.947689
4.95313,13,157.508235
4.784264,13,158.909702
6.035381,15,159.378612
6.509639,15,159.87446
5.809061,14,160.312165
2.123233,18,160.875492
5.400306,14,161.332582
6.359173,15,161.802483
4.761812,13,162.204664
7.158986,17,162.720685
0.948368,15,163.183295
6.151909,14,163.603904
7.561805,19,164.161703
1.513178,15,164.620652
4.794059,13,165.009093
7.951602,18,165.557444
5.363231,14,165.973105
3.173927,18,166.501955
1.21284,15,167.056432
6.819478,17,167.909033
5.326963,13,168.495195
6.341391,17,169.146806
4.844321,13,169.717486
5.866626,14,170.359041
4.93277,13,170.959479
4.835763,13,171.516044
5.052664,14,172.086891
0.593528,14,172.683418
6.132657,14,173.272233
5.708253,14,173.808375
5.23742,13,174.209343
