#{"t_start": 1774744505.1386545, "env_id": "continuous-highway-v0"}
r,l,t
-0.920805,12,19.527549
2.729749,10,19.940585
4.8678,13,20.485864
3.355436,11,20.947897
3.138193,11,21.431899
-1.299088,11,22.118747
4.427526,12,22.796736
3.644149,11,23.265429
3.871965,11,23.763937
-0.599391,12,24.26885
4.483763,12,24.816431
4.024306,12,25.467293
2.678212,10,26.084674
3.052833,10,26.505997
-0.79881,12,27.047469
-0.697788,12,27.610876
3.568491,10,28.01316
3.274091,11,28.445173
4.32776,12,28.939419
4.477233,12,29.462001
3.081887,10,29.871325
3.697442,12,30.424787
3.993783,12,31.057672
3.646316,11,31.63992
3.977783,11,32.302609
3.61699,11,32.905608
-0.624541,12,33.508631
3.934305,11,34.036584
-0.63685,12,34.66079
4.441271,12,35.19519
2.900016,10,35.66466
3.116163,11,36.147802
3.85792,12,36.732848
3.617083,11,37.326617
-0.848888,11,37.952487
2.31355,9,38.368013
-0.894939,11,38.879557
3.535648,11,39.453572
-0.737741,12,40.02871
3.813649,11,40.542368
3.164109,10,41.037876
-1.266472,11,41.547354
-1.839269,10,42.055054
-0.517874,12,42.63337
4.168757,12,43.181468
3.581966,11,43.656927
4.458407,12,44.057767
2.694706,10,44.401059
-1.803668,10,44.744868
-0.160993,13,45.165078
2.868073,10,45.511214
3.179363,11,45.890326
3.477964,11,46.253179
3.467216,11,46.600923
2.664669,10,46.925629
3.55276,11,47.268917
-0.585442,12,47.683611
3.884952,11,48.028626
3.895507,12,48.401535
-0.375749,13,48.817086
3.856387,11,49.205313
3.880462,11,49.580507
-0.565011,13,50.379203
2.810208,10,51.008677
4.503446,12,51.618703
3.55505,11,52.086605
3.391398,11,52.625032
2.999685,10,53.081334
-1.431257,11,53.549904
3.18957,10,53.941958
3.634607,11,54.44985
3.074548,10,54.890735
3.343289,11,55.436901
3.786643,11,56.115423
3.318202,11,56.566671
-0.304915,13,57.138399
-0.944638,11,57.745
4.18303,12,58.450001
3.894965,11,59.042694
3.785917,11,59.582224
3.067272,10,59.994261
3.794106,11,60.377712
2.837965,10,60.681742
4.058396,12,61.270108
2.810625,10,61.854336
2.83158,10,62.227091
-0.972,12,62.758189
-0.973434,12,63.162874
3.221273,10,63.494757
4.20015,12,63.882213
-0.881351,11,64.229452
2.792281,10,64.548259
-0.794976,12,64.924237
2.33412,9,65.215165
4.544151,12,65.603504
2.687771,10,65.933587
3.413683,11,66.293729
3.018331,10,66.622963
3.104335,10,67.162773
3.441027,11,67.629215
-0.929193,11,68.074796
3.598784,11,68.520573
2.886416,10,68.934405
2.920458,10,69.466044
-1.24991,11,70.041018
-1.129222,11,70.482204
-1.518174,11,70.909004
-0.751583,11,71.642888
4.041242,12,72.253402
2.307535,9,72.870861
3.635706,12,73.522762
3.115833,11,74.039651
3.760786,11,74.474791
-0.834252,12,74.979278
3.443713,11,75.439384
-1.199045,12,75.983979
3.394139,11,76.38679
3.683266,11,76.801782
2.602459,10,77.247011
3.804132,11,77.694589
3.947256,11,78.160644
4.475687,13,78.705917
3.087693,11,79.329017
4.449308,12,80.023018
-0.755801,12,80.722139
3.620422,11,81.333241
-1.33023,11,81.871069
3.593297,10,82.299879
4.141724,12,82.87016
3.260292,10,83.27766
3.969732,11,83.799299
4.115444,12,84.337363
3.75532,11,84.858777
-1.339211,11,85.383316
4.375115,12,85.971881
3.298593,11,86.36494
3.408392,11,86.712986
-0.46367,12,87.088516
3.163847,10,87.409321
4.342014,12,87.79984
3.604812,11,88.162191
4.106771,11,88.52296
3.875818,11,89.039326
-0.840887,12,89.734435
3.367102,11,90.104944
3.405132,11,90.558353
-1.360771,11,91.067472
-0.595283,12,91.657057
3.799076,11,92.135961
3.742437,12,93.06338
0.234867,13,93.540707
4.137851,12,94.050685
4.773494,13,94.608452
3.646511,11,95.138704
-0.102609,13,95.715436
3.441608,10,96.183135
3.884413,11,96.684649
4.104849,12,97.178612
3.405729,10,97.530005
2.825437,10,97.867828
-0.795023,13,98.298109
4.40784,12,98.771583
3.875887,12,99.349571
2.908325,10,99.668865
4.521866,12,100.176389
2.827824,10,100.589327
3.450404,11,100.970786
0.106113,13,101.38919
3.881779,11,101.735439
-1.281102,11,102.096681
3.683652,11,102.460546
2.587736,10,102.794904
2.69965,10,103.114691
4.193273,12,103.49002
4.010352,12,104.259426
3.817618,11,105.060587
4.257905,12,105.720328
3.642381,11,106.355794
3.106606,10,106.951557
3.349379,11,107.551342
2.642257,10,107.93621
3.049426,11,108.445949
2.918081,10,108.908308
4.063132,13,110.613982
4.537426,13,111.32146
1.906472,9,111.720506
3.970077,12,112.260239
-0.816033,12,112.824862
-0.763964,12,113.355447
4.003384,12,113.747301
3.608805,12,114.117583
0.060913,13,114.527026
2.547318,10,114.842568
-1.34031,11,115.186068
3.097276,10,115.515072
3.453687,11,115.844069
3.728421,12,116.201906
3.685427,12,116.573843
