#{"t_start": 1774728242.7986414, "env_id": "continuous-highway-v0"}
r,l,t
7.942894,17,22.267871
7.821879,17,22.694838
9.304927,19,23.136005
8.939539,18,23.57032
9.406751,21,24.135562
7.943168,17,24.557794
8.530386,17,25.032049
7.850484,17,25.522418
7.403762,15,25.913306
5.681719,13,26.328464
8.105679,16,26.881258
6.771258,15,27.391846
6.191522,15,27.874795
7.645065,16,28.426796
7.15661,16,28.866203
8.504521,18,29.293561
2.15054,15,29.701001
6.735633,15,30.166793
7.701495,16,30.572407
7.074985,15,30.9918
6.367354,14,31.389241
7.682017,16,31.825106
7.403847,16,32.251709
6.638418,15,32.628694
6.166883,15,33.032873
6.347436,15,33.435425
6.977749,16,33.899859
6.427343,15,34.31607
7.581483,16,34.715432
6.358935,15,35.100194
6.681102,15,35.469833
7.003273,15,35.854991
6.495264,14,36.157193
7.428976,16,36.560431
6.71335,15,37.085556
6.704308,15,37.562947
6.376337,15,38.065048
8.078608,18,38.669909
6.902923,16,39.05402
7.38459,16,39.473439
6.570133,15,39.899433
7.497647,17,40.312568
6.759245,14,40.706439
6.798326,15,41.082886
6.25993,14,41.45979
6.485503,15,41.856397
6.144863,15,42.271878
4.310006,19,42.783587
8.317425,17,43.241822
6.391816,15,43.629449
6.840115,15,44.046015
6.785914,15,44.424875
6.825371,14,44.896717
6.780544,15,45.351854
8.839908,19,45.945592
5.995758,15,46.444118
7.212351,16,47.010557
1.459877,14,47.464804
7.15315,15,47.896039
7.079464,15,48.266906
7.890428,17,48.702154
5.473554,13,49.057709
8.410435,18,49.553678
7.810938,18,50.121897
6.651151,14,50.586471
7.867268,17,51.19442
7.728281,17,51.771697
7.064991,15,52.255515
4.410038,18,52.851933
7.109472,16,53.382251
7.246893,16,53.877458
7.524292,19,54.356122
7.997091,17,54.831677
6.544439,15,55.230124
7.003217,15,55.637635
8.827728,18,56.138419
2.78696,16,56.576569
7.763607,17,57.003949
5.987303,14,57.518141
2.666425,16,57.969345
9.556606,19,58.56582
6.073805,14,59.065946
2.622188,17,59.643198
8.435475,17,60.306948
7.829626,16,60.840699
6.424537,15,61.321132
7.412157,16,61.850245
7.549716,16,62.299372
3.742427,19,62.865105
4.453658,19,63.396186
7.813038,16,63.885576
7.724949,18,64.418469
6.006458,14,64.816956
7.705841,17,65.281676
6.826013,16,65.711943
2.58284,17,66.258252
7.943391,16,66.67129
5.740402,14,67.038498
6.991555,16,67.451095
7.333175,16,67.866236
3.574479,18,68.284049
5.604963,14,68.592809
6.63251,15,68.923629
8.080076,19,69.329866
7.280389,15,69.668115
8.30352,17,70.047118
8.438565,16,70.383089
7.369965,16,70.736408
7.283311,15,71.054019
7.692855,17,71.493676
2.808924,17,72.034125
6.901108,15,72.499861
5.872871,14,72.950487
6.316909,14,73.364159
6.194615,14,73.859031
6.929827,16,74.276231
7.014487,15,74.582689
7.978104,16,74.935152
6.505589,15,75.264715
6.425363,14,75.653876
8.349905,18,76.261042
7.458122,16,76.744753
8.226189,18,77.293728
7.853956,17,77.882708
8.578919,18,78.378656
7.788843,17,78.782258
7.06428,16,79.296703
5.747274,14,79.801035
4.093945,18,81.524767
7.365636,15,82.013912
8.025686,17,82.485933
2.958384,17,82.953204
8.416569,16,83.33654
8.305567,17,83.83849
6.972504,16,84.29693
6.624498,15,84.687987
6.269477,15,85.090609
2.950178,16,85.504991
2.653581,15,85.898389
5.390306,13,86.234713
6.600591,15,86.610241
8.62453,20,87.115381
8.704623,19,87.614629
5.829159,14,87.973504
6.150247,14,88.357912
5.83373,14,88.713407
6.2148,15,89.150933
6.242928,14,89.567751
7.353402,17,90.174339
5.74173,14,90.688861
8.523431,17,91.287235
5.968162,14,91.7839
7.332316,16,92.144601
8.263449,18,92.565879
8.422189,18,93.013607
9.487551,20,93.487665
7.528306,16,93.921948
9.390995,20,94.475166
6.574164,15,94.984073
7.830346,18,95.64574
8.467356,19,96.262288
7.917496,17,96.827477
8.064042,17,97.369306
5.606655,14,97.853049
8.436505,17,98.441006
8.59735,18,99.14126
3.498016,18,99.771668
5.737168,15,100.248748
8.481738,17,100.780345
7.14888,17,101.384727
10.257306,21,101.981345
6.928894,15,102.462852
6.51537,15,102.879842
6.771859,15,103.330488
4.608645,20,103.905973
7.407939,18,104.509683
8.565763,17,104.998734
8.383532,18,105.495747
6.387202,16,105.911408
8.126678,17,106.358274
1.803955,15,106.719919
9.515801,22,107.277867
4.510423,20,107.80648
4.03926,19,108.3488
9.247625,19,108.939004
8.538049,18,109.367059
4.982879,13,109.669657
2.684551,17,110.074132
7.910057,17,110.50334
2.464394,16,110.901014
6.966501,16,111.313881
7.931863,17,111.700496
6.627902,16,112.10629
5.965164,14,112.437064
8.405924,18,112.804943
7.70358,17,113.153487
7.705052,17,113.502563
6.345115,15,113.802476
6.264869,15,114.101713
7.462808,16,114.425798
6.935363,17,114.76399
6.888738,15,115.044769
4.525636,19,115.44713
7.423203,17,115.810318
5.711017,13,116.092121
2.960502,17,116.597913
8.638971,17,117.174805
8.393982,17,117.801843
2.654482,17,118.4357
5.653217,14,118.909059
8.68654,18,119.52395
5.696858,14,119.933192
7.609797,17,120.317283
6.597721,16,120.710586
6.493501,15,121.16898
8.759984,17,121.690218
7.254877,15,122.088757
8.503748,19,122.615808
6.508737,15,123.0028
6.247226,15,123.452081
7.884453,18,123.961927
8.748942,18,124.470305
6.788467,15,124.916999
7.877563,17,125.393664
7.602714,18,125.916119
6.733732,15,126.359188
6.799623,15,126.900689
7.547134,16,127.408779
6.138964,15,127.872391
7.264291,16,128.437452
7.638229,16,128.975165
6.619994,15,129.512416
7.192418,16,130.06462
7.402685,16,130.562842
7.006551,15,131.098759
6.02245,15,131.560319
7.331263,17,132.14083
6.719831,15,132.599468
8.039677,18,133.08317
7.381844,16,133.469515
6.377856,15,133.831938
7.237822,16,134.27988
6.962475,15,134.651775
6.900747,15,135.03545
6.511655,15,135.466225
6.763711,16,135.907986
8.621248,20,136.447
5.542265,14,136.833862
9.008708,19,137.377912
6.56791,14,137.782262
8.200115,17,138.266439
7.274485,16,138.798656
4.488689,20,140.265401
6.597837,15,140.753981
6.429506,14,141.246256
8.178719,18,141.790993
7.908683,17,142.247049
7.711525,18,142.734017
8.155826,16,143.220841
7.605012,17,143.766968
7.223079,16,144.257483
2.259243,16,144.733844
6.905003,16,145.208565
7.8416,18,145.752371
6.955323,15,146.181944
7.777232,18,146.654443
6.885851,16,147.108908
8.38981,17,147.588669
4.148441,17,147.942171
6.499924,15,148.245989
9.006692,19,148.646807
2.088395,16,148.967679
5.306376,14,149.252946
6.552919,16,149.585918
6.813386,17,149.937348
7.282458,16,150.26943
6.552086,15,150.571174
6.469049,15,150.885198
6.759522,16,151.217453
9.225629,21,151.649328
5.367036,21,152.133972
7.441519,16,152.511322
4.852492,20,152.956666
6.405921,15,153.308448
6.912498,15,153.765439
7.9114,17,154.361888
8.441735,18,154.956062
7.546971,17,155.570373
8.220857,17,156.157389
8.047868,18,156.780676
7.783753,18,157.406139
4.715193,21,157.914703
6.252727,15,158.308863
2.744715,16,158.800207
6.277553,14,159.282273
8.059625,18,159.904044
7.920497,18,160.534119
6.648473,15,161.067435
5.541798,14,161.519202
5.171594,13,161.88802
6.547046,15,162.288114
7.096575,16,162.686727
7.872144,17,163.208108
9.001775,20,163.79279
7.062003,15,164.229241
7.025722,17,164.800685
7.575565,16,165.264069
7.236263,16,165.671969
6.960692,15,166.081949
5.114106,21,166.611776
7.090144,16,167.052981
5.275167,13,167.414564
7.152554,16,167.902778
6.991218,16,168.358615
7.793016,17,168.901196
7.620929,18,169.501989
6.633699,14,169.950718
8.583152,18,170.532998
7.414622,17,171.117481
6.71543,15,171.6091
8.133842,17,172.114613
6.41032,15,172.637827
6.767123,15,173.054337
2.643202,17,173.502231
7.145618,16,173.931636
5.662236,14,174.351484
6.451452,15,174.733981
7.983041,18,175.241371
6.95089,17,175.738399
7.997004,17,176.197416
6.461127,15,176.555838
5.2662,22,177.161739
6.148914,14,177.553278
8.635691,19,178.096512
7.98741,17,178.521616
6.977303,16,178.959251
9.086467,20,179.652675
7.592819,16,180.178303
6.862187,16,180.677662
7.348071,16,181.246405
6.548671,15,181.744424
9.576093,19,182.389071
6.343592,14,182.781964
2.530004,16,183.260886
6.095198,15,183.638829
7.06173,16,184.054109
6.369316,14,184.443074
7.986252,18,184.932701
8.323958,17,185.392093
8.42493,18,185.769758
9.086375,19,186.142282
6.176717,14,186.415211
7.287505,17,186.752881
8.126708,17,187.097639
6.735759,16,187.439635
8.763316,19,187.88515
6.603728,16,188.197372
3.509341,18,188.588637
8.564759,19,189.123148
6.879215,16,189.648784
7.381948,16,190.178149
8.172379,18,190.752626
5.035861,20,191.325521
7.79974,18,191.727398
7.497704,18,192.130975
8.527785,19,192.569933
6.606728,16,192.966465
6.979299,16,193.440709
2.763271,17,194.023733
5.771469,15,194.482746
6.826574,16,195.019387
7.938713,18,195.672765
7.257662,16,196.105196
9.125607,19,196.585595
6.6496,15,197.086555
7.322542,17,198.450084
8.188357,18,199.058216
6.744663,15,199.498765
8.976718,20,200.152941
7.081172,16,200.601338
8.969987,17,201.048311
6.133179,14,201.443092
6.790582,14,201.819743
3.885912,18,202.367836
8.260813,17,202.828301
7.857393,16,203.260204
3.135704,17,203.804687
7.573349,17,204.373439
7.502022,17,204.983453
7.300171,16,205.522773
3.138174,16,206.029432
7.638656,18,206.619219
8.117605,18,207.1319
7.828533,18,207.628417
3.207189,17,208.083953
7.672849,17,208.517302
6.969019,16,208.915317
6.538799,15,209.301742
8.407541,18,209.802004
6.248097,14,210.193182
6.493316,15,210.559853
3.475848,18,211.011494
7.256736,15,211.388087
8.661116,19,211.932203
7.532653,17,212.390926
8.222248,20,212.889725
7.558876,17,213.330329
3.236389,18,213.818878
6.649212,15,214.228598
2.201569,16,214.624407
6.317615,15,215.05511
2.724282,17,215.569388
7.356067,17,216.208976
7.075187,16,216.815718
3.032748,17,217.528716
8.246696,17,218.113968
6.990808,15,218.661726
7.439819,16,219.208153
7.354715,16,219.616926
6.533306,15,219.970621
7.745674,17,220.488037
6.34188,15,220.900754
3.325448,18,221.389068
3.449785,18,221.927976
7.069057,16,222.340196
9.038636,19,222.862502
7.5991,16,223.32116
6.182854,14,223.684351
6.083799,14,224.096054
6.84647,16,224.510016
7.558596,17,225.016012
8.64898,18,225.572155
2.086262,15,225.993424
9.145501,18,226.510901
6.205376,14,226.924847
6.120197,15,227.352591
8.80865,19,227.832273
7.396016,17,228.259213
7.582769,16,228.605491
8.138569,18,228.971287
6.776589,16,229.312276
7.472729,18,229.67835
6.23238,14,229.975135
7.881028,18,230.338615
8.172708,17,230.681535
7.505016,16,231.027149
6.058434,14,231.300079
7.486302,16,231.624052
7.552189,17,231.974901
6.651148,15,232.273197
6.50312,15,232.587801
7.366038,16,232.901068
9.407515,19,233.28234
3.444125,18,233.657136
7.58006,16,234.098209
7.658194,17,234.495852
6.679575,15,234.848888
7.485595,16,235.197984
7.140607,17,235.689857
4.10555,20,236.344646
7.527228,17,236.936046
6.449316,14,237.475308
5.652459,14,237.918801
2.902369,17,238.527167
6.521461,15,239.015154
7.131807,16,239.512806
7.296381,16,240.032456
7.930214,18,240.615162
6.034819,15,241.087409
4.679165,12,241.506903
6.218705,15,242.027912
6.789158,15,242.519239
6.267168,15,242.992544
7.156074,16,243.483557
8.410721,18,244.052525
6.649825,15,244.534726
7.221396,15,244.924758
8.399952,18,245.446394
8.75752,18,245.994712
6.807964,15,246.450041
5.983604,16,246.916509
3.141755,17,247.384894
5.613363,14,247.790792
7.974577,18,248.329246
6.581041,15,248.748135
3.832031,19,249.272255
5.489059,14,249.673044
3.187662,16,250.069029
6.502401,15,250.613374
6.482556,15,251.030499
5.563411,13,251.361613
2.50741,16,251.806284
6.499402,16,252.213143
6.999079,16,252.630225
8.703694,17,253.047987
5.971027,14,253.424663
