#{"t_start": 1774109182.6599271, "env_id": "continuous-exit-v0"}
r,l,t
-3.382075,4,1.859923
0.369389,2,2.085295
0.55821,2,2.296503
0.528715,2,2.532321
0.874849,3,2.854155
0.515143,2,3.089905
1.309233,4,3.537319
0.536953,2,3.748004
0.341963,2,3.962601
1.699656,5,4.487335
1.274939,4,5.082163
0.878757,3,5.624882
1.307989,4,6.133883
0.511182,2,6.410727
0.551566,2,6.691371
1.610724,5,7.299674
1.995597,6,8.102152
0.542291,2,8.380158
0.465398,2,8.627519
-3.18249,5,9.256755
0.548066,2,9.542477
1.42992,5,10.141568
0.507612,2,10.417406
3.968709,10,11.747514
4.491058,11,13.027848
0.922339,3,13.436211
0.526555,2,13.714989
2.630422,7,14.527929
0.45254,2,14.798107
1.575478,5,15.41522
1.547115,5,16.152316
0.482559,2,16.400527
1.265146,4,16.863163
0.339467,2,17.128299
