#{"t_start": 1774360642.8757863, "env_id": "continuous-exit-v0"}
r,l,t
0.897905,3,6.681568
1.645696,5,6.924352
0.52519,2,7.024093
0.544167,2,7.122385
1.39773,4,7.338403
-1.600373,9,7.840034
1.306275,4,8.036344
1.991146,7,8.396073
0.531705,2,8.492821
0.340527,2,8.625598
0.832438,3,8.8112
0.537319,2,8.926959
0.934983,3,9.10755
0.528137,2,9.22642
2.737538,8,9.64199
0.520445,2,9.739281
0.533524,2,9.837004
0.327107,2,9.955331
0.529679,2,10.071065
1.306592,4,10.285572
0.343313,2,10.401344
0.313025,2,10.517424
0.842268,3,10.69143
0.545765,2,10.809547
0.506864,2,10.910083
0.311285,2,11.027978
0.568164,2,11.126045
2.652649,7,11.518656
0.508008,2,11.619067
0.526592,2,11.717879
0.499663,2,11.833177
0.934489,3,12.005789
0.515387,2,12.122484
0.538881,2,12.244371
2.429511,6,12.603006
3.642407,9,13.097444
0.566068,2,13.21293
0.559518,2,13.329131
0.330826,2,13.432933
4.361451,11,14.035845
0.358861,2,14.155066
0.340622,2,14.256602
0.48899,2,14.376974
1.69123,5,14.650052
0.919606,3,14.808199
1.467127,5,15.068202
0.507045,2,15.1863
0.544619,2,15.312261
0.548476,2,15.413357
0.558798,2,15.529242
1.596903,5,15.788554
4.482267,11,16.410088
0.954279,3,16.56534
0.532784,2,16.681244
0.52727,2,16.800248
0.523245,2,16.92749
1.525533,5,17.205691
1.658911,5,17.480462
0.73291,3,17.636433
0.338031,2,17.75374
0.551111,2,17.871265
0.54188,2,17.969489
-3.523352,4,18.189656
2.303473,7,18.546056
0.556726,2,18.646033
0.922383,3,18.820362
0.494553,2,18.935493
0.728758,3,19.094564
0.534916,2,19.210048
0.482265,2,19.329895
0.509801,2,19.431077
-3.579679,4,19.648885
0.506438,2,19.746536
0.555283,2,19.863178
-3.110403,5,20.134138
0.550448,2,20.250885
0.55423,2,20.367376
0.852145,3,20.521928
0.548471,2,20.639202
0.473578,2,20.753366
0.950487,3,20.925323
1.680816,5,21.215672
0.539369,2,21.313065
0.332603,2,21.41044
2.448165,7,21.769378
0.515163,2,21.867052
1.723237,5,22.142862
3.221869,8,22.57127
0.560073,2,22.687462
0.330382,2,22.805022
1.286039,4,23.025304
0.512112,2,23.14022
0.325092,2,23.256995
0.513517,2,23.374628
2.219427,6,23.654181
0.509997,2,23.754463
0.519173,2,23.875274
0.892268,3,24.035969
1.750305,5,24.311021
0.331149,2,24.427553
0.725481,3,24.583088
1.206812,5,24.854595
1.097025,4,25.051818
1.398663,4,25.232359
0.540719,2,25.349665
0.557697,2,25.468241
1.671514,5,25.74004
0.536016,2,25.839527
-3.173499,5,26.084378
0.519949,2,26.183319
1.263015,4,26.380267
0.513178,2,26.496727
0.339881,2,26.59477
1.158224,4,26.808476
-2.756407,6,27.141665
0.97506,3,27.296219
0.924687,3,27.47415
0.342837,2,27.593012
0.574108,2,27.708034
0.335034,2,27.823233
-3.203426,5,28.114104
1.210063,4,28.327583
0.925903,3,28.500472
0.543116,2,28.599261
3.145127,9,29.106745
0.736413,3,29.262216
1.083087,4,29.4776
0.4733,2,29.575768
1.11746,4,29.770947
-1.352642,9,30.253747
0.531705,2,30.368227
0.528207,2,30.484637
1.225932,4,30.699361
0.507334,2,30.814014
1.310263,4,31.029029
1.120432,4,31.242851
2.379599,7,31.632229
1.348681,4,31.82678
0.908276,3,32.002693
0.514061,2,32.102317
1.987727,6,32.415086
1.214445,4,32.631631
0.535423,2,32.731203
0.529896,2,32.830269
1.305444,4,33.026283
0.93277,3,33.183649
0.32147,2,33.28071
0.52228,2,33.378215
0.549753,2,33.476332
-3.028431,5,33.739434
-3.151899,5,34.013141
0.919102,3,34.184491
1.304723,4,34.41574
1.50435,5,34.687334
0.52789,2,34.802922
2.22732,6,35.137182
0.530261,2,35.252528
0.888976,3,35.427074
0.516854,2,35.523834
0.550867,2,35.639564
3.265595,8,36.042975
0.515614,2,36.140498
-2.868672,5,36.395535
0.940662,3,36.551288
0.513762,2,36.649282
0.877416,3,36.822325
0.521646,2,36.93844
-3.134608,5,37.228157
0.551769,2,37.325325
0.456104,2,37.423812
0.533121,2,37.54019
0.560405,2,37.655517
0.544793,2,37.752699
0.907776,3,37.9085
0.495379,2,38.024315
0.495292,2,38.139278
2.088744,6,38.453114
1.323217,4,38.683798
0.996257,3,38.844093
-3.27158,5,39.120973
0.330241,2,39.237487
2.915352,9,39.743833
0.905114,3,39.901257
-1.699762,8,40.356794
0.530822,2,40.453794
-3.276477,5,40.711899
0.544803,2,40.811921
0.50616,2,40.912092
0.52978,2,41.026443
1.863136,6,41.356124
0.531275,2,41.45341
0.517384,2,41.553505
0.54347,2,41.653384
0.551641,2,41.768388
0.530085,2,41.883936
0.344729,2,41.999248
2.131887,6,42.312511
0.947038,3,42.468441
0.526564,2,42.583679
1.474548,5,42.875557
0.562489,2,42.972982
0.53728,2,43.070191
0.475182,2,43.169424
0.551218,2,43.288264
1.694104,5,43.550546
0.51683,2,43.669652
0.543106,2,43.766916
0.897231,3,43.922702
-3.122827,5,44.181463
0.551783,2,44.279833
0.520458,2,44.382279
2.521621,7,44.718759
0.534811,2,44.835257
2.103608,6,45.148344
2.444367,6,45.482166
0.515834,2,45.579503
0.917763,3,45.736304
0.546112,2,45.834105
1.708724,5,46.093735
0.537175,2,46.191063
0.968019,3,46.346502
0.532063,2,46.445997
1.523504,5,46.671188
0.547197,2,46.771553
4.075435,12,47.377577
0.344664,2,47.494258
0.538229,2,47.594468
2.855499,8,48.034509
0.869616,3,48.190467
0.842988,3,48.345327
0.534505,2,48.46355
1.883737,6,48.794544
2.203883,6,49.107631
0.548774,2,49.222521
0.545741,2,49.336985
1.258601,4,49.549769
0.704904,3,49.704569
2.812284,8,50.154552
0.487119,2,50.269964
0.336858,2,50.384454
0.89241,3,50.541771
0.445105,2,50.639707
0.514064,2,50.73745
0.348906,2,50.852038
0.540411,2,50.968735
-3.413847,4,51.187229
0.474587,2,51.302053
0.554095,2,51.418191
0.327696,2,51.533808
-3.601282,4,51.763839
0.724828,3,51.918597
-3.079296,5,52.192672
0.862682,3,52.348998
0.879004,3,52.506294
0.525853,2,52.6057
-3.228099,5,52.863113
0.920439,3,53.019904
0.534649,2,53.13516
0.560066,2,53.249811
0.847974,3,53.404592
0.313298,2,53.50188
0.525332,2,53.616859
2.585936,7,53.987667
0.510578,2,54.103337
1.551271,5,54.364075
0.523034,2,54.462443
1.272065,4,54.658995
1.443253,5,54.915946
0.544827,2,55.03128
0.319857,2,55.127919
0.570379,2,55.22649
0.55527,2,55.325519
4.47695,12,55.918504
2.63938,7,56.260079
0.532994,2,56.374735
1.445967,5,56.625788
-3.44638,4,56.841384
0.536084,2,56.959138
0.525374,2,57.074171
0.52477,2,57.189323
0.337217,2,57.306916
0.528887,2,57.421793
0.520281,2,57.53909
0.519164,2,57.65805
0.567562,2,57.755351
2.924751,8,58.170326
0.524622,2,58.285631
1.510093,5,58.556686
0.804419,3,58.71144
0.929362,3,58.886482
0.534787,2,58.984046
-3.272226,5,59.260878
0.519997,2,59.375916
0.95031,3,59.531963
0.848812,3,59.687938
0.548751,2,59.806062
1.663714,5,60.095245
0.944925,3,60.250926
0.493651,2,60.349966
0.873884,3,60.504893
0.542008,2,60.622308
1.264637,4,60.835094
1.611626,5,61.128323
0.51176,2,61.243045
0.524277,2,61.358319
1.981416,6,61.68617
0.510527,2,61.78332
0.507249,2,61.900105
1.273141,4,62.096702
1.227574,4,62.313641
0.324509,2,62.410696
-2.407041,7,62.802151
1.232264,4,63.016328
0.535178,2,63.114155
0.549652,2,63.23192
0.369793,2,63.346957
0.557355,2,63.462057
0.473501,2,63.577909
1.275399,4,63.791727
2.227758,6,64.082888
0.531084,2,64.198685
0.503469,2,64.315934
1.348554,4,64.493963
1.766299,5,64.749227
1.2268,4,64.96468
0.543634,2,65.08026
0.532731,2,65.17806
2.134904,6,65.528141
0.553484,2,65.644523
0.508656,2,65.759219
2.026277,6,66.038566
-3.708465,5,66.30919
0.365029,2,66.407371
0.535944,2,66.504543
0.541351,2,66.603271
2.323148,6,66.917359
0.734002,3,67.075187
0.508582,2,67.174369
0.860538,3,67.348717
1.652154,5,67.621259
0.575093,2,67.71957
0.55617,2,67.817039
0.568754,2,67.933438
0.540307,2,68.048787
0.557779,2,68.146215
0.523364,2,68.262379
-2.661987,6,68.546301
1.35882,4,68.780852
0.886106,3,68.935542
0.556838,2,69.051389
0.930632,3,69.22359
2.03551,6,69.5202
0.552804,2,69.637264
0.892074,3,69.814423
0.906689,3,69.969469
0.456003,2,70.085241
0.903121,3,70.242114
0.970106,3,70.416479
3.925282,10,70.914795
-2.618993,6,71.233998
0.92374,3,71.408829
0.524417,2,71.524047
0.916036,3,71.679232
