#{"t_start": 1774619806.4917238, "env_id": "continuous-exit-v0"}
r,l,t
1.684326,5,15.863387
-2.991013,6,16.18513
0.55199,2,16.303609
0.898064,3,16.481789
2.179475,6,16.808743
-2.965184,6,17.153815
-3.514206,4,17.393489
0.549017,2,17.493392
0.343634,2,17.610797
0.784069,3,17.765596
1.28631,4,17.981241
1.223566,4,18.197706
0.532699,2,18.316743
0.930705,3,18.472853
0.573528,2,18.570538
0.335592,2,18.68887
3.731972,10,19.212336
0.500775,2,19.326244
0.496912,2,19.440675
0.477357,2,19.537009
0.572566,2,19.641998
0.536747,2,19.757161
0.53034,2,19.854995
2.044762,6,20.20056
0.518031,2,20.317457
0.547649,2,20.434409
0.529318,2,20.55574
0.503593,2,20.675074
-3.184902,5,20.936082
0.491126,2,21.034209
0.516488,2,21.133463
0.495632,2,21.233453
0.532108,2,21.33134
0.521671,2,21.428746
-3.132131,5,21.699506
1.76218,5,21.977049
0.901762,3,22.133104
0.447605,2,22.249897
0.873661,3,22.40471
0.362597,2,22.518462
0.550786,2,22.617162
0.349674,2,22.734245
1.238067,4,22.97032
0.324179,2,23.067684
0.338251,2,23.165508
1.947597,6,23.498727
0.334492,2,23.669238
-1.483211,9,24.486873
-2.983081,5,24.945622
0.355018,2,25.126793
-3.082693,5,25.4156
0.321231,2,25.538211
0.542028,2,25.683545
0.49506,2,25.820682
-3.399011,5,26.156619
-3.232614,5,26.415784
1.938695,6,26.764738
3.349571,9,27.264604
0.494784,2,27.360291
0.53284,2,27.475256
0.529487,2,27.591573
-3.620925,4,27.783782
3.624199,10,28.346126
2.165236,6,28.670579
0.855131,3,28.826928
0.546394,2,28.925204
0.967937,3,29.079786
0.512503,2,29.193903
0.881445,3,29.350803
1.275805,4,29.568967
1.594788,5,29.842595
-3.381213,5,30.272789
2.185433,6,30.981453
0.537841,2,31.149452
1.791945,6,31.568412
0.481005,2,31.683526
0.495626,2,31.780195
2.855286,8,32.339854
0.489068,2,32.516167
0.53362,2,32.647278
-1.221141,9,33.360999
-2.949051,6,33.831687
1.13495,4,34.069034
0.334973,2,34.166214
1.178383,4,34.358667
0.358834,2,34.457686
0.535221,2,34.554167
0.319344,2,34.668647
1.675553,5,34.940868
-2.731269,6,35.238393
0.504364,2,35.356782
