#{"t_start": 1774747322.3695726, "env_id": "continuous-exit-v0"}
r,l,t
0.553336,2,10.88598
1.616008,5,11.249656
0.500921,2,11.367089
0.549235,2,11.501447
0.538117,2,11.628556
0.514215,2,11.764604
0.538542,2,11.917403
0.765424,3,12.167528
0.517621,2,12.325501
0.539617,2,12.486849
-1.853056,8,13.105734
1.018503,3,13.327262
1.656959,5,13.670118
0.525052,2,13.805324
-1.525167,9,14.463025
-2.744196,6,14.881118
0.523722,2,15.019654
2.108641,6,15.402569
1.615664,5,15.702342
0.928503,3,15.894927
2.199926,6,16.271383
-3.504257,4,16.499466
0.545428,2,16.631762
0.506843,2,16.739895
0.559003,2,16.87791
0.546748,2,17.006503
-3.005779,5,17.281053
0.952293,3,17.465239
1.76228,5,17.804014
0.524544,2,17.936007
1.129956,4,18.214036
2.377899,6,18.710873
0.467846,2,18.895427
-3.435368,5,19.324103
0.538537,2,19.533694
0.949906,3,19.798221
1.094881,4,20.095424
0.896334,4,20.409277
-3.511564,4,20.77458
0.523079,2,20.894325
0.525731,2,21.01378
1.507354,5,21.381108
0.560826,2,21.515259
0.976331,3,21.754566
0.543347,2,21.881706
1.35152,4,22.14161
1.578107,5,22.493725
-3.029092,5,22.873383
0.538973,2,23.012917
1.622272,5,23.372943
-3.62611,5,23.658057
0.552208,2,23.792393
0.956149,3,23.966065
-3.529188,4,24.226761
0.529255,2,24.355659
-1.800467,8,24.817073
0.503433,2,24.934617
0.328282,2,25.043023
1.39659,4,25.260249
0.550543,2,25.414881
0.517592,2,25.588203
0.506908,2,25.727007
1.31183,4,26.000989
1.782459,5,26.31034
0.533206,2,26.443042
0.494873,2,26.590389
0.538903,2,26.735116
1.221537,4,26.972958
2.547819,7,27.460358
0.568173,2,27.648307
0.536654,2,27.842695
0.517753,2,28.054538
0.86405,3,28.292411
0.524316,2,28.471741
0.346642,2,28.651638
0.543211,2,28.814968
0.572378,2,28.976962
0.52974,2,29.167656
0.349653,2,29.347606
-3.532206,4,29.706917
2.123481,6,30.182956
2.113401,6,30.707316
-1.708691,8,31.422102
1.362951,4,31.772063
2.369003,7,32.463508
2.426305,7,32.988409
2.197039,6,33.385508
1.655356,5,33.753266
1.297458,4,34.069688
0.709369,3,34.319246
0.335599,2,34.536961
0.862329,3,34.823752
0.534184,2,35.005451
1.383649,4,35.323264
2.54267,8,36.026312
0.909414,3,36.312338
0.54577,2,36.509108
1.36067,5,36.848012
-3.401501,5,37.179307
0.831696,3,37.411294
-3.627184,5,37.796378
3.827881,10,38.626015
0.522229,2,38.791842
1.801409,6,39.337797
-3.01025,5,39.77802
0.529402,2,39.948305
0.532205,2,40.151906
0.545192,2,40.345535
0.871237,3,40.606261
0.527288,2,40.761751
0.888424,3,41.00338
3.268812,9,41.676979
1.60517,5,42.068585
1.638682,5,42.440772
1.952734,6,42.933645
-3.177673,5,43.346377
-3.430222,5,43.720587
1.707564,5,44.137552
0.587375,2,44.279346
-3.164111,5,44.654538
-2.286271,7,45.231391
1.411651,4,45.497283
0.556148,2,45.6303
0.494541,2,45.811737
0.539408,2,45.943455
0.550761,2,46.092473
2.390162,7,46.611658
2.020691,6,47.086393
2.246111,7,47.652992
-3.007941,5,48.079422
-1.745359,9,48.834956
0.564987,2,48.995811
0.54468,2,49.205803
0.511206,2,49.407141
0.515189,2,49.60918
0.878847,3,49.829046
-2.617407,6,50.273045
-2.548934,6,50.635198
0.539305,2,50.770823
0.486409,2,50.910342
0.539182,2,51.043221
0.569585,2,51.199882
0.541135,2,51.374599
0.378419,2,51.543604
-3.403628,5,51.906958
1.404821,5,52.250249
0.546986,2,52.382165
0.527268,2,52.526855
0.512242,2,52.667969
-3.539164,4,52.953287
0.522381,2,53.16349
0.54801,2,53.300448
0.513567,2,53.463757
0.541669,2,53.644669
0.553963,2,53.837606
1.807647,5,54.263791
2.881542,7,54.841728
2.54417,7,55.42213
2.410242,7,55.952888
0.53606,2,56.132467
-2.998526,5,56.5512
-2.180084,8,57.262133
0.59253,2,57.45093
0.481049,2,57.652568
4.599875,12,58.701846
-3.56578,4,59.038289
-3.052058,6,59.590249
0.521762,2,59.764651
4.173138,10,60.519764
0.549245,2,60.690937
0.522141,2,60.852384
0.571716,2,60.990142
-3.630788,4,61.316646
0.516995,2,61.464559
3.557812,9,62.180161
0.528781,2,62.372443
0.513908,2,62.537568
2.124479,6,62.958894
1.639186,5,63.371221
0.927729,3,63.612584
0.529319,2,63.765503
0.515818,2,63.911723
1.398882,4,64.215826
0.859773,3,64.459168
0.916441,3,64.723156
1.282297,5,65.083712
1.564862,5,65.467989
-3.095876,5,65.840128
0.54618,2,65.97396
-3.426897,5,66.299343
0.558898,2,66.461118
0.567754,2,66.588375
-2.917328,5,66.971151
0.363056,2,67.153694
0.86408,3,67.374457
4.172649,11,68.165833
0.541695,2,68.319656
1.24357,4,68.638125
1.606434,5,68.978872
0.991086,3,69.271231
0.530471,2,69.433194
1.079402,4,69.715575
0.519214,2,69.866725
2.78566,8,70.420296
0.538217,2,70.537121
0.916147,3,70.746208
0.558352,2,70.861557
0.529874,2,70.974983
0.494957,2,71.113415
0.53069,2,71.236203
0.523355,2,71.355092
0.523677,2,71.467962
0.539699,2,71.600333
0.524494,2,71.730623
0.699431,3,71.917125
2.467405,7,72.333854
0.558571,2,72.454184
-3.522869,4,72.690813
0.544362,2,72.837156
0.553067,2,72.975551
0.493036,2,73.093213
2.080873,6,73.468185
0.501882,2,73.584417
0.440754,2,73.717357
0.543999,2,73.849764
1.608893,5,74.1392
0.528861,2,74.266408
0.331953,2,74.38022
0.574554,2,74.501163
1.279719,4,74.747829
-2.804508,6,75.173477
0.49957,2,75.292044
0.551212,2,75.411116
0.852895,3,75.602214
-3.052215,5,75.876794
0.50814,2,76.007616
0.345679,2,76.142575
0.923385,3,76.317453
0.943976,3,76.522442
0.36282,2,76.635044
2.240097,6,77.004186
0.544157,2,77.149671
1.582413,5,77.468561
0.569488,2,77.607612
0.553197,2,77.749681
-1.765926,8,78.469293
0.555316,2,78.620512
0.524874,2,78.758823
0.890483,3,78.999371
3.048309,8,79.709952
0.340782,2,79.868659
0.799686,3,80.164058
0.515631,2,80.358591
1.356847,4,80.716868
1.893902,6,81.332704
1.905896,7,81.89458
2.37236,7,82.477658
1.343556,5,82.881217
0.528264,2,83.054003
1.24264,4,83.359207
2.373854,7,83.906725
1.690505,5,84.29501
2.684526,7,84.862179
1.898985,6,85.321149
0.883854,3,85.540895
0.873496,3,85.764346
0.550925,2,85.906845
0.352369,2,86.066015
