#{"t_start": 1769811364.0230348, "env_id": "highway-v0"}
r,l,t
6.704215,8,1.820315
27.495876,40,10.691211
4.054997,5,11.797692
3.588468,5,12.908814
27.594874,40,21.785029
10.092422,12,24.432156
16.876086,20,28.872908
29.004544,40,37.7582
6.970939,8,39.522713
28.029153,40,48.381467
11.033738,14,51.498879
25.942653,29,57.978309
27.576116,40,66.879022
20.138758,24,72.226299
4.432815,6,73.565459
27.737545,40,82.479517
20.712986,28,88.729709
30.112028,40,97.589974
29.87893,40,106.455849
3.250785,4,107.33622
28.444444,40,116.187809
5.57906,7,117.741141
28.444444,40,126.665115
7.010152,8,128.424934
27.680274,40,137.297974
2.915544,4,138.186426
31.577729,40,147.030139
27.894577,40,155.956075
10.905553,14,159.108924
8.379267,10,161.339841
10.430125,13,164.224159
6.345498,8,166.007237
29.236417,38,174.509097
6.834857,8,176.301016
29.580658,40,185.336437
28.759755,40,194.300982
5.100903,7,195.85765
2.819327,4,196.760877
2.969371,4,197.643022
5.766908,8,199.436659
28.563771,40,208.371181
5.461627,7,209.927661
9.492567,12,212.592607
7.331731,9,214.602499
12.749081,18,218.61551
28.462645,40,227.489249
29.771216,40,236.395818
3.955556,5,237.510695
17.21201,22,242.4263
26.830009,32,249.58381
11.453966,15,252.929104
30.898689,40,261.848827
5.185855,6,263.172849
13.739348,16,266.746291
6.745494,9,268.769661
25.215377,33,276.052179
28.93884,40,284.931434
27.047603,40,293.830073
4.279526,5,294.946118
3.692997,5,296.071376
7.652225,10,298.306038
35.012883,40,307.249352
6.778147,8,309.052219
29.472525,40,317.935446
8.64513,11,320.373197
17.864593,21,325.070051
19.756038,25,330.60057
15.172663,18,334.619254
10.046024,11,337.051962
29.544452,40,345.949274
0.923938,2,346.399183
28.444444,40,355.292839
3.066667,4,356.186505
27.464095,40,365.076644
11.9031,15,368.420301
28.926914,40,377.313436
32.498213,40,386.268031
29.515664,40,395.169814
28.577778,40,404.093462
9.581497,11,406.552388
23.481944,40,415.451434
18.625839,23,420.538648
28.409867,40,429.457036
30.336659,40,438.310491
29.525593,40,447.257513
2.79153,4,448.152979
7.603395,9,450.16955
34.062067,40,466.860786
5.860551,8,468.664235
28.038956,40,477.539002
30.889801,40,486.403061
33.688969,40,495.305439
1.728363,3,495.985878
1.938399,3,496.655457
5.210158,7,498.219838
12.929903,15,501.570806
26.483307,32,508.716737
28.040267,40,517.619869
32.78594,40,526.529652
32.586596,40,535.432799
30.041997,40,544.329509
28.588045,40,553.215328
30.141923,40,562.102415
28.320158,40,571.041196
27.555556,40,579.913895
29.902143,40,588.781405
6.838791,8,590.55841
30.619659,40,599.486867
3.927135,5,600.599477
27.920824,40,609.548794
20.067847,22,614.48037
31.462531,40,623.324005
29.284219,40,632.231764
30.32139,40,641.146294
2.04181,3,641.820702
29.929279,40,650.752972
31.58003,40,659.582809
30.242656,40,668.493278
