#{"t_start": 1769824810.0828142, "env_id": "highway-v0"}
r,l,t
6.704215,8,1.818028
27.495877,40,10.680211
4.054997,5,11.787276
3.588468,5,12.901067
27.594874,40,21.783507
10.092422,12,24.447854
16.876086,20,28.901112
29.004541,40,37.818179
6.970939,8,39.597766
28.029153,40,48.481114
11.033738,14,51.590013
25.942653,29,58.064867
27.576116,40,66.939052
20.138758,24,72.276786
4.432815,6,73.614322
27.737545,40,82.515984
20.712986,28,88.734076
30.112028,40,97.580583
29.878818,40,106.467557
3.250785,4,107.352097
28.444444,40,116.231194
5.57906,7,117.789401
28.444444,40,126.741764
7.010152,8,128.509589
27.680274,40,137.42732
2.915544,4,138.323613
31.577722,40,147.203684
27.894575,40,156.151575
10.905553,14,159.299527
8.379267,10,161.532484
10.430125,13,164.398053
6.345498,8,166.176083
29.236417,38,174.640154
6.834857,8,176.416857
29.580658,40,185.303235
28.759755,40,194.190413
5.100903,7,195.733915
2.819327,4,196.636566
2.969371,4,197.512668
5.766908,8,199.308674
28.563771,40,208.201071
5.461627,7,209.754736
9.492567,12,212.42311
7.331731,9,214.437735
12.749081,18,218.451852
28.462645,40,227.294865
29.771216,40,236.143016
3.955556,5,237.256671
17.21201,22,242.1498
26.830009,32,249.304569
11.453966,15,252.644974
30.898689,40,261.554289
5.185855,6,262.889181
13.739348,16,266.476068
6.745494,9,268.499011
25.215367,33,275.787444
28.938099,40,284.670564
27.047603,40,293.551246
4.279526,5,294.668176
3.692997,5,295.78876
7.652225,10,297.999153
35.012883,40,306.912946
6.778147,8,308.704437
29.472525,40,317.56558
8.64513,11,319.997691
17.864593,21,324.678209
19.756038,25,330.200931
15.172663,18,334.223927
10.046024,11,336.656367
29.544452,40,345.545123
0.923938,2,345.992731
28.444444,40,354.876142
3.066667,4,355.770016
27.464095,40,364.646078
11.9031,15,367.984637
28.926914,40,376.826179
32.498213,40,385.719204
29.515664,40,394.676574
28.577778,40,403.608574
9.581497,11,406.061908
23.481944,40,414.949141
18.625839,23,420.043437
28.409751,40,428.922127
30.336658,40,437.758609
29.525593,40,446.680732
2.79153,4,447.579574
7.603395,9,449.594215
34.086989,40,466.250423
5.863964,8,468.034423
28.046759,40,476.922935
30.968108,40,485.748375
12.117852,14,488.875958
24.367021,31,495.767882
6.175496,9,497.774236
2.962751,4,498.672949
30.120534,40,507.584685
30.636195,40,516.435783
29.222577,40,525.342526
31.014962,40,534.23989
27.759903,40,543.11634
31.532905,40,551.988641
31.666169,39,560.630848
5.952553,7,562.207892
26.925027,40,571.063739
27.570904,40,579.885998
30.172428,40,588.736728
7.876413,9,590.739462
30.383988,40,599.62279
29.682463,40,608.51336
8.34688,11,610.970602
32.582863,40,619.826314
30.742418,40,628.667422
27.713431,40,637.53363
16.017832,18,641.581158
4.181041,6,642.895698
29.458146,40,651.756229
6.100712,7,653.30643
29.445883,40,662.196433
28.201795,40,671.0691
22.947493,29,677.512782
10.300253,12,680.172586
20.854121,24,685.50656
3.58578,5,686.626917
4.889111,6,687.953859
16.846159,19,692.180245
28.444444,40,701.006485
10.703172,13,703.908576
31.205342,40,712.831969
29.392108,40,721.718727
11.742946,14,724.847694
26.969884,40,733.70997
1.933333,3,734.400311
3.066667,4,735.296588
9.084888,11,737.76354
3.716856,5,738.878639
18.381801,23,743.979973
29.808348,40,752.936547
18.345809,22,757.827436
4.873808,6,759.174281
28.276354,40,768.020212
29.520995,40,776.928286
27.712544,40,785.823087
30.058072,40,794.713267
4.126583,6,796.06535
30.311401,40,804.985182
28.619496,40,813.909975
27.260864,40,822.788518
3.955556,5,823.912915
13.76092,17,827.744284
21.957238,26,833.526307
30.375948,40,842.479627
29.111567,40,851.368197
30.23156,40,860.337364
19.186974,22,865.236001
26.395213,40,874.112336
28.840371,35,881.88939
7.107437,9,883.895821
4.098647,5,885.023401
14.16264,17,888.818671
29.486052,40,897.716076
3.955556,5,898.84619
27.838866,40,907.7148
9.853371,13,910.583092
13.10832,17,914.364874
3.999384,5,915.479854
28.790024,40,932.322535
30.071888,40,941.284176
28.73174,40,950.188732
29.455466,40,959.144109
29.872271,40,968.071
5.635201,8,969.879855
16.160824,17,973.636569
28.764291,40,982.562134
3.881831,5,983.677991
2.462396,4,984.560561
9.350478,11,987.004611
26.688957,40,995.906617
1.885701,3,996.578793
29.662986,40,1005.598339
14.75434,18,1009.635297
27.416158,40,1018.515908
27.890382,40,1027.393883
28.540655,40,1036.315296
30.49071,40,1045.195439
28.445958,40,1054.063886
32.739852,40,1062.945586
31.830632,40,1071.865734
30.38464,40,1080.718701
2.743553,4,1081.602234
28.52465,40,1090.574488
28.490836,40,1099.479591
29.780122,40,1108.35975
14.541844,19,1112.589527
26.666667,40,1121.452159
12.290709,16,1124.985933
32.606994,40,1133.852703
14.871577,17,1137.656742
28.266699,40,1146.603516
