#{"t_start": 1769796782.5207696, "env_id": "highway-v0"}
r,l,t
8.181521,10,11.109325
11.978851,15,14.542357
7.785622,9,16.640435
28.500856,40,25.697921
8.328243,10,27.950108
27.85941,40,37.059382
30.598054,40,46.116503
12.52411,16,49.776094
8.987178,12,52.489344
4.896326,6,53.852387
21.024539,26,59.813221
32.768784,40,69.074604
17.166093,22,74.040035
10.8382,13,77.030373
7.433955,10,79.310585
28.338349,40,88.483059
13.851981,16,92.123369
7.104081,9,94.19178
28.723911,40,103.251563
30.763669,40,112.263482
13.503094,16,115.884896
18.399489,24,121.368651
31.333235,40,130.417487
7.155556,8,132.245946
7.704591,11,134.733704
30.994415,40,143.826894
1.987638,3,144.502019
25.532678,32,151.800915
5.129557,7,153.390512
28.43692,40,162.463819
3.692941,5,163.614261
6.155846,8,165.403874
9.103281,12,168.095889
9.516026,13,171.104567
1.930244,3,171.785313
5.123943,7,173.379092
4.865536,6,174.731172
4.799214,6,176.10804
8.231711,10,178.397864
7.207831,9,180.474935
16.180102,20,185.087985
9.756493,12,187.814652
2.042484,3,188.491162
29.97802,40,197.628973
5.143097,7,199.210502
1.847159,3,199.889212
7.870854,10,202.137709
27.797316,40,211.205003
8.622222,10,213.503017
9.822222,11,216.020944
30.262476,40,225.112437
31.775768,40,234.242294
32.537211,40,243.309249
28.607815,40,252.34204
8.632084,10,254.599213
11.462622,13,257.549202
29.424276,40,266.589555
28.132168,40,275.697878
5.911111,7,277.29005
29.483335,40,286.300672
4.066667,5,287.462857
30.113083,40,296.442928
10.301245,13,299.406868
30.523622,40,308.472121
7.476981,9,310.522724
31.611467,40,319.630643
0.99363,2,320.092035
30.162838,40,329.197841
2.8,4,330.10173
28.798697,40,339.187245
29.899779,40,348.231419
28.590656,40,357.358188
28.52897,40,366.455992
5.893897,7,368.035523
29.771338,40,377.072809
20.732518,27,383.204792
30.055031,40,392.273615
31.206046,40,401.396559
28.385063,40,410.464916
11.408872,14,413.637618
4.410803,6,414.992196
28.94109,40,424.127825
2.0,3,424.817012
10.469657,14,427.997823
18.483335,24,433.427998
7.039668,10,435.723975
9.802479,13,438.659973
29.653039,40,447.727645
29.397749,40,456.782633
20.666667,40,465.830911
5.575812,7,467.452811
6.221419,8,469.260827
15.908905,19,473.561116
20.393054,26,487.601116
27.425293,40,496.679425
6.702916,8,498.489169
28.699983,40,507.555403
27.600543,40,516.624663
28.973983,40,525.684373
32.68385,40,534.759662
26.844121,40,543.832344
28.662505,40,552.95815
31.951912,40,562.004605
2.999788,4,562.904987
30.383385,40,571.964943
27.955905,40,580.977416
24.163263,33,588.438644
28.846101,40,597.517049
28.005761,40,606.586324
28.607703,40,615.68916
33.266786,40,624.872564
28.444444,40,633.94093
31.041933,40,642.976319
29.297252,40,652.057421
15.133301,18,656.231866
30.070327,40,665.308171
29.640884,40,674.383674
26.879467,40,683.520335
1.134992,2,683.990911
11.495877,13,686.919286
29.574628,40,696.034579
6.403378,8,697.863794
30.220458,40,706.916397
5.745853,7,708.503708
29.839666,40,717.540876
29.743821,40,726.607789
29.984993,40,735.631578
29.713085,40,744.654686
29.843187,40,753.724891
4.577996,6,755.094806
7.06503,9,757.132965
6.20057,8,758.956597
27.650047,40,767.995956
3.781886,5,769.132877
28.819865,40,778.136553
28.018669,40,787.169191
8.47382,10,789.434219
19.748448,26,795.313573
3.201937,5,796.45436
10.988914,13,799.368835
3.700952,5,800.515012
27.679844,40,809.534988
1.579906,3,810.224013
29.045672,40,819.345641
28.444444,40,828.366613
33.25807,40,837.43394
24.793248,32,844.691515
32.611669,40,853.778924
30.143121,40,862.856677
22.295091,28,869.199784
26.99177,40,878.245203
16.81074,23,883.503883
12.217582,14,886.657986
31.157069,40,895.745906
23.885382,31,902.828967
17.120618,22,907.86453
6.530314,8,909.67482
28.762144,40,918.713951
3.329063,5,919.854307
28.892177,40,928.896491
28.929249,40,937.928427
4.501302,6,939.255112
8.421585,10,941.472118
28.299994,40,958.917406
28.444444,40,967.970933
29.184327,40,977.16347
12.496287,16,980.817524
28.674937,40,989.899066
29.952738,38,998.511807
18.003113,40,1007.547535
31.870859,40,1016.561012
29.534131,40,1025.629649
9.477646,12,1028.375873
30.828029,40,1037.422189
2.688866,4,1038.327391
29.200289,40,1047.446225
29.207439,40,1056.493212
29.92742,40,1065.559102
31.117338,40,1074.560487
28.47634,40,1083.624419
8.825413,12,1086.356405
27.873708,40,1095.459809
30.444082,40,1104.549155
30.00581,40,1113.594159
3.65948,5,1114.743297
27.688671,40,1123.810913
28.293193,40,1132.85853
16.133803,19,1137.14094
27.571463,40,1146.24058
29.167816,40,1155.28553
30.537211,40,1164.340973
28.167242,40,1173.358096
30.313372,40,1182.4257
31.890494,40,1191.598354
31.957527,40,1200.663978
29.686082,40,1209.760085
27.029587,40,1218.832386
30.594738,40,1227.876641
30.150084,40,1236.959409
27.662039,40,1245.998328
4.421083,6,1247.342636
28.444444,40,1256.376944
27.848902,40,1265.383531
28.764141,40,1274.396503
28.787119,40,1283.320277
30.906947,40,1292.341325
30.751429,40,1301.377034
32.147506,40,1310.408387
30.042795,40,1319.437726
28.385233,40,1328.459346
29.946496,40,1337.537744
2.355196,4,1338.444223
4.933333,6,1339.796262
30.038893,40,1348.836844
32.225213,40,1357.905667
26.755425,40,1366.949856
5.150429,7,1368.532964
26.579949,36,1376.69163
30.459061,40,1385.785337
20.57922,40,1394.867102
18.003689,40,1403.939131
10.394021,12,1406.668832
29.020507,40,1415.701625
29.344083,40,1432.900822
27.026992,40,1441.938159
28.472653,40,1451.079875
31.510226,40,1460.187171
28.687058,40,1469.286398
28.960685,40,1478.334226
27.452444,40,1487.406367
30.597964,40,1496.42622
27.565814,40,1505.529339
27.818468,40,1514.561076
30.82081,40,1523.663172
30.007738,40,1532.740432
28.306657,40,1541.867382
33.042561,40,1550.918487
31.05917,40,1559.977424
28.908129,40,1569.053973
29.267946,40,1578.163696
27.761693,40,1587.216893
30.591138,40,1596.295088
29.872528,40,1605.386986
33.162325,40,1614.388275
28.52946,40,1623.440264
31.050342,40,1632.535797
29.565275,40,1641.596857
32.34964,40,1650.670209
27.438365,40,1659.695564
30.002727,40,1668.71855
30.737655,40,1677.730097
3.244444,4,1678.640631
28.486722,40,1687.681348
27.775005,40,1696.766138
4.777278,6,1698.119748
31.027292,40,1707.165845
28.135703,40,1716.230471
31.924763,40,1725.250194
27.41953,40,1734.266237
31.326489,40,1743.341112
30.628642,40,1752.389775
29.977956,40,1761.450487
28.614864,40,1770.463032
28.96054,40,1779.550055
30.382068,40,1788.592799
28.250372,40,1797.625852
28.355995,40,1806.64551
27.036065,40,1815.664276
33.247479,40,1824.692418
29.323322,40,1833.745212
32.300583,40,1842.704595
27.81269,40,1851.69926
29.912063,40,1860.74012
28.901771,40,1869.80495
29.583246,40,1878.916018
29.257245,40,1888.404906
31.808744,40,1905.548923
30.139148,40,1914.619319
28.938984,40,1923.701359
30.963271,40,1932.784135
32.753356,40,1941.851156
30.12723,40,1950.99551
30.154291,40,1960.075707
29.678,40,1969.169246
32.506058,40,1978.210256
30.376272,40,1987.317332
28.226355,40,1996.423816
29.964914,40,2005.536937
31.031965,40,2014.588835
29.657138,40,2023.583033
31.366582,40,2032.624118
28.221268,40,2041.739002
28.417742,40,2050.782032
31.308202,40,2059.840295
31.157959,40,2068.901891
30.62578,40,2077.96154
30.777877,40,2086.994947
28.247943,40,2096.05862
30.499593,40,2105.155022
29.988799,40,2114.198644
10.118455,13,2117.130084
29.478317,40,2126.164099
29.937579,40,2135.175923
30.336973,40,2144.226791
30.237205,40,2153.305126
32.402356,40,2162.378707
32.551688,40,2171.39023
31.139012,40,2180.493809
31.548684,40,2189.567849
30.494479,40,2198.61388
31.952324,40,2207.592001
33.926987,40,2216.636299
33.260221,40,2225.706295
27.854761,40,2234.789633
30.461871,40,2243.843493
31.611622,40,2252.90399
32.021011,40,2262.004433
28.240381,40,2271.06103
32.422062,40,2280.19997
28.887697,40,2289.295643
30.091654,40,2298.323
29.429674,40,2307.36747
30.959094,40,2316.454953
29.274649,40,2325.537147
29.244232,40,2334.588042
28.935622,40,2343.539429
27.907496,40,2352.558283
32.341627,40,2361.573429
28.84325,40,2379.045004
29.109762,40,2388.12746
29.448565,40,2397.199292
30.147284,40,2406.302275
30.412412,40,2415.546465
29.245318,40,2424.669582
31.627156,40,2433.856627
31.476935,40,2442.967683
31.906836,40,2452.080418
31.774947,40,2461.158346
30.60272,40,2470.226396
31.264908,40,2479.33446
31.37698,40,2488.444254
28.922018,40,2497.580092
29.123711,40,2506.681016
29.467433,40,2515.711619
30.760937,40,2524.782921
29.846147,40,2533.811208
29.575606,40,2542.890469
28.402899,40,2551.930569
31.807387,40,2560.968405
32.132024,40,2570.011553
28.715898,40,2579.090234
29.140356,40,2588.132586
32.842273,40,2597.183994
30.042393,40,2606.173959
29.057894,40,2615.246254
30.066577,40,2624.300925
29.584713,40,2633.38227
30.216951,40,2642.476667
1.476787,3,2643.153898
28.821103,40,2652.200471
28.902935,40,2661.284785
31.251875,40,2670.357986
33.057977,40,2679.461458
31.540627,40,2688.532865
31.854828,40,2697.650104
28.264801,40,2706.770105
28.588082,40,2715.826278
29.778623,40,2724.88345
32.044457,40,2733.92587
30.012014,40,2743.014786
29.574021,40,2752.100125
31.101271,40,2761.219036
30.534174,40,2770.260479
30.200069,40,2779.386423
30.001428,40,2788.458989
30.228408,40,2797.516625
28.795894,40,2806.582862
30.992517,40,2815.590525
29.669065,40,2824.613191
27.837126,40,2834.040258
28.199864,40,2851.215301
29.967053,40,2860.386066
30.819312,40,2869.425643
30.843937,40,2878.485952
3.454567,5,2879.647934
33.139966,40,2888.788183
30.251439,40,2897.835486
30.569938,40,2906.89181
30.356154,40,2916.053107
31.699714,40,2925.127672
29.119634,40,2934.307298
30.306629,40,2944.031581
31.369556,40,2953.123176
2.72733,4,2954.03122
30.07447,40,2963.091118
29.0129,40,2972.224163
29.031658,40,2981.346741
30.049038,40,2990.497709
29.998708,40,2999.554676
29.346379,40,3008.63417
31.13538,40,3017.706983
29.674707,40,3026.749698
22.673168,32,3034.042286
29.428235,40,3043.110088
27.730432,40,3052.190255
29.432569,40,3061.286222
29.172938,40,3070.439417
31.538144,40,3079.609721
28.732806,40,3088.699387
28.270442,40,3097.904722
29.68273,40,3106.972005
28.903573,40,3116.060598
30.752539,40,3125.143589
28.549743,40,3134.288639
31.19675,40,3143.352418
29.447523,40,3152.449909
30.22906,40,3161.539798
30.148153,40,3170.654578
31.665099,40,3179.721977
33.801963,40,3188.804265
29.595124,40,3197.839014
31.108005,40,3206.89627
31.064428,40,3215.954226
31.511371,40,3225.052762
29.144769,40,3234.244595
31.889233,40,3243.438374
28.95169,40,3252.473404
30.006839,40,3261.588407
30.309881,40,3270.708642
32.281308,40,3279.75334
30.275792,40,3288.905293
27.867004,40,3297.977662
29.128645,40,3307.040243
29.81559,40,3324.668487
31.295691,40,3333.866927
29.640617,40,3342.955285
30.988658,40,3352.070564
30.374902,40,3361.155981
29.820849,40,3370.20146
29.734509,40,3379.261824
28.144129,40,3388.267194
30.060309,40,3397.318578
30.640681,40,3406.348719
28.673191,40,3415.442126
29.047578,40,3424.50544
29.547608,40,3433.574471
32.522345,40,3442.726441
32.106507,40,3451.801414
27.942676,40,3460.886748
33.33192,40,3470.029428
30.400642,40,3479.092821
29.314992,40,3488.185981
30.041554,40,3497.330055
29.602715,40,3506.411422
30.537967,40,3515.49532
28.283149,40,3524.648867
30.601807,40,3533.742681
29.996347,40,3542.841428
29.531287,40,3551.940588
30.683709,40,3561.016513
29.343657,40,3570.027645
28.630443,40,3579.140362
31.296142,40,3588.230799
30.174581,40,3597.279171
30.053554,40,3606.338941
29.909817,40,3615.413911
29.733775,40,3624.437678
27.821334,40,3633.562931
30.659759,40,3642.602903
31.302106,40,3651.699548
28.386175,40,3660.746827
31.443216,40,3669.816999
28.737801,40,3678.971621
31.942733,40,3688.380827
28.71818,40,3697.686853
30.261507,40,3706.756043
30.513274,40,3715.891487
29.479468,40,3724.977323
15.693621,22,3729.925669
29.950089,40,3738.96895
29.303785,40,3748.07577
29.043568,40,3757.124364
32.993874,40,3766.320133
29.530196,40,3775.421289
30.013127,40,3784.587614
31.523215,40,3801.890366
28.342937,40,3810.99439
31.280654,40,3820.116216
31.286114,40,3829.229895
29.074859,40,3838.27667
29.719755,40,3847.352535
30.600497,40,3856.499719
32.786252,40,3865.61135
29.09319,40,3874.706717
29.005168,40,3883.804008
30.170421,40,3892.944108
30.060586,40,3902.04372
28.436147,40,3911.123008
28.393222,40,3920.18968
28.404407,40,3929.27985
30.303074,40,3938.397349
31.220254,40,3947.503808
30.532184,40,3956.580665
30.376069,40,3965.704061
29.164734,40,3974.809658
31.411724,40,3983.971109
29.664335,40,3993.09416
29.527141,40,4002.164625
29.882568,40,4011.280277
32.813162,40,4020.467372
28.483052,40,4029.608994
31.723873,40,4038.68999
28.946734,40,4047.782018
28.772258,40,4056.981206
30.671552,40,4066.084235
30.994845,40,4075.168387
32.159264,40,4084.246056
29.536318,40,4093.296414
27.951662,40,4102.39558
30.061087,40,4111.442473
30.697699,40,4120.496854
29.944503,40,4129.527468
29.70703,40,4138.55693
30.095861,40,4147.62487
29.245036,40,4156.665406
31.030699,40,4165.703636
30.951649,40,4174.733635
31.095282,40,4183.776338
29.542492,40,4192.819527
29.389353,40,4201.903464
30.609431,40,4211.018853
31.264261,40,4220.051533
28.724962,40,4229.543771
28.53873,40,4238.697309
29.847987,40,4247.858498
29.491874,40,4256.963649
29.443973,40,4274.646494
29.959593,40,4283.697556
31.366818,40,4292.808576
30.065023,40,4301.848498
30.70466,40,4310.924271
29.289211,40,4320.01223
29.238875,40,4329.078401
28.574633,40,4338.166562
28.340281,40,4347.323346
28.085978,40,4356.383443
29.564644,40,4365.465008
29.550467,40,4374.515059
29.565972,40,4383.628379
28.692419,40,4392.728841
30.678137,40,4401.833487
33.003153,40,4410.946912
30.941579,40,4420.053416
32.064852,40,4429.152011
29.9468,40,4438.203936
28.366165,40,4447.261597
32.476805,40,4456.256705
29.216461,40,4465.29934
28.192375,40,4474.375864
30.673445,40,4483.473634
29.443062,40,4492.564662
31.447997,40,4501.677282
30.107776,40,4510.775647
29.20459,40,4519.866301
29.661372,40,4528.933672
30.911467,40,4538.001418
31.36291,40,4547.141688
32.788891,40,4556.270334
31.5316,40,4565.341023
30.300663,40,4574.394967
29.135615,40,4583.468694
28.997679,40,4592.583385
28.749341,40,4601.659607
32.614049,40,4610.766453
31.324565,40,4619.793771
28.283516,40,4628.837124
29.189279,40,4637.875777
29.922082,40,4646.954104
29.568272,40,4656.263713
28.546314,40,4665.382696
32.62583,40,4674.520493
30.453155,40,4683.545624
30.117407,40,4692.715734
33.111802,40,4701.811431
30.570051,40,4710.948231
29.703272,40,4720.08813
31.250088,40,4729.153643
28.200599,40,4747.20333
29.583635,40,4756.243504
31.358184,40,4765.273138
30.997122,40,4774.327708
29.474422,40,4783.406409
29.375591,40,4792.468698
28.492813,40,4801.533962
29.200989,40,4810.592966
30.127268,40,4819.716495
32.80025,40,4828.948383
30.890873,40,4838.091866
32.063893,40,4847.162622
32.045741,40,4856.163815
30.630302,40,4865.226618
29.381201,40,4874.295009
28.928429,40,4883.375032
27.754629,40,4892.416884
31.01347,40,4901.486384
30.044701,40,4910.539657
29.119112,40,4919.593275
29.002968,40,4928.753148
29.542516,40,4937.83918
32.102188,40,4946.915532
30.968578,40,4955.971752
28.119569,35,4963.976652
28.356831,40,4973.02712
29.933746,40,4982.194489
30.604385,40,4991.230147
29.985758,40,5000.278579
28.295073,40,5009.298297
28.915628,40,5018.424776
29.732157,40,5027.520828
30.783052,40,5036.609825
30.662091,40,5045.742864
33.021142,40,5054.769145
30.912444,40,5063.908687
29.588774,40,5073.023865
31.750426,40,5082.0773
30.836077,40,5091.218896
30.536746,40,5100.324553
28.854151,40,5109.402419
30.768853,40,5118.532926
29.441425,40,5127.607438
30.897114,40,5136.716765
30.506357,40,5145.757612
30.936308,40,5154.758408
30.004431,40,5163.854297
29.206174,40,5172.909627
31.248308,40,5181.942558
30.127764,40,5190.997582
30.121486,40,5200.02115
29.538858,40,5217.305958
30.912981,40,5226.379497
29.762938,40,5235.478933
30.470622,40,5244.526677
29.960468,40,5253.624626
31.473832,40,5262.703752
29.715516,40,5271.769538
31.545082,40,5280.853808
31.996271,40,5289.906501
29.680456,40,5298.972775
29.179374,40,5308.031591
29.75587,40,5317.17449
28.651956,40,5326.302121
31.007998,40,5335.361434
29.957011,40,5344.426152
31.080616,40,5353.508211
31.242275,40,5362.604645
28.149973,40,5371.635293
31.023915,40,5380.673053
30.30199,40,5389.728662
30.860664,40,5398.817081
30.578318,40,5407.895212
32.819465,40,5416.964861
28.53075,40,5426.015994
31.797885,40,5435.149654
31.733238,40,5444.302521
33.172564,40,5453.324971
32.065877,40,5462.391377
32.60272,40,5471.443159
31.193195,40,5480.482766
32.349701,40,5489.568496
31.308855,40,5498.610804
30.555686,40,5507.604084
29.718341,40,5516.659665
31.681755,40,5525.755177
33.329845,40,5534.860666
31.813112,40,5543.847577
33.986344,40,5552.962842
31.349732,40,5562.070313
32.539691,40,5571.179035
33.636261,40,5580.288639
30.24082,40,5589.405112
31.332151,40,5598.45784
30.48092,40,5607.601117
29.069555,40,5616.698828
30.035888,40,5625.971301
31.96271,40,5635.361888
30.253064,40,5644.46543
29.030301,40,5653.523237
29.241411,40,5662.67804
28.905827,40,5671.745375
28.825709,40,5680.79425
29.154048,40,5698.281398
31.284419,40,5707.369188
29.81866,40,5716.510903
29.912099,40,5725.566204
31.643275,40,5734.630668
30.409109,40,5743.710778
28.789171,40,5752.762045
30.453237,40,5761.846543
28.705164,40,5770.925422
31.12998,40,5780.009189
29.930369,40,5789.013467
30.025805,40,5798.02775
30.161556,40,5807.113827
29.031227,40,5816.158332
31.876876,40,5825.193251
28.979602,40,5834.221778
30.169886,40,5843.307405
29.315419,40,5852.418312
31.112622,40,5861.503862
31.33685,40,5870.580181
30.675242,40,5879.699708
29.214207,40,5888.73166
30.914806,40,5897.841328
29.943122,40,5906.885471
28.82759,40,5916.023943
30.682787,40,5925.179107
30.370471,40,5934.211149
28.482525,40,5943.292332
31.557983,40,5952.34924
30.209424,40,5961.339405
30.278345,40,5970.352971
31.842306,40,5979.412296
31.897415,40,5988.39018
