#{"t_start": 1769796782.521398, "env_id": "highway-v0"}
r,l,t
15.522428,20,13.665197
13.799911,16,17.439128
3.97537,5,18.586914
30.201029,40,27.687735
8.492392,10,29.975413
29.708797,40,39.227998
7.269311,9,41.335408
6.516866,8,43.155516
18.749892,26,49.033859
27.573195,40,58.175294
30.458916,40,67.513543
27.881251,40,76.607126
2.918121,4,77.574347
29.913244,40,86.904178
28.817211,40,95.859782
4.680749,6,97.2213
5.821876,7,98.794197
26.666667,40,107.743881
4.991535,6,109.098532
25.857017,31,116.03473
12.434772,15,119.395981
28.063732,38,127.890483
32.398585,40,136.823242
15.782367,19,141.078781
7.211444,9,143.116003
31.457212,39,151.849884
29.382001,40,160.834542
5.091564,8,162.626171
1.978923,3,163.307567
6.888889,8,165.077552
13.057102,17,168.866052
29.901735,40,177.880631
22.965197,26,183.769929
18.189989,21,188.476206
19.86319,25,194.097134
22.964795,26,199.936828
26.957983,40,208.854655
26.72912,40,217.882811
27.948905,40,226.867638
27.98133,40,235.821327
31.812108,40,244.748492
24.907251,33,252.11957
27.727195,40,261.048288
27.724642,40,270.052923
28.650091,40,279.081633
20.264415,26,284.871951
34.147603,40,293.802155
9.166546,12,296.521782
26.678964,40,305.505011
22.01942,27,311.620289
21.906429,29,318.141093
5.26271,7,319.726127
3.954911,5,320.863547
29.859702,36,328.948242
31.133045,40,338.020574
6.694462,8,339.819705
20.329693,23,345.0327
15.398355,20,349.506296
13.058479,15,352.908454
28.798258,40,361.886617
27.602217,40,370.878753
23.400779,26,376.705518
27.614514,33,384.116418
3.333333,4,385.022923
9.267191,11,387.498858
27.583392,40,396.502097
13.590407,17,400.316999
21.422548,24,405.706701
30.016255,40,414.664162
2.916702,4,415.565694
2.106275,3,416.246788
32.310691,40,425.260069
12.940809,16,428.836129
28.57565,40,437.833233
31.279492,40,446.804662
4.284596,5,447.912329
19.19859,24,453.335965
9.102826,11,455.805459
7.975038,11,458.265503
20.808148,27,464.341817
12.825176,15,467.708621
29.111431,40,484.653283
31.889058,40,493.582767
30.324149,40,502.603087
5.579557,7,504.167101
29.882707,40,513.152071
30.71216,40,522.116243
30.732232,40,531.060641
29.081006,40,540.065943
27.592604,40,548.998639
20.165945,28,555.306189
1.95547,3,555.98902
2.010724,3,556.665462
29.985658,40,565.631035
28.783949,40,574.599802
31.67698,40,583.598927
10.834558,13,586.524749
30.58203,40,595.529203
28.991487,40,604.480799
7.887674,9,606.489743
17.610056,22,611.420485
31.028774,40,620.414232
30.675772,40,629.352188
23.846035,29,635.920619
15.537041,18,639.960797
30.781168,40,648.930127
3.016223,4,649.83374
30.062086,40,658.83428
30.410148,40,667.790027
26.997964,40,676.76688
5.864867,8,678.587899
27.960949,35,686.390247
30.153756,40,695.365398
7.94792,9,697.365371
27.984052,40,706.332654
28.48264,40,715.301492
21.251475,24,720.687567
29.788827,40,729.608397
26.902246,40,738.556976
29.264167,40,747.488344
16.106534,20,751.958899
29.66151,40,760.917742
30.786582,40,769.899144
30.179752,40,778.790711
31.137799,40,787.770905
31.074481,40,796.722993
30.043351,40,805.656206
31.524583,40,814.61904
16.358965,21,819.316831
7.618248,10,821.580288
28.931996,40,830.500365
31.150146,40,839.486322
29.218704,36,847.587992
8.284177,10,849.818608
29.951397,40,858.757604
27.798245,40,867.711121
33.068792,40,876.656617
30.501379,40,885.655505
29.39392,40,894.597309
5.315683,7,896.171326
14.332396,18,900.198424
9.41166,11,902.662922
4.806615,6,904.020208
28.410858,40,912.933642
33.012932,40,921.864395
29.405743,40,930.804523
14.295579,17,934.619968
2.886052,5,935.749449
4.6694,6,937.105554
6.977778,8,946.880145
27.741258,40,955.839727
30.136125,40,964.857445
28.215781,40,973.915148
1.895603,3,974.585298
32.735318,40,983.498953
30.384955,40,992.480363
29.679166,40,1001.41684
30.00986,40,1010.36024
32.399102,40,1019.372649
1.073434,2,1019.831314
4.275508,5,1020.944108
29.233616,40,1029.904147
27.94309,40,1038.891496
29.688849,40,1047.810484
7.817243,10,1050.042303
28.09212,40,1059.06397
30.268634,40,1068.008162
30.955041,40,1076.914477
13.48445,16,1080.528558
28.46471,40,1089.397918
31.945938,40,1098.366788
13.284078,15,1101.742313
28.460338,40,1110.689499
29.295819,40,1119.648226
16.540356,18,1123.638476
28.790311,40,1132.550533
32.848542,40,1141.520991
27.598062,40,1150.547252
30.913761,40,1159.55833
29.954896,40,1168.461405
29.732407,40,1177.376367
27.183444,40,1186.312132
30.072338,40,1195.239328
29.475019,40,1204.167035
28.560963,40,1213.048286
27.919482,40,1221.984813
26.71404,40,1231.013269
28.609413,40,1239.926919
30.57219,40,1248.831655
27.714573,40,1257.842142
26.788384,40,1266.802692
15.596567,20,1271.27376
30.094002,40,1280.221389
29.59932,40,1289.162855
18.758682,23,1294.335614
29.116118,40,1303.316048
29.404312,40,1312.278033
29.086179,40,1321.262459
28.293264,40,1330.208116
31.160432,40,1339.149688
27.817137,40,1348.138353
26.666667,40,1357.088925
27.983829,40,1366.00369
31.177255,40,1374.941036
28.12576,40,1383.950247
30.456703,40,1392.918228
6.971037,8,1394.732463
31.146246,40,1403.741602
28.505694,40,1420.69091
27.025092,40,1429.624439
29.07271,40,1438.612936
32.538883,40,1447.610912
29.015429,40,1456.594416
27.704163,40,1465.559444
30.940372,40,1474.499955
