#{"t_start": 1770799082.1911664, "env_id": "highway-v0"}
r,l,t
4.222222,140,30.911772
3.444444,140,61.788085
10.6795,140,92.504498
38.933333,140,123.245438
2.066667,140,154.284381
15.048933,140,185.060838
0.733333,140,215.917972
12.346372,140,246.617462
3.577778,140,277.410592
9.044444,140,308.043755
1.4,140,338.677838
10.466667,140,369.388507
5.919446,140,400.094216
10.334561,140,430.835405
3.563489,140,469.474316
8.044444,140,500.193674
8.593783,140,530.879149
13.466667,140,561.564847
1.466667,140,592.464842
3.088889,140,623.418262
0.0,140,654.295186
6.466667,140,685.367192
3.444444,140,716.140019
6.405804,140,746.994536
2.844444,140,777.757689
18.978406,140,808.721225
12.108726,140,839.668871
0.841168,140,870.379824
30.084733,140,901.245022
4.563457,140,940.196444
15.417891,140,971.075099
25.503602,140,1002.039753
23.523081,140,1032.884619
12.555556,140,1063.90215
11.336142,140,1094.973404
14.30793,140,1125.951517
6.397494,140,1157.103628
6.602498,140,1188.219555
9.303757,140,1219.196835
12.02668,140,1249.945871
0.666667,140,1280.513876
4.818007,140,1311.201044
2.755556,140,1341.958299
2.711111,140,1380.908324
15.834846,140,1411.584062
4.227394,140,1442.448134
0.711111,140,1473.181302
9.177778,140,1504.026396
23.234964,140,1535.189025
15.933333,140,1566.175673
9.182664,140,1597.092655
6.345564,140,1628.046184
3.465919,140,1658.755633
3.511111,140,1689.52825
3.69645,140,1720.320473
5.046747,140,1751.143657
17.587929,140,1781.910984
2.589075,140,1812.725364
13.034826,140,1851.444503
8.560606,140,1882.126914
8.435973,140,1912.601869
27.335305,140,1943.334792
23.955556,140,1973.837515
8.355556,140,2004.41568
14.333333,140,2035.031632
15.110126,140,2065.671489
8.663838,140,2096.15929
17.638208,140,2126.69903
9.104681,140,2157.164002
7.555556,140,2187.718313
10.476958,140,2218.003143
15.933333,140,2248.359716
1.884887,140,2278.609792
23.888846,140,2317.318097
33.666667,140,2347.804213
23.121319,140,2378.160728
9.582356,140,2408.774404
21.155556,140,2439.396116
11.288848,140,2469.903588
17.444444,140,2500.417942
17.587202,140,2530.317743
3.511111,140,2560.341091
2.764584,140,2590.108782
17.608634,140,2619.931779
11.424566,140,2649.782779
30.177778,140,2680.007341
25.252615,140,2710.058877
13.421772,140,2748.235026
23.155556,140,2778.460944
4.222222,140,2808.554425
16.102122,140,2838.444167
4.133333,140,2868.503173
12.190066,140,2898.662622
19.719398,140,2928.796701
23.131134,140,2958.945019
21.141663,140,2989.125773
35.414006,140,3019.039385
12.044444,140,3049.025041
12.430423,140,3079.099117
14.488889,140,3108.992647
28.816463,140,3139.073175
9.459357,140,3169.266041
16.733333,140,3207.612051
26.664542,140,3237.970114
7.066932,140,3268.324208
33.884278,140,3298.558202
6.333333,140,3328.874592
23.977106,140,3359.048513
20.258713,140,3389.44192
28.839484,140,3419.826307
21.6,140,3450.050393
33.442406,140,3480.28407
33.904951,140,3510.705439
3.604145,140,3541.122424
20.473943,140,3571.39491
22.457207,140,3601.670075
39.847902,140,3631.91577
28.177778,140,3670.205245
35.147401,140,3700.134225
13.690667,140,3730.038585
24.733333,140,3759.882889
33.688889,140,3789.788517
36.577778,140,3819.738176
24.311111,140,3849.701471
17.333333,140,3879.723833
52.897022,140,3909.85892
22.822222,140,3939.915267
20.4,140,3969.947721
25.088889,140,3999.844428
53.518237,140,4029.887558
26.666667,140,4060.042622
29.61658,140,4098.445964
8.688889,140,4128.642285
5.640908,140,4158.732436
40.415378,140,4188.458878
61.803123,140,4218.365777
42.338471,140,4248.371408
49.444444,140,4278.379945
42.173074,140,4308.309269
16.822222,140,4338.254646
42.8,140,4368.132153
37.226289,140,4397.921288
63.350425,140,4427.725348
48.0,140,4457.549506
42.222222,140,4487.641173
18.979856,140,4517.67956
51.777778,140,4555.818755
50.888889,140,4586.150659
52.75686,140,4616.449343
44.422222,140,4646.626384
31.911111,140,4676.641651
35.1137,140,4706.620018
48.35584,140,4736.837303
60.449415,140,4766.835397
62.333333,140,4797.048198
39.266667,140,4826.914012
34.355556,140,4856.731838
38.444444,140,4886.870285
36.866667,140,4916.769817
30.724257,140,4947.127766
55.511585,140,4985.266522
13.133333,140,5015.816689
56.511111,140,5046.366799
65.044444,140,5076.975802
43.333623,140,5107.43134
67.8,140,5137.630856
49.333333,140,5167.911454
25.941036,140,5198.33322
56.630584,140,5228.618283
60.866667,140,5258.854247
57.755556,140,5289.058122
58.644444,140,5319.166255
75.488889,140,5349.308991
63.377778,140,5379.301588
48.488889,140,5409.428717
21.0,140,5447.679427
62.817457,140,5478.02844
21.822222,140,5508.370792
76.466667,140,5538.383579
29.977778,140,5568.557996
53.088889,140,5598.611995
67.355556,140,5628.55138
60.911111,140,5658.758018
57.177778,140,5688.77427
71.422222,140,5718.711083
34.466667,140,5748.636575
71.066667,140,5778.470094
55.066667,140,5808.464828
81.791083,140,5838.52922
59.466667,140,5868.776202
33.872631,140,5907.054827
61.933333,140,5937.226132
68.933333,140,5967.241715
69.977778,140,5997.089412
73.022222,140,6027.028701
57.36112,140,6056.960046
71.488889,140,6086.678154
67.791006,140,6116.386407
68.733333,140,6146.539394
66.488889,140,6176.482294
79.6,140,6206.251123
76.08337,140,6236.135974
81.377778,140,6266.28125
74.733333,140,6296.432271
65.955556,140,6334.927568
80.4,140,6365.373303
70.222222,140,6395.681659
71.444444,140,6425.917674
71.666667,140,6456.078006
69.722136,140,6486.037278
77.777778,140,6516.178868
78.050035,140,6546.525611
72.333333,140,6576.773417
80.577778,140,6607.041943
68.044444,140,6637.036053
75.088889,140,6667.417144
79.088889,140,6697.395079
18.044444,140,6727.355465
82.444444,140,6757.454168
83.888889,140,6795.684006
85.466667,140,6825.762129
80.355556,140,6855.783249
85.555556,140,6885.896168
83.933333,140,6915.704971
17.444444,140,6945.812098
69.022222,140,6975.802043
74.133333,140,7005.925182
85.155556,140,7035.986692
77.066667,140,7066.173727
75.311111,140,7096.209797
86.622222,140,7126.054508
89.755556,140,7155.846238
81.911111,140,7185.795179
83.711111,140,7215.985528
86.133333,140,7254.675786
83.700134,140,7285.088711
82.311111,140,7315.160206
85.222222,140,7345.098315
82.933333,140,7375.076708
90.377778,140,7404.828763
23.888889,140,7434.786308
73.688889,140,7464.763026
81.111111,140,7494.898787
84.444444,140,7525.0607
79.288889,140,7555.238689
90.288889,140,7585.267418
78.133333,140,7615.219469
77.911111,140,7645.247983
82.577778,140,7683.562051
85.377778,140,7713.903698
82.266667,140,7744.111284
90.666667,140,7774.229711
80.26653,140,7804.258013
90.066667,140,7834.524459
87.111111,140,7864.696711
89.266667,140,7894.784949
83.866667,140,7924.912346
91.466667,140,7955.17773
91.4,140,7985.165976
74.911111,140,8015.638186
80.577778,140,8046.043823
92.311111,140,8076.510763
86.6649,140,8106.97564
89.123088,140,8145.73896
91.822222,140,8176.306931
92.333333,140,8206.746475
45.044444,140,8237.241763
93.444444,140,8267.751598
91.955556,140,8298.063895
79.844444,140,8328.795564
92.911111,140,8359.283095
56.355556,140,8389.586802
87.933333,140,8419.985352
83.933333,140,8450.440603
87.377778,140,8480.696349
90.177778,140,8511.134195
89.555556,140,8541.517797
88.511111,140,8580.008384
89.666667,140,8610.355101
93.866667,140,8640.426357
93.755556,140,8670.771012
99.133333,140,8700.830105
92.488889,140,8730.816696
93.466667,140,8760.73846
94.716946,140,8790.6734
92.822222,140,8820.646918
88.888889,140,8850.670771
93.844444,140,8880.598798
96.733333,140,8910.537638
90.977778,140,8940.419518
95.666667,140,8970.353055
87.688889,140,9000.511337
11.777778,140,9039.048652
94.244444,140,9069.573582
97.955556,140,9099.910222
97.133333,140,9130.190115
99.088889,140,9160.404004
96.688889,140,9190.474425
95.688889,140,9220.406319
96.488889,140,9250.490036
98.022222,140,9280.509833
96.0,140,9310.602378
96.570963,140,9340.737875
96.688889,140,9370.814533
95.888889,140,9401.149678
94.822222,140,9431.508603
93.977778,140,9461.576688
