#{"t_start": 1771607086.7588549, "env_id": "highway-v0"}
r,l,t
9.95587,11,7.287819
35.592289,45,18.212076
1.044155,2,18.709877
2.451068,4,19.693782
74.276838,100,43.759335
60.385506,81,63.53352
70.448356,100,87.924598
9.913563,11,90.595229
2.983834,4,91.578554
8.506113,11,94.271691
38.772813,47,105.673128
11.689902,15,109.328443
19.490469,24,115.023615
5.535968,7,116.687941
4.192256,5,117.921167
5.714555,7,119.514723
17.034859,21,124.256193
46.416028,58,138.108106
71.825519,100,162.398059
7.547,9,164.583089
4.813282,6,166.023076
67.392209,100,190.179046
5.869773,7,191.893815
74.554487,100,216.206411
10.188093,12,219.128654
4.751552,6,220.583739
5.752498,7,222.284
7.66993,9,224.456146
5.905859,7,226.151302
69.167797,100,250.454307
14.002467,17,254.583869
39.980992,100,278.857953
27.924705,34,287.086481
9.705677,13,290.230165
4.705483,6,291.660698
7.658987,9,293.849059
41.042649,49,305.748348
41.571876,50,317.943432
8.193603,11,320.624419
30.039594,37,329.678584
7.00616,9,331.861709
77.630553,100,356.183131
31.074149,38,365.424358
34.107193,41,375.352456
24.111111,100,399.483838
4.331048,6,400.963537
4.399441,6,402.433819
11.045569,12,405.360639
12.300195,16,409.264343
13.776692,17,413.237115
6.232359,7,414.923204
9.627784,13,417.988479
17.761087,22,423.25528
5.281564,7,424.971294
12.255365,14,428.236757
1.142156,2,428.71016
77.669574,100,452.61753
31.740414,42,462.359886
66.107173,100,484.900074
8.662049,10,487.161334
23.834242,28,493.529543
70.654757,100,525.806507
9.685274,11,528.466308
70.517999,100,552.691634
73.874369,100,576.908558
8.464725,12,579.842817
20.908221,25,585.929735
12.859246,16,589.848433
14.09688,19,594.509351
78.719592,100,618.378123
73.457192,100,642.093583
3.659866,5,643.28118
78.051081,100,666.977181
76.848638,100,690.760444
75.246762,100,714.56627
1.771416,3,715.24017
1.207607,2,715.733582
9.816846,11,718.40259
30.896178,40,727.721767
12.009031,15,731.363344
69.252382,100,754.871282
6.477899,8,756.82162
1.809941,3,757.557513
24.045498,26,763.797921
79.967566,100,787.911899
1.868208,3,788.590172
74.425245,100,812.379116
7.207689,9,814.576474
80.761097,100,838.244699
8.453481,10,840.647405
72.567001,100,864.85348
11.741952,14,868.24652
76.710873,100,892.573914
17.034729,21,897.634851
71.972088,100,921.901558
78.849385,100,946.128114
19.314383,24,951.996586
72.237219,100,976.31298
75.164747,100,1009.011227
2.333862,4,1009.996728
3.825909,5,1011.231943
75.893511,100,1035.391338
78.186802,100,1059.688082
6.153626,8,1061.642035
79.417465,100,1085.870121
75.574913,100,1110.014727
77.604886,100,1133.801932
84.028215,100,1158.199369
75.395878,100,1182.486209
76.834596,100,1206.773637
77.216053,100,1231.106095
76.746988,100,1255.503751
8.253913,9,1257.68762
73.098728,100,1281.820157
80.1644,100,1305.820037
28.224927,33,1313.702739
73.742281,100,1337.915562
78.281522,100,1361.751406
75.851204,100,1385.93154
3.56675,5,1387.147162
78.634832,100,1411.542483
71.720643,100,1435.619294
76.845266,100,1459.889709
15.156598,18,1464.23659
75.504659,100,1488.625573
80.688788,100,1521.391637
75.57682,100,1545.631455
74.325293,100,1570.023092
74.653104,100,1594.164183
3.950257,5,1595.293237
80.227926,100,1619.288608
77.683225,100,1643.74067
77.551924,100,1667.929527
72.688693,100,1692.271716
80.727596,100,1716.650147
78.904191,100,1741.089113
81.044066,100,1765.585226
73.220344,100,1789.780101
73.581782,100,1814.206815
82.45389,100,1838.679451
75.6922,100,1863.06507
79.241395,100,1887.482554
75.144789,100,1911.777405
74.819429,100,1936.08524
47.969403,61,1950.975636
73.029585,100,1975.313943
3.607688,5,1976.521853
78.392463,100,2001.002403
73.464826,100,2033.989262
73.144501,100,2058.428542
73.361245,100,2082.066864
57.02988,78,2101.062733
73.353441,100,2125.41586
81.056229,100,2149.798005
78.224597,100,2174.117144
78.185999,100,2198.485881
78.871255,100,2222.962122
76.589669,100,2247.255786
81.595413,100,2271.55494
3.957922,5,2272.752446
3.853172,5,2273.995539
74.78039,100,2298.189218
76.225164,100,2322.322579
78.425853,100,2346.652452
75.401513,100,2370.962994
79.222599,100,2395.280432
78.323826,100,2419.654384
77.621883,100,2444.097701
74.731368,100,2468.517501
73.838939,100,2492.617816
78.428725,100,2525.479171
76.494976,100,2549.855005
76.858455,100,2573.323711
76.325773,100,2597.559994
77.693712,100,2621.941278
72.81045,100,2646.482214
72.793497,100,2670.919333
81.194305,100,2695.313354
80.705171,100,2719.703345
67.166551,81,2739.424775
75.842707,100,2763.889883
79.465405,100,2788.250592
72.679382,100,2812.578321
75.783141,100,2836.860631
76.7602,100,2861.026728
80.006483,100,2885.344282
75.660079,100,2909.672051
77.218873,100,2933.897504
73.514049,100,2958.295128
74.973116,100,2982.657544
79.539709,100,3007.182583
81.433886,100,3039.591549
77.670909,100,3063.662993
79.368279,100,3088.089613
79.472456,100,3112.43855
72.682166,100,3136.712411
73.651832,100,3161.063092
77.958308,100,3185.302221
75.720308,100,3209.722133
80.77181,100,3234.121918
75.722342,100,3258.548068
74.434424,100,3282.901379
74.797181,100,3307.254926
80.140341,100,3331.769022
79.477437,100,3356.105887
79.913621,100,3380.489745
77.472458,100,3404.985303
1.866667,3,3405.72123
75.4194,100,3430.05419
81.285289,100,3454.495764
80.614248,100,3478.916341
76.385885,100,3503.264759
77.984186,100,3527.022904
73.995762,100,3559.97713
81.864781,100,3584.419448
79.458394,100,3608.743434
75.851106,100,3633.046582
77.790498,100,3657.364624
78.115699,100,3681.779028
78.295636,100,3705.8999
74.61245,100,3730.345107
76.044457,100,3754.84783
75.159194,100,3779.278021
76.677108,100,3803.622539
79.793601,100,3827.883687
72.601696,100,3852.188484
77.974279,100,3876.570273
76.53932,100,3901.051792
73.540436,100,3925.346495
76.72212,100,3949.681424
74.103999,100,3974.177165
77.52272,100,3997.716497
83.248401,100,4021.956944
78.392485,100,4054.955306
77.978009,100,4079.219715
74.976148,100,4103.538796
77.066154,100,4127.830712
1.958019,3,4128.563225
80.988887,100,4152.844776
77.179477,100,4177.098132
76.776552,100,4201.320247
78.158812,100,4225.783401
81.562779,100,4250.202187
82.270098,100,4274.561809
77.421557,100,4298.766194
77.006915,100,4323.205061
76.855085,100,4347.687219
74.84242,100,4371.992641
75.078966,100,4396.496721
83.467834,100,4420.943513
77.76463,100,4445.388843
78.761168,100,4469.798416
79.786434,100,4493.415387
81.202836,100,4517.698324
83.656235,100,4550.849732
79.626894,100,4575.174551
72.897241,100,4599.57289
81.117266,100,4623.843158
77.716046,100,4648.166516
79.474944,100,4672.550504
83.15756,100,4696.896259
78.522161,100,4721.326856
72.144984,100,4745.66756
78.489914,100,4770.094906
73.998439,100,4794.429567
35.349654,45,4805.457751
78.212278,100,4829.729046
76.573907,100,4854.074537
75.700651,100,4878.497708
82.004331,100,4902.968894
79.121605,100,4927.417511
82.382477,100,4951.747757
76.901695,100,4975.460783
74.332143,100,4999.73101
78.152651,100,5024.277713
75.607112,100,5057.547689
77.703277,100,5081.641064
80.253104,100,5105.83942
78.919892,100,5130.088846
79.34429,100,5154.44822
84.639267,100,5178.762979
76.397827,100,5203.100772
83.286727,100,5227.45562
79.782232,100,5251.78251
79.882678,100,5276.040956
80.231706,100,5300.305009
84.333651,100,5324.612543
79.959146,100,5349.043608
76.683646,100,5373.433704
81.954078,100,5397.758688
82.80153,100,5422.09057
75.989755,100,5445.764465
81.785068,100,5470.236895
84.992304,100,5494.695293
77.962595,100,5519.149452
77.000366,100,5543.394578
69.654692,100,5576.340781
82.852612,100,5600.747949
81.511325,100,5625.027707
84.462435,100,5649.350631
79.915817,100,5673.610785
80.169761,100,5697.973838
79.678538,100,5722.49875
79.667914,100,5746.773588
81.488162,100,5771.183847
83.729442,100,5795.712442
79.840368,100,5820.203214
83.609717,100,5844.522301
77.361514,100,5868.958068
79.947966,100,5893.314191
77.211985,100,5917.439949
78.012357,100,5941.282255
78.010727,100,5965.586846
80.326981,100,5989.970294
80.092568,100,6014.377496
82.748069,100,6038.693384
82.482977,100,6071.708547
83.479613,100,6096.054896
76.203186,100,6120.602021
81.984898,100,6145.164677
78.441813,100,6169.60776
81.902751,100,6194.093376
81.319507,100,6218.52018
75.960408,95,6241.642126
83.467707,100,6265.993434
