#{"t_start": 1773400333.1957502, "env_id": "continuous-highway-v0"}
r,l,t
2.613942,16,0.394668
1.674588,15,0.734397
0.921962,13,1.036929
3.15631,22,1.547142
2.173069,14,1.846802
2.024349,17,2.218591
0.594168,13,2.528288
0.475486,14,2.843988
3.566643,18,3.263076
-0.196536,14,3.568857
2.20525,17,3.96814
2.849316,16,4.361162
0.463227,14,4.689241
1.137821,15,5.033027
1.768708,15,5.381257
0.618727,15,5.730351
-0.198823,12,6.007456
0.930984,15,6.353945
1.756197,16,6.723203
1.666393,16,7.093971
0.694773,13,7.392579
1.515526,15,7.724159
0.490501,13,8.027615
1.456142,14,8.349725
0.812192,15,8.697731
1.87549,14,9.020501
1.831598,17,9.412984
2.997024,18,9.817441
0.207614,13,10.094897
1.136657,14,10.381159
0.979777,14,10.6902
1.465599,14,10.985227
0.147251,13,11.262696
1.351785,14,11.56282
4.208721,22,12.021776
0.492067,13,12.313622
1.047983,15,12.644407
0.562992,13,12.925765
1.620823,15,13.253051
2.960183,17,13.621755
2.66016,17,13.996418
0.26981,13,14.298043
2.332666,18,14.718681
-0.275792,13,15.010773
1.837445,15,15.353346
0.784444,13,15.655246
2.284803,16,16.017554
1.710846,15,16.351019
2.504523,16,16.720373
0.660884,13,17.03121
-0.213305,12,17.299926
1.775184,15,17.626659
1.106655,14,17.941991
2.5243,18,18.343405
1.114506,14,18.666638
-0.020505,13,18.957045
-0.291753,12,19.230132
1.332283,15,19.543313
1.564071,15,19.876702
1.383331,15,20.198218
2.287263,18,20.622318
0.436346,13,20.922432
2.297963,17,21.307869
1.430402,14,21.633157
0.031397,13,21.916896
1.886712,17,22.307193
1.85922,14,22.631667
2.159427,16,22.988533
0.570461,14,23.316216
2.409739,18,23.722107
0.456743,12,23.99797
0.715156,15,24.342751
2.089493,15,24.687879
1.117804,13,25.000129
0.203245,13,25.296735
1.708227,15,25.646127
0.255671,14,25.98298
0.657005,14,26.31233
2.265879,16,26.682061
0.735722,13,26.969065
1.865138,14,27.272062
-0.405962,12,27.553303
1.499477,15,27.893146
2.45628,17,28.283503
1.277414,15,28.64176
1.030789,14,28.955014
0.341161,14,29.282836
1.524981,13,29.576411
1.373233,14,29.892581
1.139687,16,30.264209
2.710058,19,30.702437
1.477501,14,31.01569
1.749822,15,31.351656
2.935657,17,31.754099
1.464129,16,32.120067
2.090941,15,32.455667
2.18801,17,32.850188
1.331402,14,33.169661
3.162981,19,33.591415
1.706856,16,33.954152
2.212586,16,34.333079
0.602259,13,34.635514
2.103898,15,35.005873
1.874445,14,35.32878
1.650989,17,35.719323
2.023283,16,36.091763
0.689709,15,36.441827
0.606124,13,36.757436
-0.559098,12,37.032055
1.603637,15,37.380898
3.222286,20,37.853018
2.754385,17,38.248315
1.68356,15,38.606823
2.288023,16,38.976207
2.819018,18,39.392442
0.866916,14,39.721206
2.248443,16,40.094767
1.083941,14,40.416455
2.838828,17,40.797158
1.468264,16,41.181474
2.649814,18,41.590224
1.290835,14,41.931997
0.551382,13,42.228192
2.490474,16,42.602038
0.678671,13,42.900337
0.920108,14,43.223018
2.688279,15,43.561588
1.943126,15,43.894638
2.960902,18,44.307663
1.046739,15,44.648501
0.583083,12,44.939713
1.596559,15,45.297363
0.823974,15,45.648872
0.77393,14,45.978239
1.46024,15,46.321514
1.739266,15,46.671674
0.033069,14,55.642346
2.967019,21,56.114201
1.61451,14,56.414431
1.125511,15,56.740996
1.163558,14,57.03443
2.301656,15,57.359627
1.08208,15,57.684095
0.10902,13,57.962366
1.915441,16,58.30696
1.855191,15,58.639641
1.548138,15,58.952552
2.095765,16,59.311725
1.652143,17,59.669952
0.961678,15,59.997125
