#{"t_start": 1771637380.6392624, "env_id": "highway-v0"}
r,l,t
55.432391,68,15.270942
15.333333,16,18.830792
17.937802,22,23.764045
28.299624,140,54.746619
62.0,140,86.794386
10.309721,12,89.943479
55.826776,140,121.5894
17.546942,23,126.70003
23.843213,28,132.919623
65.467954,140,164.309288
100.477297,140,195.498563
8.227845,10,197.72931
2.875187,4,198.641173
9.253726,10,200.871833
18.344687,21,205.563503
6.320715,7,207.135599
28.867627,36,215.195229
3.893338,5,216.328302
22.31783,30,223.010065
32.493621,40,231.991147
5.931295,8,233.784835
108.486242,140,265.014869
22.042563,27,271.062643
5.868704,7,272.616554
79.235175,140,303.785613
13.259493,15,307.156289
4.500762,6,308.505874
33.422222,140,339.692321
23.422222,140,370.828549
2.124058,3,371.510177
16.480844,18,375.522441
59.790983,72,391.566627
30.67494,41,400.68266
3.763271,5,401.79383
13.737809,17,405.598181
10.353803,12,408.329566
10.105996,12,411.027254
18.008275,23,416.090081
7.248066,9,418.096069
104.328673,140,449.374238
84.182795,140,488.708433
1.734935,3,489.389181
99.04877,120,516.117349
95.251192,111,540.800031
4.722237,6,542.153968
8.597507,11,544.614417
3.657005,5,545.733283
17.584106,21,550.410011
78.043486,96,571.894717
10.916534,14,575.034773
36.352766,46,585.278112
3.02315,4,586.179336
44.790136,52,597.823321
1.690915,3,598.499739
109.261702,140,629.59169
5.245325,7,631.159921
113.052847,140,662.3529
104.639191,140,693.588329
2.582027,4,694.519388
108.822144,140,726.325428
107.6961,140,757.66818
25.186297,30,764.384
37.145077,46,774.626595
11.139412,12,777.311686
42.21516,54,789.454899
36.69341,140,820.720026
2.660822,4,821.623576
46.2,140,852.810626
11.350327,14,855.954393
116.318141,140,887.057724
80.20018,98,908.804799
83.313318,101,939.338038
108.53573,140,970.462827
110.862328,140,1001.489493
108.44411,140,1033.139211
16.112499,21,1037.847744
1.2,2,1038.307876
31.295928,40,1047.23192
9.312585,11,1049.690104
94.501427,126,1077.62375
106.415765,140,1108.754798
109.605892,140,1139.893171
7.899281,9,1141.881753
106.520288,140,1173.14146
107.736537,140,1204.353523
120.668812,140,1235.592545
3.036763,4,1236.49489
4.308887,6,1237.833003
95.066835,140,1268.854873
109.1523,140,1299.97128
112.473967,140,1331.060899
4.876513,6,1332.411979
112.737132,140,1363.553064
115.978913,140,1403.018676
2.630227,4,1403.920324
105.891874,140,1435.055888
101.873906,140,1466.096952
103.335636,140,1497.214172
118.319163,140,1528.504027
1.866667,3,1529.183089
105.039685,140,1560.364448
112.85986,140,1591.512539
113.969541,140,1623.073643
110.867112,140,1654.144552
107.871383,140,1685.280822
96.099723,140,1716.501488
5.552873,8,1718.297249
113.465353,140,1749.566307
108.675416,140,1780.599068
11.078146,14,1783.725243
110.44322,140,1814.95675
105.209824,140,1846.188713
103.385622,140,1885.398162
107.420485,140,1916.623963
101.958058,140,1947.924885
107.915967,140,1979.215389
103.502435,140,2010.318801
108.689122,140,2041.584269
99.816259,140,2072.69267
101.995378,140,2103.987239
3.504391,5,2105.11495
104.981687,140,2136.434261
114.688405,140,2167.736135
104.060901,140,2199.112217
100.913732,140,2230.314553
108.716656,140,2261.511819
111.724857,140,2292.862263
107.341749,140,2332.343821
109.496569,140,2363.457579
108.309177,140,2394.799278
111.602698,140,2425.927745
118.614356,140,2457.214801
106.058767,140,2488.364609
107.253874,140,2519.561681
109.582847,140,2550.784864
107.623019,140,2582.072381
106.376819,140,2613.031776
2.717893,4,2613.939987
113.496169,140,2645.098305
109.915414,140,2675.943961
108.442562,140,2706.945048
110.916629,140,2738.142734
103.605241,140,2769.145846
111.424945,140,2808.596203
114.132081,140,2839.580034
46.012794,55,2851.860281
112.614611,140,2882.807026
114.150151,140,2913.729256
112.286116,140,2944.47523
113.774999,140,2975.406078
115.592288,140,3006.614721
112.680299,140,3037.706374
114.803816,140,3068.793986
110.449826,140,3099.719284
112.924007,140,3130.807011
109.050404,140,3161.489588
109.697989,140,3192.524926
115.19477,140,3223.383439
108.069418,140,3262.44262
102.720731,140,3293.329219
104.542758,140,3324.290174
115.986373,140,3355.085185
118.442051,140,3385.730677
3.066667,4,3386.622003
104.441193,140,3417.55964
105.360156,140,3448.544668
111.090157,140,3479.485806
116.542466,140,3510.308327
108.483543,140,3540.999759
114.303424,140,3571.803085
99.484789,140,3602.617982
110.729314,140,3633.390881
118.863778,140,3664.146753
114.660567,140,3694.85769
110.066589,140,3733.635717
115.319924,140,3764.265068
109.795168,140,3794.879018
118.065596,140,3825.561393
115.446099,140,3856.188125
108.060036,140,3886.747226
115.50324,140,3917.431554
107.428285,140,3948.133429
113.29953,140,3978.994778
49.034673,60,3992.215311
109.235581,140,4022.717088
117.123944,140,4053.305655
111.447831,140,4083.810311
114.618394,140,4114.440603
18.329726,23,4119.480894
109.207031,140,4150.251834
116.384467,140,4189.126536
113.65209,140,4219.784807
101.540982,140,4250.362126
22.631404,27,4256.290812
113.179596,140,4286.689933
105.964151,140,4317.336374
112.77606,140,4347.880355
119.416467,140,4378.379308
115.99545,140,4408.904458
110.167061,140,4439.357244
108.321067,140,4469.872674
116.231707,140,4500.488511
110.12417,140,4531.050338
