#{"t_start": 1773459700.984856, "env_id": "continuous-highway-v0"}
r,l,t
1.520602,15,4.81675
1.880492,17,5.244361
0.448975,13,5.537702
1.322063,14,5.821767
0.792845,13,6.109421
2.970115,20,6.532678
0.63704,13,6.826967
0.522587,14,7.136514
1.818827,16,7.484454
0.779755,14,7.778789
1.612385,18,8.157774
1.274568,15,8.504159
0.217958,13,8.7845
1.380438,15,9.110988
2.26085,16,9.460497
1.421589,15,9.774223
2.612867,17,10.133753
0.860439,13,10.411899
1.454609,16,10.772849
0.899169,14,11.072147
3.148014,16,11.405525
1.494861,15,11.713711
1.078764,15,12.028842
2.118083,16,12.370449
3.431342,17,12.734931
1.079036,14,13.03015
1.456611,15,13.350112
1.45398,15,13.672268
1.16146,15,13.99549
0.107839,12,14.23469
1.434669,14,14.530724
2.523295,17,14.891996
0.692987,14,15.189227
2.717833,17,15.550756
0.551356,13,15.837724
0.510725,12,16.10383
0.710025,14,16.402126
1.291948,16,16.75457
1.222414,14,17.050001
2.095541,16,17.395838
2.147551,16,17.734908
2.221725,16,18.060133
0.517124,14,18.362903
1.01413,14,18.64967
3.259244,18,19.029117
2.041736,17,19.389755
1.278323,16,19.72645
3.217604,18,20.100548
1.850655,16,20.443261
0.135092,13,20.72584
1.695314,15,21.026706
1.688497,14,21.310723
0.630953,14,21.600138
-0.452035,12,21.838129
-0.184671,12,22.09007
2.198228,16,22.418107
2.510662,15,22.723754
1.58269,16,23.046048
0.911821,13,23.330924
1.955013,15,23.642771
1.612007,15,23.953623
1.211794,14,24.248981
0.940028,13,24.504343
3.462132,17,24.867095
3.106569,17,25.223311
2.173378,16,25.547759
0.205441,12,25.800255
2.616961,18,26.173707
0.991523,15,26.488354
1.356922,14,26.777733
0.042879,13,27.054516
0.784727,14,27.342486
1.680137,15,27.656089
2.842573,17,28.020769
0.42294,13,28.297948
1.972102,15,28.612384
1.251519,15,28.931548
1.515891,14,29.228348
1.787968,18,29.608092
1.98256,16,29.920047
1.380336,14,30.213483
0.216004,13,30.48027
3.148972,17,30.826937
1.610156,15,31.149281
0.623167,13,31.425262
2.120974,18,31.798091
0.65759,14,32.090809
1.146375,14,32.37887
-0.148402,12,32.630852
0.098635,14,32.922035
2.575872,17,33.274841
-0.247335,12,33.528914
1.935962,15,33.853701
1.201148,14,34.157373
3.189041,16,34.489471
0.58996,13,34.756749
1.338132,16,35.094129
1.423833,14,35.401491
0.417148,14,35.689194
1.090203,14,35.976465
1.320582,13,36.252845
0.364584,14,36.556334
2.759611,16,36.902302
0.034072,13,37.179228
0.125283,12,37.430406
-0.542556,13,37.685897
1.930443,14,37.98162
