#{"t_start": 1771619022.6873882, "env_id": "highway-v0"}
r,l,t
3.067874,4,0.947393
13.005661,15,4.263469
3.984969,5,5.371028
13.964315,16,8.936286
71.191081,100,31.230551
16.481898,21,35.908793
6.543399,8,37.683844
8.884067,11,40.143762
8.517875,12,42.88265
2.924151,4,43.775931
28.877401,100,66.182967
4.186989,6,67.523202
4.555884,6,68.89062
15.899049,17,72.670696
64.92372,100,95.260569
12.56492,17,99.06109
6.723019,8,100.837645
68.764552,100,123.293358
6.433238,8,125.081513
73.917626,100,147.417128
16.460827,20,151.848741
69.190606,100,174.17889
47.070317,55,186.521182
69.132333,100,208.844689
77.103487,100,231.067931
7.531253,9,233.094471
16.943183,20,237.5171
6.746296,10,239.755858
51.191556,100,262.100214
30.482649,38,270.611097
5.888804,7,272.181198
71.130485,100,294.634976
16.427687,19,298.89092
20.466792,24,304.25249
11.115418,14,307.409947
46.35735,55,319.794351
13.021768,15,323.172936
43.642333,60,336.835408
6.529244,9,338.865317
4.717711,6,340.228795
73.06454,100,362.83127
68.435821,100,385.28
69.744542,100,407.715118
28.208275,35,415.594657
5.554494,7,417.18208
12.114488,16,420.774601
73.529469,100,443.053821
3.241942,4,443.963736
17.094657,24,449.352688
78.647373,100,479.830216
41.30497,52,491.475834
5.999207,8,493.272031
77.443094,100,515.713496
68.888889,100,538.005211
80.607394,100,560.328937
10.312499,12,563.012948
27.027953,31,570.00276
45.680265,100,592.363187
73.986389,100,614.763731
11.574769,15,618.109142
5.547466,7,619.668566
69.637287,100,642.11373
76.499708,100,664.724047
73.412321,100,687.112494
75.73912,100,709.49806
74.312952,100,731.990978
79.923466,100,754.323174
78.842075,100,776.714298
85.354944,100,798.939132
79.765218,100,821.284912
84.819737,100,843.563291
74.58449,100,865.947807
75.224793,100,888.102595
69.291101,100,910.461175
72.969824,100,940.754143
84.319238,100,963.212919
77.076,100,985.567602
77.70753,100,1007.992369
76.105325,100,1030.388111
2.066667,3,1031.069839
70.873402,100,1053.5111
72.942512,100,1075.921682
73.776295,100,1098.253839
83.570294,100,1120.696718
77.09784,100,1143.011452
73.242865,100,1165.29682
71.317246,100,1187.593254
81.44265,100,1209.98118
6.623744,8,1211.7765
1.90555,3,1212.454981
72.420665,100,1234.675417
76.842431,100,1256.986451
75.007889,100,1279.285406
80.215149,100,1301.501537
73.541548,100,1323.777684
78.085397,100,1345.888202
72.081298,100,1368.275548
77.079222,100,1390.604636
74.683289,100,1421.029125
82.082839,100,1443.379116
75.749055,100,1465.683502
81.56729,100,1488.088745
82.451927,100,1510.453987
81.137778,100,1532.95972
80.028031,100,1555.304785
79.147828,100,1577.665179
78.315745,100,1600.083853
80.227404,100,1622.345681
77.573966,100,1644.607988
73.714345,100,1666.996368
3.655825,5,1668.129486
77.099551,100,1690.465555
83.537399,100,1712.719724
76.745381,100,1734.99184
4.426119,6,1736.334603
79.942991,100,1758.733768
77.698367,100,1781.109927
79.22564,100,1803.441432
74.916369,100,1825.986894
79.377018,100,1848.268315
72.517036,100,1878.934762
77.266088,100,1901.231486
78.386591,100,1923.581566
