#{"t_start": 1773364882.5009713, "env_id": "continuous-highway-v0"}
r,l,t
1.881796,14,0.326823
0.374463,12,0.582981
1.544976,14,0.904982
2.299134,15,1.21274
2.781295,16,1.546788
0.369274,13,1.837019
0.165552,13,2.12568
0.858591,14,2.429271
0.953097,16,2.78153
1.40205,15,3.108898
1.614138,15,3.428957
0.633875,13,3.711219
0.653511,14,4.034542
3.038475,18,4.408152
1.321476,15,4.7344
2.050955,16,5.082104
0.15111,13,5.350459
1.032173,15,5.685917
2.688534,16,6.045618
1.258647,15,6.361948
0.867402,14,6.659104
0.849697,14,6.969604
3.660433,19,7.340192
-0.024578,13,7.640787
1.395301,15,7.975601
1.198126,14,8.269871
0.438481,13,8.539708
1.882613,17,8.935257
-0.103805,13,9.204292
0.335525,13,9.474718
1.89464,15,9.806815
3.625272,17,10.176538
2.148447,17,10.532383
0.711206,13,10.83357
2.766575,17,11.194242
0.689781,14,11.476221
0.370419,14,11.808415
0.804818,13,12.083084
0.105517,14,12.384175
-0.009356,13,12.689866
1.265159,16,13.030534
1.480676,14,13.33489
2.305351,16,13.693629
1.243139,15,14.015714
2.894731,17,14.372032
1.32641,15,14.722145
0.58204,14,15.02011
1.793201,18,15.407051
2.25229,16,15.763724
1.796165,15,16.092835
0.196114,13,16.383327
0.701711,13,16.681019
0.574026,15,16.98377
2.891719,18,17.353768
0.930425,14,17.676359
2.001026,17,18.038656
-0.292396,13,18.30537
-0.1666,13,18.621115
0.965145,15,18.928746
-0.407646,12,19.193526
1.076058,14,19.516325
3.152059,20,19.935236
1.785069,16,20.27064
-0.132011,12,20.561472
0.589881,13,20.833244
1.92553,15,21.135898
2.180877,17,21.514413
0.971517,15,21.833237
0.341225,13,22.10214
1.118738,14,22.427806
0.686966,15,22.734543
2.1025,17,23.093702
1.852228,15,23.434028
1.621626,16,23.761591
2.33728,16,24.110603
1.81869,17,24.49588
0.19558,12,24.743979
1.610335,15,25.060546
0.196352,13,25.37691
0.824257,14,25.660743
2.682681,17,25.992366
1.913725,15,26.343405
2.017291,16,26.678731
2.66079,17,27.028299
1.300847,14,27.353879
2.40117,17,27.709264
0.851088,14,27.99954
0.881605,13,28.30304
1.063986,14,28.59536
0.860715,14,28.876812
1.829991,16,29.233286
1.153157,15,29.54029
0.909451,14,29.833133
1.516147,16,30.197564
0.067475,12,30.452847
0.958523,14,30.744528
1.953773,17,31.112611
0.578945,14,31.419357
2.178916,17,31.78323
1.043482,15,32.113899
1.021291,15,32.441804
1.823591,16,32.775613
1.548215,14,33.089894
0.255905,14,33.405114
1.535476,14,33.705076
3.080901,18,34.085934
0.699183,14,34.387445
2.559082,17,34.742712
0.37103,12,35.017385
-0.556314,12,35.300219
1.207555,14,35.599126
2.234329,17,35.958403
0.907624,13,36.259675
0.739215,14,36.55017
0.737002,15,36.861597
4.219715,20,37.31165
0.743336,14,37.611835
0.758273,14,37.922885
1.462964,15,38.262629
-0.318209,12,38.49633
0.442498,13,38.775584
1.051377,13,39.081884
1.457377,15,39.399447
1.077227,15,39.729576
0.649827,13,40.043429
0.916074,14,40.334973
1.327506,15,40.645711
1.345861,14,40.968484
1.672981,15,41.271777
1.763004,15,41.570215
1.996632,16,41.928375
0.371844,14,42.215095
2.844608,18,42.579903
1.448699,15,42.919517
0.934937,14,43.211839
1.664062,17,43.566264
1.120203,14,43.889993
1.65129,15,44.207396
-0.505293,12,53.118991
1.434381,15,53.430562
-0.171765,12,53.684855
0.963808,15,53.988358
1.665198,14,54.266762
1.664312,16,54.596094
1.821031,15,54.921372
0.506205,14,55.200273
0.881701,14,55.482427
1.595819,15,55.807587
1.605603,16,56.12933
1.860149,18,56.507804
4.17712,19,56.918173
1.304614,16,57.239217
0.9498,14,57.517627
1.104331,15,57.849208
0.816502,15,58.159492
1.439581,15,58.457298
2.886565,19,58.86542
1.559381,17,59.211444
2.771584,16,59.535877
2.884802,20,59.97375
3.020235,17,60.319507
1.3656,15,60.630442
1.188337,15,60.953645
0.548029,13,61.223847
1.752177,16,61.552842
2.546209,17,61.923789
0.535244,13,62.181713
1.789223,16,62.512023
0.909078,15,62.830625
0.845859,14,63.102859
2.992309,19,63.483154
1.339302,16,63.829097
0.949188,14,64.102126
-0.459104,12,64.362954
1.84345,14,64.656492
1.712585,19,65.060611
-0.270328,13,65.335461
1.553928,16,65.680112
0.962026,14,65.980884
1.191386,14,66.268889
2.85097,18,66.645443
0.340261,13,66.915524
1.249263,16,67.257361
1.128317,15,67.576277
1.538891,15,67.901254
0.93373,15,68.200746
1.866218,18,68.594233
0.792963,14,68.893765
0.778514,14,69.168484
0.543204,13,69.431094
2.588262,17,69.814493
0.956865,14,70.109907
1.749647,17,70.457803
0.236132,13,70.752071
