#{"t_start": 1772176575.7128384, "env_id": "highway-v0"}
r,l,t
7.675184,10,5.05368
88.723696,120,64.705103
2.555005,4,66.703242
1.397324,3,68.194541
7.188076,10,73.170485
2.989705,4,75.167564
81.394497,120,134.936454
0.903749,2,135.928411
25.22684,34,152.913826
1.849105,3,154.412936
2.936999,5,156.902485
4.69805,6,159.885406
1.734495,3,161.381054
4.47394,6,164.366482
2.784708,5,166.866758
10.733753,15,174.298438
2.032206,3,175.786451
3.49746,6,178.785724
15.312585,22,189.737897
2.358344,4,191.730425
1.867039,3,193.232287
5.960791,8,197.210124
0.148069,1,197.700856
3.341397,6,200.710144
1.501803,3,202.233556
14.163186,19,211.808319
2.125784,3,213.296566
24.355482,31,228.656633
3.960209,5,231.139799
4.856685,6,234.10913
63.229135,120,293.814293
2.905791,4,295.846166
1.744761,3,297.342332
0.17908,1,297.847885
5.552272,7,301.360025
43.445126,120,361.2871
1.167949,2,362.291378
1.812667,3,363.804499
1.798251,3,365.306208
0.8,2,366.297982
2.150083,3,367.809619
7.104857,11,373.337566
2.981233,5,375.84982
2.20986,3,377.343489
8.231885,12,383.382286
7.894854,9,387.859771
3.306919,5,390.349587
0.122905,1,390.85332
29.622914,39,410.263997
4.293935,6,413.272347
10.877472,16,421.263854
1.801365,3,422.757288
0.977778,2,423.766363
0.924059,2,424.75556
0.958096,2,425.742855
0.977302,2,426.748751
16.599171,22,437.727054
7.90315,10,442.76441
4.249379,5,445.281272
11.570194,16,453.329602
5.635306,7,456.847039
7.847901,10,461.871096
2.009845,3,463.377634
0.227259,1,463.871101
2.361159,4,465.873302
0.873671,2,466.856561
3.452946,5,469.359246
12.554235,16,477.38186
1.066667,2,478.389401
4.131482,6,481.420253
7.178402,9,485.937618
0.711111,2,486.933084
6.250905,9,491.458874
1.705564,3,492.952413
3.921645,5,495.469026
2.739516,4,497.469572
5.755556,7,500.947449
8.620101,13,507.403345
1.022222,2,508.388737
37.484306,53,534.701256
2.657137,4,536.67456
4.929025,7,540.134055
0.755556,2,541.123044
5.884734,8,545.11266
0.711111,2,546.0984
24.298962,33,562.468204
5.597746,7,565.961533
1.914566,3,567.45165
3.60147,6,570.432657
4.27305,6,573.439918
6.413447,9,577.941258
6.022721,8,581.933271
90.504685,120,641.845654
3.748354,5,644.343241
0.109513,1,644.845506
7.041691,9,649.333588
3.595677,5,651.832747
0.75638,2,652.818224
4.671203,7,656.30537
1.048574,2,657.289904
0.068976,1,657.78272
7.203673,10,662.799152
8.216771,12,668.807818
3.303927,5,671.307033
24.692624,34,688.408293
12.45746,17,696.850585
0.103344,1,697.352538
4.515721,6,700.3377
2.64883,4,702.328287
5.350411,7,705.823137
4.251389,6,708.82615
2.183734,3,710.324852
1.421508,3,711.808424
4.555896,6,714.811573
19.276622,25,727.222141
0.089703,1,727.72919
3.773824,6,730.779698
4.562146,7,734.294564
3.580172,6,737.272684
0.170291,1,737.77424
0.100054,1,738.284329
0.288889,1,738.777359
4.914758,7,742.272409
