#{"t_start": 1773417439.260503, "env_id": "continuous-highway-v0"}
r,l,t
0.157246,14,0.450067
-1.660682,10,0.737124
-1.053121,11,1.04842
0.314458,14,1.470185
-0.991471,12,1.833764
-1.204583,12,2.180611
0.071584,15,2.620368
-0.491414,13,3.023341
-1.084092,11,3.4475
-0.620131,11,3.798342
-1.75294,10,4.089402
-1.945957,10,4.3787
-0.967163,11,4.701832
-0.638663,14,5.116712
-0.8643,12,5.482864
-2.045607,11,5.822268
-1.047369,12,6.179119
-0.460422,12,6.534937
-0.643846,11,6.850407
-1.370892,11,7.182535
0.331934,13,7.565023
-0.848749,12,7.920758
-0.741407,13,8.31017
-1.14907,12,8.667889
-1.536568,11,8.990296
0.430309,14,9.408285
-0.367,13,9.773125
-0.428684,12,10.131504
-0.770094,12,10.484499
-1.610204,10,10.777987
-0.432249,12,11.150316
0.164936,13,11.520027
0.834469,15,11.972083
-0.250092,13,12.456838
-0.755252,12,12.844459
-0.703075,12,13.2283
-0.308892,13,13.690988
0.437303,16,14.175181
0.311955,14,14.585652
0.130775,14,14.992625
0.803568,14,15.420283
-0.822891,12,15.778851
-1.08021,13,16.18158
-0.449008,14,16.602664
-1.325335,12,16.966873
-2.090316,10,17.262879
-1.14844,12,17.613959
-2.559816,9,17.880902
-1.152015,11,18.204642
-0.279242,13,18.590474
0.015614,13,18.980501
-1.883074,10,19.278759
-1.444672,12,19.633152
-0.870757,13,20.015132
-1.388024,12,20.364148
-0.039349,13,20.755788
0.767749,13,21.14359
-0.713397,12,21.592736
-0.791755,13,22.013454
-0.822695,12,22.36481
-0.118736,13,22.755704
-0.279631,14,23.175721
-1.425343,11,23.597187
-0.725572,12,23.974988
-1.180186,12,24.325942
-1.894027,11,24.628478
-1.085554,11,24.951106
-1.187939,11,25.274201
-0.423704,12,25.624478
-2.326586,11,25.961738
-1.678679,11,26.296585
-0.460947,13,26.688506
-0.532868,12,27.037585
-1.347002,11,27.362344
-1.655444,10,27.65851
0.81789,15,28.083537
-0.469818,13,28.458265
-1.359612,13,28.826583
-1.125897,12,29.172052
-0.257758,13,29.54902
-1.55882,11,29.867057
-0.995559,13,30.234311
-0.343849,13,30.722364
-1.405896,11,31.075448
-1.037434,13,31.476734
-0.089888,14,31.891364
-0.198405,12,32.235979
-0.464807,13,32.625532
0.212349,12,32.971123
-0.968884,12,33.326257
-0.219133,12,33.759611
-0.303943,12,34.138345
0.114902,15,34.607582
-1.180504,11,34.926535
-0.991973,12,35.270638
-1.5044,10,35.548783
-0.726636,12,35.894877
-1.336823,11,36.210187
-0.991232,12,36.563364
-0.975196,12,36.910012
-0.9018,11,37.222265
-0.93368,12,37.573772
-0.491366,12,37.922428
-1.141212,12,38.278108
-0.352322,13,38.650096
-0.304064,13,39.03819
-0.226129,13,39.426053
-1.114107,11,39.871705
-0.061679,13,40.281062
-0.32136,13,40.672108
0.018912,13,41.061126
-1.659514,10,41.332976
-1.567774,11,41.648781
-0.051477,15,42.070119
-0.751185,13,42.414367
-1.678301,11,42.709624
-1.026503,12,43.028868
-1.912237,11,43.353231
-1.366982,12,43.792203
-1.437446,11,44.118685
-1.7914,10,44.382502
-0.507753,13,44.714728
-0.271758,13,45.046753
0.063373,15,45.432067
-1.391753,11,45.725574
-1.1344,12,46.049713
-1.268565,11,46.344277
-0.491372,12,46.672016
-0.669414,13,47.01912
-1.641507,12,47.34004
-0.791388,14,47.706928
0.374494,14,48.062777
-1.838175,11,48.393915
-1.157834,12,48.798004
-0.049973,13,49.16633
-0.628027,13,49.514908
-1.050498,11,49.806104
-1.140778,12,50.131287
-0.194491,13,50.486924
-0.198071,13,50.859987
-0.13536,14,51.258038
-0.592103,13,51.633027
-1.26663,12,51.974876
-1.957652,10,52.258013
-1.433455,11,52.573624
-1.109696,12,52.923819
-1.657022,11,53.321968
-1.821806,11,53.650896
-1.148396,12,53.997019
-2.196125,10,54.276518
-0.454174,12,54.63202
-1.657348,10,54.914771
0.088639,13,55.295695
-0.255112,13,55.669003
-0.556323,11,55.985342
-2.16187,10,56.25474
-2.244405,10,56.522462
-1.827251,10,56.80019
-1.466998,11,57.114823
-0.945154,12,57.450585
-0.414486,13,57.938251
0.281961,13,58.353898
-0.093488,12,58.683617
-1.732468,11,58.992308
-2.440274,10,59.289602
-0.425923,12,59.62393
0.63855,14,60.020835
-1.17465,11,60.329151
-1.971696,11,60.640873
-0.428566,12,69.903421
-1.3637,12,70.25467
-0.805922,12,70.597541
-1.521826,11,70.926753
-0.457669,13,71.303519
0.081113,13,71.686095
-0.237105,14,72.106812
0.974196,15,72.532131
-1.042826,11,72.832036
-1.357071,11,73.20648
-0.55606,13,73.638938
-1.27437,11,73.963282
0.648011,14,74.373309
-2.554242,10,74.643916
-0.56658,12,74.986815
0.201711,14,75.402255
-1.284752,12,75.82077
0.052888,14,76.232646
-0.835803,12,76.595452
-1.993427,10,76.888924
0.121905,14,77.295758
-1.309908,11,77.607036
-1.548653,11,77.907438
-0.792085,13,78.274672
-1.250058,11,78.592086
-1.155917,11,78.893764
-0.819461,11,79.207386
-1.863672,11,79.524978
-1.786178,10,79.818268
-0.143232,13,80.192094
-1.718736,11,80.508847
-1.885155,11,80.819189
-0.765284,12,81.161389
-2.380045,10,81.455495
-0.760759,12,81.807436
-0.536058,13,82.173911
-0.417911,14,82.580694
-0.510884,13,82.980522
0.059355,13,83.406461
-1.341743,11,83.704063
-0.979178,11,84.013386
-0.44983,14,84.402291
-1.444458,11,84.716866
-0.223033,13,85.187869
-1.484573,11,85.530997
-1.330389,13,85.889723
-1.136298,11,86.204324
-0.757636,12,86.54504
-0.888378,12,86.892878
-1.984291,10,87.168068
0.149281,13,87.531741
-0.200545,13,87.91057
-1.652593,11,88.227471
-1.430732,11,88.535621
0.350832,14,88.925107
0.424726,13,89.291403
-1.331654,12,89.640901
-0.330421,13,90.012707
-2.055199,10,90.297011
-1.995671,10,90.595746
-0.801388,12,90.937489
-0.894978,13,91.311395
-0.555568,13,91.679991
0.047641,13,92.025725
-1.103792,11,92.320711
-0.948923,13,92.689252
-1.642348,12,93.105197
0.657111,13,93.475139
0.456702,13,93.852034
-0.735981,11,94.247338
-0.58629,12,94.602297
-1.717017,10,94.900909
-1.823164,11,95.201751
-0.108565,13,95.57111
-1.484048,11,95.889243
-0.267163,13,96.255475
0.064526,13,96.632405
0.359306,13,97.010046
-0.305322,12,97.347019
-0.742391,13,97.723651
-1.902627,10,98.027292
-2.085645,10,98.324954
-0.10308,13,98.729214
-1.026318,12,99.09676
-2.354956,11,99.40883
-0.341533,12,99.74259
-0.21892,13,100.118044
-1.458137,11,100.425331
-0.195233,12,100.751145
-0.74388,12,101.083794
0.188362,14,101.485242
-0.792246,13,101.837216
-1.185379,12,102.171562
-0.225115,13,102.553996
-0.764845,13,102.970619
-0.720347,13,103.425539
-1.027379,12,103.791858
-1.166394,13,104.168841
-0.374099,13,104.543771
-0.419888,12,104.893358
-2.368065,11,105.211736
-1.061827,11,105.53665
-1.680258,11,105.833542
-0.98458,12,106.151562
0.381088,14,106.527306
-0.956866,12,106.85854
-0.111735,13,107.2054
-1.004148,12,107.543116
-1.315258,12,107.854837
1.306282,15,108.256844
-1.346971,11,108.561802
-1.877702,11,108.858466
-1.277098,11,109.149597
-1.622335,11,109.445444
-2.143306,11,109.741768
0.285722,14,110.133611
-0.233913,13,110.481711
-1.607319,11,110.753078
-0.674349,12,111.069998
-0.89537,12,111.396512
-1.982273,10,111.677159
0.724769,13,112.115171
-1.059724,12,112.525595
-0.570449,12,112.876119
-0.365363,12,113.200009
-1.644953,11,113.486939
-1.289995,11,113.774177
-0.311748,12,114.091464
-1.766172,11,114.371252
-1.694175,11,114.667426
-0.255957,14,115.028985
0.475511,15,115.43599
-1.793852,12,115.763196
-1.840723,12,116.111206
-1.559551,11,116.41859
-0.612591,12,116.766491
-0.459331,13,117.145041
-0.38367,13,117.517554
-1.501185,11,117.823935
-0.998389,12,118.179575
-0.827307,12,118.520183
-0.29461,14,118.926872
-2.169336,10,119.219651
-1.198367,11,119.534449
0.515451,17,120.005307
-0.638321,12,120.352781
-0.737403,12,120.689723
0.257207,15,121.197241
-1.138761,11,121.536729
-1.332554,12,121.892085
-0.665436,13,122.334789
-1.373273,11,122.670379
-0.24355,13,123.05655
