#{"t_start": 1772136901.49447, "env_id": "highway-v0"}
r,l,t
101.34164,160,79.818304
4.573086,7,83.301135
2.676506,4,85.301532
5.917596,8,89.259304
4.523235,7,92.722553
6.079634,8,96.713946
3.54338,5,99.210171
17.596488,21,109.722251
2.049124,3,111.209208
1.735732,3,112.710012
2.805484,4,114.694056
1.226042,2,115.680802
8.291179,12,121.630132
3.88601,6,124.592696
2.635688,4,126.568779
1.755155,3,128.068087
1.866667,3,129.563241
4.069918,5,132.05457
5.01704,7,135.557099
61.929009,87,178.968466
4.638095,7,182.449581
3.499712,5,184.976748
5.298706,7,188.493663
2.665279,4,190.508751
0.8349,2,191.516096
0.798142,2,192.502497
88.829063,120,252.295614
0.937441,2,253.282684
21.721253,31,268.72349
0.77864,2,269.715369
2.030424,3,271.200844
3.835657,5,273.69754
3.464546,5,276.183758
7.317523,10,281.156966
1.136041,2,282.142022
1.470602,3,283.65703
26.666667,160,363.280499
3.275911,5,365.765306
65.64789,160,445.452807
3.95875,5,447.919959
1.866667,3,449.402133
0.091198,1,449.898466
0.138272,1,450.393425
0.022222,1,450.90018
1.695522,3,452.388292
2.088889,4,454.381591
2.952417,4,456.375781
8.443063,11,461.83533
109.747454,160,541.429088
6.971866,8,545.39812
0.84918,2,546.403371
103.042106,160,626.249702
4.712104,6,629.248422
3.224733,4,631.242989
0.227259,1,631.742642
1.933333,3,633.250648
1.804106,3,634.745456
0.792979,2,635.729326
1.031488,2,636.730084
33.794943,160,716.51439
1.878357,3,718.03547
5.044308,7,721.542433
5.327485,7,725.048556
2.8838,4,727.036345
9.496656,12,733.021966
118.960075,160,812.945221
31.4591,45,835.206482
4.003474,6,838.211315
54.376314,72,874.164852
2.838892,4,876.18736
3.731681,6,879.204506
0.192514,1,879.706843
5.324999,7,883.207474
4.342033,6,886.210522
0.205037,1,886.709548
2.91186,4,888.71046
1.534279,3,890.207237
6.123818,7,893.720654
3.111759,5,896.228254
1.982109,3,897.736479
0.872075,2,898.722286
1.244444,2,899.715392
1.702493,3,901.215947
0.227259,1,901.71585
9.164609,12,907.653832
1.867171,3,909.148348
20.280165,29,923.595929
0.073571,1,924.095086
2.070956,3,925.609869
4.092921,6,928.588438
117.215912,160,1009.909672
72.602662,90,1063.278311
2.351676,4,1065.271597
0.986343,2,1066.275652
29.97265,160,1146.531964
120.016123,160,1226.356266
0.98823,2,1227.348176
1.913384,3,1228.827888
4.501994,7,1232.299473
13.300505,16,1240.273402
1.022406,2,1241.254106
7.819338,10,1246.223497
4.818786,6,1249.187875
3.371323,5,1251.658164
7.849341,11,1257.117665
115.189691,160,1336.631338
3.67022,6,1339.615638
0.965472,2,1340.606622
8.92387,12,1346.613872
59.485182,160,1426.25836
10.69706,12,1432.235711
2.712175,4,1434.232798
3.74024,5,1436.716991
4.068632,6,1439.717974
121.086094,160,1519.368303
8.496594,10,1524.410761
57.52846,160,1604.025909
5.733776,7,1607.514113
41.11796,56,1635.444647
4.526759,6,1638.431556
59.647639,79,1677.633782
2.92058,4,1679.625561
10.150082,16,1687.583804
0.827961,2,1688.571408
7.601495,10,1693.611194
5.195197,8,1697.615411
0.895497,2,1698.618448
8.301259,10,1703.639768
8.222873,11,1709.18704
107.574659,160,1789.321746
32.179682,45,1811.662175
130.430434,160,1891.410745
6.089373,7,1894.910856
8.282051,11,1900.401418
3.93795,5,1902.90783
4.822969,7,1906.414527
3.084216,5,1908.933819
4.170439,6,1911.967164
117.721332,160,1991.881484
18.446794,25,2004.416717
1.902187,3,2005.916198
3.962522,5,2008.398553
114.201853,160,2097.827734
2.297448,3,2099.322804
106.297662,144,2171.128244
75.066258,106,2223.863476
121.806609,160,2303.840162
119.755183,160,2383.830868
87.482967,117,2442.194929
7.345367,10,2447.172552
0.861723,2,2448.15989
43.570866,55,2475.64016
107.439991,160,2555.750595
117.074828,160,2635.423993
0.8,2,2636.421873
0.110185,1,2636.925939
11.200972,15,2644.430727
0.890718,2,2645.417998
1.535919,3,2646.934377
18.525997,26,2659.842845
57.151269,71,2695.197167
5.484991,7,2698.67222
3.97497,5,2701.160314
17.256362,25,2713.590684
0.666667,2,2714.582287
1.507039,3,2716.075512
122.759435,160,2796.215214
5.815871,7,2799.728338
