#{"t_start": 1773420092.9635665, "env_id": "continuous-highway-v0"}
r,l,t
-1.263714,11,5.815442
-0.655246,13,6.234026
-0.138583,14,6.738841
-0.8201,11,7.079088
-0.999781,12,7.446773
-1.450735,11,7.790494
-1.99421,11,8.121453
-0.056159,14,8.560048
0.115747,13,8.952995
-1.733115,11,9.299102
-0.388905,12,9.652632
-0.75052,12,10.021377
-0.090402,12,10.408316
-0.050989,13,10.800064
-1.232094,11,11.125512
-1.074511,12,11.480862
-1.480622,11,11.795744
-0.259314,13,12.182543
-1.568551,11,12.515367
-1.370166,11,12.829902
-0.480073,13,13.220282
-1.244909,11,13.619297
0.107092,14,14.118524
-1.017822,12,14.509864
-1.229339,12,14.87509
-1.218368,11,15.209947
-1.379818,12,15.57229
0.355058,14,15.975738
-0.715348,12,16.380307
-1.445292,11,16.723734
-0.916857,12,17.060697
-0.946038,12,17.386444
-0.052421,14,17.766073
-2.39052,10,18.037939
-1.69376,11,18.339694
-1.271453,12,18.672703
-0.87202,11,18.975043
-1.18669,11,19.299829
-1.533679,11,19.600036
-1.681465,11,19.887877
0.109583,13,20.227766
-0.157623,13,20.582239
-1.453113,11,20.875137
-1.108337,12,21.20016
-1.463376,12,21.524143
-0.635011,14,21.911443
-2.334642,10,22.183578
-0.32417,13,22.649501
-0.534316,12,23.004351
-0.950241,12,23.33468
-0.826368,13,23.685145
-0.597434,12,24.018637
0.417255,13,24.384591
-0.780536,13,24.732506
-0.500214,12,25.081733
-0.168169,13,25.454505
-0.582299,12,25.817266
-1.518497,10,26.181569
-0.542705,12,26.533897
-0.14367,13,26.911489
-1.502445,12,27.263414
-0.729,13,27.65484
0.056906,14,28.074035
-1.449306,12,28.425639
-1.560701,11,28.747395
-0.19053,13,29.138222
-0.165545,12,29.494186
-1.645534,11,29.821331
-2.056509,10,30.104285
-0.821979,12,30.462135
-1.863168,11,30.803446
-1.91439,11,31.137808
-1.394389,12,31.541814
-1.27087,12,31.925454
-1.476903,11,32.264132
-1.360512,11,32.582273
-1.117375,11,32.913281
-1.132893,11,33.222541
-0.76831,13,33.599342
-1.73506,11,33.924724
-0.600757,12,34.275565
-1.349741,11,34.599962
-0.798945,13,35.00066
-1.684744,10,35.292423
0.043181,13,35.747422
-2.00333,10,36.05879
-0.925191,13,36.447283
-1.821627,11,36.767396
-0.680527,12,37.110901
-1.524178,11,37.436044
-1.090954,11,37.770546
-1.323068,11,38.105694
-1.898413,10,38.405931
-1.342708,11,38.723372
-0.693918,13,39.099341
-0.951015,12,39.452658
-1.252641,12,39.812888
0.140406,13,40.182935
0.195407,13,40.571784
-1.838628,12,41.053348
-1.346651,11,41.392017
-2.335422,10,41.667225
-0.664663,13,42.036413
-0.870072,12,42.384394
-0.995124,12,42.744106
-0.191969,12,43.094885
-0.80723,12,43.445861
-0.37746,12,43.792046
-0.722895,12,44.12506
-1.4074,12,44.455498
-0.690238,12,44.795145
