#{"t_start": 1772723161.8320801, "env_id": "highway-v0"}
r,l,t
22.899884,30,35.725955
3.359417,5,38.816221
2.538312,4,41.290657
2.0,4,43.690591
4.43937,6,47.426688
2.97119,4,49.830769
22.961808,33,69.908985
0.26887,1,70.531501
6.875749,9,76.010667
1.792311,3,77.877837
58.696074,120,150.264116
5.712567,8,155.111477
1.674271,3,156.933482
87.126389,120,230.38475
1.866667,3,232.181211
5.911111,7,236.385525
2.031517,3,238.186732
1.112451,2,239.394102
1.864643,3,241.19411
3.662762,6,244.790624
3.174568,5,247.762412
3.854666,5,250.769093
0.126149,1,251.352144
2.519048,4,253.739578
1.101882,2,254.944268
11.420482,15,263.932549
3.036185,5,266.917477
0.883641,2,268.122385
45.700527,59,303.63162
66.992032,120,375.825564
1.161213,2,377.011897
3.458939,5,380.040648
1.746066,3,381.820641
0.150587,1,382.42307
24.361671,32,401.778228
4.8506,6,405.369316
1.140325,2,406.572919
1.807173,3,408.357352
1.149327,2,409.550294
0.271704,1,410.14826
3.934166,6,413.758026
4.640625,7,417.930997
2.138398,3,419.715714
2.850132,4,422.105935
6.208399,8,426.939917
17.838505,25,442.159247
14.012737,21,454.798294
0.128273,1,455.400418
0.813929,2,456.585814
82.820461,120,528.927019
3.318699,5,531.995531
2.416188,4,534.386239
1.508403,3,536.169717
8.148255,12,544.034118
3.724038,6,547.695754
0.984622,2,548.914478
1.066667,2,550.107865
75.559131,108,614.141296
4.296322,5,617.135281
6.181417,8,621.922931
14.605696,19,633.2743
12.19269,17,643.300898
3.164906,5,646.274976
1.419733,3,648.077267
1.155472,2,649.265485
0.997228,2,650.472293
1.064099,2,651.646915
18.802749,25,666.588931
1.602642,3,668.387561
2.888889,4,670.789293
28.933682,120,742.825701
0.753245,2,744.015059
80.819441,120,815.801144
1.728103,3,817.578742
4.665499,6,821.223534
63.066667,120,893.434845
10.504503,14,901.795599
27.539697,120,973.45577
1.019778,2,974.64483
4.415192,7,978.856154
3.355527,5,981.858976
4.164021,6,985.471925
0.249481,1,986.082906
3.817161,5,989.069138
0.874824,2,990.266653
2.790748,4,992.65558
12.116622,18,1003.480857
2.0,3,1005.289132
7.636258,12,1012.483988
3.697201,5,1015.491674
4.600946,6,1019.08584
8.895235,12,1026.244902
97.25317,120,1098.290648
6.687353,9,1103.668256
0.114279,1,1104.266318
7.074296,9,1109.682473
4.202738,6,1113.262352
0.167582,1,1113.857018
4.630194,7,1118.02992
1.034951,2,1119.219545
0.053829,1,1119.812305
5.152566,7,1124.015205
5.781144,7,1128.178307
3.302775,5,1131.186576
6.123954,9,1136.567681
11.159652,15,1145.604592
2.95363,5,1148.579335
1.288889,2,1149.783811
2.578492,4,1152.195189
25.695871,34,1172.457078
79.885899,106,1235.966799
2.084598,3,1237.748408
15.333333,24,1261.789717
5.044973,7,1265.97018
34.133333,120,1337.27221
0.119913,1,1337.877408
2.10142,3,1339.665066
1.971867,3,1341.46613
2.522568,4,1343.854142
1.574265,3,1345.644136
0.102866,1,1346.24484
93.422505,120,1417.924132
3.534491,5,1420.957226
2.055512,3,1422.765064
0.802053,2,1423.945222
8.006398,12,1431.14134
2.066667,3,1432.942502
0.789057,2,1434.12494
1.932059,3,1435.930933
0.830253,2,1437.105915
4.800922,7,1441.268599
8.86197,11,1447.806378
15.541778,21,1460.32733
3.437187,5,1463.274818
0.791465,2,1464.461387
0.850552,2,1465.661658
7.032697,10,1471.611076
3.137586,4,1473.979684
5.230613,7,1478.139097
1.466667,3,1479.913351
0.126323,1,1480.532084
4.649649,6,1484.14316
0.892691,2,1485.329022
2.545516,4,1487.706576
0.911156,2,1488.883976
2.439063,4,1491.288089
1.002395,2,1492.480618
15.644256,21,1505.032609
1.623213,3,1506.833336
2.30392,4,1509.25677
16.517214,25,1524.141935
1.237617,2,1525.333665
92.085899,120,1596.77616
4.890276,6,1600.357996
4.431771,6,1603.738883
5.592674,8,1608.720332
4.958166,8,1613.544615
4.89777,7,1617.719883
0.068976,1,1618.316237
23.422222,120,1689.75435
42.688504,120,1760.910969
3.651971,5,1763.85338
9.554096,11,1770.348589
4.221829,6,1773.897597
81.578062,120,1844.978266
11.304808,13,1852.670506
0.266667,1,1853.26193
37.703415,48,1881.755244
1.866667,3,1883.514033
7.713998,12,1890.560732
0.067542,1,1891.155658
4.514761,6,1894.730921
0.11342,1,1895.322202
1.660569,3,1897.107111
1.447309,3,1898.888798
89.167012,120,1970.406774
71.146206,120,2041.801149
44.991537,120,2112.486596
9.454359,14,2120.762407
2.584837,4,2123.153162
49.923613,120,2194.856422
2.03315,3,2196.633583
83.382742,120,2267.547349
25.6,120,2338.551526
0.858932,2,2339.720728
0.977778,2,2340.922248
0.86568,2,2342.112597
3.314912,5,2345.06907
2.974793,4,2347.458386
4.263881,6,2350.96941
4.73625,7,2354.830045
80.937176,120,2425.554949
28.608307,38,2447.906325
4.420663,6,2451.411319
95.247908,120,2531.689443
1.574879,3,2533.452312
93.485612,120,2604.28126
0.288889,1,2604.876946
3.369998,5,2607.867391
3.984774,5,2610.810153
89.287197,120,2681.686263
0.117638,1,2682.295117
92.760429,120,2752.301961
3.939685,5,2755.299484
2.979627,4,2757.688988
4.227203,6,2761.223593
2.499363,4,2763.55834
92.318045,120,2833.976154
4.191944,7,2838.073751
0.095415,1,2838.656464
3.943455,5,2841.612472
2.4,4,2843.99966
88.245297,120,2914.251735
7.624521,11,2920.716755
0.729919,2,2921.895475
91.052626,120,2992.216035
88.283312,120,3062.864989
1.943496,3,3064.627803
93.994422,120,3135.214779
0.955772,2,3136.222826
0.997073,2,3137.278079
50.884227,66,3175.879282
25.542585,120,3246.210865
83.81394,120,3316.866332
6.697287,9,3322.188524
86.391178,120,3393.036423
2.392251,4,3395.394387
7.769884,9,3400.685418
3.998397,6,3404.213068
87.3818,120,3476.195904
2.358398,4,3478.582644
2.201182,4,3480.963961
2.788307,4,3483.355906
1.676045,3,3485.148352
12.788669,18,3495.792503
92.687902,120,3566.569803
0.793478,2,3567.731554
3.755614,5,3570.693862
51.69922,65,3608.850111
37.493801,52,3639.369834
0.931041,2,3640.548658
89.652598,120,3720.865041
91.614627,120,3791.309422
86.802009,120,3860.965771
91.710237,120,3931.911637
77.682083,101,3991.433062
1.713755,3,3993.203145
0.757459,2,3994.385946
90.650928,120,4064.771137
96.547079,120,4134.975697
88.12942,120,4205.205699
92.796434,120,4275.957545
4.259246,6,4279.466581
1.866667,3,4281.23621
2.674467,4,4283.570985
13.990227,19,4294.628734
86.559933,120,4365.358196
2.454948,4,4367.731647
94.939448,120,4439.118408
85.412339,120,4509.447791
93.112707,120,4580.494148
90.136758,120,4651.553919
0.80058,2,4652.735184
85.308795,120,4723.638313
83.307885,120,4794.223249
35.628599,53,4825.491054
86.75553,120,4895.341378
86.779544,120,4975.675979
94.152642,120,5046.497384
94.98187,120,5116.735046
94.679107,120,5186.917607
87.027365,120,5257.700286
0.156945,1,5258.293931
92.610076,120,5328.788688
88.6618,120,5399.215726
0.792456,2,5400.386276
90.028337,120,5470.61236
59.680052,74,5513.671062
2.690412,4,5515.719669
87.077594,120,5586.03528
88.663605,120,5656.193643
2.440325,4,5658.544772
86.308402,120,5729.318832
90.607988,120,5799.897337
83.121044,120,5870.189326
93.947398,120,5940.789356
92.434884,120,6011.673788
89.999628,120,6082.680104
0.897432,2,6083.841191
85.571356,120,6166.841926
97.796173,120,6237.705068
88.491283,120,6308.29709
95.537409,120,6378.720176
88.722095,120,6449.610829
90.970906,120,6519.814761
2.537872,4,6522.190344
88.466579,120,6592.737091
