#{"t_start": 1773418019.664181, "env_id": "continuous-highway-v0"}
r,l,t
-0.75913,12,0.375021
-0.685545,13,0.763361
-0.525873,13,1.129305
0.386254,13,1.548451
-1.058101,11,1.929675
-1.267953,11,2.272118
-1.456876,12,2.627221
-1.735689,11,2.952378
-0.168197,12,3.293565
-0.980915,12,3.653173
-1.185419,12,4.017961
-0.38352,13,4.491169
-2.293892,10,4.786575
-0.299597,13,5.168006
0.522955,14,5.578993
0.29898,13,5.96654
-0.809065,12,6.316725
-1.528008,11,6.633053
-0.994027,13,7.015788
-0.172411,13,7.407626
0.077198,13,7.800078
-1.82249,10,8.112662
-0.861706,12,8.470057
-1.01957,12,8.803266
-0.356022,14,9.241674
-1.123101,11,9.579964
-0.505681,12,9.947103
-1.097041,12,10.310268
-0.282793,13,10.759186
-0.913837,13,11.177474
-0.161853,12,11.552612
-1.87959,10,11.851806
-2.224835,10,12.158201
-0.914073,12,12.506309
-0.717657,12,12.862557
-1.548823,11,13.196445
0.250575,14,13.617332
-0.477067,12,13.987289
-1.678244,10,14.302195
0.152767,14,14.795511
-1.885001,11,15.121477
-0.55826,13,15.509179
-0.24243,12,15.859831
0.488445,13,16.23978
-0.325469,12,16.595859
-0.772232,12,16.944097
-0.216723,13,17.338538
-1.769835,10,17.635153
-1.510533,12,17.990329
-0.825534,12,18.328678
-0.742084,13,18.703932
-1.562914,11,19.020611
-1.961403,11,19.335922
-1.542961,11,19.667573
-2.398126,10,20.038704
0.227968,14,20.490135
-0.289008,13,20.857793
-0.214311,13,21.205291
-0.207372,14,21.566183
0.343041,14,21.947092
-2.449167,10,22.202999
-2.602991,10,22.481702
-0.677741,12,22.809177
-0.370783,13,23.158103
-0.403719,12,23.470779
-0.368815,13,23.808313
-0.492523,12,24.136056
-0.205011,12,24.519566
-1.179819,12,24.891603
-1.316918,11,25.201031
-1.136537,11,25.484844
-1.603608,12,25.790507
-0.952478,11,26.087745
-2.098857,10,26.364954
-0.94043,11,26.655155
-1.277521,11,26.940728
-0.742887,12,27.257145
0.185951,13,27.606848
0.628185,14,27.981652
-0.614197,12,28.293973
-1.610342,11,28.690964
-0.046179,13,29.082775
-1.555144,11,29.367744
-1.829533,10,29.641581
-1.079968,12,29.961803
-0.010855,14,30.352976
-1.481047,11,30.674147
-1.113802,11,30.996525
-0.771321,12,31.343376
-1.109251,12,31.684615
-1.38319,11,31.999517
-0.364854,12,32.345929
-1.58973,11,32.649858
-0.846136,13,33.01387
-0.933263,11,33.344558
-0.260549,13,33.723777
0.283867,13,34.093548
-0.853482,13,34.518313
-0.321104,13,34.912215
-0.569404,12,35.263617
-1.101527,11,35.576701
-0.991188,12,35.913191
-0.465424,12,36.247881
-0.605165,12,36.59104
0.31157,13,36.952276
0.125974,13,37.32467
-1.297625,12,37.7256
-0.055499,13,38.175267
-1.74371,10,38.450357
-1.571256,11,38.761869
-1.557087,11,39.067055
-1.962913,11,39.368473
-0.407993,13,39.725504
-0.950838,12,40.081204
-1.611468,10,40.383949
-0.65506,12,40.727954
-1.128708,11,41.030264
-1.062897,11,41.347941
0.250815,13,41.721864
-1.743024,11,42.039497
-1.922889,11,42.359006
-1.927534,10,42.63221
0.148782,13,43.000384
-0.990473,11,43.312758
-0.540953,12,43.648896
-1.153616,10,43.929636
-1.086655,12,44.259419
-0.213574,13,44.731274
-1.786356,10,45.013754
0.547246,13,45.367528
-1.302582,11,45.680758
-1.249528,12,46.026377
-1.127215,11,46.337787
-0.688972,11,46.654243
-0.506768,12,47.069945
-1.16301,12,47.457483
-0.677377,13,47.83095
-1.55679,11,48.142126
-1.963326,11,48.433827
-1.573745,11,48.740836
-1.949381,10,49.02251
-1.384037,12,49.365892
-1.060691,11,49.689185
-0.706625,11,50.026465
-0.021473,13,50.416198
-0.400925,14,50.823484
-1.815018,10,51.122943
-0.27995,13,51.478599
-1.935645,10,51.754485
-0.786672,13,52.134274
0.404385,14,52.534869
-0.887291,12,52.882951
-0.470403,12,53.215246
0.222849,14,53.617494
-1.931345,10,53.904646
-2.280034,10,54.17885
-1.643899,11,54.556475
-0.796949,12,54.90848
-2.278802,10,55.187184
-1.197259,12,55.537289
-1.024783,11,55.849313
-0.895605,12,56.27405
-2.254774,9,56.581541
0.127364,14,56.980235
0.200645,14,57.373335
-1.163492,11,57.68681
-1.407706,12,58.035212
-0.088215,12,58.374281
-0.484709,13,58.743687
-0.521421,12,59.081631
-1.792269,11,59.394844
-0.138114,13,59.754016
-0.001917,12,68.597177
-0.489056,13,68.956289
-1.257639,12,69.284804
-0.063824,15,69.717258
-1.220569,11,70.023058
-0.935605,11,70.320186
-0.465202,13,70.682782
-1.19956,13,71.034702
-0.646627,12,71.362889
-0.032324,14,71.757363
-1.461544,11,72.06999
-0.370508,13,72.437336
-1.121722,11,72.742708
-0.207399,13,73.102681
0.250206,14,73.496466
-0.216774,14,73.935723
0.486288,14,74.41746
-1.415492,12,74.767559
-1.501835,11,75.073675
-1.650372,11,75.387456
-1.17345,12,75.729404
-1.328404,11,76.044001
-0.655724,13,76.413669
-1.371307,12,76.75331
-1.222309,11,77.067383
-1.000905,13,77.437398
-0.098635,13,77.788647
-1.068931,11,78.111205
-1.151952,12,78.439946
0.412114,13,78.809879
-1.413215,12,79.156424
-2.060199,11,79.477719
-2.865641,9,79.727617
-0.893314,12,80.058321
-1.167416,12,80.404943
0.329881,13,80.781053
-0.846246,13,81.15504
-1.596506,11,81.465086
-0.67121,13,81.830737
-0.828,12,82.169993
-0.458162,13,82.543131
-0.55309,13,82.909199
-0.728993,12,83.330711
-1.244036,11,83.681082
-1.919559,11,84.030211
-1.011447,12,84.431237
-0.746812,12,84.764073
-1.532519,11,85.046834
-2.272527,10,85.307347
-0.432317,13,85.643311
0.398281,14,86.019919
-1.975523,11,86.3316
-0.802769,13,86.708124
-0.174931,13,87.067884
-1.167759,12,87.410504
-1.536072,10,87.682032
-1.257619,11,87.974373
-0.702946,13,88.325118
-0.609321,12,88.661896
-2.243539,10,88.937118
0.275276,15,89.331033
-1.941087,10,89.609058
-1.824191,11,89.900537
-0.454879,13,90.244238
-0.53817,13,90.590368
-1.374143,12,90.919297
0.176455,13,91.267691
-1.035442,12,91.596792
-0.317097,13,91.986158
-0.42764,12,92.418368
-0.2585,14,92.816407
-0.055755,12,93.130706
-1.903527,11,93.428392
-0.679253,12,93.74583
0.3299,13,94.163077
-1.483419,11,94.489672
-0.251117,13,94.855585
0.592783,15,95.264262
-1.140431,11,95.556111
-0.23142,12,95.861762
0.247417,13,96.204928
-1.996343,10,96.480673
-1.275865,11,96.76944
-0.223594,14,97.160499
-0.090687,13,97.538914
-0.09248,13,97.899661
-0.532741,12,98.236048
-0.984354,12,98.581369
-0.562234,12,98.917278
-0.664652,11,99.230471
-1.187522,12,99.559142
-1.574042,11,99.872058
-0.586165,11,100.175945
-0.47579,12,100.50848
-0.107439,14,100.921767
-0.80379,12,101.343033
-1.363322,11,101.675109
-0.499277,12,102.005901
-1.310515,11,102.313815
-0.315823,13,102.683514
-0.200145,14,103.063901
0.173017,13,103.416699
0.198812,14,103.832788
-1.823213,11,104.238967
