#{"t_start": 1771604883.6424046, "env_id": "highway-v0"}
r,l,t
37.950247,46,14.178747
38.754982,46,24.383744
56.642654,100,46.595806
28.229912,36,54.55466
71.496247,100,76.741271
5.739881,7,78.30697
3.974274,5,79.422875
11.604279,16,82.997021
2.021353,3,83.680932
1.858416,3,84.361476
1.929424,3,85.031712
4.731326,6,86.381559
20.988216,26,92.169086
11.197636,14,95.328904
77.677301,100,117.629561
9.504608,11,120.088797
72.07561,100,142.31943
8.88328,10,144.547693
4.260834,5,145.661081
4.064736,5,146.778521
6.428357,8,148.559007
7.243224,9,150.589943
1.333333,2,151.043347
12.515944,14,154.162928
71.180289,100,176.426852
67.588192,100,198.644459
73.347882,100,220.892202
15.276617,17,224.694462
1.861666,3,225.376453
4.496334,6,226.730299
68.920095,90,246.83781
71.497017,100,269.254415
73.469763,100,291.694463
8.016568,9,293.711079
13.831994,18,297.744807
31.011158,38,306.261039
71.236667,100,328.645071
10.973578,14,331.746201
36.583946,100,354.155436
13.311373,16,357.73022
8.008218,9,359.745972
7.866667,9,361.778564
22.957983,24,367.1915
5.226698,7,368.772457
25.999199,30,375.469169
71.924908,100,397.862025
9.194321,12,400.553871
12.450529,15,403.887164
28.651532,37,412.132724
3.639535,5,413.247873
42.709983,57,425.957807
20.389043,23,431.060138
77.973089,100,453.330567
10.592151,14,456.467484
52.716071,100,486.627266
14.627551,18,490.683764
4.404933,6,492.03017
74.274993,100,514.279624
19.435294,26,520.069671
7.996514,10,522.331169
27.221525,33,529.688236
25.402274,31,536.613904
10.789226,12,539.30785
1.79206,3,539.992868
28.684617,41,549.186433
17.103889,19,553.471086
79.451419,100,575.825036
15.921467,21,580.519526
39.776771,100,602.802898
25.353939,100,625.328278
74.140502,100,647.630463
71.414049,100,669.910165
8.542667,10,672.11674
27.133333,100,694.393911
17.099604,22,699.282826
10.980002,15,702.639901
1.933333,3,703.314487
18.264256,23,708.455362
75.649903,100,730.754648
67.364313,100,752.909932
68.946702,100,775.298287
4.589627,7,776.87234
79.412337,100,799.204532
72.133307,100,821.443758
71.879038,100,843.747977
40.184362,100,866.066545
8.647258,10,868.296763
82.738624,99,890.480002
67.500435,100,912.785383
4.878788,6,914.126423
70.494052,100,944.274608
78.984645,100,966.613245
73.950962,100,988.821917
38.663099,52,1000.365101
71.845954,100,1022.673308
76.213618,100,1045.000201
72.598002,100,1067.412109
12.951902,14,1070.606967
79.263229,100,1093.030985
11.746378,15,1096.391092
74.796065,100,1118.832836
3.270085,5,1119.955626
75.828799,100,1142.26925
79.146907,100,1164.698007
12.862587,16,1168.240845
73.925719,100,1190.55155
72.661147,100,1212.843588
1.866667,3,1213.532752
1.933333,3,1214.197507
80.904548,100,1236.632015
69.130491,100,1258.943272
71.3075,100,1281.24931
74.689168,100,1303.515942
4.29413,6,1304.855149
77.717005,100,1327.206408
76.91739,100,1349.618103
35.158333,44,1359.437442
80.139954,100,1381.703534
6.498282,8,1383.486887
68.799253,100,1413.777805
81.403462,100,1436.118447
74.320975,100,1458.458097
79.336508,100,1480.665239
76.195951,100,1502.944549
25.279765,34,1510.452161
22.11982,28,1516.661736
79.462649,100,1538.958487
82.163984,100,1561.252061
75.629369,100,1583.540913
4.065205,6,1584.895772
80.423708,100,1607.101033
82.394754,100,1629.307482
78.811247,100,1651.890558
83.251605,100,1675.447384
75.727381,100,1697.652612
68.893383,91,1717.825497
75.201775,100,1740.035829
78.120976,100,1762.178289
75.523492,100,1784.298156
72.116283,100,1806.835286
78.327496,100,1830.24223
70.932778,100,1852.694079
77.420219,100,1882.675982
79.04763,100,1904.740618
7.774779,9,1906.743121
74.652894,100,1928.776618
74.623126,100,1950.831496
75.198687,100,1972.976
74.262748,100,1995.05133
77.026226,100,2017.157729
79.14129,100,2039.235825
78.420454,100,2061.298671
32.356021,44,2071.015521
75.627288,100,2093.033056
74.43139,100,2115.077096
80.344468,100,2137.068158
77.669516,100,2159.101346
75.3595,100,2181.413969
73.984002,100,2204.201373
75.951474,100,2227.179819
74.550189,100,2249.803502
79.601804,100,2272.810481
74.335539,100,2295.428353
77.613298,100,2318.270847
77.210728,100,2349.638846
77.025909,100,2373.348022
75.346477,100,2396.638278
78.889786,100,2419.958707
75.148915,100,2443.347943
81.133996,100,2466.891081
79.755251,100,2490.590839
78.405133,100,2514.493345
75.991233,100,2538.439424
79.213327,100,2562.294538
1.68088,3,2563.003604
73.891228,100,2587.001026
73.095858,100,2611.035778
78.692974,100,2635.126136
77.283905,100,2659.019619
74.008424,100,2682.884301
73.562334,100,2706.705119
76.545705,100,2730.593999
82.775855,100,2754.468874
73.95186,100,2778.42085
79.964039,100,2802.258926
70.812551,100,2834.230105
81.374058,100,2858.184655
78.267845,100,2882.176262
73.874138,100,2906.150797
75.078497,100,2930.301952
76.6021,100,2954.182136
4.397898,6,2955.637577
77.514169,100,2979.4574
74.548682,100,3003.363212
77.570751,100,3027.247193
74.708375,100,3051.380354
77.296576,100,3075.287455
77.813408,100,3099.182668
79.652769,100,3122.947426
77.058651,100,3146.44275
72.619338,100,3169.79671
73.64684,100,3193.382969
80.127904,100,3216.325256
72.601081,100,3239.39243
74.405178,100,3262.697698
77.359465,100,3286.027138
76.769295,100,3309.445597
81.634027,100,3340.92714
75.429382,100,3364.271555
78.510704,100,3386.957555
2.584881,4,3387.887752
76.04934,100,3410.57556
78.97204,100,3433.706814
79.885515,100,3456.828355
73.644113,100,3480.331026
77.993297,100,3503.998471
78.653367,100,3527.579328
75.50612,100,3550.962393
79.675817,100,3574.515569
75.340858,100,3597.930869
81.550285,100,3621.222093
78.779795,100,3644.715526
77.509591,100,3668.125494
75.745296,100,3691.179175
76.729415,100,3713.766699
75.217108,100,3737.254354
75.637363,100,3760.537276
76.865243,100,3783.810624
79.354898,100,3814.890637
83.435049,100,3838.230977
80.061075,100,3861.390502
32.142139,40,3870.505385
80.692402,100,3893.531082
81.672474,100,3916.865134
76.692595,100,3940.046548
74.728835,100,3963.472657
78.663662,100,3986.672801
78.665946,100,4009.806829
78.594584,100,4032.313276
80.537031,100,4055.035025
80.045109,100,4077.827772
78.74367,100,4100.216541
73.676079,100,4122.59961
82.16295,100,4145.884904
80.716013,100,4168.564689
81.197047,100,4191.24348
81.283034,100,4213.519528
79.571577,100,4236.260873
80.404629,100,4259.537913
83.892305,100,4290.844536
83.919704,100,4314.3091
67.207664,87,4334.63933
80.593893,100,4357.87142
83.476413,100,4381.054539
76.48181,100,4404.125448
74.628704,100,4427.28346
77.327021,100,4450.43927
78.168027,100,4473.665057
75.859622,100,4496.69331
81.356958,100,4519.824204
75.528533,100,4542.797524
80.997493,100,4565.801082
79.944185,100,4589.128486
37.707743,45,4599.600425
74.619296,100,4622.654175
82.165317,100,4645.072774
32.632901,41,4654.279738
79.415144,100,4677.293393
81.686676,100,4700.623544
51.443894,64,4715.650282
81.233424,100,4738.310275
16.640347,20,4742.952253
77.746319,100,4774.43426
81.612605,100,4797.637543
79.369338,100,4821.011722
82.67858,100,4844.615916
83.84665,100,4867.97769
81.409627,100,4891.196039
73.04757,100,4914.341785
72.580171,100,4937.729734
82.862665,100,4960.822478
74.648135,100,4984.185736
81.19963,100,5007.425945
82.210851,100,5030.662754
77.766582,100,5053.697732
79.412708,100,5077.069803
35.988164,45,5087.640574
51.59274,63,5102.099107
84.404838,100,5125.013052
77.4667,100,5147.960181
81.605015,100,5170.939955
82.867752,100,5194.030439
81.09661,100,5217.433231
82.819198,100,5248.102783
81.818864,100,5271.618508
75.783355,100,5295.209439
82.761979,100,5318.619356
73.320273,100,5341.618918
84.796745,100,5364.550829
83.223385,100,5387.895774
79.305351,95,5410.211458
82.467896,100,5433.0635
82.38991,100,5455.896982
83.243978,100,5479.304118
81.874117,100,5502.70823
83.034205,100,5526.077659
79.526009,100,5549.124754
80.808164,100,5572.018948
75.03049,100,5594.93974
81.259015,100,5618.138959
80.799873,100,5641.122165
83.345425,100,5664.221392
