#{"t_start": 1773356194.8480098, "env_id": "continuous-highway-v0"}
r,l,t
2.352214,16,0.262364
4.072599,19,0.494087
1.95751,15,0.678007
1.749357,14,0.85984
2.67848,17,1.087405
2.220622,15,1.311495
4.263177,19,1.543708
3.062356,16,1.755577
4.049034,19,1.987845
1.575573,14,2.194556
2.849827,17,2.406995
2.82837,17,2.620787
5.118561,22,2.899117
3.934817,18,3.149036
2.878493,18,3.38228
5.140386,22,3.661192
1.907368,16,3.852196
2.537602,19,4.105743
2.888481,16,4.301718
3.793032,17,4.518131
3.630734,18,4.747121
2.033859,15,4.950608
3.747228,18,5.187533
3.119775,16,5.387306
2.637271,16,5.593554
4.542045,19,5.821358
2.780191,16,6.035544
4.451097,21,6.30528
4.586031,19,6.537544
4.712756,21,6.793422
3.765641,19,7.049442
3.228271,19,7.288569
4.772623,19,7.534901
1.881849,16,7.734679
5.202603,20,8.005285
4.642811,20,8.265972
3.898953,18,8.491395
0.988275,13,8.658552
1.379832,15,8.855651
0.651954,13,9.027732
1.885481,15,9.21182
1.098421,14,9.393613
3.404878,19,9.635274
2.197433,15,9.826074
3.084114,17,10.031902
1.028361,14,10.195263
2.752242,17,10.396267
2.763808,16,10.588555
4.397718,18,10.807335
0.344379,13,10.97183
3.040976,16,11.167099
1.79948,15,11.347644
1.668066,16,11.549209
3.48974,19,11.766914
3.059713,17,11.98231
3.774393,18,12.202292
2.211354,15,12.391211
1.549521,15,12.574653
3.233308,16,12.775978
2.740031,16,12.963781
4.694391,19,13.187186
3.05432,19,13.420505
3.420943,19,13.655215
1.497917,14,13.835028
2.719452,16,14.030452
1.90205,14,14.1964
5.066642,21,14.449437
4.709786,21,14.698769
3.369996,17,14.894689
2.775585,17,15.092511
3.444541,18,15.334075
1.528368,15,15.52255
1.895906,15,15.711937
2.0389,14,15.87839
2.967083,17,16.081191
4.054802,19,16.34077
3.391982,16,16.528191
4.441794,18,16.729928
3.620447,19,16.964205
1.792164,16,17.167446
3.289536,16,17.38861
1.972181,17,17.589576
3.567067,17,17.802624
1.034375,14,17.971385
3.621031,18,18.21174
2.53173,16,18.417252
4.220768,20,18.6656
4.277921,21,18.9146
3.000917,16,19.114543
2.345615,16,19.32457
2.917431,16,19.511256
3.113577,17,19.709195
3.01309,17,19.923316
3.315281,18,20.153985
2.979729,15,20.357706
4.058009,19,20.592795
2.448686,14,20.760764
1.832704,15,20.93184
2.603636,16,21.143661
4.869117,19,21.388191
2.086475,14,21.54265
3.405537,16,21.735215
3.450213,17,21.944688
5.283108,19,22.195103
3.624916,19,22.425993
5.419557,19,22.654811
6.351435,28,22.979667
3.752611,17,23.1916
2.410228,15,23.374695
4.037405,17,23.583892
1.925098,16,23.777179
2.329878,18,24.000796
3.337127,21,24.281026
3.500083,17,24.477929
5.236658,20,24.723148
2.822067,17,24.927283
2.241556,15,25.134204
2.584186,16,25.334025
2.274738,15,25.523654
4.250984,19,33.82817
3.941113,21,34.090716
4.836369,20,34.330891
4.108686,18,34.556573
1.452024,16,34.769882
0.963808,15,34.950447
4.5043,19,35.168432
2.982471,17,35.373887
3.797212,19,35.591958
5.418703,22,35.87455
4.601758,18,36.10024
3.3966,18,36.334522
0.334806,12,36.476785
4.105423,20,36.739134
5.517629,19,36.972594
3.941407,21,37.220675
5.042466,19,37.447861
4.172641,18,37.675998
3.571048,19,37.911745
2.229272,16,38.111336
4.589411,21,38.365488
5.026269,23,38.640594
2.57666,17,38.83659
1.954537,15,39.013963
3.69758,19,39.245733
2.809583,17,39.461428
3.556761,17,39.67074
1.864495,15,39.834861
3.931309,18,40.051872
2.363086,18,40.269376
2.772983,17,40.478171
3.953975,18,40.695872
4.401887,20,40.931522
3.759912,20,41.161847
3.072233,17,41.364144
3.464414,19,41.591674
3.644539,18,41.818672
4.408333,20,42.06344
1.942135,15,42.239519
4.032961,16,42.449111
2.176323,16,42.647085
2.907581,17,42.856002
3.97948,18,43.09085
1.724242,15,43.276404
5.380005,24,43.572157
1.100937,15,43.748335
5.014181,22,44.018014
3.208277,18,44.249687
3.200366,18,44.469239
1.136357,15,44.658687
4.046185,23,44.939023
4.049371,21,45.228594
2.942341,17,45.440347
3.177714,17,45.647564
1.951887,16,45.847044
2.90588,18,46.084511
2.714188,18,46.299383
3.62422,19,46.528046
2.014231,15,46.712304
3.491937,18,46.939604
5.439844,21,47.202743
3.0091,18,47.418056
2.092752,17,47.615384
2.036613,16,47.818506
1.794647,15,48.020221
2.90032,17,48.228476
3.061391,19,48.472975
2.557188,16,48.673347
