#{"t_start": 1772182053.464958, "env_id": "highway-v0"}
r,l,t
1.377778,160,96.246607
2.245054,160,192.070467
7.207219,160,289.115172
11.353657,160,385.631505
19.881074,160,481.971987
1.581031,160,578.443402
6.315069,160,674.957705
1.4,160,771.475125
0.841139,160,868.090256
7.072426,160,964.646137
17.776666,160,1060.973515
10.511111,160,1157.834718
4.077728,160,1262.736084
0.0,160,1359.613552
0.688889,160,1455.637602
1.333333,160,1551.706425
3.858786,160,1648.433541
18.370364,160,1744.343451
10.672781,160,1841.272102
6.53539,160,1938.729577
7.175433,160,2035.908374
9.032383,160,2130.708493
15.828916,160,2226.689193
8.174636,160,2322.69917
7.163955,160,2418.819156
7.666667,160,2522.453126
18.923584,160,2618.492444
9.798541,160,2714.347937
28.041185,160,2809.69808
0.0,160,2905.255917
2.797348,160,3000.158685
8.460971,160,3095.381093
12.311111,160,3190.517078
4.465967,160,3285.524031
0.733333,160,3381.038834
16.994616,160,3476.348559
14.876007,160,3571.549154
3.867459,160,3667.218523
1.501237,3,3669.014151
8.422222,160,3771.971327
7.110094,160,3866.899869
19.636619,160,3961.699084
20.224034,160,4056.685238
0.0,160,4151.207703
10.161711,160,4246.162621
0.0,160,4341.065524
2.088889,160,4436.14678
12.953846,160,4530.822134
13.976558,160,4625.74152
15.793595,160,4720.11882
18.0,160,4815.195004
0.949231,2,4816.392135
7.133333,160,4911.424215
16.825186,160,5014.714499
19.964597,160,5109.858064
17.447358,160,5204.945611
19.67948,160,5299.42556
9.174345,160,5394.199289
0.733333,160,5488.333197
6.288889,160,5582.770782
13.494832,160,5677.66473
26.445426,160,5772.742196
23.179389,160,5867.371507
10.533333,160,5962.143556
10.466667,160,6057.101967
24.688889,160,6159.605688
12.6,160,6254.652226
2.899246,160,6349.098434
0.666667,160,6444.740178
12.342944,160,6540.20435
19.755556,160,6635.852356
15.363618,160,6731.070028
13.064153,160,6826.272591
34.088889,160,6921.236635
18.475061,160,7016.389534
19.982787,160,7112.066133
4.416213,160,7207.057249
19.80212,160,7301.91243
9.902629,160,7404.648198
24.444444,160,7499.87615
20.111111,160,7594.64524
8.987357,160,7689.774103
4.935985,160,7784.584521
21.577778,160,7879.648942
11.354122,160,7974.942535
20.511111,160,8069.78626
7.288889,160,8164.332319
8.311111,160,8258.941873
14.577778,160,8353.415219
21.850197,160,8448.37402
20.839923,160,8543.30296
7.596498,160,8646.411008
33.532314,160,8741.41976
16.334248,160,8836.455215
24.867543,160,8931.590212
11.727011,160,9026.323728
32.343291,160,9121.103977
32.510035,160,9215.635212
57.0,160,9309.749844
7.806206,160,9405.309414
27.346397,160,9500.515841
15.623949,160,9595.827336
16.957041,160,9691.068201
23.355556,160,9786.406267
31.244444,160,9889.263157
29.145064,160,9984.303753
38.911111,160,10079.32479
32.422222,160,10174.318477
51.666667,160,10269.764028
2.933333,160,10364.736275
15.759017,160,10459.63541
14.748008,160,10554.580454
1.444444,160,10649.505445
23.93454,160,10744.718047
18.094716,160,10839.62385
11.355556,160,10934.741293
44.418683,160,11030.784106
20.989112,160,11134.484866
36.019182,160,11229.013633
34.355556,160,11323.689311
37.215681,160,11418.509914
22.733333,160,11513.06403
8.658893,160,11607.411667
33.685988,160,11701.975633
41.550484,160,11797.45099
