#{"t_start": 1773427137.715261, "env_id": "continuous-exit-v0"}
r,l,t
1.436072,5,0.260102
-7.845468,6,0.525657
0.698212,3,0.667776
-6.850148,8,1.02842
-8.279915,5,1.25927
0.311285,2,1.350294
0.685945,3,1.49052
2.48575,8,1.839904
-6.502265,10,2.269962
0.357915,2,2.36956
1.138733,4,2.550196
2.779223,9,2.968014
-8.202912,5,3.19067
0.341285,2,3.282478
1.761898,6,3.565195
1.704093,6,3.842111
1.730265,6,4.121336
0.72234,3,4.260288
0.343038,2,4.353213
0.348818,2,4.445811
-5.264858,10,4.877462
0.739701,3,5.002891
1.357203,5,5.228618
0.356867,2,5.311152
3.029678,9,5.728739
0.384318,2,5.818071
-7.793659,6,6.091411
4.759264,13,6.68432
0.764015,3,6.80951
1.068399,4,6.998876
0.334715,2,7.094526
0.358709,2,7.178793
-7.679955,7,7.50619
0.769898,3,7.646681
-7.186488,7,7.962225
0.329595,2,8.057669
2.7213,7,8.379578
1.757353,6,8.657709
4.21338,12,9.234114
3.935963,11,9.751507
1.069683,5,9.973252
-7.91869,6,10.26274
0.336832,2,10.365835
1.879853,6,10.643633
-8.638178,4,10.828135
0.312659,2,10.924023
-5.996914,9,11.341257
0.364976,2,11.433848
1.056691,4,11.612444
2.349417,7,11.933627
0.82715,4,12.125638
3.598664,10,12.560734
0.701768,3,12.69307
-4.831279,13,13.292634
0.667581,3,13.426483
0.327971,2,13.518111
1.62438,6,13.79068
0.357084,2,13.879207
0.731678,3,14.021443
1.086371,5,14.23423
-8.503749,4,14.420027
1.704618,6,14.706674
-8.67568,5,14.933475
-7.894284,6,15.212422
-8.239364,5,15.506639
0.314147,2,15.623792
-6.600677,7,15.970563
-8.400684,5,16.203582
-7.579584,6,16.508655
1.199429,5,16.745779
1.69594,7,17.065032
0.381886,2,17.159899
0.345864,2,17.250685
0.378463,2,17.344738
0.335263,2,17.436527
0.354762,2,17.526489
1.585715,5,17.760832
-2.035414,18,18.568918
5.944953,15,19.24541
0.34453,2,19.329019
2.34134,7,19.671525
1.400409,5,19.904412
0.687039,3,20.034678
1.244021,5,20.260709
1.441762,5,20.498338
-8.528792,5,20.722365
1.362336,5,20.96148
0.741662,3,21.092113
-4.56601,13,21.693835
3.699135,10,22.153091
2.212303,7,22.465535
1.163912,5,22.691282
0.32849,2,22.781214
-7.9906,5,23.008251
1.956806,6,23.268529
-6.77957,7,23.594997
0.321906,2,23.689926
0.72229,3,23.833976
1.982766,6,24.105134
-7.474738,6,24.37902
5.094089,15,25.05306
2.336581,8,25.414662
-8.620707,4,25.586473
0.384272,2,25.677312
0.698525,3,25.822415
3.914881,10,26.272395
0.318937,2,26.363165
0.348402,2,26.443103
-7.941728,5,26.667512
-7.565232,7,26.986919
2.370752,8,27.348756
0.330134,2,27.430996
1.703979,6,27.693854
1.779547,6,27.947709
-6.800031,7,28.257573
0.32907,2,28.351293
0.368246,2,28.445541
0.707462,3,28.588645
0.333787,2,28.676654
0.312136,2,28.770335
1.19868,5,29.028184
-8.526523,5,29.325508
0.312958,2,29.416606
0.336923,2,29.499044
0.741381,3,29.638259
3.302114,8,30.014196
0.352079,2,30.107216
-4.054499,14,30.780457
2.166466,7,31.099546
2.745029,7,31.4079
0.326421,2,31.502066
1.070691,4,31.680983
-8.136787,6,31.942396
5.312225,15,32.628621
1.409394,5,32.847877
1.145702,4,33.032588
0.350258,2,33.121066
0.335938,2,33.200576
3.617132,10,33.653787
1.979291,6,33.924676
1.069323,4,34.094703
-6.845331,8,34.453719
0.343836,2,34.542329
0.35343,2,34.639668
0.371881,2,34.729927
0.346026,2,34.822615
1.361837,5,35.024629
-5.904083,10,35.474318
-6.044822,10,35.907009
-3.508244,16,36.594249
-5.863884,10,37.039149
0.740046,3,37.173475
2.866066,9,37.569095
-6.192739,9,37.974082
4.136339,13,38.560231
-4.025343,14,39.180696
0.719541,3,39.310119
-7.368624,6,39.566669
1.582088,5,39.789726
0.730434,3,39.918517
0.709284,3,40.057612
0.349413,2,40.13817
-8.182924,5,40.371644
0.317181,2,40.465378
1.96068,6,40.724785
0.33725,2,40.818107
0.703708,3,40.948965
2.396796,7,41.251863
0.33725,2,41.333804
0.320264,2,41.428396
7.249626,18,42.213442
4.784508,12,42.749801
1.170976,4,42.935554
0.33725,2,43.028609
3.554922,10,43.481996
0.338801,2,43.576236
-7.289211,7,43.880431
5.644591,15,44.558458
0.313702,2,44.638971
3.441851,10,45.091023
0.324215,2,45.182267
-5.055553,14,45.83577
3.724798,9,46.233868
0.311285,2,46.325981
0.323339,2,46.41903
0.33393,2,46.511835
1.111946,4,46.700902
0.328466,2,46.794868
-7.77408,6,47.067075
0.327268,2,47.160412
-7.353282,7,47.453289
-8.868241,4,47.629718
3.860121,11,48.12394
1.426811,5,48.343851
-5.318727,11,48.83873
1.097736,4,49.019094
-7.180056,7,49.319165
2.196608,7,49.621014
1.643825,6,49.881408
-8.478645,4,50.060496
-8.449511,4,50.220755
1.027033,5,50.454024
1.112375,4,50.621972
-6.462842,8,50.981954
0.327301,2,51.071655
0.380604,2,51.161396
0.752224,3,51.294933
4.308122,14,51.908072
1.322025,5,52.1258
0.313303,2,52.214962
1.050026,4,52.388162
-6.562003,8,52.743519
3.216412,10,53.157173
0.352001,2,53.247077
1.432465,5,53.462914
3.924913,10,53.897776
1.500552,5,54.116448
3.168619,9,54.514639
0.32834,2,54.605353
2.751009,9,54.998616
-8.563822,5,55.218691
0.356865,2,55.311684
-8.376186,5,55.528817
4.088059,9,55.930118
-7.812884,7,56.226923
5.604073,16,56.913152
-8.247758,5,57.130597
-6.918572,8,57.494144
1.401493,5,57.700116
1.46745,5,57.924231
-8.113848,5,58.153247
1.180433,5,58.3761
1.911912,6,58.627963
0.323477,2,58.716995
-8.206696,5,58.920549
3.180597,8,59.258928
1.187972,5,59.484588
-7.08869,8,59.822902
-8.488447,4,60.003654
1.864587,6,60.262896
5.721629,15,60.917809
-8.287752,5,61.112525
0.384168,2,61.19241
-7.700077,6,61.443056
1.382514,5,61.66446
-8.08815,5,61.877541
-8.121931,6,62.136472
1.441371,5,62.347226
1.74808,6,62.616692
1.858398,6,62.845903
1.747042,6,63.093247
2.321683,7,63.389282
-5.556936,11,63.882988
-8.484935,4,64.053173
-7.789884,6,64.310805
0.323234,2,64.399966
0.32561,2,64.489351
-6.955097,7,64.795254
2.769831,9,65.185421
-7.242251,6,65.456
0.3571,2,65.544901
2.612157,8,65.886075
0.311285,2,65.974693
1.376582,5,66.187697
0.317334,2,66.267241
-7.818033,7,66.571145
0.33725,2,66.662809
2.136283,7,66.970691
0.324346,2,67.060726
6.261393,15,67.718408
1.464313,5,67.945008
-7.993525,5,68.137908
1.010564,4,68.308925
1.755799,6,68.580202
-7.397665,6,68.839735
-8.015885,6,69.09996
-8.462608,4,69.274169
-6.411276,8,69.628257
0.33725,2,69.722194
0.335803,2,69.813982
0.311285,2,69.895132
-8.099717,5,70.117282
0.357597,2,70.211194
-7.305823,7,70.50668
-6.933273,7,70.821014
2.510535,8,71.168241
0.351289,2,71.259142
0.33725,2,71.35461
0.313974,2,71.434829
0.34222,2,71.527303
0.317279,2,71.620596
-2.151514,22,72.577856
0.355446,2,72.671685
1.913865,6,72.940406
1.023631,4,73.125929
4.899952,15,73.792102
0.325412,2,73.885618
-7.967266,5,74.098865
0.327876,2,74.191963
0.688594,3,74.33359
3.044762,10,74.766813
1.428885,5,74.987116
-6.799268,7,75.315278
1.106292,5,75.539848
-5.839498,9,75.961854
0.316724,2,76.053015
-8.073457,5,76.275698
4.073332,10,76.745374
0.33725,2,76.826398
0.356598,2,76.909799
3.792069,11,77.408846
-5.426798,12,77.949363
3.79976,12,78.459752
0.681663,3,78.58879
0.335218,2,78.683865
-7.061339,8,79.029142
0.332937,2,79.122171
2.380843,7,79.413255
-8.227562,5,79.634553
2.070661,7,79.942325
0.361744,2,80.032317
1.925154,6,80.308992
0.314931,2,80.388712
1.125924,4,80.568987
2.820966,7,80.870309
-5.384282,13,81.445448
0.365256,2,81.522763
-8.207226,5,81.741559
2.903066,8,82.08691
1.765922,7,82.394983
0.37161,2,82.485469
1.830761,6,82.739925
0.9976,4,82.909927
1.805087,6,83.172062
1.934377,6,83.425557
1.382944,5,83.643775
1.005135,5,83.865157
2.182346,7,84.175361
-4.390672,12,84.702212
0.72478,3,84.840186
0.333338,2,84.93031
1.509332,5,85.146286
0.381045,2,85.23901
0.335323,2,85.331102
-8.41149,4,85.503823
0.386088,2,85.583653
0.311285,2,85.676138
0.370883,2,85.767719
1.12778,4,85.928024
0.320577,2,86.008619
-7.304448,7,86.309607
0.317097,2,86.39888
0.378226,2,86.492258
1.00542,5,86.710189
0.319532,2,86.801354
-7.61036,6,87.063427
-8.375382,4,87.247233
0.739578,3,87.370757
0.330505,2,87.461807
-5.480646,10,87.88973
2.451279,8,88.240842
2.043132,6,88.492202
0.74051,3,88.628692
-7.707094,6,88.902324
1.844724,6,89.172426
6.797395,15,89.812098
0.370328,2,89.900805
0.312911,2,89.981066
3.456302,10,90.412915
2.828892,8,90.770747
0.327142,2,90.85939
1.115339,4,91.037764
0.328988,2,91.127816
-7.498518,8,91.466494
0.67717,3,99.82113
-7.209502,7,100.141538
0.346095,2,100.233519
3.37125,10,100.679273
0.344697,2,100.772857
0.31285,2,100.866855
-6.639887,9,101.264951
0.332164,2,101.35753
0.344581,2,101.441973
0.33675,2,101.525719
2.306627,7,101.829775
0.357056,2,101.923029
5.881749,15,102.612539
-7.041602,7,102.929998
-8.709194,4,103.115827
2.888517,9,103.516248
0.337263,2,103.609927
-8.558823,4,103.786085
1.799319,6,104.063639
0.315641,2,104.157163
0.688769,3,104.286927
0.722129,3,104.41678
-8.163122,5,104.652931
0.353446,2,104.744781
1.857833,6,105.026784
0.790733,3,105.16649
0.329649,2,105.247609
0.33725,2,105.330081
0.359014,2,105.424372
-7.709532,6,105.695506
3.085561,9,106.115689
0.741018,3,106.255595
1.471793,5,106.490233
1.083549,4,106.674419
1.072535,4,106.838736
-7.871097,5,107.07669
-6.747255,8,107.452192
0.353179,2,107.54492
0.33725,2,107.638721
0.350118,2,107.733011
0.33725,2,107.82678
-8.490523,4,108.012831
1.626406,6,108.262591
0.329162,2,108.357215
2.541302,8,108.727494
1.30572,5,108.948881
1.045167,4,109.122847
1.504864,5,109.335923
0.385877,2,109.43017
0.354399,2,109.512321
0.388715,2,109.605202
0.747925,3,109.73378
0.358961,2,109.827527
0.753975,3,109.968505
2.559298,7,110.268211
0.341128,2,110.359569
0.33725,2,110.449653
4.046948,12,110.970065
1.786813,6,111.23308
0.321968,2,111.324292
-7.553911,6,111.579049
0.33725,2,111.6578
0.323565,2,111.748098
-6.000251,9,112.13246
2.561451,8,112.472534
0.34522,2,112.564318
0.69579,3,112.691367
1.691395,6,112.965562
0.712852,3,113.09165
3.517295,10,113.513951
0.768641,3,113.650553
0.311285,2,113.741006
0.33725,2,113.829133
-4.810511,13,114.394557
2.047466,6,114.669339
0.332884,2,114.761251
1.95901,7,115.061453
-5.555975,11,115.541437
0.765627,3,115.677142
1.516662,5,115.903512
0.360942,2,115.983621
0.311285,2,116.078004
1.901935,6,116.340702
0.716634,4,116.524114
-6.657518,9,116.915009
-6.66252,8,117.269807
5.289027,15,117.937693
1.823868,6,118.189135
0.686881,3,118.315036
1.134893,5,118.543602
1.30168,5,118.760891
-8.552495,4,118.944097
0.321189,2,119.034147
1.986365,6,119.302478
2.568858,7,119.612653
6.976586,18,120.409065
-6.388041,9,120.795118
-8.604951,4,120.9754
1.474721,5,121.185978
-8.116427,5,121.412905
1.369005,5,121.627025
0.325531,2,121.715187
0.322428,2,121.794259
-8.382579,4,121.964028
2.343319,7,122.264254
3.864935,9,122.658814
2.090332,7,122.971215
3.261484,10,123.406886
0.327655,2,123.495493
0.366452,2,123.584378
-8.254361,5,123.797484
4.497956,12,124.326418
-8.00922,5,124.543187
2.619828,8,124.894302
-7.935731,5,125.108156
1.450099,5,125.320334
0.33899,2,125.411732
0.328316,2,125.49912
0.33725,2,125.590355
0.346511,2,125.680308
1.020293,4,125.858577
0.987529,4,126.037704
0.364582,2,126.127601
2.608367,8,126.490256
0.378415,2,126.581165
1.414754,5,126.793477
1.521758,5,127.019256
0.32105,2,127.107034
1.102373,4,127.288405
0.34516,2,127.367226
1.336217,5,127.583392
0.315149,2,127.67439
0.380236,2,127.75395
0.344602,2,127.831595
1.838714,6,128.096383
4.067867,13,128.656286
0.351556,2,128.744148
-8.494624,4,128.914493
0.349115,2,129.002905
0.311285,2,129.09351
0.33725,2,129.185781
2.898358,9,129.560612
-4.563441,12,130.091939
0.660844,3,130.205175
0.311285,2,130.299483
1.027651,4,130.487545
1.498455,5,130.710979
0.33725,2,130.802302
-6.77986,7,131.112036
1.349181,5,131.334002
-7.798859,6,131.596521
1.118102,4,131.771031
0.327759,2,131.862971
1.097437,4,132.047883
0.315502,2,132.142054
-8.425883,5,132.375305
2.130721,7,132.669932
1.240851,5,132.902753
0.351692,2,132.995933
1.607946,6,133.274324
1.122867,4,133.461641
0.365982,2,133.553611
1.454195,5,133.786249
0.33725,2,133.877018
2.317056,7,134.186043
-8.56279,4,134.361933
0.311285,2,134.455206
-7.434555,7,134.755525
0.334259,2,134.848096
1.921602,6,135.119534
2.577613,7,135.445987
1.715029,6,135.716864
1.885982,6,135.978349
-8.429789,4,136.163017
0.314081,2,136.255445
1.37393,5,136.491752
0.73835,3,136.619726
0.311285,2,136.712425
4.300889,13,137.322187
-8.679143,4,137.498467
1.482104,5,137.734113
-8.600227,4,137.921722
0.382581,2,138.004115
0.36226,2,138.088425
-8.465354,4,138.278251
0.311285,2,138.368879
0.700191,3,138.497035
0.331963,2,138.590228
0.311285,2,138.68312
-6.763815,9,139.080694
3.80406,12,139.624123
1.77151,6,139.906378
0.343788,2,139.986226
-5.887594,9,140.406361
0.676768,3,140.534695
0.382271,2,140.627868
1.453993,5,140.851931
1.788636,6,141.171828
1.068467,4,141.419144
1.02747,4,141.624574
1.368334,5,141.860007
0.336544,2,141.953897
0.334139,2,142.044598
-8.123492,5,142.276709
1.030385,5,142.502646
-4.603466,12,143.035001
0.367532,2,143.112956
-5.413953,11,143.599642
2.000091,7,143.919837
2.471356,7,144.22722
0.756333,3,144.364869
0.316663,2,144.455571
-6.800266,8,144.812358
0.383683,2,144.903017
0.311285,2,144.996754
2.862587,8,145.360018
4.634399,11,145.859524
-7.013718,8,146.216849
0.311285,2,146.306787
0.311926,2,146.397873
1.42143,5,146.60571
0.382451,2,146.696501
0.382446,2,146.784865
1.351184,5,147.013185
2.32364,8,147.357094
1.397914,5,147.575416
0.317699,2,147.654393
0.33725,2,147.744232
-4.702867,12,148.28539
0.362804,2,148.376229
-5.278669,13,148.938838
-6.860721,7,149.258364
0.692849,3,149.394552
0.343412,2,149.486879
1.854832,6,149.760577
1.190333,5,149.989611
0.733077,3,150.128737
0.311285,2,150.220439
2.021194,6,150.495638
0.343683,2,150.586768
0.673955,3,150.728442
0.320921,2,150.817994
-7.981209,5,151.036929
2.845789,9,151.422354
0.347174,2,151.512881
0.33725,2,151.601278
-8.469781,4,151.7731
0.36184,2,151.861882
1.037456,4,152.031107
4.916128,14,152.665469
2.091042,7,152.960324
0.706631,3,153.096361
-6.635398,8,153.445832
0.684011,3,153.569495
0.714121,3,153.706182
0.324071,2,153.796587
0.375778,2,153.885989
1.05906,4,154.053782
0.341078,2,154.143747
2.07418,7,154.428747
2.860461,9,154.814482
-8.382701,4,154.994784
0.712611,3,155.127523
-5.924792,9,155.513551
1.452049,5,155.736822
0.320294,2,155.832302
1.170292,4,156.051321
0.33725,2,156.172613
0.728839,3,156.34095
0.3773,2,156.431761
3.733608,9,156.840437
2.669109,8,157.182108
0.348129,2,157.26476
0.720786,3,157.406036
2.591599,7,157.703447
0.329925,2,157.785192
6.587638,18,158.572162
0.334929,2,158.661664
-5.215606,13,159.24768
0.314019,2,159.337806
1.07032,4,159.517304
0.688996,3,159.655528
0.739858,3,159.777926
1.095674,5,159.974907
1.04698,4,160.152501
0.335555,2,160.242298
0.328907,2,160.333275
0.386301,2,160.421566
-7.900335,6,160.68573
0.349977,2,160.763573
0.736295,3,160.897005
5.13042,13,161.430244
1.063105,4,161.601657
3.273069,9,162.014261
2.287,7,162.340431
1.421424,5,162.574003
1.941315,6,162.813158
2.706629,8,163.169112
1.104311,4,163.354619
0.756564,3,163.493833
1.283987,5,163.716461
0.335981,2,163.809557
1.706868,6,164.070053
0.344098,2,164.16296
-8.199251,6,164.42739
0.360511,2,164.509593
0.346754,2,164.607075
0.71109,3,164.74862
0.350497,2,164.841102
1.128421,4,165.016911
2.216406,7,165.334319
1.951532,6,165.593935
1.088914,4,165.783377
0.325891,2,165.875571
0.325837,2,165.967993
2.774799,8,166.332684
0.329662,2,166.414674
0.323037,2,166.509294
3.316641,8,166.876254
0.744888,3,167.003295
1.147618,4,167.176829
0.339047,2,167.27148
-7.821071,5,167.506131
2.221891,7,167.8343
2.360587,7,168.149453
0.311285,2,168.231608
0.36867,2,168.314583
2.88524,9,168.730459
1.092016,4,168.915454
0.335739,2,169.006887
-8.07807,5,169.24286
-8.124323,5,169.477197
-5.817075,9,169.883751
1.042573,4,170.0457
2.433735,8,170.421003
0.313856,2,170.512228
0.739224,3,170.65202
-7.853174,6,170.925491
-6.662377,8,171.3022
2.379904,7,171.627686
