#{"t_start": 1772723156.3797913, "env_id": "highway-v0"}
r,l,t
8.577778,160,129.62795
1.444444,160,241.014453
0.0,160,350.257855
6.301993,160,456.356932
3.822203,160,563.373232
0.733333,160,672.913741
5.220907,160,782.611735
13.813096,160,890.257652
28.14984,160,997.903753
1.377778,160,1107.009642
17.972219,160,1213.733964
0.666667,160,1322.482752
3.61529,160,1439.48282
8.589763,160,1547.826768
18.644444,160,1654.848818
22.857546,160,1762.677304
15.733333,160,1871.652066
3.6,160,1978.216318
10.12596,160,2085.880492
3.555556,160,2194.337615
6.064247,160,2299.627933
8.119653,160,2406.475726
4.955556,160,2512.873683
8.955556,160,2620.409608
21.542469,160,2730.825736
6.545904,160,2850.299845
0.145046,1,2850.980281
27.414076,160,2959.923924
24.403208,160,3070.361022
0.788274,160,3182.900926
10.572804,160,3296.568002
2.711111,160,3405.159688
7.688889,160,3519.337694
2.708208,160,3630.859894
0.688889,160,3737.12372
8.202521,160,3845.813208
24.787492,160,3956.849527
2.126184,160,4073.371752
9.400658,160,4182.651053
7.991848,160,4303.648812
3.197295,160,4419.745489
3.466667,160,4526.053347
0.666667,3,4528.066907
12.6,160,4633.862355
13.558655,160,4742.835245
19.808295,160,4857.421279
0.0,160,4967.232447
18.3181,160,5077.698141
7.044444,160,5193.67493
14.731116,160,5302.106667
10.757994,160,5408.107441
8.753222,160,5516.243184
2.899793,160,5630.679515
16.2,160,5752.585497
7.145873,160,5863.487317
24.814437,160,5978.810081
25.837355,160,6085.35682
22.686902,160,6191.417749
17.040467,160,6301.543341
5.355554,160,6414.548762
1.444444,160,6522.989434
11.2,160,6638.010551
25.967254,160,6744.784965
18.800153,160,6851.418004
13.266667,160,6962.326622
4.2,160,7081.886335
11.155556,160,7193.186589
1.4,160,7303.579952
9.111111,160,7410.529341
8.058344,160,7521.384599
16.484184,160,7630.774326
32.333333,160,7744.452266
20.6,160,7852.117732
1.355556,3,7854.107936
12.54576,160,7964.387621
19.758081,160,8072.379058
19.022222,160,8183.855479
33.492792,160,8293.650237
13.24122,160,8398.712977
16.755556,160,8517.785094
16.466243,160,8632.424548
20.594531,160,8748.78298
22.2,160,8860.625017
11.460822,160,8967.825269
6.177778,160,9074.528133
12.767377,160,9188.693536
22.180593,160,9305.244031
14.713165,160,9419.36835
12.355556,160,9527.19083
27.615885,160,9632.60314
16.42757,160,9738.756236
8.404946,160,9845.418935
17.798259,160,9955.922184
0.711111,2,9957.117529
9.073954,160,10051.968926
26.916911,160,10146.78631
15.752214,160,10242.000487
25.4,160,10337.224054
17.506654,160,10432.570359
17.300005,160,10527.639187
17.834856,160,10622.488269
16.715886,160,10717.192314
19.841601,160,10812.509818
9.127929,160,10907.370791
19.68904,160,11002.650443
21.489362,160,11098.02513
30.2,160,11202.099499
20.222222,160,11297.947298
19.625227,160,11393.184851
0.817032,2,11394.386523
32.888889,160,11489.768989
26.968911,160,11585.174161
21.278445,160,11681.151191
20.746091,160,11776.316054
31.38672,160,11871.439815
23.265295,160,11966.907885
37.412271,160,12062.536317
13.555961,160,12158.086878
38.032718,160,12252.948161
26.191534,160,12347.928523
19.77685,160,12451.988672
12.128058,160,12547.21564
36.811108,160,12641.831542
48.734665,160,12736.897169
24.777778,160,12841.757184
26.955556,160,12984.649832
52.876218,160,13134.492875
50.731069,160,13284.567895
56.251674,160,13435.311392
29.215118,160,13576.321234
18.777434,160,13716.236178
29.644444,160,13847.53984
7.666667,160,13997.953323
50.155556,160,14143.786057
28.133333,160,14275.046845
36.842384,160,14410.306998
46.909118,160,14540.849579
43.373786,160,14679.070187
23.755192,160,14809.861073
53.822452,160,14943.382184
35.646408,160,15076.858906
9.21539,160,15201.42838
50.853029,160,15335.849358
32.168808,160,15464.34787
36.670859,160,15595.023273
56.909356,160,15739.094823
39.259505,160,15869.776159
57.222222,160,15997.869023
41.18416,160,16115.751335
57.954326,160,16247.407951
60.244444,160,16372.019325
66.626508,160,16500.998778
49.523456,160,16624.601663
68.689842,160,16746.279911
63.27868,160,16878.668029
49.840892,160,17005.766809
65.032411,160,17134.667062
60.888889,160,17248.805743
46.514099,160,17351.824932
50.462937,160,17447.123492
56.732487,160,17542.178503
64.082414,160,17637.364341
30.377778,160,17732.378744
64.541829,160,17827.62467
68.055857,160,17922.893345
79.464349,160,18018.145053
59.711111,160,18112.865448
67.621492,160,18207.86808
60.474723,160,18302.710546
47.69005,160,18397.57795
64.860315,160,18492.344934
78.761532,160,18595.36596
49.947389,160,18690.655592
1.641594,3,18692.481631
59.384944,160,18787.747607
73.942471,160,18882.993682
62.738323,160,18978.167024
35.6,160,19073.466828
58.622222,160,19168.72956
81.866667,160,19263.400985
62.311111,160,19358.156396
60.8,160,19453.379044
79.511111,160,19548.748003
5.622222,160,19643.848706
72.159529,160,19738.953371
85.555556,160,19841.543118
86.666667,160,19936.36748
83.15491,160,20030.858088
26.047289,160,20125.858189
60.4,160,20220.976671
67.133333,160,20315.957562
73.533333,160,20411.352546
65.529401,160,20505.820201
71.977778,160,20600.521957
73.112013,160,20694.773986
62.777778,160,20789.074037
61.844444,160,20883.598687
77.933333,160,20986.147123
73.488889,160,21080.16268
80.466667,160,21175.066149
87.155556,160,21269.23843
67.781626,160,21363.416121
75.555556,160,21457.549069
81.088889,160,21552.012867
67.666667,160,21646.253508
78.991413,160,21740.37323
55.634193,160,21834.229218
80.022222,160,21929.105399
88.111111,160,22023.860636
86.987593,160,22118.101846
73.641541,160,22221.036205
92.444444,160,22315.388785
91.111111,160,22410.480452
80.555556,160,22506.087199
86.176526,160,22600.478634
65.311711,160,22694.761842
81.156825,160,22789.165123
88.133333,160,22883.975327
88.088889,160,22978.320485
86.222222,160,23072.800815
78.933155,160,23168.106209
90.977778,160,23262.632935
94.0,160,23357.506179
87.977778,160,23460.553432
43.666667,160,23554.887504
96.266667,160,23649.394853
83.088889,160,23744.441247
93.2,160,23839.205487
73.666667,160,23933.368314
78.039511,160,24027.946452
73.748311,160,24122.350696
76.066,160,24216.047744
79.441425,160,24310.640947
80.488889,160,24405.123444
81.066667,160,24499.193449
83.555556,160,24593.300622
99.8,160,24696.427012
97.777778,160,24790.924109
107.4,160,24885.581752
89.666667,160,24980.580445
99.266667,160,25075.266674
95.911111,160,25169.606145
92.403073,160,25264.410161
99.222222,160,25359.314119
91.890522,160,25454.234662
94.044444,160,25548.133131
95.0,160,25642.393001
89.355556,160,25736.461505
87.555556,160,25830.422559
96.711111,160,25933.049457
98.688889,160,26027.417786
84.955556,160,26121.47713
100.711111,160,26215.706101
91.444444,160,26310.144958
101.377778,160,26405.40092
103.4,160,26499.593268
92.622222,160,26595.715644
93.488889,160,26690.351511
98.644444,160,26785.467262
82.622222,160,26880.591791
83.377778,160,26975.685266
100.377778,160,27078.967773
93.822222,160,27174.014585
99.422222,160,27268.242009
96.333333,160,27361.68163
103.955556,160,27455.448714
102.955556,160,27549.840154
100.092207,160,27644.012158
98.444444,160,27738.47134
109.422222,160,27833.096984
92.511111,160,27928.121781
98.088889,160,28022.23052
98.222222,160,28116.517765
104.688889,160,28211.533227
99.733333,160,28314.655143
104.444444,160,28408.998943
97.2,160,28503.821602
102.666667,160,28598.554386
97.711111,160,28693.214627
105.644444,160,28787.808808
105.822222,160,28881.959163
104.999867,160,28975.619302
107.133333,160,29069.009903
99.933333,160,29163.796208
93.222222,160,29257.984063
10.6,160,29352.459801
95.266667,160,29447.147522
103.111111,160,29550.695726
100.337157,160,29644.679823
97.45825,160,29739.726339
106.333333,160,29834.661645
105.844444,160,29929.342388
112.066667,160,30024.305654
104.444444,160,30119.207644
104.644444,160,30213.726726
102.244444,160,30308.040197
107.488889,160,30402.004924
99.666667,160,30496.385658
106.377778,160,30590.501271
110.933333,160,30683.83461
109.244444,160,30786.283515
106.377778,160,30880.981718
106.266667,160,30974.737756
109.933333,160,31069.317313
109.888889,160,31164.323437
109.377778,160,31259.012607
108.577778,160,31353.743509
110.155556,160,31449.143776
112.044444,160,31543.989944
108.888889,160,31638.552721
108.466667,160,31733.421193
107.266667,160,31828.049009
109.177778,160,31922.536151
109.133333,160,32025.274121
105.288889,160,32120.009547
112.422222,160,32214.026993
107.244444,160,32308.217456
110.311111,160,32402.960027
106.222222,160,32497.651279
107.444444,160,32592.099337
108.177778,160,32686.937944
112.133333,160,32781.847065
110.266667,160,32876.766093
108.4,160,32971.607122
100.977778,160,33065.928491
111.777778,160,33168.723718
111.088889,160,33264.550842
107.933333,160,33359.2263
109.155556,160,33453.32964
104.844444,160,33547.7115
109.2,160,33642.146401
107.6,160,33737.664107
106.2,160,33832.6329
108.6,160,33926.841925
109.822222,160,34021.273172
110.266667,160,34115.285719
110.977778,160,34210.105185
109.288889,160,34304.734035
109.355556,160,34407.435142
110.688889,160,34501.542435
109.844444,160,34596.043883
107.622222,160,34690.821769
108.355556,160,34785.434977
108.066667,160,34880.488958
89.066667,160,34975.788519
107.266667,160,35070.645586
109.466667,160,35165.227473
109.355556,160,35260.272629
111.288889,160,35355.163558
109.066667,160,35450.15367
110.866667,160,35545.105301
110.6,160,35649.066385
72.288889,160,35743.94986
112.533333,160,35838.519466
111.911111,160,35932.905627
111.593545,160,36027.645122
112.311111,160,36122.491848
108.022222,160,36216.925219
112.933333,160,36311.60614
112.488889,160,36406.366082
112.2,160,36501.370382
109.822222,160,36596.215635
112.6,160,36690.883469
111.977778,160,36785.789912
112.133333,160,36888.283562
110.4,160,36983.209819
109.111111,160,37077.80239
113.177778,160,37172.293835
111.466667,160,37266.362046
111.444444,160,37360.828613
112.155556,160,37455.265893
109.511111,160,37549.327327
112.0,160,37643.671332
109.622222,160,37738.723167
113.022222,160,37833.351428
111.688889,160,37928.667776
113.8,160,38022.820389
113.511111,160,38126.029136
113.577778,160,38220.945157
112.266667,160,38315.392561
112.8,160,38410.689118
112.466667,160,38505.969509
110.4,160,38601.562039
113.311111,160,38696.524042
112.888889,160,38790.778297
110.977778,160,38885.369746
112.177778,160,38979.490344
112.733333,160,39073.539924
112.688889,160,39168.874036
113.355556,160,39271.976832
113.533333,160,39366.256876
113.111111,160,39460.673285
111.533333,160,39556.286888
112.888889,160,39650.561879
111.377778,160,39745.366371
111.044444,160,39841.19405
113.044444,160,39936.156916
111.755556,160,40030.984296
112.022222,160,40125.872632
112.911111,160,40220.482007
112.155556,160,40315.725622
112.977778,160,40411.171407
112.644444,160,40515.996308
113.822222,160,40611.098308
111.177778,160,40706.179518
112.222222,160,40801.142608
112.266667,160,40895.164484
111.088889,160,40990.058134
112.822222,160,41084.649219
109.088889,160,41179.106839
111.888889,160,41273.32978
110.666667,160,41368.546346
112.311111,160,41463.526602
114.155556,160,41558.582683
113.244444,160,41653.749589
110.6,160,41757.816342
113.333333,160,41852.690137
112.644444,160,41947.598557
112.222222,160,42042.475088
111.6,160,42137.224436
112.444444,160,42232.094235
112.777778,160,42327.281069
112.4,160,42422.504259
112.955556,160,42518.230271
112.644444,160,42612.690488
111.155556,160,42707.075574
112.755556,160,42801.881131
109.977778,160,42896.671395
113.644444,160,43000.541183
113.733333,160,43095.268521
111.777778,160,43189.89548
57.250389,160,43284.400284
113.266667,160,43378.692706
114.044444,160,43473.870974
112.266667,160,43568.951782
112.822222,160,43664.262529
113.555556,160,43759.090755
113.688889,160,43854.167246
112.777778,160,43949.390402
113.222222,160,44044.197767
113.044444,160,44138.638576
114.066667,160,44241.475189
114.022222,160,44335.970562
113.6,160,44430.360133
113.844444,160,44525.472227
111.666667,160,44619.986252
112.311111,160,44714.311528
113.266667,160,44808.970989
111.711111,160,44903.776263
112.688889,160,44998.727846
112.755556,160,45093.476741
113.555556,160,45188.387982
113.355556,160,45283.159312
112.688889,160,45386.542837
9.266667,160,45481.379316
115.155556,160,45576.086974
114.933333,160,45670.793042
113.711111,160,45765.576293
112.977778,160,45860.525257
112.333333,160,45955.606091
114.377778,160,46050.339406
113.533333,160,46145.220933
113.288889,160,46239.749536
113.933333,160,46334.528923
115.088889,160,46428.939911
113.155556,160,46523.955534
112.866667,160,46626.839801
112.133333,160,46721.744181
113.444444,160,46816.690527
114.688889,160,46912.038426
112.622222,160,47006.986042
113.2,160,47101.775861
115.066667,160,47196.792502
112.777778,160,47291.654377
112.533333,160,47386.529521
112.4,160,47481.326004
112.6,160,47575.680753
113.822222,160,47670.540666
113.644444,160,47765.260627
114.4,160,47868.128266
112.688889,160,47962.833885
115.044444,160,48057.630394
110.688889,160,48152.336689
111.266667,160,48246.763954
113.844444,160,48342.207106
113.088889,160,48436.761117
114.022222,160,48531.032113
113.577778,160,48626.092351
115.911111,160,48721.278604
113.955556,160,48816.07947
114.333333,160,48910.488333
113.244444,160,49005.851878
114.511111,160,49109.55805
114.511111,160,49204.603839
112.711111,160,49300.102258
111.555556,160,49394.91294
115.422222,160,49489.473638
114.688889,160,49584.596036
113.533333,160,49679.661344
112.2,160,49774.696412
114.977778,160,49869.910226
113.666667,160,49964.65315
115.355556,160,50059.514251
113.022222,160,50153.697593
114.755556,160,50249.065882
115.577778,160,50353.731767
115.288889,160,50449.111787
114.0,160,50543.934274
111.2,160,50638.563684
111.733333,160,50732.708242
113.022222,160,50827.311367
114.711111,160,50922.389022
113.088889,160,51016.228819
115.644444,160,51110.507741
112.933333,160,51204.316375
113.088889,160,51298.983638
115.711111,160,51393.400908
115.066667,160,51496.410997
116.844444,160,51590.798893
115.933333,160,51685.212988
112.511111,160,51779.265971
114.8,160,51873.24332
114.311111,160,51967.426869
113.933333,160,52061.593234
114.666667,160,52156.521426
114.488889,160,52250.624462
116.244444,160,52345.155304
116.444444,160,52438.915204
112.733333,160,52532.654918
114.111111,160,52626.971635
116.022222,160,52729.670295
114.577778,160,52824.765656
115.155556,160,52919.296788
115.511111,160,53013.234124
116.822222,160,53107.727147
116.155556,160,53202.02522
116.244444,160,53296.451413
115.933333,160,53390.48722
115.8,160,53484.806056
116.511111,160,53579.280144
116.422222,160,53673.561634
115.066667,160,53767.532686
115.466667,160,53862.099007
116.755556,160,53964.819539
114.755556,160,54058.496331
115.511111,160,54152.96108
116.511111,160,54247.756949
114.844444,160,54341.951401
115.377778,160,54436.113736
116.311111,160,54531.042506
115.422222,160,54625.510161
115.4,160,54720.366055
116.733333,160,54814.837218
