#{"t_start": 1773427358.527039, "env_id": "continuous-exit-v0"}
r,l,t
0.752715,3,0.188861
0.318467,2,0.279171
0.343364,2,0.364654
0.326989,2,0.461571
2.574784,8,0.894281
0.75472,4,1.128693
0.367488,2,1.229633
1.08828,5,1.485525
-4.916413,12,2.19966
-6.825818,9,2.608433
-7.745953,6,2.883633
-7.145511,8,3.262577
2.269426,7,3.578521
-7.333758,6,3.860056
2.029945,6,4.143589
0.366581,2,4.247553
-8.156623,5,4.538242
1.058109,4,4.741481
0.656257,3,4.882642
0.327619,2,4.980318
0.311285,2,5.069046
-5.918747,10,5.483751
-6.256454,8,5.826932
1.119543,4,6.00005
0.312964,2,6.09034
0.715554,3,6.226696
-8.331273,5,6.43737
1.293304,5,6.674867
0.332972,2,6.75948
1.763099,6,7.02251
0.707005,3,7.156104
0.3889,2,7.242335
1.041042,5,7.466296
-8.453383,5,7.67174
-8.580104,4,7.840984
1.129186,4,8.0192
-7.796477,6,8.276307
0.326255,2,8.366
-6.798535,7,8.661853
0.31793,2,8.752094
2.155712,6,9.012184
0.33725,2,9.103062
-8.321943,5,9.316928
1.152222,4,9.499001
-7.160198,7,9.810005
1.256974,5,10.03544
-6.13771,9,10.422286
0.708031,3,10.56268
-8.38726,5,10.851893
1.758382,6,11.158859
1.478518,6,11.428298
1.419205,5,11.654717
-8.079165,6,11.925701
2.353183,8,12.265601
1.216246,5,12.466119
1.99919,7,12.764215
0.772961,3,12.888351
-0.489985,24,14.050213
4.135761,11,14.511333
0.355312,2,14.599338
-7.23878,7,14.915173
0.324383,2,14.999233
1.515162,5,15.211697
-3.230916,17,15.968144
2.240734,7,16.27806
3.837962,10,16.724747
1.383132,5,16.919994
0.33725,2,17.016081
0.328661,2,17.104718
0.336017,2,17.188762
0.328389,2,17.279533
0.326596,2,17.36736
-8.354301,4,17.547975
2.486428,7,17.846718
0.753818,3,17.98152
0.342455,2,18.06246
0.365649,2,18.14878
4.195303,12,18.680548
-6.497465,8,19.025739
-8.22221,5,19.240228
0.700981,3,19.379166
-8.519726,4,19.566756
0.311285,2,19.658291
2.019384,6,19.92433
0.367439,2,20.002431
0.74345,3,20.137496
3.090739,9,20.669523
0.735982,3,20.811023
0.691162,3,20.95787
0.348981,2,21.040532
-5.658311,12,21.564978
0.735169,3,21.698984
-7.759147,6,22.033967
-8.523144,4,22.244129
-7.358602,7,22.57329
7.114496,19,23.395189
-8.566496,4,23.566758
0.358552,2,23.657382
1.084234,4,23.835668
1.306731,5,24.047706
-5.650437,10,24.498013
0.344047,2,24.587496
6.224616,16,25.273222
-7.745873,6,25.532287
-4.559161,12,26.05439
1.123246,4,26.246302
1.161466,4,26.412711
-8.196373,5,26.625493
3.177819,8,26.984984
0.311285,2,27.073126
1.242009,5,27.276761
4.144013,11,27.737056
-6.146013,11,28.253314
2.695381,8,28.597932
-7.503439,6,28.85672
0.33725,2,28.933847
4.476405,13,29.494045
0.679338,3,29.624903
-8.321043,5,29.852033
0.33725,2,29.947338
-7.31701,7,30.359289
0.322969,2,30.46945
-7.659834,6,30.816526
0.311285,2,30.915455
0.357059,2,31.012723
1.820745,6,31.267294
1.48054,5,31.478918
-7.20005,7,31.782295
0.323977,2,31.867834
1.372462,5,32.091427
1.193944,5,32.31579
1.627464,6,32.564133
-8.51506,4,32.746975
0.311285,2,32.836161
-7.786598,5,33.052243
1.334393,5,33.266675
1.648737,6,33.536689
-8.46588,4,33.714699
2.821504,8,34.055955
1.188329,4,34.226067
-8.726148,4,34.405462
2.728769,8,34.752208
0.319637,2,34.843105
-8.604915,4,35.022511
0.336096,2,35.112386
-3.966636,15,35.780416
1.188912,5,35.991341
0.316541,2,36.080446
2.447511,9,36.485976
-8.143621,5,36.700141
0.336261,2,36.789684
0.702676,3,36.92763
4.439303,11,37.412802
1.300882,5,37.626659
0.69244,3,37.761565
1.064726,4,37.950901
0.311285,2,38.02939
0.746644,4,38.199442
-7.923783,5,38.42444
-6.510656,9,38.793884
-8.308,5,39.011001
0.34999,2,39.113914
-8.10621,5,39.396353
-5.336592,12,40.003158
0.372462,2,40.121882
0.321273,2,40.224286
-4.668276,12,40.786793
0.324412,2,40.864723
-4.837436,12,41.392413
1.040744,4,41.553887
-8.132856,5,41.779935
3.145525,9,42.159905
-8.365423,5,42.383844
2.475824,8,42.720597
0.728459,3,42.860605
