#{"t_start": 1771645336.1658385, "env_id": "highway-v0"}
r,l,t
9.757399,140,31.202506
8.866667,140,62.414547
13.11077,140,93.641564
9.319449,140,124.869595
2.822222,140,156.072449
2.022222,140,187.14494
7.888889,140,218.318095
2.777778,140,249.416672
2.177778,140,280.600237
9.380588,140,311.725498
8.41602,140,342.973082
6.422138,140,374.066818
11.866667,140,405.055085
5.666667,140,436.123193
4.177778,140,475.130455
4.222222,140,506.140783
6.377778,140,537.024588
9.822222,140,568.090347
2.173735,140,599.289386
24.777778,140,630.22333
16.06009,140,661.324533
4.942345,140,692.554745
13.582451,140,723.611475
2.238419,140,754.741164
0.711111,140,785.832927
1.444444,140,816.950118
1.422222,140,848.304046
4.834233,140,879.203465
7.80075,140,910.378366
7.378878,140,949.866852
0.833379,140,981.054708
2.084942,140,1012.269016
2.022222,140,1043.282882
24.11717,140,1074.41012
5.577778,140,1105.489887
25.822222,140,1136.501516
2.066667,140,1167.538385
4.321031,140,1198.583461
5.2,140,1229.714226
15.6,140,1260.539487
18.377778,140,1291.262123
13.844444,140,1321.988112
1.377778,140,1352.799094
22.949054,140,1391.985048
10.044444,140,1423.185394
6.333333,140,1454.404721
1.377778,140,1485.564039
1.67733,140,1516.632594
0.0,140,1548.317917
2.8,140,1579.723375
0.666667,140,1610.886807
6.822222,140,1642.261625
3.0,140,1673.450838
1.4,140,1704.661987
11.082712,140,1735.917466
20.365361,140,1767.185199
5.608353,140,1798.525564
21.79316,140,1829.60307
16.102824,140,1869.06246
16.55771,140,1900.264901
8.422222,140,1931.372258
30.062328,140,1962.682141
1.666667,140,1993.887331
2.888889,140,2025.234412
16.311111,140,2056.640216
15.107123,140,2087.825798
7.67511,140,2119.00131
11.451895,140,2150.175532
8.266667,140,2181.227379
5.022222,140,2212.063037
9.585893,140,2243.284201
7.088889,140,2274.073149
7.011453,140,2305.127385
14.547067,140,2344.390963
12.608898,140,2375.49885
7.918858,140,2406.616848
31.377955,140,2437.363664
9.777778,140,2468.130586
36.023579,140,2498.905896
19.955371,140,2529.542553
25.801394,140,2560.154703
19.044444,140,2590.739503
14.176635,140,2621.436471
30.022858,140,2652.069901
15.466667,140,2682.697767
17.497786,140,2713.329868
20.711111,140,2743.945367
8.288889,140,2782.729033
2.111111,140,2813.399023
8.485123,140,2844.018143
22.693314,140,2874.535156
27.633016,140,2904.920581
18.111111,140,2935.494264
18.673312,140,2966.074758
23.338563,140,2996.720631
20.556478,140,3027.264971
12.622222,140,3057.861941
10.0,140,3088.378712
10.564655,140,3118.959405
9.266667,140,3149.455774
17.127137,140,3179.762994
10.622222,140,3210.155376
17.687354,140,3248.896216
20.497977,140,3279.113017
30.704004,140,3309.562407
32.848931,140,3339.95534
9.94603,140,3370.484894
21.02168,140,3400.728119
7.840478,140,3430.961445
12.781166,140,3461.329894
26.520814,140,3491.480966
15.675392,140,3521.476509
8.423312,140,3551.718377
16.373776,140,3581.742458
0.688889,140,3611.739416
20.133333,140,3641.998803
12.194594,140,3672.24013
14.629263,140,3710.612908
25.986211,140,3740.774238
10.261677,140,3771.096827
10.422222,140,3801.207623
3.555556,140,3831.286321
24.252604,140,3861.466656
31.224461,140,3891.878092
21.177778,140,3922.154345
45.576421,140,3952.541401
28.422222,140,3982.696946
0.955556,140,4012.858943
10.577402,140,4042.801671
31.903677,140,4072.810829
14.226181,140,4102.837502
21.875587,140,4141.117275
34.347377,140,4171.235669
30.024044,140,4201.371363
24.222222,140,4231.461353
48.855723,140,4261.725288
24.801316,140,4292.089127
14.6,140,4322.194745
46.814036,140,4352.432723
38.725602,140,4382.602784
5.277282,140,4412.589912
35.860009,140,4442.707975
24.911111,140,4473.106036
33.044384,140,4503.303492
22.696056,140,4533.28997
19.079965,140,4563.426886
44.711515,140,4601.779335
37.807822,140,4631.864046
45.355556,140,4662.036993
36.844444,140,4692.05531
48.346652,140,4722.256302
28.954841,140,4752.287705
49.612392,140,4782.512034
25.355556,140,4812.742728
38.032473,140,4842.798439
40.624001,140,4872.781814
50.224792,140,4902.94025
55.444444,140,4932.9899
34.188805,140,4962.87456
39.232198,140,4992.990432
43.989561,140,5031.677326
55.755556,140,5061.729437
40.749839,140,5091.715417
41.206554,140,5121.785628
35.929282,140,5151.90826
50.454943,140,5182.137239
34.592251,140,5212.136477
41.377778,140,5242.296079
54.577619,140,5272.300774
39.157822,140,5302.322683
51.157227,140,5332.414251
54.797284,140,5362.471326
51.036758,140,5392.572235
49.131112,140,5422.775208
53.4,140,5452.96217
38.337822,140,5491.241038
60.244444,140,5521.354981
52.644444,140,5551.779648
73.688889,140,5581.803389
61.555915,140,5611.992297
42.533333,140,5642.225378
61.155556,140,5672.362205
56.740422,140,5702.695479
53.666667,140,5732.945144
34.244444,140,5762.921326
67.644444,140,5792.970859
28.479349,140,5823.043616
58.876767,140,5853.165337
50.755556,140,5883.30634
45.444444,140,5913.680379
50.097857,140,5952.115437
71.866667,140,5982.405981
57.507177,140,6012.604192
61.044444,140,6042.849494
50.808898,140,6072.941376
72.311111,140,6103.149208
60.444556,140,6133.321194
69.751292,140,6163.475606
63.711111,140,6193.680687
57.044444,140,6223.933923
47.644444,140,6254.25315
72.155395,140,6284.574186
65.340886,140,6314.768243
59.663923,140,6345.184276
47.702075,140,6383.767717
66.04085,140,6413.861222
37.667554,140,6444.209779
70.34178,140,6474.35859
63.977778,140,6504.355953
50.777778,140,6534.622601
62.755556,140,6564.936536
69.146147,140,6595.223588
65.056739,140,6625.606602
63.422222,140,6655.922863
70.377778,140,6685.983168
73.92345,140,6716.420441
62.022222,140,6746.484219
62.044444,140,6776.546294
63.786398,140,6806.514584
64.311111,140,6844.918348
66.911111,140,6875.187876
63.313639,140,6905.392739
71.648948,140,6935.575543
77.044444,140,6965.755003
68.911111,140,6995.911728
73.73534,140,7026.158589
86.977778,140,7056.223009
83.533333,140,7086.386231
72.422222,140,7116.477451
75.533333,140,7146.508888
76.4,140,7176.727585
53.392155,140,7206.938025
65.066667,140,7237.125155
66.911111,140,7267.559876
70.726933,140,7306.240795
74.022222,140,7336.638554
80.265427,140,7366.951792
70.377778,140,7397.135495
74.470086,140,7427.458195
67.133333,140,7457.650498
80.911111,140,7487.963261
73.722395,140,7518.285282
63.955556,140,7548.468791
81.002442,140,7578.752497
74.391829,140,7609.111676
71.0,140,7639.397625
71.299944,140,7669.610631
71.644444,140,7699.832054
78.725379,140,7738.266809
70.866667,140,7768.427086
75.333333,140,7798.682394
74.688889,140,7828.842724
44.4,140,7858.962876
74.733333,140,7889.090852
78.2,140,7919.277028
81.666667,140,7949.28863
82.666667,140,7979.549198
81.377778,140,8009.787138
65.066667,140,8040.011671
84.577778,140,8070.237425
77.866667,140,8100.635935
77.377778,140,8130.729903
70.555556,140,8160.927636
76.6,140,8199.670099
79.311111,140,8229.955885
35.133333,140,8260.179176
83.688889,140,8290.485067
85.577778,140,8320.826645
24.622222,140,8351.053585
73.599428,140,8381.357536
82.644444,140,8411.737505
79.844444,140,8441.87341
77.622222,140,8472.191063
74.044444,140,8502.605344
84.288889,140,8532.805071
82.711111,140,8563.174334
86.333333,140,8593.493605
56.933333,140,8632.135141
71.955556,140,8662.504951
76.422222,140,8692.86059
84.088889,140,8722.920389
88.577778,140,8753.149149
86.777778,140,8783.268379
90.044444,140,8813.167973
80.920737,140,8843.22695
91.822222,140,8873.497174
89.333333,140,8903.730758
82.844444,140,8933.89748
86.4,140,8964.086774
78.866667,140,8994.176695
83.333333,140,9024.427033
85.389761,140,9054.542404
82.177778,140,9093.23097
85.955556,140,9123.616205
80.822222,140,9153.865038
84.6,140,9184.153658
91.018878,140,9214.65846
78.244444,140,9244.905035
92.311111,140,9275.332187
91.244444,140,9305.677509
83.022222,140,9335.949332
90.644444,140,9366.122613
92.488889,140,9396.595064
79.933333,140,9426.769695
93.666667,140,9457.180721
85.911111,140,9487.558693
78.244444,140,9517.644569
86.2,140,9556.261066
89.888889,140,9586.500306
77.888889,140,9616.658121
92.6,140,9646.936211
89.844444,140,9677.268332
90.177778,140,9707.403378
83.088889,140,9737.45909
83.925115,140,9767.722415
